Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,14136,2.3,51.37,29.37,29.09,215.34,13527,ph,platinum
2,Jhin,11856,2.98,50.79,24.63,6.7,206.22,13596,ph,platinum
3,Lux,10756,2.74,51.77,22.35,26.06,118.66,11105,ph,platinum
4,Ashe,9333,2.44,50.52,19.39,8.01,193.19,12228,ph,platinum
5,Jinx,9237,2.44,51.04,19.19,2.8,216.85,13070,ph,platinum
6,Viktor,8348,2.24,51.05,17.35,20.09,205.27,12609,ph,platinum
7,Viego,7354,2.44,52.39,15.28,14.23,188.56,12944,ph,platinum
8,Ahri,6898,2.69,52.97,14.33,10.98,197.47,12277,ph,platinum
9,Yasuo,6804,1.62,48.75,14.14,17.8,218.7,12756,ph,platinum
10,Yone,6753,1.71,48.66,14.03,11.99,218.93,12730,ph,platinum
11,Kai'Sa,6513,2.46,49.61,13.53,3.36,219.38,13563,ph,platinum
12,Thresh,6371,2.62,50.12,13.24,8.16,33.2,8569,ph,platinum
13,Ezreal,6249,2.55,48.52,12.98,2.57,205.88,12780,ph,platinum
14,Sylas,5984,2.09,50.02,12.43,15.33,156.05,11511,ph,platinum
15,Lee Sin,5355,2.56,49.64,11.13,7.71,172.62,12375,ph,platinum
16,Lulu,5320,3.34,50.92,11.05,11.82,30.08,8388,ph,platinum
17,Ambessa,5131,1.97,49.7,10.66,58.84,189.3,12402,ph,platinum
18,Smolder,5058,2.16,45.43,10.51,8.2,227.06,12973,ph,platinum
19,Volibear,4888,1.98,52.82,10.16,8.3,190.33,12322,ph,platinum
20,Warwick,4850,2.25,53.13,10.08,11.85,175.71,12663,ph,platinum
21,Tahm Kench,4714,2.59,54.43,9.79,15.3,99.97,10546,ph,platinum
22,Gragas,4693,2.31,50.8,9.75,4.99,179.19,11641,ph,platinum
23,Kayn,4625,2.26,50.85,9.61,3.41,190.61,12710,ph,platinum
24,Zed,4600,2.34,49.85,9.56,25.84,194.75,13154,ph,platinum
25,Aatrox,4599,1.97,51.58,9.56,14.8,189.79,12270,ph,platinum
26,Graves,4589,2.37,49.64,9.54,6.98,212.28,13690,ph,platinum
27,Swain,4387,2.48,50.51,9.12,8.79,122.17,10869,ph,platinum
28,Riven,4248,1.94,50.49,8.83,2.35,202.35,12823,ph,platinum
29,Kha'Zix,4244,2.43,51.37,8.82,9.12,188.51,13149,ph,platinum
30,Vayne,4211,2.11,50.94,8.75,4.42,197.02,12939,ph,platinum
31,Karma,4154,2.64,50.79,8.63,3.3,55.32,9179,ph,platinum
32,Pyke,4141,2.09,50.57,8.6,20.06,39.29,10274,ph,platinum
33,Katarina,4117,2.28,48.07,8.55,6.44,177.16,12913,ph,platinum
34,Senna,4047,2.91,50.53,8.41,2.35,44.29,9839,ph,platinum
35,Nocturne,3970,2.71,54.51,8.25,19.69,195.76,12797,ph,platinum
36,Lucian,3896,2.39,48.84,8.1,1.99,216.27,13327,ph,platinum
37,Mordekaiser,3780,1.97,54.05,7.85,12.87,190.58,12538,ph,platinum
38,Galio,3776,2.71,51.43,7.85,5.96,170.92,11200,ph,platinum
39,LeBlanc,3772,2.66,49.26,7.84,20.25,167,12121,ph,platinum
40,Nami,3749,3.31,53.67,7.79,1.01,26.69,8458,ph,platinum
41,Morgana,3695,2.68,52.21,7.68,31.75,60.47,9720,ph,platinum
42,Hwei,3651,2.56,50.04,7.59,5.64,171.61,11749,ph,platinum
43,Akali,3581,2.34,49.71,7.44,6.89,178.26,12373,ph,platinum
44,Master Yi,3571,2.06,49.99,7.42,7.54,192.09,13003,ph,platinum
45,Pantheon,3556,2.08,49.89,7.39,2.99,123.28,11662,ph,platinum
46,Vi,3467,2.34,50.71,7.2,2.17,175.48,12134,ph,platinum
47,Miss Fortune,3463,2.57,50.65,7.2,0.77,206.17,13501,ph,platinum
48,Ekko,3420,2.4,49.91,7.11,0.64,184.33,12770,ph,platinum
49,Varus,3355,2.34,48.35,6.97,1.2,205.64,13107,ph,platinum
50,Darius,3350,1.82,50.45,6.96,12.51,200.54,12779,ph,platinum
51,Shaco,3294,2.53,50.52,6.84,22.02,152.11,12265,ph,platinum
52,Teemo,3251,1.98,51.28,6.75,11.16,189.38,12398,ph,platinum
53,Jax,3206,1.74,48.75,6.66,5.25,192.63,12542,ph,platinum
54,Irelia,3184,1.7,52.64,6.62,8.05,240.04,14048,ph,platinum
55,Nautilus,3174,2.32,48.05,6.59,13.93,43.43,8671,ph,platinum
56,Seraphine,3163,2.8,49.6,6.57,3.29,67.03,9441,ph,platinum
57,Diana,2975,2.11,50.22,6.18,1.3,205.83,13273,ph,platinum
58,Jayce,2958,1.89,47.9,6.15,0.82,210.2,12969,ph,platinum
59,Milio,2899,3.61,52.09,6.02,4.21,28.99,8134,ph,platinum
60,Wukong,2863,2.58,51.27,5.95,2.13,182.91,12538,ph,platinum
61,Malphite,2860,2.5,51.61,5.94,4.61,175.83,11677,ph,platinum
62,Sivir,2784,2.66,52.3,5.78,0.87,246.24,13650,ph,platinum
63,Poppy,2782,2.31,52.16,5.78,4.8,95.3,10226,ph,platinum
64,Xerath,2756,3.04,52.39,5.73,3.84,122.54,11389,ph,platinum
65,Aurora,2748,2.43,48.18,5.71,18.71,192.26,12103,ph,platinum
66,Corki,2704,2.53,50.48,5.62,2.96,222.42,13522,ph,platinum
67,Leona,2688,2.46,51.41,5.59,6.33,33.29,8625,ph,platinum
68,Malzahar,2634,2.33,53.95,5.47,5.33,230.23,13101,ph,platinum
69,Cho'Gath,2627,2.18,51.5,5.46,1.93,190.95,12506,ph,platinum
70,Jarvan IV,2615,3.23,54.49,5.43,1.9,168.54,12178,ph,platinum
71,Rengar,2585,2.1,47.16,5.37,3.31,193.74,12981,ph,platinum
72,Veigar,2542,2.36,51.73,5.28,1.31,201.34,12918,ph,platinum
73,Blitzcrank,2531,2.46,49.66,5.26,15.97,29.85,8467,ph,platinum
74,Dr. Mundo,2529,2.03,52.39,5.25,4.57,200.8,12277,ph,platinum
75,Syndra,2516,2.4,49.6,5.23,2.82,202.51,12903,ph,platinum
76,Vel'Koz,2514,2.34,51.59,5.22,1.47,85.62,10572,ph,platinum
77,Renekton,2504,2.04,51.68,5.2,3.39,214.39,13177,ph,platinum
78,Samira,2491,2.24,51.59,5.18,10.78,198.48,13806,ph,platinum
79,Soraka,2483,2.85,50.54,5.16,2.84,28.3,8143,ph,platinum
80,Udyr,2469,2.25,50.34,5.13,4.89,193.11,12287,ph,platinum
81,Garen,2448,1.91,49.55,5.09,2.88,224.82,13559,ph,platinum
82,Maokai,2306,2.53,51.91,4.79,0.96,111.3,9973,ph,platinum
83,Yorick,2297,1.81,52.42,4.77,8.73,223.72,13266,ph,platinum
84,Xayah,2271,2.45,49.36,4.72,1.18,228.8,13376,ph,platinum
85,Zyra,2253,2.33,50.95,4.68,3.36,75.12,9905,ph,platinum
86,Rakan,2206,2.78,49.18,4.58,0.71,32.98,8333,ph,platinum
87,Sion,2199,1.52,49.16,4.57,1.79,207.53,12962,ph,platinum
88,Nasus,2180,1.98,52.84,4.53,6.2,195.09,12416,ph,platinum
