Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,21398,2.4,52.39,30.86,27.87,201.76,13435,ph,silver
2,Jhin,17605,3.05,50.97,25.39,11.29,192.42,13472,ph,silver
3,Lux,17227,2.87,53.79,24.84,31.85,108.22,11069,ph,silver
4,Jinx,14093,2.51,50.97,20.32,3.53,203.5,12996,ph,silver
5,Yasuo,13999,1.66,49.04,20.19,19.66,208.13,12820,ph,silver
6,Ashe,13472,2.49,50.45,19.43,6.83,182.03,12251,ph,silver
7,Viktor,10594,2.33,51.43,15.28,16.12,185.13,12384,ph,silver
8,Warwick,10292,2.34,54.68,14.84,14.02,173.08,12958,ph,silver
9,Yone,9788,1.84,48.78,14.12,11.29,203.41,12665,ph,silver
10,Ahri,9519,2.68,52.68,13.73,10.11,182.42,12178,ph,silver
11,Thresh,9037,2.53,50.2,13.03,7.73,35.5,8785,ph,silver
12,Viego,8943,2.31,50.99,12.9,11.29,183.79,12937,ph,silver
13,Sylas,8782,2.1,48.84,12.66,16.68,145.05,11585,ph,silver
14,Kai'Sa,8741,2.52,49.07,12.61,2.56,207.7,13445,ph,silver
15,Kayn,8458,2.21,51.02,12.2,5.78,185.03,12790,ph,silver
16,Ezreal,8281,2.58,46.82,11.94,2.15,188.99,12589,ph,silver
17,Vayne,8089,2.18,51.08,11.67,8.42,184.68,12895,ph,silver
18,Lee Sin,7905,2.42,46.62,11.4,8.17,167.47,12423,ph,silver
19,Zed,7812,2.29,47.31,11.27,31.26,179.35,12955,ph,silver
20,Teemo,7689,2.06,52.95,11.09,18.42,176.6,12395,ph,silver
21,Tahm Kench,7530,2.62,53.6,10.86,18.58,96.99,10713,ph,silver
22,Morgana,7343,2.76,52.81,10.59,31.55,63.1,10001,ph,silver
23,Mordekaiser,7287,2.08,53.89,10.51,19.51,178.57,12653,ph,silver
24,Swain,7264,2.54,52.19,10.48,10.54,102.19,10804,ph,silver
25,Miss Fortune,7167,2.63,51.47,10.34,1.51,189.47,13273,ph,silver
26,Smolder,6922,2.28,47.01,9.98,9.4,212.78,12832,ph,silver
27,Master Yi,6842,1.99,50.29,9.87,14.3,190.85,13155,ph,silver
28,Ambessa,6656,2,49.94,9.6,56.87,177.77,12224,ph,silver
29,Darius,6491,1.89,48.51,9.36,15.78,185,12698,ph,silver
30,Volibear,6420,2.06,52.62,9.26,6.91,180.48,12323,ph,silver
31,Akali,6085,2.3,49.06,8.78,10.44,159.22,12187,ph,silver
32,Shaco,6018,2.58,49.97,8.68,30.79,151.7,12202,ph,silver
33,Katarina,6005,2.25,47.99,8.66,6.77,163.28,12759,ph,silver
34,Ekko,5900,2.34,49.46,8.51,1.04,174.74,12785,ph,silver
35,Nocturne,5771,2.73,55.33,8.32,16.05,191.96,12998,ph,silver
36,Senna,5703,2.88,48.31,8.22,2.12,54.54,10224,ph,silver
37,Galio,5563,2.76,52.04,8.02,4.96,149.68,10976,ph,silver
38,Lucian,5374,2.43,48.38,7.75,1.62,202.26,13192,ph,silver
39,Pyke,5356,2.01,48.9,7.72,18.02,39.62,10455,ph,silver
40,Veigar,5315,2.47,52.15,7.66,4.05,189.31,13081,ph,silver
41,Jax,5314,1.8,49.38,7.66,3.25,183.09,12639,ph,silver
42,Aatrox,5218,1.96,50.27,7.52,14.7,176.84,12165,ph,silver
43,LeBlanc,5048,2.75,49.23,7.28,17.11,153.76,12138,ph,silver
44,Kha'Zix,4985,2.26,49.25,7.19,5.91,181.59,13094,ph,silver
45,Graves,4963,2.3,49.08,7.16,3.55,205.82,13725,ph,silver
46,Seraphine,4946,2.82,51.23,7.13,4.44,60.79,9664,ph,silver
47,Pantheon,4924,2.13,49.68,7.1,2.34,115.08,11673,ph,silver
48,Riven,4788,1.95,49.02,6.9,1.56,187.69,12531,ph,silver
49,Lulu,4762,3.15,48.95,6.87,5.89,31.6,8502,ph,silver
50,Vi,4668,2.25,51.03,6.73,1.4,174.65,12317,ph,silver
51,Karma,4667,2.7,50.59,6.73,2.6,57.46,9353,ph,silver
52,Nautilus,4605,2.33,48.23,6.64,9.26,43.46,8921,ph,silver
53,Malphite,4558,2.47,49.93,6.57,3.04,149.04,11549,ph,silver
54,Varus,4477,2.41,48.2,6.46,1.28,192.63,12972,ph,silver
55,Brand,4369,2.18,52.6,6.3,4.63,92.12,10837,ph,silver
56,Gragas,4348,2.29,49.75,6.27,1.78,167.57,11616,ph,silver
57,Dr. Mundo,4333,2.1,52.9,6.25,6.32,186.3,12171,ph,silver
58,Sett,4181,1.78,50.68,6.03,1.8,178.42,12595,ph,silver
59,Blitzcrank,4178,2.41,49.33,6.03,15.5,31.98,8681,ph,silver
60,Diana,4146,2.16,53.23,5.98,1.64,194.13,13314,ph,silver
61,Yorick,4096,1.95,55.27,5.91,12.72,214.64,13467,ph,silver
62,Cho'Gath,4093,2.27,52.8,5.9,2.88,171.25,12333,ph,silver
63,Nasus,4065,2.09,51.69,5.86,5.35,192.47,12770,ph,silver
64,Trundle,4007,1.74,52.61,5.78,3.65,196.18,13195,ph,silver
65,Garen,3993,2.14,50.26,5.76,2.88,207.76,13460,ph,silver
66,Leona,3957,2.41,50.69,5.71,5.93,33.43,8740,ph,silver
67,Samira,3932,2.22,48.04,5.67,16.08,189.21,13667,ph,silver
68,Sion,3873,1.53,50.48,5.59,2.28,200.48,13215,ph,silver
69,Hwei,3870,2.54,50.47,5.58,4.37,156.12,11605,ph,silver
70,Xerath,3793,3.05,51.2,5.47,3.47,109.6,11194,ph,silver
71,Irelia,3767,1.79,51.47,5.43,5.41,226.65,13917,ph,silver
72,Nami,3731,3.27,52.16,5.38,0.67,27.12,8547,ph,silver
73,Malzahar,3703,2.42,53.66,5.34,6.78,214.75,13148,ph,silver
74,Soraka,3691,2.93,53.16,5.32,4.42,28.44,8200,ph,silver
75,Tristana,3656,2.35,46.25,5.27,1.44,186.99,13309,ph,silver
76,Poppy,3579,2.27,48.87,5.16,2.07,85.98,10244,ph,silver
77,Udyr,3515,2.13,49.1,5.07,3.26,185.88,12312,ph,silver
78,Nunu & Willump,3474,2.41,49.48,5.01,1.21,158.97,11768,ph,silver
79,Illaoi,3325,1.68,53.8,4.8,14.62,191.91,12523,ph,silver
80,Briar,3279,2.13,52.52,4.73,8.76,177.12,13246,ph,silver
81,Wukong,3262,2.66,53.8,4.7,1.14,177.5,12562,ph,silver
82,Amumu,3221,2.55,53.77,4.65,2.07,163.8,11821,ph,silver
83,Zyra,3148,2.4,51.4,4.54,2.95,77.32,10278,ph,silver
84,Jayce,3115,1.99,47.06,4.49,0.58,196.37,12892,ph,silver
85,Vel'Koz,3062,2.46,53.04,4.42,1.57,85.24,10780,ph,silver
86,Xayah,2980,2.54,50.44,4.3,0.84,212.57,13157,ph,silver
87,Renekton,2956,2.16,53.45,4.26,2.09,201.32,13044,ph,silver
88,Lillia,2922,2.53,50,4.21,3.42,187.37,12664,ph,silver
89,Fizz,2879,2.39,50.85,4.15,3.75,163.82,13133,ph,silver
90,Aurora,2872,2.52,49.2,4.14,14.79,177.34,12000,ph,silver
91,Sivir,2872,2.59,51.98,4.14,0.8,231.37,13240,ph,silver
92,Maokai,2834,2.55,50.42,4.09,0.92,103.04,10170,ph,silver
93,Rakan,2833,2.74,51.68,4.09,0.85,32.95,8515,ph,silver
94,Sona,2791,2.87,52.06,4.02,0.23,30.36,8688,ph,silver
95,Kayle,2736,2.02,52.96,3.95,0.88,220.02,13275,ph,silver
96,Twitch,2723,2.31,46.38,3.93,1.79,170.01,13255,ph,silver
97,Gwen,2715,1.79,50.06,3.92,2.13,195.72,12966,ph,silver
98,Syndra,2619,2.48,50.78,3.78,1.7,183.74,12700,ph,silver
99,Braum,2596,2.79,49.42,3.74,1.94,29.83,8534,ph,silver
100,Zoe,2560,2.51,46.88,3.69,2.2,132.21,11436,ph,silver
101,Shen,2484,3,50.76,3.58,0.7,132.04,10834,ph,silver
102,Neeko,2445,2.32,49.08,3.53,2.11,84.17,10336,ph,silver
103,Jarvan IV,2434,3.14,51.68,3.51,0.77,167.3,12235,ph,silver
104,Yuumi,2414,4.55,44.82,3.48,2.95,15.99,8185,ph,silver
105,Xin Zhao,2394,2.23,50.5,3.45,0.57,174.49,12253,ph,silver
106,Tryndamere,2393,1.77,49.64,3.45,1.71,220.5,13569,ph,silver
107,Sejuani,2360,2.88,50.13,3.4,1.05,165.12,11525,ph,silver
108,Renata Glasc,2360,2.63,50.81,3.4,2.29,36.47,8855,ph,silver
109,Vex,2340,2.65,52.39,3.37,3.91,176.83,12419,ph,silver
110,Rengar,2338,1.83,43.54,3.37,1.68,180.07,12524,ph,silver
111,Vladimir,2319,2.11,48.86,3.34,2.58,187.63,12176,ph,silver
112,Gangplank,2294,2.16,46.6,3.31,1.6,206.72,14375,ph,silver
113,Kindred,2285,2.09,47.88,3.3,1.17,182.54,12957,ph,silver
114,Aphelios,2259,2.02,48.38,3.26,1.16,190.07,12837,ph,silver
115,Corki,2247,2.59,49.58,3.24,1.03,210.02,13361,ph,silver
116,Fiddlesticks,2183,2.48,51.99,3.15,0.96,161.86,12240,ph,silver
117,Azir,2169,2.04,47.26,3.13,0.88,197.45,12421,ph,silver
118,Talon,2165,2.22,47.44,3.12,0.67,183.05,12965,ph,silver
119,Milio,2162,3.61,52.59,3.12,2.07,30.34,8275,ph,silver
120,Draven,2140,2.15,47.2,3.09,4.74,193.23,14174,ph,silver
121,Orianna,2138,2.84,51.59,3.08,0.56,181.53,12104,ph,silver
122,K'Sante,2120,1.88,45,3.06,4.58,176.55,11584,ph,silver
123,Gnar,2100,1.92,47.86,3.03,0.58,179.75,12287,ph,silver
124,Skarner,2094,2.7,49.19,3.02,6.89,149.91,10985,ph,silver
125,Heimerdinger,2039,2.03,53.65,2.94,1.67,173.26,12181,ph,silver
126,Fiora,2007,1.6,46.34,2.89,2.23,188.21,12541,ph,silver
127,Alistar,1992,2.42,47.24,2.87,1.8,32.21,8503,ph,silver
128,Ryze,1934,2.5,52.38,2.79,0.26,209.1,12890,ph,silver
129,Urgot,1922,2.06,50.26,2.77,1.26,193.61,13225,ph,silver
130,Ziggs,1922,2.74,52.13,2.77,1.46,184.8,12566,ph,silver
131,Kog'Maw,1916,2.32,51.1,2.76,0.98,188.05,13037,ph,silver
