Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"781,448",2.17:1,50.14%,26.02%,32.59%,206.66,"12,771"
2,Jhin,"662,120",2.84:1,50.65%,22.04%,6.5%,198.46,"12,892"
3,Jinx,"627,168",2.34:1,50.63%,20.88%,4.36%,207.36,"12,404"
4,Ashe,"514,006",2.38:1,50.04%,17.11%,14.94%,187.95,"11,654"
5,Lux,"488,907",2.58:1,50.8%,16.28%,9.15%,104.04,"10,342"
6,Lee Sin,"478,792",2.74:1,49.28%,15.94%,10.98%,161.6,"11,645"
7,Viktor,"478,270",2.17:1,51.15%,15.92%,23.14%,201.1,"11,982"
8,Ezreal,"474,824",2.53:1,48.74%,15.81%,4.59%,197.52,"12,128"
9,Viego,"418,122",2.57:1,50.31%,13.92%,9.76%,179.56,"12,206"
10,Sylas,"418,006",2.1:1,49.31%,13.92%,14.79%,149.1,"10,933"
11,Graves,"409,029",2.47:1,50.03%,13.62%,18.34%,203.2,"13,219"
12,Yone,"398,053",1.65:1,47.91%,13.25%,13.02%,208.97,"11,942"
13,Thresh,"395,917",2.72:1,50.12%,13.18%,5.51%,32.12,"8,191"
14,Kai'Sa,"364,878",2.44:1,48.81%,12.15%,2.38%,208.33,"12,838"
15,Yasuo,"364,455",1.62:1,48.82%,12.13%,19.19%,211.55,"12,194"
16,Lulu,"356,024",3.35:1,51.35%,11.85%,14.7%,28.92,"8,020"
17,Warwick,"339,779",2.27:1,53.21%,11.31%,21.14%,169.34,"12,139"
18,Ahri,"337,616",2.64:1,51.08%,11.24%,6.14%,191.92,"11,607"
19,Tahm Kench,"328,569",2.49:1,52.49%,10.94%,14.31%,90.54,"9,875"
20,Smolder,"321,196",2.15:1,47.45%,10.69%,5.44%,217.07,"12,383"
21,Swain,"299,557",2.35:1,49.96%,9.97%,8.05%,126.36,"10,467"
22,Maokai,"280,711",2.49:1,51.81%,9.35%,5.09%,121.49,"9,564"
23,Kayn,"273,853",2.34:1,51.11%,9.12%,6.01%,185.47,"12,366"
24,Ekko,"271,219",2.51:1,50.48%,9.03%,1.52%,183.16,"12,474"
25,Ambessa,"265,695",1.95:1,49.12%,8.85%,48.98%,181.48,"11,649"
