Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"77,518",2.23:1,50.34%,27.68%,38.3%,188.27,"12,782"
2,Lux,"70,443",2.77:1,51.48%,25.15%,26.4%,102.1,"10,683"
3,Jinx,"63,803",2.38:1,50.54%,22.78%,8.74%,190.19,"12,467"
4,Jhin,"60,358",2.76:1,50.67%,21.55%,15.56%,181.75,"12,955"
5,Miss Fortune,"49,539",2.51:1,51.91%,17.69%,6.58%,178.26,"12,893"
6,Warwick,"46,496",2.15:1,53.14%,16.6%,28.02%,159.93,"12,365"
7,Viktor,"43,614",2.27:1,50.82%,15.57%,15.96%,182.7,"12,049"
8,Yasuo,"36,347",1.7:1,50.01%,12.98%,22.37%,198.37,"12,450"
9,Nami,"36,194",3.36:1,52.34%,12.92%,1.95%,26.66,"8,400"
10,Diana,"35,447",2.1:1,51.25%,12.66%,4.6%,193.21,"13,078"
11,Yone,"35,177",1.77:1,49.25%,12.56%,11.04%,194.67,"12,298"
12,Ashe,"34,966",2.3:1,48.82%,12.49%,3.71%,166.3,"11,686"
13,Morgana,"34,373",2.67:1,50.79%,12.27%,30.34%,66.23,"9,916"
14,Teemo,"33,974",1.97:1,51.46%,12.13%,22.16%,167.1,"12,014"
15,Kayn,"33,552",2.17:1,50.34%,11.98%,7.92%,175.85,"12,463"
16,Mordekaiser,"33,381",1.97:1,52.52%,11.92%,22.53%,168.1,"12,037"
17,Ahri,"31,840",2.59:1,50.4%,11.37%,5.43%,171.92,"11,563"
18,Kai'Sa,"30,848",2.34:1,47.36%,11.01%,2.88%,194.7,"12,924"
19,Swain,"30,213",2.34:1,49.74%,10.79%,6.73%,106.99,"10,548"
20,Yuumi,"28,994",4.97:1,49.54%,10.35%,13.18%,15.24,"8,175"
21,Volibear,"28,006",1.99:1,51.22%,10%,7.27%,165.8,"11,656"
22,Veigar,"27,522",2.37:1,52.11%,9.83%,8.22%,176.23,"12,390"
23,Viego,"27,503",2.32:1,51%,9.82%,9.46%,176.12,"12,623"
24,Smolder,"27,328",2.27:1,47.96%,9.76%,4.11%,203.18,"12,508"
25,Nocturne,"26,775",2.5:1,52.94%,9.56%,17.53%,181.67,"12,641"
26,Tahm Kench,"26,659",2.48:1,52.03%,9.52%,7.33%,102.79,"10,517"
27,Hwei,"26,487",2.46:1,49.76%,9.46%,5.92%,162.68,"11,504"
28,Katarina,"25,992",2.3:1,48.7%,9.28%,17%,160.19,"12,536"
29,Darius,"25,967",1.8:1,49.34%,9.27%,13.72%,177.49,"12,181"
30,Sett,"25,963",1.72:1,51.53%,9.27%,4.35%,167.32,"12,134"
31,Lulu,"25,702",3.26:1,50.35%,9.18%,8.36%,30.78,"8,322"
32,Akali,"25,607",2.29:1,48.81%,9.14%,12.19%,155.6,"11,866"
33,Seraphine,"25,385",2.73:1,49.14%,9.06%,2.8%,62.26,"9,454"
34,Ezreal,"25,311",2.51:1,46.88%,9.04%,3.12%,178.79,"12,130"
35,Malzahar,"25,240",2.21:1,51.48%,9.01%,15.07%,214.2,"12,805"
36,Ekko,"24,079",2.36:1,50.15%,8.6%,1.73%,170.03,"12,576"
37,Briar,"23,954",2.07:1,51.93%,8.55%,14.65%,165.65,"12,666"
38,Malphite,"23,233",2.53:1,50.44%,8.3%,7.2%,154.4,"11,253"
39,Shaco,"23,222",2.56:1,49.12%,8.29%,23.83%,147,"12,133"
40,Soraka,"22,888",2.95:1,51.58%,8.17%,5.24%,28.02,"8,003"
41,Zyra,"22,847",2.32:1,51.15%,8.16%,13.62%,75.13,"10,007"
42,Master Yi,"22,085",1.93:1,50.29%,7.89%,15.6%,174.74,"12,807"
43,Ambessa,"22,026",1.93:1,48.19%,7.86%,30.56%,171.54,"11,887"
44,Zed,"21,396",2.35:1,49.35%,7.64%,26.61%,175.5,"12,702"
45,Pyke,"21,280",2.11:1,49.15%,7.6%,23.66%,40.12,"10,309"
46,Milio,"20,893",3.74:1,51.78%,7.46%,3.25%,29.6,"8,134"
47,Leona,"19,831",2.41:1,49.13%,7.08%,9.13%,34.23,"8,668"
48,Thresh,"19,822",2.54:1,48.13%,7.08%,2%,38.35,"8,706"
49,Sylas,"19,736",2.07:1,48.98%,7.05%,5.15%,138.24,"11,272"
50,Amumu,"19,518",2.37:1,51.56%,6.97%,5.37%,157.96,"11,403"
51,Vayne,"19,399",2.13:1,51.1%,6.93%,4.22%,175.05,"12,513"
52,Vi,"19,389",2.25:1,49.58%,6.92%,2.04%,165.03,"11,885"
53,Samira,"19,347",2.06:1,47.61%,6.91%,19.49%,178.73,"13,156"
54,Brand,"18,941",2.02:1,50.67%,6.76%,4.38%,102.49,"10,776"
55,Irelia,"18,823",1.7:1,49.76%,6.72%,8.15%,214.21,"13,334"
56,Garen,"18,544",2.02:1,49.81%,6.62%,3.52%,192.6,"12,670"
57,Pantheon,"17,966",2.11:1,49.85%,6.41%,2.38%,112.53,"11,444"
58,Nautilus,"17,769",2.32:1,47.75%,6.34%,7.82%,41.02,"8,772"
59,Dr. Mundo,"17,754",2.11:1,53.14%,6.34%,4.04%,175.24,"11,700"
60,Nasus,"17,706",2.02:1,50.82%,6.32%,6.83%,176.68,"12,046"
61,Senna,"17,679",2.73:1,48.31%,6.31%,1.25%,54.76,"10,076"
62,Aatrox,"17,463",1.88:1,49.1%,6.24%,9.93%,169.13,"11,623"
63,Yorick,"16,726",1.81:1,53.2%,5.97%,8.94%,199.73,"12,818"
64,Vex,"16,587",2.42:1,50.44%,5.92%,9.06%,166.07,"11,750"
65,Xerath,"16,420",2.9:1,50.32%,5.86%,3.89%,121.21,"11,151"
66,Aphelios,"16,219",1.97:1,48.87%,5.79%,2.6%,185.76,"12,580"
67,Jax,"16,057",1.77:1,48.22%,5.73%,4.19%,169,"12,128"
68,Cho'Gath,"15,808",2.12:1,50.68%,5.64%,1.31%,162.07,"11,743"
