Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,15075,2.29,50.96,29.95,36.52,179.64,12731,ru,bronze
2,Lux,14415,2.84,52.72,28.64,37.75,98.18,10803,ru,bronze
3,Miss Fortune,11711,2.57,52.76,23.27,10.03,174.01,12986,ru,bronze
4,Jinx,11344,2.4,50.05,22.54,9,179.51,12380,ru,bronze
5,Jhin,11177,2.76,50.71,22.21,19.81,171.67,12927,ru,bronze
6,Warwick,8947,2.14,53.45,17.78,33.41,158.06,12543,ru,bronze
7,Morgana,7762,2.74,51.75,15.42,33.12,67.77,10114,ru,bronze
8,Teemo,7636,2.06,53.52,15.17,29.84,165.69,12206,ru,bronze
9,Diana,7008,2.1,51.23,13.92,4.99,191.67,13273,ru,bronze
10,Viktor,6812,2.27,51.35,13.53,12.69,168.21,11864,ru,bronze
11,Yone,6725,1.84,49.61,13.36,10.9,185.46,12299,ru,bronze
12,Yasuo,6621,1.69,49.09,13.16,22.29,190.39,12414,ru,bronze
13,Mordekaiser,6602,2.03,52.88,13.12,25.47,163.13,12197,ru,bronze
14,Ashe,6571,2.34,48.79,13.06,3.5,158.06,11714,ru,bronze
15,Kayn,6531,2.13,50.56,12.98,8.52,171.82,12541,ru,bronze
16,Veigar,6268,2.41,52.81,12.45,12.15,170.87,12494,ru,bronze
17,Swain,6095,2.37,51.45,12.11,8.77,97.68,10550,ru,bronze
18,Ahri,5794,2.61,51.47,11.51,6.33,165.57,11593,ru,bronze
19,Seraphine,5372,2.74,49.4,10.67,3.97,59.52,9598,ru,bronze
20,Tahm Kench,5282,2.56,52.9,10.49,8.13,96.8,10660,ru,bronze
21,Kai'Sa,5271,2.31,47.09,10.47,2.88,186.86,12974,ru,bronze
22,Akali,5200,2.26,48.02,10.33,13.67,147.81,11854,ru,bronze
23,Volibear,5155,2.01,51.04,10.24,7.28,160.93,11651,ru,bronze
24,Nocturne,5108,2.44,53.56,10.15,17.03,179.1,12845,ru,bronze
25,Sett,4985,1.77,53.22,9.9,5.74,162.78,12178,ru,bronze
26,Malzahar,4957,2.32,52.79,9.85,16.68,213.19,13103,ru,bronze
27,Yuumi,4843,5.06,49.87,9.62,9.17,15.11,8297,ru,bronze
28,Ekko,4715,2.31,50.14,9.37,1.7,162.19,12516,ru,bronze
29,Briar,4570,2.06,52.93,9.08,16.88,160.23,12768,ru,bronze
30,Zyra,4530,2.35,52.14,9,14.19,78.47,10301,ru,bronze
31,Katarina,4512,2.36,49,8.96,17.03,153.34,12564,ru,bronze
32,Darius,4491,1.77,47.65,8.92,12.6,167.09,12011,ru,bronze
33,Nami,4444,3.33,50.61,8.83,1.51,27.15,8547,ru,bronze
34,Master Yi,4420,1.95,51.18,8.78,17.83,176.12,13073,ru,bronze
35,Shaco,4395,2.55,47.99,8.73,25.58,145.92,12274,ru,bronze
36,Malphite,4390,2.53,50.32,8.72,4.73,148.67,11353,ru,bronze
37,Viego,4253,2.22,50.86,8.45,7.38,169.35,12571,ru,bronze
38,Smolder,4213,2.34,49.39,8.37,3.29,191.45,12463,ru,bronze
39,Ezreal,4162,2.52,46.88,8.27,3,163.49,11945,ru,bronze
40,Hwei,4149,2.5,49.1,8.24,4.55,151.98,11472,ru,bronze
41,Brand,4001,2.06,50.89,7.95,5.77,99.83,10900,ru,bronze
42,Pantheon,3923,2.15,51.59,7.79,2.67,106.14,11479,ru,bronze
43,Yorick,3905,1.88,55.03,7.76,12.27,194.71,12874,ru,bronze
44,Leona,3897,2.45,49.81,7.74,9.45,35.75,8845,ru,bronze
45,Pyke,3844,2.08,47.81,7.64,25.21,41.3,10448,ru,bronze
46,Nasus,3819,2.06,51.95,7.59,6.6,172.46,12128,ru,bronze
47,Soraka,3802,3.04,51.58,7.55,4.22,28.61,8152,ru,bronze
48,Cho'Gath,3688,2.2,51.95,7.33,2.01,156.33,11751,ru,bronze
49,Amumu,3661,2.42,53.02,7.27,5.14,156.78,11591,ru,bronze
50,Garen,3598,2.06,50.31,7.15,3.38,186.62,12754,ru,bronze
51,Samira,3583,2.06,47.11,7.12,24.55,169.48,13162,ru,bronze
52,Tristana,3583,2.16,47.14,7.12,4.4,166.18,12963,ru,bronze
53,Vi,3529,2.25,49.14,7.01,2.12,164.28,12062,ru,bronze
54,Senna,3521,2.75,48.34,7,1.42,62.69,10432,ru,bronze
55,Dr. Mundo,3493,2.17,52.99,6.94,4.75,167.84,11741,ru,bronze
56,Vex,3303,2.47,52.8,6.56,8.93,162.65,11829,ru,bronze
57,Sylas,3213,2.04,47.37,6.38,4.51,126.32,11230,ru,bronze
58,Zed,3166,2.3,47.69,6.29,22.71,162.21,12515,ru,bronze
59,Ambessa,3155,1.92,46.56,6.27,22.15,164.74,11846,ru,bronze
60,Irelia,3105,1.72,49.08,6.17,6.51,209.43,13439,ru,bronze
61,Nautilus,3075,2.32,47.58,6.11,6.08,40.2,8905,ru,bronze
62,Vayne,3056,2.08,50.26,6.07,3.53,162.24,12369,ru,bronze
63,Xerath,3051,2.92,49.98,6.06,4.58,116.15,11158,ru,bronze
64,Twitch,2999,2.23,47.98,5.96,6.93,152.21,12877,ru,bronze
65,Jax,2997,1.86,50.72,5.95,2.99,165.8,12330,ru,bronze
66,Neeko,2926,2.26,49.04,5.81,1.67,98.22,10486,ru,bronze
67,Thresh,2849,2.42,46.82,5.66,1.25,42.67,8983,ru,bronze
68,Illaoi,2761,1.65,52.81,5.49,19.98,173.06,11928,ru,bronze
69,Trundle,2741,1.74,52.35,5.45,2.02,176.48,12585,ru,bronze
70,Lulu,2656,3.11,47.63,5.28,2.34,34.33,8557,ru,bronze
71,Fizz,2565,2.41,50.45,5.1,11.17,152.81,12914,ru,bronze
72,Varus,2559,2.28,48.34,5.08,1.42,174.18,12550,ru,bronze
