Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Yone,60,1.81,45,55.92,17.23,225.23,12638,ru,challenger
2,Zed,45,2.39,51.11,41.1,34.6,204.27,12993,ru,challenger
3,Graves,45,2.61,57.78,44.51,30.32,212.18,13740,ru,challenger
4,Viktor,42,3.04,59.52,44.54,32.2,223.86,12992,ru,challenger
5,Blitzcrank,34,2.91,52.94,33.86,18.22,20.59,7911,ru,challenger
6,Elise,33,3.46,69.7,32.71,9.39,163.09,12372,ru,challenger
7,Corki,32,1.89,50,32.75,11.93,156.28,11828,ru,challenger
8,Kayn,29,4.2,72.41,30.43,8.99,192.9,13191,ru,challenger
9,Draven,26,2.37,53.85,25.12,53.44,216.73,15146,ru,challenger
10,Mordekaiser,23,2.46,47.83,24.39,9.76,194.35,12061,ru,challenger
11,Jayce,22,2.17,54.55,35.6,3.89,216.82,13677,ru,challenger
12,Aurora,21,3.64,76.19,20.75,12.69,202.38,12883,ru,challenger
13,Veigar,20,3.12,75,40.82,0.61,220.75,12593,ru,challenger
14,Ezreal,18,2.31,44.44,22.06,3.92,175.44,11128,ru,challenger
15,Viego,18,2.77,50,20.48,9.14,168.83,11603,ru,challenger
16,Vladimir,17,2.68,41.18,19.52,10.48,212.35,12868,ru,challenger
17,Ambessa,17,2.34,47.06,16.98,50.65,186.76,11796,ru,challenger
18,Lee Sin,17,3.38,58.82,22.52,6.09,204.24,13587,ru,challenger
19,Yasuo,15,1.58,40,15.15,17.41,199.73,11286,ru,challenger
20,Diana,15,2.76,46.67,30.49,3.09,214.4,12900,ru,challenger
21,Vi,15,3.9,53.33,26.83,3.84,169.07,11729,ru,challenger
22,Yuumi,13,4,30.77,13.5,19.11,5.92,6541,ru,challenger
23,Rengar,13,2.59,38.46,13.58,9.2,196.92,14567,ru,challenger
24,Sylas,13,2.45,61.54,13.51,9.98,165.08,11435,ru,challenger
25,Ashe,11,1.66,27.27,17.43,4.28,174.45,10186,ru,challenger
