Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Nami,1637,3.24,50.64,23.3,2.98,24.43,7917,ru,diamond
2,Lulu,1408,3.5,52.27,20.04,26.91,29.47,7961,ru,diamond
3,Jinx,1403,2.31,48.11,19.97,5.71,205.66,12015,ru,diamond
4,Viktor,1396,2.19,51.22,19.87,23.55,201.92,11945,ru,diamond
5,Caitlyn,1355,2.04,48.63,19.29,38.96,200.37,12349,ru,diamond
6,Jhin,1344,2.68,51.41,19.13,3.5,196.84,12568,ru,diamond
7,Lux,1017,2.74,49.26,14.48,2,129.36,10475,ru,diamond
8,Yuumi,983,4.54,49.14,13.99,27.57,15.04,7593,ru,diamond
9,Milio,927,3.49,50.16,13.2,9.19,25.28,7552,ru,diamond
10,Smolder,915,2,44.7,13.03,5.15,216.36,12195,ru,diamond
11,Viego,872,2.53,49.66,12.41,11.64,176.62,12161,ru,diamond
12,Zed,856,2.45,54.32,12.19,29.91,193.29,12617,ru,diamond
13,Ezreal,846,2.44,45.74,12.04,2.49,197.8,11952,ru,diamond
14,Yone,816,1.62,46.81,11.62,13.53,205.3,11733,ru,diamond
15,Kayn,815,2.39,50.55,11.6,6.26,183.9,12353,ru,diamond
16,Hwei,801,2.38,48.44,11.4,7.45,184,11531,ru,diamond
17,Warwick,796,2.26,51.76,11.36,21.41,174.4,12065,ru,diamond
18,Graves,784,2.51,49.36,11.16,19.77,205.26,13288,ru,diamond
19,Sylas,753,2.19,50.6,10.72,9.72,157.29,11274,ru,diamond
20,Mordekaiser,749,1.68,51.27,10.66,10.76,178.25,11183,ru,diamond
21,Ashe,742,2.33,50.81,10.56,2.75,186.94,11529,ru,diamond
22,Yasuo,725,1.68,50.34,10.32,20.78,211.06,11994,ru,diamond
23,Ambessa,671,1.86,49.18,9.55,46.29,178.72,11527,ru,diamond
24,Soraka,666,2.95,50.6,9.48,7.69,27.24,7532,ru,diamond
25,Aatrox,663,1.79,46.15,9.44,14,176.65,11240,ru,diamond
26,Kai'Sa,662,2.31,43.96,9.42,2.21,207.17,12525,ru,diamond
27,Pyke,651,2.44,51.77,9.27,27.79,38.47,9867,ru,diamond
28,Janna,641,3.3,49.77,9.13,4.62,26.55,7998,ru,diamond
29,Ahri,633,2.63,48.97,9.01,3.99,188.97,11310,ru,diamond
30,Irelia,609,1.63,51.07,8.67,15.64,224.3,12987,ru,diamond
31,Draven,604,2.02,51.99,8.6,47.75,201.92,13845,ru,diamond
32,Katarina,586,2.53,48.63,8.34,11.19,173.27,12448,ru,diamond
33,Jax,584,1.71,51.37,8.31,9.29,178.21,11534,ru,diamond
34,Corki,576,2.35,49.48,8.2,9.12,210.77,12778,ru,diamond
35,Kha'Zix,576,2.72,54.51,8.22,7.72,186.89,12561,ru,diamond
36,Darius,572,1.67,52.27,8.14,9.72,195.26,12069,ru,diamond
37,Syndra,561,2.3,50.27,7.99,7.98,201.22,12082,ru,diamond
38,Talon,556,2.26,51.62,7.92,4.49,198.64,12914,ru,diamond
39,Diana,549,2.35,55.92,7.82,2.68,196.18,12545,ru,diamond
40,Seraphine,546,2.72,46.52,7.79,0.37,91.67,9203,ru,diamond
41,Thresh,540,2.78,47.22,7.7,2.84,31.35,8092,ru,diamond
42,Samira,535,2.12,50.28,7.62,9.72,191.18,13037,ru,diamond
43,Vayne,533,2.15,49.53,7.6,4.7,190.65,12146,ru,diamond
44,Nautilus,526,2.34,49.24,7.49,7.29,51.89,8451,ru,diamond
45,Vel'Koz,521,2.37,51.82,7.45,0.54,102.81,10241,ru,diamond
46,Riven,511,2.08,53.62,7.29,3.88,194.67,12003,ru,diamond
47,Akali,510,2.3,48.82,7.26,9.05,168.54,11348,ru,diamond
48,Volibear,509,1.98,50.29,7.25,6.65,166.26,10885,ru,diamond
49,K'Sante,503,1.99,45.73,7.16,10.44,179.71,10789,ru,diamond
50,Tahm Kench,499,2.41,52.51,7.12,2.34,116.92,9806,ru,diamond
51,Malphite,493,2.54,49.7,7.02,13.93,172.29,10656,ru,diamond
52,Varus,488,2.15,48.16,6.95,1.96,193.19,12044,ru,diamond
53,Ekko,488,2.25,51.43,6.96,1.65,181.93,12283,ru,diamond
54,Wukong,486,2.52,49.18,6.92,3.2,170.98,11577,ru,diamond
55,Gragas,469,2.31,46.48,6.68,4.45,175.86,11344,ru,diamond
56,Gwen,466,1.88,49.57,6.63,5.73,202.6,12447,ru,diamond
57,Aurora,464,2.41,48.06,6.61,9.43,187.22,11566,ru,diamond
58,Karma,453,2.58,49.23,6.47,1.32,47.89,8526,ru,diamond
59,Miss Fortune,447,2.3,48.1,6.36,0.5,200.04,12609,ru,diamond
60,Aphelios,446,2.02,52.24,6.36,3.8,193.37,12377,ru,diamond
61,Shaco,441,2.58,50.79,6.28,12.04,145.08,11569,ru,diamond
62,Sivir,437,2.27,50.34,6.23,1.23,231.32,12700,ru,diamond
63,Lee Sin,434,2.69,48.85,6.18,2.41,158.97,11385,ru,diamond
64,Renekton,430,1.79,46.51,6.12,6.09,191.54,11623,ru,diamond
65,Xerath,430,2.89,48.14,6.12,2.42,144.21,10823,ru,diamond
66,Camille,429,1.94,50.58,6.11,2.8,173.27,11668,ru,diamond
67,Nocturne,423,2.6,47.52,6.02,7.7,185.87,11970,ru,diamond
68,Amumu,421,2.29,48.22,5.99,3.92,158.61,10699,ru,diamond
