Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5698,2.16,50.33,24.41,41.73,206.02,12934,ru,emerald
2,Jinx,5667,2.32,51.23,24.28,7.19,207.48,12578,ru,emerald
3,Jhin,4645,2.78,50.31,19.9,6.42,197.86,13006,ru,emerald
4,Lux,4555,2.8,50.25,19.51,7.12,124.01,10767,ru,emerald
5,Nami,4300,3.36,52.88,18.42,2.14,26.14,8225,ru,emerald
6,Viktor,4205,2.25,51.03,18.02,21.03,198.72,12142,ru,emerald
7,Lulu,3524,3.46,52.1,15.1,21.88,28.13,8147,ru,emerald
8,Warwick,3198,2.24,52.22,13.7,21.1,166.72,12100,ru,emerald
9,Yasuo,3131,1.7,50.97,13.41,21.89,211.47,12499,ru,emerald
10,Yone,3119,1.72,50.82,13.36,11.15,211.27,12380,ru,emerald
11,Ahri,2927,2.6,49.71,12.54,4.52,187.73,11687,ru,emerald
12,Smolder,2923,2.24,49.26,12.52,5.08,215.32,12523,ru,emerald
13,Kai'Sa,2901,2.39,48.6,12.43,3.11,205.03,12802,ru,emerald
14,Milio,2799,3.78,51.95,11.99,7.56,27.21,7904,ru,emerald
15,Ashe,2576,2.34,49.69,11.04,3.03,187.71,11864,ru,emerald
16,Kayn,2574,2.34,50.43,11.03,5.26,186.51,12426,ru,emerald
17,Viego,2546,2.46,50.82,10.91,11.45,181.32,12515,ru,emerald
18,Zed,2506,2.5,51.28,10.74,31.55,192.53,12972,ru,emerald
19,Yuumi,2468,4.63,48.66,10.57,23.57,15.81,7908,ru,emerald
20,Hwei,2452,2.44,50.86,10.5,7.92,188.9,11815,ru,emerald
21,Diana,2419,2.08,49.9,10.36,3.77,198.04,12770,ru,emerald
22,Volibear,2342,2.1,50.26,10.03,5.45,174.08,11628,ru,emerald
23,Aatrox,2312,1.95,51.25,9.91,14.85,181.55,11760,ru,emerald
24,Ezreal,2264,2.46,47.22,9.7,3.82,197.62,12318,ru,emerald
25,Ekko,2237,2.42,50.51,9.58,2.35,185.76,12842,ru,emerald
26,Briar,2178,2.14,49.86,9.33,10.3,178.92,12567,ru,emerald
27,Ambessa,2177,1.96,49.52,9.33,43.52,178.77,11864,ru,emerald
28,Mordekaiser,2130,1.87,51.92,9.13,15.8,183.71,11943,ru,emerald
29,Katarina,2108,2.26,48.2,9.03,15.07,169.74,12524,ru,emerald
30,Soraka,2075,2.97,51.61,8.89,7.01,26.28,7756,ru,emerald
31,Pyke,2032,2.25,51.72,8.71,25.97,37.28,10160,ru,emerald
32,Sylas,2018,2.16,51.24,8.65,6.72,149.42,11319,ru,emerald
33,Tahm Kench,2003,2.36,52.87,8.58,5.24,108.86,10227,ru,emerald
34,Thresh,1998,2.8,50.95,8.57,3.16,34.33,8458,ru,emerald
35,Miss Fortune,1975,2.33,49.37,8.47,1.47,197.03,12847,ru,emerald
36,Vayne,1901,2.18,52.92,8.14,5.14,191.4,12516,ru,emerald
37,Swain,1892,2.3,48.1,8.11,3.25,128.44,10639,ru,emerald
38,Nocturne,1884,2.57,53.29,8.07,15.51,183.07,12175,ru,emerald
39,Darius,1857,1.76,50.89,7.96,12.56,190.05,12098,ru,emerald
40,Akali,1855,2.36,51.11,7.95,9.93,173.59,11910,ru,emerald
41,Malzahar,1825,2.12,51.07,7.82,10.14,220.78,12552,ru,emerald
42,Irelia,1685,1.68,53,7.22,13,231.85,13691,ru,emerald
43,Malphite,1677,2.51,52,7.18,11.27,169.83,11093,ru,emerald
44,Janna,1649,3.29,51.79,7.06,1.95,28.28,8174,ru,emerald
45,Karma,1645,2.72,49.67,7.05,1.75,48.43,8758,ru,emerald
46,Jayce,1635,1.84,44.89,7,0.89,199.24,12303,ru,emerald
47,Aphelios,1627,2,48.99,6.97,2.89,199.73,12685,ru,emerald
48,Vi,1583,2.5,50.98,6.78,1.94,175.79,12002,ru,emerald
