Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,14256,2.23,50.42,27.51,39.92,198.25,13047,ru,gold
2,Lux,12611,2.77,52,24.34,21.17,104.9,10752,ru,gold
3,Jinx,11772,2.43,51.68,22.72,8.79,201.52,12797,ru,gold
4,Jhin,11674,2.85,51.44,22.53,14.28,190.81,13245,ru,gold
5,Viktor,9273,2.32,51.78,17.89,17.42,189.75,12304,ru,gold
6,Miss Fortune,7975,2.53,52.24,15.39,3.98,190.93,13128,ru,gold
7,Warwick,7930,2.18,53.54,15.3,23.68,164.76,12482,ru,gold
8,Nami,7437,3.45,53.84,14.35,2.34,26.99,8478,ru,gold
9,Yasuo,6731,1.69,50.01,12.99,22.7,207.16,12683,ru,gold
10,Diana,6670,2.14,52.07,12.87,4.62,198.99,13242,ru,gold
11,Yone,6283,1.74,50.14,12.12,10.73,205.07,12609,ru,gold
12,Kayn,5991,2.23,51.94,11.56,7.97,181.15,12619,ru,gold
13,Lulu,5823,3.23,49.7,11.24,9.88,30.4,8340,ru,gold
14,Kai'Sa,5814,2.37,47.54,11.22,2.83,202,13132,ru,gold
15,Ashe,5749,2.34,49.23,11.09,3.61,175.38,11896,ru,gold
16,Katarina,5650,2.31,48.8,10.9,19.04,165.22,12748,ru,gold
17,Ahri,5620,2.66,51.74,10.85,4.83,179.24,11845,ru,gold
18,Teemo,5594,1.97,51.75,10.8,18.38,173.01,12145,ru,gold
19,Viego,5568,2.4,52.5,10.74,11.08,181.17,12876,ru,gold
20,Swain,5529,2.34,50.5,10.67,5.57,112.76,10635,ru,gold
21,Mordekaiser,5432,1.98,53.7,10.48,22.34,176.31,12248,ru,gold
22,Yuumi,5413,5,50.34,10.45,13.68,16.04,8222,ru,gold
23,Morgana,5348,2.69,51.59,10.32,32.22,64.78,9886,ru,gold
24,Smolder,5330,2.25,48.54,10.29,4.86,212.06,12761,ru,gold
25,Hwei,5301,2.5,50.65,10.23,6.51,167.26,11768,ru,gold
26,Tahm Kench,5195,2.56,53.46,10.03,8.26,107.1,10633,ru,gold
27,Darius,5187,1.88,50.57,10.01,15.95,186.76,12489,ru,gold
28,Volibear,5161,2.01,52.76,9.96,7.87,172.59,11952,ru,gold
29,Malzahar,5084,2.2,52.46,9.81,16.56,217.51,12818,ru,gold
30,Ezreal,4932,2.53,47.85,9.52,3.11,186.76,12364,ru,gold
31,Akali,4768,2.3,50.06,9.2,11.77,163.49,12108,ru,gold
32,Nocturne,4700,2.59,54.4,9.07,20.22,185.41,12720,ru,gold
33,Sett,4558,1.7,50.26,8.8,3.87,177.13,12397,ru,gold
34,Shaco,4546,2.63,49.23,8.77,25.97,153.01,12308,ru,gold
35,Malphite,4461,2.59,51.11,8.61,8.16,160.14,11407,ru,gold
36,Veigar,4458,2.35,52.42,8.6,5.43,187.17,12625,ru,gold
37,Ambessa,4425,1.96,48.84,8.54,34.78,177.01,12194,ru,gold
38,Milio,4418,3.74,50.86,8.53,3.43,29.11,8126,ru,gold
39,Zyra,4328,2.29,50.55,8.35,16.07,71.84,9923,ru,gold
40,Ekko,4122,2.39,51.55,7.95,1.54,177.04,12833,ru,gold
41,Soraka,4017,2.89,51.36,7.75,5.86,28.12,8037,ru,gold
42,Vayne,4011,2.15,51.18,7.74,4.67,180.45,12617,ru,gold
43,Thresh,3996,2.58,48.6,7.71,2.18,37.53,8744,ru,gold
44,Briar,3963,2.15,51.63,7.65,14.58,171.4,12889,ru,gold
45,Zed,3939,2.32,48.59,7.6,29.99,178.54,12819,ru,gold
46,Pyke,3793,2.14,49.67,7.32,20.01,40.7,10322,ru,gold
47,Leona,3787,2.44,48.8,7.31,10.55,33.91,8626,ru,gold
48,Seraphine,3783,2.78,50.52,7.3,1.6,60.2,9394,ru,gold
49,Amumu,3768,2.42,51.88,7.27,6.01,162.07,11496,ru,gold
50,Master Yi,3585,2,50.15,6.92,14.93,179.62,12943,ru,gold
51,Samira,3498,2.05,47.77,6.75,17.87,187.62,13349,ru,gold
52,Sylas,3486,2.09,49.02,6.73,5.09,144.06,11382,ru,gold
53,Garen,3473,2.06,51.51,6.7,3.83,203.73,13098,ru,gold
54,Irelia,3390,1.71,51.53,6.54,8.26,219.58,13493,ru,gold
55,Aphelios,3333,1.97,48.96,6.43,2.73,192.53,12737,ru,gold
56,Vi,3308,2.3,49.73,6.38,2.03,169.69,12052,ru,gold
57,Nautilus,3286,2.32,47.47,6.34,9.51,40.03,8733,ru,gold
58,Aatrox,3273,1.87,49.43,6.32,11.09,173.9,11767,ru,gold
59,Pantheon,3221,2.13,50.26,6.22,2.4,121.38,11724,ru,gold
60,Senna,3219,2.79,49.46,6.21,1.11,51.42,9901,ru,gold
61,Jayce,3123,1.91,46.37,6.03,0.9,191.91,12576,ru,gold
62,Brand,3105,1.94,50.18,5.99,3.73,100.91,10746,ru,gold
63,Dr. Mundo,3082,2.08,52.89,5.95,4.19,182.76,11840,ru,gold
64,Xerath,3074,2.94,51.4,5.93,3.42,123.42,11330,ru,gold
65,Nasus,3060,2.04,51.54,5.91,7.63,184.54,12208,ru,gold
66,Karma,3030,2.68,49.27,5.85,1.41,58.76,9206,ru,gold
67,Yorick,2902,1.71,52.45,5.6,7.57,208.7,13015,ru,gold
68,Varus,2816,2.22,46.98,5.43,1.09,188.64,12757,ru,gold
69,Lee Sin,2804,2.51,47.25,5.41,2.03,163.06,12200,ru,gold
70,Vel'Koz,2786,2.46,51.01,5.38,1.54,101.2,10870,ru,gold
71,Draven,2721,2.07,50.75,5.25,20.21,191.59,13993,ru,gold
72,Shen,2688,2.92,51,5.19,0.88,129.66,10262,ru,gold
73,Jax,2677,1.77,49.42,5.17,3.95,174.39,12206,ru,gold
74,Syndra,2661,2.4,49.46,5.14,3.36,190.83,12602,ru,gold
75,Galio,2649,2.74,52.7,5.11,2.6,149.14,10802,ru,gold
76,Aurora,2642,2.42,49.39,5.1,6.65,171.97,11569,ru,gold
77,Gragas,2625,2.33,48.95,5.07,2.27,167.59,11717,ru,gold
78,Maokai,2612,2.44,50.61,5.04,0.8,105.38,9865,ru,gold
79,Kha'Zix,2608,2.41,50.27,5.03,3.52,177.65,12908,ru,gold
80,Vex,2607,2.41,50.48,5.03,8.72,176.96,12180,ru,gold
81,Graves,2574,2.34,48.56,4.97,2.23,203.13,13722,ru,gold
82,Poppy,2540,2.28,49.8,4.9,1.86,109.34,10557,ru,gold
83,Vladimir,2526,2.28,51.19,4.87,4.42,193.92,12312,ru,gold
84,Cho'Gath,2517,2.13,50.38,4.86,0.8,171.87,12019,ru,gold
85,Sivir,2472,2.49,52.14,4.77,0.77,227.57,13012,ru,gold
86,Wukong,2465,2.54,53.91,4.76,1.1,170.88,12347,ru,gold
87,Fizz,2460,2.45,52.15,4.75,11.06,167.07,13007,ru,gold
88,Ornn,2417,2.45,51.39,4.66,0.94,172.53,11322,ru,gold
89,Twitch,2392,2.41,46.99,4.62,3.71,167.99,13100,ru,gold
90,Sion,2379,1.73,50.86,4.59,0.77,192.52,12722,ru,gold
91,Xayah,2368,2.32,48.27,4.57,0.86,206.9,12939,ru,gold
92,Renekton,2332,1.91,49.23,4.5,2.84,195.32,12505,ru,gold
93,Kayle,2303,1.94,51.63,4.44,1.8,216.58,12924,ru,gold
94,Gwen,2297,1.73,50.46,4.43,3.16,191.92,12692,ru,gold
95,Blitzcrank,2287,2.48,50.33,4.41,12.67,32.02,8597,ru,gold
96,Lucian,2260,2.31,46.64,4.36,1.08,197.37,12917,ru,gold
97,Nunu & Willump,2208,2.52,49.77,4.26,0.69,156.08,11517,ru,gold
98,Trundle,2182,1.71,53.07,4.21,1.55,191.1,12844,ru,gold
99,Tristana,2178,2.22,47.66,4.2,2.09,184.37,13260,ru,gold
100,Talon,2150,2.37,50.19,4.15,0.58,186.09,13160,ru,gold
101,Lillia,2131,2.47,48.57,4.11,3.85,185.58,12411,ru,gold
102,K'Sante,2054,1.99,47.71,3.96,3.78,176.76,11396,ru,gold
103,Aurelion Sol,2051,2.77,51.88,3.96,1.28,198.27,12940,ru,gold
104,Fiddlesticks,2036,2.44,49.85,3.93,0.95,164.93,12120,ru,gold
105,Janna,1984,3.37,51.86,3.83,0.45,30.04,8501,ru,gold
106,Xin Zhao,1973,2.22,50.18,3.81,0.96,171.91,12148,ru,gold
107,Urgot,1964,1.98,52.14,3.79,1.38,189.13,12840,ru,gold
108,Zoe,1948,2.44,48.1,3.76,1.64,130.75,11151,ru,gold
109,Illaoi,1843,1.51,50.68,3.56,12.92,191.05,12275,ru,gold
110,Jarvan IV,1841,3.16,51.6,3.56,0.7,160.14,11998,ru,gold
111,Lissandra,1828,2.38,49.29,3.53,1.66,179.8,11762,ru,gold
112,Zac,1769,2.92,50.42,3.41,1.63,153.81,11213,ru,gold
113,Evelynn,1763,2.57,48.72,3.4,1.85,155.55,12099,ru,gold
114,LeBlanc,1750,2.71,46.86,3.38,4.64,147.82,11660,ru,gold
115,Udyr,1737,2.26,50.89,3.35,1.45,181.04,12201,ru,gold
116,Bel'Veth,1728,2.21,48.55,3.33,3.64,189.04,12606,ru,gold
117,Rengar,1726,2.07,45.54,3.33,1.44,185.42,12748,ru,gold
118,Sona,1690,3.01,50.83,3.26,0.15,30.07,8478,ru,gold
119,Zeri,1662,2.58,54.69,3.21,1.37,224.76,13793,ru,gold
120,Braum,1643,2.82,50.21,3.17,0.95,29.28,8516,ru,gold
121,Gangplank,1606,2.12,45.77,3.1,0.8,205.55,14299,ru,gold
122,Riven,1603,1.88,49.03,3.1,0.97,179.67,12189,ru,gold
123,Neeko,1598,2.23,48.56,3.08,0.39,106.7,10547,ru,gold
124,Ziggs,1535,2.51,50.88,2.96,0.56,189.8,12414,ru,gold
125,Naafiri,1525,2.28,51.8,2.94,1.72,173.49,12614,ru,gold
126,Rakan,1522,2.75,48.62,2.94,0.24,34.63,8433,ru,gold
127,Heimerdinger,1488,1.89,51.61,2.87,1.71,180.7,11994,ru,gold
128,Kog'Maw,1456,2.25,54.12,2.81,2.49,189.74,12993,ru,gold
129,Kindred,1439,1.97,45.8,2.78,0.99,175.03,12630,ru,gold
130,Rammus,1421,2.81,51.44,2.74,8.08,151.1,11029,ru,gold
131,Orianna,1393,2.74,49.89,2.69,0.3,183.15,11897,ru,gold
132,Corki,1388,2.44,49.57,2.68,1.53,207.93,13319,ru,gold
133,Tryndamere,1382,1.7,47.9,2.67,1.66,212.45,13235,ru,gold
134,Ryze,1379,2.37,50.54,2.66,0.26,209.77,12786,ru,gold
135,Camille,1371,1.9,49.45,2.65,1.05,154.49,11855,ru,gold
136,Skarner,1356,2.74,47.79,2.62,2.25,154.1,10953,ru,gold
137,Sejuani,1354,2.84,49.11,2.61,0.27,158.66,11280,ru,gold
138,Fiora,1329,1.56,49.13,2.56,4.97,192.43,12501,ru,gold
139,Rell,1326,2.85,48.19,2.56,0.65,32.3,8903,ru,gold
140,Kassadin,1296,2.43,50.39,2.5,2.43,176.51,12223,ru,gold
141,Elise,1199,2.35,48.29,2.31,0.58,156,12327,ru,gold
142,Gnar,1169,1.97,51.24,2.26,0.4,179.42,12250,ru,gold
143,Nilah,1158,2.27,53.02,2.23,7.23,192.87,13389,ru,gold
144,Hecarim,1096,2.48,47.9,2.12,0.83,189.73,12385,ru,gold
145,Akshan,1073,2.27,51.44,2.07,1.46,170.46,13054,ru,gold
146,Singed,1071,1.92,53.03,2.07,0.22,189.87,12083,ru,gold
147,Kalista,1061,2.18,50.05,2.05,0.63,188.61,13218,ru,gold
148,Azir,1053,2.05,48.72,2.03,0.44,199.17,12467,ru,gold
149,Renata Glasc,1040,2.72,48.65,2.01,0.39,36.85,8705,ru,gold
150,Karthus,1018,2.21,48.33,1.96,0.34,208.84,13444,ru,gold
151,Qiyana,1016,2.09,47.05,1.96,0.26,171.09,12514,ru,gold
152,Alistar,991,2.41,48.03,1.91,0.51,34.05,8445,ru,gold
153,Shyvana,948,2.22,50.95,1.83,0.46,205.6,12731,ru,gold
154,Zilean,875,2.95,49.26,1.69,0.47,62.34,9029,ru,gold
155,Taric,857,2.74,55.19,1.65,0.4,42.09,8682,ru,gold
156,Quinn,853,1.85,47.13,1.65,1.07,163.27,12505,ru,gold
157,Olaf,849,1.7,48.76,1.64,1.13,188.3,12674,ru,gold
158,Kennen,829,2.17,49.1,1.6,0.83,171.12,11985,ru,gold
159,Annie,823,2.24,49.82,1.59,0.21,140.66,11288,ru,gold
160,Cassiopeia,809,2.07,49.94,1.56,0.66,184.58,11919,ru,gold
