Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Zed,125,2.67,54.4,28.88,37,200.04,12901,ru,grandmaster
2,Yone,110,2.14,51.82,25.37,17.92,222.43,12730,ru,grandmaster
3,Caitlyn,96,2.21,45.83,22.18,31,199.79,12300,ru,grandmaster
4,Nami,86,3.32,48.84,21.02,1.17,24.91,7312,ru,grandmaster
5,Soraka,82,3.74,57.32,18.99,6.55,24.82,7674,ru,grandmaster
6,Viktor,77,2.03,49.35,18.32,28.59,193.64,11397,ru,grandmaster
7,Aatrox,77,2.18,57.14,17.83,10.03,191.09,11986,ru,grandmaster
8,Draven,72,2.25,48.61,16.67,55.15,201.49,13728,ru,grandmaster
9,Lulu,72,3.92,52.78,16.67,24.24,26.58,7885,ru,grandmaster
10,Yasuo,68,2,51.47,15.74,15.81,215.51,12331,ru,grandmaster
11,Ezreal,66,2.79,57.58,15.43,2.62,200.36,11680,ru,grandmaster
12,Samira,62,2.47,54.84,14.82,8.72,189.55,12909,ru,grandmaster
13,Sylas,62,2.31,59.68,14.54,9.17,168.85,11902,ru,grandmaster
14,Jinx,60,2.53,50,15.31,4.57,201.93,12220,ru,grandmaster
15,K'Sante,57,2.14,45.61,13.2,10.95,184.14,10992,ru,grandmaster
16,Ashe,56,2.43,39.29,13.52,2.39,199.77,11384,ru,grandmaster
17,Warwick,55,1.92,47.27,12.73,19.43,178.69,12145,ru,grandmaster
18,Aphelios,55,2.62,50.91,13.28,2.9,199.93,12562,ru,grandmaster
19,Smolder,54,2.5,57.41,12.97,4.23,203.43,11705,ru,grandmaster
20,Ambessa,53,1.88,49.06,12.27,48.69,180.74,11502,ru,grandmaster
21,Blitzcrank,52,2.73,40.38,12.04,19.24,27.77,7728,ru,grandmaster
22,Viego,51,2.84,49.02,11.81,11.53,173.25,12103,ru,grandmaster
23,Nunu & Willump,51,3.19,52.94,14.14,2.11,166.92,11298,ru,grandmaster
24,Vladimir,51,2.71,56.86,11.84,10.96,203.75,11963,ru,grandmaster
25,Hwei,51,2.96,60.78,11.81,6.74,203.35,11942,ru,grandmaster
26,Zac,50,3.14,48,11.98,5.03,143.7,10058,ru,grandmaster
27,Urgot,50,2.77,54,16.2,1.23,213.46,13491,ru,grandmaster
28,Kha'Zix,49,3.47,65.31,11.38,9.36,190,13039,ru,grandmaster
29,Neeko,45,2.02,46.67,17.51,0.66,139.89,10430,ru,grandmaster
30,Milio,44,4.26,54.55,10.52,7.98,30.59,7697,ru,grandmaster
31,Rakan,43,2.98,37.21,16.24,0.27,30.4,8001,ru,grandmaster
32,Diana,43,2.43,58.14,10.54,2.23,205.14,12660,ru,grandmaster
33,Leona,41,2.75,43.9,10.59,4.34,28.78,7939,ru,grandmaster
34,Akali,41,3.12,58.54,9.94,6.57,195.17,12222,ru,grandmaster
35,Mordekaiser,40,2.13,50,9.66,8.77,210.93,12350,ru,grandmaster
36,Malphite,39,2.5,43.59,9.03,20.68,196.44,11471,ru,grandmaster
37,Nautilus,39,2.67,53.85,9.03,6.07,28.97,7818,ru,grandmaster
38,Karthus,38,2.21,44.74,9.78,4.04,207.45,13008,ru,grandmaster
39,Thresh,38,2.82,47.37,9.38,2.84,34.08,8278,ru,grandmaster
40,Lee Sin,38,3.16,55.26,8.82,3,159.79,11333,ru,grandmaster
41,Elise,38,3.95,68.42,9.24,7.35,160.08,11936,ru,grandmaster
42,Kayn,37,2.47,45.95,8.68,6.66,172.84,11603,ru,grandmaster
43,Lucian,37,3.06,62.16,9.79,0.45,215.97,13290,ru,grandmaster
44,Karma,36,3.16,55.56,10.84,0.81,41.11,8300,ru,grandmaster
45,Jhin,35,3.64,62.86,8.71,1.92,208.09,13239,ru,grandmaster
46,Jayce,34,1.5,47.06,10.13,1.73,214.15,12244,ru,grandmaster
47,Kennen,34,2.57,52.94,13.39,2.72,207.88,11857,ru,grandmaster
48,Ekko,34,2.2,52.94,11.67,0.65,179.62,11836,ru,grandmaster
49,Syndra,34,2.18,52.94,8.19,7.66,200.21,11252,ru,grandmaster
