Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,11377,2.64,50.16,30.21,42.83,90.99,10420,ru,iron
2,Caitlyn,10718,2.17,48.92,28.46,33.78,160.35,12033,ru,iron
3,Miss Fortune,10117,2.41,50.33,26.86,14.73,153.01,12235,ru,iron
4,Jinx,8393,2.22,48.6,22.29,10.86,160.08,11754,ru,iron
5,Warwick,7784,1.99,52.02,20.67,40.19,145.95,11961,ru,iron
6,Morgana,7188,2.58,49.57,19.09,30.5,66.97,9839,ru,iron
7,Teemo,6680,1.92,49.57,17.74,35.21,151.66,11598,ru,iron
8,Jhin,6439,2.58,48.64,17.1,22.64,150.68,12025,ru,iron
9,Ashe,5963,2.14,46.44,15.83,5.03,140.94,11068,ru,iron
10,Seraphine,5683,2.62,46.68,15.09,6.91,56.89,9303,ru,iron
11,Mordekaiser,5587,1.92,50.17,14.84,27.39,146.24,11464,ru,iron
12,Diana,5226,1.93,48.12,13.88,5.42,176.42,12467,ru,iron
13,Ahri,5007,2.39,47.65,13.3,6.7,148,10808,ru,iron
14,Veigar,4964,2.33,50.91,13.18,16.05,150.37,11702,ru,iron
15,Yone,4919,1.82,48.18,13.06,12.72,167.66,11578,ru,iron
16,Yasuo,4834,1.7,48.66,12.84,21.16,174.05,11845,ru,iron
17,Master Yi,4542,1.77,49.03,12.06,17.85,161.1,12358,ru,iron
18,Yuumi,4517,5.01,47.55,11.99,7.61,13.32,8151,ru,iron
19,Swain,4475,2.31,48.87,11.88,9.59,89.35,10179,ru,iron
20,Sett,4399,1.71,51.03,11.68,6.35,148.68,11582,ru,iron
21,Kayn,4324,1.93,47.36,11.48,8.39,158.09,11919,ru,iron
22,Briar,4155,1.91,51.43,11.03,17.9,151.96,12205,ru,iron
23,Viktor,3967,2.16,48.45,10.53,10.93,146.45,11067,ru,iron
24,Volibear,3839,1.85,47.98,10.19,7.23,148.75,11027,ru,iron
25,Kai'Sa,3813,2.2,47.05,10.12,3.1,169.64,12334,ru,iron
26,Nocturne,3566,2.28,50.14,9.47,13.46,171.42,12478,ru,iron
27,Vex,3541,2.29,47.78,9.4,11.65,144.81,10952,ru,iron
28,Darius,3513,1.74,47,9.33,10,152.68,11428,ru,iron
29,Akali,3387,2.22,47.62,8.99,13.61,131.57,11178,ru,iron
30,Brand,3366,2.08,50.53,8.94,6.17,98.03,10693,ru,iron
31,Hwei,3135,2.27,47.43,8.32,4.78,132.16,10662,ru,iron
32,Tristana,3133,1.98,44.88,8.32,6.2,147.73,12195,ru,iron
33,Malphite,3079,2.36,48.39,8.18,3.7,132.47,10750,ru,iron
34,Ekko,3078,2.17,47.56,8.18,1.75,149.77,11782,ru,iron
35,Shaco,3048,2.34,47.8,8.09,22.82,133.44,11580,ru,iron
36,Nami,3008,3.19,49.83,7.99,1.16,25.85,8332,ru,iron
37,Senna,2994,2.57,46.33,7.95,1.81,61.05,10145,ru,iron
38,Tahm Kench,2985,2.32,48.81,7.93,6.57,87.05,10133,ru,iron
39,Jax,2958,1.74,46.65,7.85,3.17,149.24,11737,ru,iron
40,Nasus,2935,1.98,49.85,7.79,6.02,157.78,11554,ru,iron
41,Neeko,2922,2.12,47.02,7.76,2.89,87.26,10110,ru,iron
42,Zyra,2909,2.27,49.95,7.72,10.55,79.48,9953,ru,iron
43,Pyke,2899,1.93,47.84,7.7,27.95,38.45,10172,ru,iron
44,Cho'Gath,2874,2.06,48.78,7.63,2.45,139.39,11053,ru,iron
45,Malzahar,2835,2.15,50.26,7.53,13.69,195.66,12534,ru,iron
46,Vi,2814,2.02,47.51,7.47,2.03,149.65,11410,ru,iron
47,Leona,2804,2.23,47.33,7.45,7.16,34.11,8658,ru,iron
48,Yorick,2777,1.82,52.83,7.37,12.47,179.48,12258,ru,iron
49,Soraka,2742,2.85,48.36,7.28,3.49,29.92,7969,ru,iron
50,Heimerdinger,2737,1.76,48.74,7.27,9.12,158.17,11473,ru,iron
51,Ezreal,2709,2.35,44.56,7.19,2.31,145.95,11293,ru,iron
52,Irelia,2679,1.69,44.83,7.11,5.01,184.85,12435,ru,iron
53,Smolder,2675,2.12,44.93,7.1,2.16,167.34,11475,ru,iron
54,Viego,2670,1.95,47.68,7.09,7.22,156.87,12012,ru,iron
55,Pantheon,2633,2,45.99,6.99,1.91,99.49,10900,ru,iron
56,Dr. Mundo,2615,2.05,51.7,6.94,5.31,151.92,11007,ru,iron
57,Katarina,2580,2.16,47.48,6.85,14.35,139.79,11834,ru,iron
58,Amumu,2572,2.19,51.13,6.83,4.21,146.27,11066,ru,iron
59,Illaoi,2531,1.61,48.91,6.72,24.34,157.33,11275,ru,iron
60,Garen,2520,1.86,46.15,6.69,2.88,162.45,11584,ru,iron
61,Sylas,2507,1.94,46.87,6.66,5.07,116.89,10760,ru,iron
62,Blitzcrank,2441,2.33,47.03,6.48,12.82,33.17,8574,ru,iron
63,Xerath,2409,2.68,48.36,6.4,5.6,106.68,10512,ru,iron
64,Samira,2390,1.93,45.86,6.35,23.1,152.43,12252,ru,iron
65,Vayne,2158,1.96,47.31,5.73,3.26,144.87,11780,ru,iron
66,Ambessa,2133,1.76,44.02,5.66,18.09,149.94,11099,ru,iron
67,Twitch,2128,2.09,44.88,5.65,9.18,137.17,12098,ru,iron
68,Thresh,2113,2.17,45.48,5.61,1.48,44.74,8797,ru,iron
69,Sona,2102,2.86,49.24,5.58,0.44,29.85,8377,ru,iron
70,Fizz,2050,2.27,47.56,5.44,10.11,135.41,12069,ru,iron
71,Xayah,2035,2.09,45.31,5.41,1.46,160.74,11578,ru,iron
72,Nautilus,2025,2.24,48.89,5.38,4.1,47.01,9020,ru,iron
73,Trundle,1971,1.65,48.45,5.23,2.38,165.5,12185,ru,iron
74,Varus,1946,2.17,47.69,5.17,1.75,151.82,11757,ru,iron
75,Urgot,1926,2.04,50.47,5.11,3.14,168.91,12237,ru,iron
76,Aurelion Sol,1855,2.57,50.67,4.93,2.75,167.81,12113,ru,iron
77,Evelynn,1847,2.07,43.1,4.9,1.52,134.85,11387,ru,iron
78,Nunu & Willump,1843,2.21,46.01,4.9,0.76,136.98,10935,ru,iron
79,Kayle,1840,1.81,47.01,4.89,1.78,173.91,11668,ru,iron
