Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Nami,307,3.36,47.88,22.49,1.84,23.82,7766,ru,master
2,Lulu,296,3.51,53.04,21.64,24.93,27.26,7717,ru,master
3,Jinx,263,2.51,55.13,19.23,3.86,207.52,12339,ru,master
4,Ambessa,258,1.66,46.9,18.86,47.52,186.66,11277,ru,master
5,Viego,246,2.53,50,17.99,12.24,177.96,11957,ru,master
6,Irelia,235,1.49,48.09,17.21,19.18,227.7,12834,ru,master
7,Caitlyn,221,2.13,46.61,16.16,32.56,206.95,12823,ru,master
8,Sylas,221,2.1,47.51,16.31,10.58,160.97,10971,ru,master
9,Milio,200,3.94,47,14.62,6.86,27.39,7679,ru,master
10,Viktor,173,2.1,49.71,12.65,25.99,200.6,11377,ru,master
11,Hwei,173,2.38,54.91,12.65,6.44,183.83,11289,ru,master
12,Ashe,173,2.42,58.38,12.67,2.15,198.54,11925,ru,master
13,Lux,172,2.54,49.42,12.69,0.92,131.92,10288,ru,master
14,Yone,165,1.85,56.97,12.06,17.85,208.3,11916,ru,master
15,Draven,163,2.17,53.99,11.92,55.41,209.19,14281,ru,master
16,Varus,160,2.3,51.88,11.72,2.06,189.14,11934,ru,master
17,K'Sante,156,2.09,48.08,11.41,11.25,179.56,10817,ru,master
18,Ezreal,153,2.63,50.98,11.27,3.2,202.1,11904,ru,master
19,Jhin,151,2.64,49.01,11.04,1.95,193.74,12178,ru,master
20,Thresh,150,3.17,48,10.99,2.89,34.76,7965,ru,master
21,Zed,149,2.46,55.7,10.89,37.07,190.29,12405,ru,master
22,Warwick,142,2.12,56.34,10.4,21.26,173.06,11579,ru,master
23,Janna,140,3.43,47.14,10.25,6.5,25.14,7663,ru,master
24,Kog'Maw,140,2.36,55.71,10.25,3.22,198.49,12224,ru,master
25,Sett,139,1.37,45.32,10.26,0.92,156.66,10564,ru,master
26,Smolder,138,2.22,46.38,10.09,3.96,223.27,12585,ru,master
27,Syndra,135,2.28,54.81,9.87,6.29,205.09,12031,ru,master
28,Kai'Sa,134,2.19,34.33,10.09,1.22,201.22,12055,ru,master
29,Soraka,132,2.88,53.03,9.65,7.04,24.44,7155,ru,master
30,Wukong,131,3.16,51.91,9.58,5.53,175.85,11804,ru,master
31,Nautilus,128,2.36,52.34,9.36,7.42,29.2,7938,ru,master
32,Mordekaiser,127,1.91,51.18,9.37,8.59,171.55,11239,ru,master
33,Corki,127,2.55,55.91,9.28,11.36,203.2,12337,ru,master
34,Gragas,123,2.45,59.35,8.99,6.6,173.86,11139,ru,master
35,Ahri,121,2.75,50.41,8.93,2.05,185.86,10919,ru,master
36,Pyke,118,2.41,53.39,8.64,30.93,35.06,9766,ru,master
37,Renekton,117,2.1,54.7,8.57,7.15,198.07,11770,ru,master
38,Gnar,114,1.92,56.14,8.62,0.93,184.51,11489,ru,master
39,Zilean,113,8.67,46.9,9.74,5.78,173.55,9805,ru,master
40,Diana,113,2.27,49.56,8.45,1.71,190.81,12005,ru,master
41,Zac,112,2.84,48.21,8.19,5.09,146.63,10236,ru,master
42,Tahm Kench,110,2.99,60,8.12,1.12,70.85,9420,ru,master
43,Aphelios,109,2.02,48.62,8.28,2.74,199.55,12373,ru,master
44,Swain,109,2.7,49.54,7.98,1.03,147,10722,ru,master
45,Yuumi,108,4.79,42.59,7.9,20.21,16.31,7305,ru,master
46,Graves,107,2.42,50.47,7.82,28.67,208.26,13124,ru,master
47,Dr. Mundo,107,1.94,53.27,8.12,1.1,192.64,11445,ru,master
48,Blitzcrank,107,3.2,54.21,7.82,19.8,27.06,7861,ru,master
49,Yasuo,106,1.79,53.77,7.76,17.47,206.45,11597,ru,master
50,Shaco,104,2.71,47.12,7.6,12.06,162.16,11562,ru,master
51,Jax,103,1.47,45.63,7.59,10.93,178.28,11317,ru,master
52,Aurora,101,2.6,43.56,7.38,11.62,183.68,11275,ru,master
53,Darius,99,1.98,59.6,7.31,8.83,185.89,11845,ru,master
54,Kha'Zix,98,2.47,46.94,7.18,9.76,187.17,12917,ru,master
55,Zoe,98,2.19,47.96,7.53,1.88,73.29,9535,ru,master
56,Aatrox,98,1.53,48.98,7.16,10.15,174.13,11254,ru,master
57,Malzahar,97,2.19,46.39,7.09,3.94,214.45,11404,ru,master
58,Samira,97,2.23,52.58,7.15,8.01,185.44,12772,ru,master
59,Vladimir,96,2.27,51.04,7.03,9.74,203.44,11688,ru,master
60,Lillia,96,3.62,52.08,7.09,1.85,190.77,12097,ru,master
61,Riven,96,2.2,54.17,7.03,5.76,188.38,11858,ru,master
62,Malphite,95,2.27,50.53,6.95,18.89,163.36,10284,ru,master
63,Lee Sin,92,2.82,43.48,6.74,3.2,155.12,11174,ru,master
64,Volibear,91,2.09,45.05,6.65,8.68,170.33,11133,ru,master
65,Karma,90,2.39,41.11,6.63,0.83,44.32,8142,ru,master
66,Miss Fortune,89,2.12,48.31,6.84,0.28,200.31,12229,ru,master
67,Sivir,89,1.98,52.81,6.52,2.09,217.33,11681,ru,master
68,Camille,89,1.79,55.06,6.73,2.1,176.69,10964,ru,master
69,Ekko,88,2.24,45.45,6.73,0.7,177.53,11577,ru,master
70,Xerath,88,3.32,48.86,6.72,1.89,135.94,10021,ru,master
71,Kassadin,88,2.63,60.23,6.43,5.43,192.86,11849,ru,master
72,Seraphine,87,2.54,51.72,6.78,0.17,103.71,8770,ru,master
73,Karthus,86,2.33,44.19,6.47,3.81,215.31,12481,ru,master
74,Katarina,86,2.23,46.51,6.29,11.3,173.12,11978,ru,master
75,Gwen,86,1.78,53.49,6.3,7.41,188.73,11738,ru,master
76,Shen,84,2.88,44.05,7.16,0.39,130.04,9409,ru,master
77,Akali,84,2.14,47.62,6.14,7.31,169.99,10974,ru,master
78,Nocturne,80,2.75,47.5,5.85,3.15,167.39,10842,ru,master
79,Jarvan IV,79,3.18,49.37,5.79,4.13,160.18,11068,ru,master
80,Kayn,78,2.59,48.72,5.76,6.39,165.87,11365,ru,master
81,Nunu & Willump,74,3.52,55.41,5.75,2.24,158.72,10571,ru,master
82,Garen,71,1.93,50.7,5.46,0.9,212.21,12675,ru,master
83,Veigar,70,1.91,41.43,5.34,0.67,194.37,11316,ru,master
84,Poppy,70,2.22,54.29,5.12,6.54,72.6,9801,ru,master
85,Galio,67,2.6,47.76,5.11,1.93,168.96,10275,ru,master
86,Vayne,67,2.39,56.72,4.91,3.85,192.07,12278,ru,master
87,Leona,67,2.66,59.7,4.9,4.12,30.36,8283,ru,master
88,Udyr,67,2.84,59.7,4.9,7.87,179.61,11186,ru,master
89,Twitch,66,2.25,50,4.86,3.67,164.8,12000,ru,master
90,Vel'Koz,66,3.18,62.12,5.58,0.3,136.17,10856,ru,master
91,Xayah,65,2.59,47.69,5.41,0.58,206.18,11845,ru,master
92,Illaoi,65,1.45,50.77,4.79,3.67,194.74,11920,ru,master
93,Lucian,63,2.1,42.86,4.74,0.83,206.97,12689,ru,master
94,Kalista,63,1.98,44.44,6.47,0.75,176.78,11486,ru,master
95,Rakan,63,3.46,57.14,5.01,0.06,27.94,7754,ru,master
96,Elise,61,3.2,55.74,4.47,5.48,154.02,11311,ru,master
97,Qiyana,61,2.42,60.66,5.79,1.53,193.93,12950,ru,master
