Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,10037,2.2,50.09,25.72,40.49,202.27,12942,ru,platinum
2,Jinx,8709,2.38,51.62,22.32,7.84,203.52,12630,ru,platinum
3,Jhin,8575,2.79,50.88,21.97,10.37,195.51,13131,ru,platinum
4,Lux,8431,2.77,51.88,21.6,14.17,110.93,10696,ru,platinum
5,Viktor,7251,2.24,50.99,18.58,20.23,196.9,12313,ru,platinum
6,Nami,6709,3.37,52.6,17.19,2.6,26.96,8372,ru,platinum
7,Warwick,5662,2.23,53.04,14.51,21.71,166.3,12360,ru,platinum
8,Viego,5000,2.43,51.52,12.81,11.7,183.23,12693,ru,platinum
9,Lulu,4914,3.34,51.67,12.59,14,29.72,8300,ru,platinum
10,Yasuo,4759,1.66,50.94,12.19,21.47,209.91,12568,ru,platinum
11,Diana,4609,2.13,52.25,11.81,4.31,200.45,13107,ru,platinum
12,Smolder,4608,2.3,48.61,11.81,4.6,215.43,12742,ru,platinum
13,Kai'Sa,4597,2.39,47.99,11.78,3.02,204.79,13032,ru,platinum
14,Miss Fortune,4549,2.53,52.34,11.66,2.67,198.75,13254,ru,platinum
15,Ashe,4445,2.33,50.03,11.39,3.93,180.89,11854,ru,platinum
16,Hwei,4390,2.49,50.09,11.25,7.33,177.05,11689,ru,platinum
17,Kayn,4287,2.23,50.45,10.98,7.62,182.86,12496,ru,platinum
18,Yuumi,4257,4.83,50.72,10.91,17.93,15.46,8146,ru,platinum
19,Ahri,4184,2.6,50.24,10.72,4.87,183.43,11726,ru,platinum
20,Yone,4180,1.69,48.83,10.71,9.78,207.19,12395,ru,platinum
21,Milio,4115,3.84,52,10.54,5.37,27.61,8080,ru,platinum
22,Swain,4096,2.39,49.51,10.5,5.02,123.99,10700,ru,platinum
23,Volibear,3982,2.01,52.41,10.2,7.53,173.88,11727,ru,platinum
24,Nocturne,3980,2.65,53.54,10.2,18.78,187.67,12587,ru,platinum
25,Ambessa,3969,1.98,50.92,10.17,39.53,180.38,12139,ru,platinum
26,Mordekaiser,3856,1.92,53.03,9.88,18.68,180.12,12088,ru,platinum
27,Soraka,3810,3,53.07,9.76,6.59,27.09,7984,ru,platinum
28,Ezreal,3786,2.54,47.44,9.7,3.74,194.53,12418,ru,platinum
29,Malzahar,3672,2.16,50.93,9.41,13.82,219.59,12633,ru,platinum
30,Katarina,3668,2.29,48.15,9.4,16.31,168.93,12637,ru,platinum
31,Zed,3644,2.44,50.52,9.34,31.63,187.14,12993,ru,platinum
32,Tahm Kench,3559,2.41,52.04,9.12,6.78,113,10530,ru,platinum
33,Teemo,3522,1.97,50.6,9.02,13.11,180.46,12168,ru,platinum
34,Ekko,3521,2.53,51.18,9.02,1.7,182.85,12916,ru,platinum
35,Darius,3386,1.77,50.83,8.68,15.44,189.43,12366,ru,platinum
36,Veigar,3179,2.36,51.37,8.15,3.79,192.04,12487,ru,platinum
37,Sett,3176,1.67,51.83,8.14,2.93,178.6,12393,ru,platinum
38,Morgana,3158,2.66,51.77,8.09,28.21,65.44,9753,ru,platinum
