Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,17488,2.28,51.33,29.63,38.77,191.01,13038,ru,silver
2,Lux,15456,2.81,51.76,26.19,30.17,100.51,10796,ru,silver
3,Jinx,14110,2.46,50.61,23.91,8.83,191.93,12670,ru,silver
4,Jhin,14031,2.78,51.02,23.77,17.4,182.26,13152,ru,silver
5,Miss Fortune,11002,2.61,53.46,18.64,6.19,185.74,13234,ru,silver
6,Warwick,10153,2.2,54.18,17.2,27.58,162.92,12623,ru,silver
7,Viktor,9197,2.33,50.36,15.58,15.12,180.57,12164,ru,silver
8,Yasuo,7879,1.71,50.23,13.35,23.98,200.46,12678,ru,silver
9,Morgana,7804,2.71,51,13.22,33.37,68.39,10059,ru,silver
10,Diana,7678,2.14,52.19,13.01,4.59,195.91,13356,ru,silver
11,Kayn,7479,2.22,51.37,12.67,8.54,178.67,12693,ru,silver
12,Teemo,7402,1.97,51.42,12.54,24.27,171.31,12195,ru,silver
13,Ashe,7364,2.33,48.71,12.48,3.38,168.56,11893,ru,silver
14,Yone,7355,1.77,48.91,12.46,10.58,197.84,12575,ru,silver
15,Mordekaiser,7289,2.05,54.12,12.35,24.3,173.24,12413,ru,silver
16,Nami,7093,3.41,52.84,12.02,1.9,27.32,8547,ru,silver
17,Swain,6530,2.35,49.53,11.06,7.4,105.86,10684,ru,silver
18,Kai'Sa,6500,2.4,47.75,11.01,2.72,197.71,13195,ru,silver
19,Ahri,6405,2.69,51.18,10.85,5.3,174.02,11826,ru,silver
20,Tahm Kench,6297,2.5,51.61,10.67,8.39,102.9,10669,ru,silver
21,Veigar,6056,2.42,52.79,10.26,8.7,182.34,12732,ru,silver
22,Nocturne,6016,2.53,53.57,10.19,19.87,184.53,12865,ru,silver
23,Volibear,6000,2.01,52.07,10.17,7.32,167.86,11897,ru,silver
24,Sett,5835,1.75,51.81,9.89,4.74,169.89,12342,ru,silver
25,Malzahar,5833,2.24,51.12,9.88,17.65,216.58,12988,ru,silver
26,Smolder,5821,2.33,47.55,9.86,4.57,202.94,12710,ru,silver
27,Akali,5769,2.32,49.06,9.78,12.46,156.78,12118,ru,silver
28,Katarina,5734,2.29,49.39,9.72,19.06,160.27,12627,ru,silver
29,Darius,5708,1.81,49.04,9.67,14.98,179.88,12445,ru,silver
30,Zyra,5600,2.36,52.25,9.49,15.98,74.71,10133,ru,silver
31,Yuumi,5443,5.23,50.12,9.22,10.74,16.15,8334,ru,silver
32,Viego,5400,2.32,51.19,9.15,8.73,177.77,12843,ru,silver
33,Malphite,5341,2.58,50.61,9.05,6.58,153.94,11486,ru,silver
34,Ezreal,5237,2.54,45.89,8.87,3.13,177.16,12231,ru,silver
35,Hwei,5212,2.5,50.15,8.83,5.4,158.31,11580,ru,silver
36,Shaco,5194,2.56,49.21,8.8,26.49,148.55,12263,ru,silver
37,Briar,4944,2.13,53.34,8.38,15.6,168.48,12930,ru,silver
38,Ekko,4924,2.37,49.8,8.34,1.76,168.55,12693,ru,silver
39,Seraphine,4863,2.8,51.41,8.24,2.44,61.46,9681,ru,silver
40,Soraka,4746,2.99,53.33,8.04,4.83,28.54,8131,ru,silver
41,Leona,4554,2.43,49.06,7.72,10.8,35.38,8783,ru,silver
42,Lulu,4553,3.25,51.18,7.71,5.05,32.25,8516,ru,silver
43,Ambessa,4517,1.95,47.51,7.65,28.08,169.71,11983,ru,silver
44,Zed,4401,2.33,49.1,7.46,26.77,170.49,12798,ru,silver
45,Master Yi,4354,1.97,50.78,7.38,16.72,179.44,13034,ru,silver
46,Samira,4321,2.06,48.02,7.32,21.21,180.38,13378,ru,silver
47,Garen,4286,2.1,51.38,7.26,3.97,195.71,12962,ru,silver
48,Amumu,4169,2.4,52.17,7.06,5.83,158.9,11556,ru,silver
49,Brand,4114,2.01,51.31,6.97,5.18,103.15,10992,ru,silver
50,Vi,4096,2.22,49.88,6.94,1.93,166.29,12082,ru,silver
51,Thresh,4089,2.54,47.84,6.93,1.64,39.4,8842,ru,silver
52,Pyke,4083,2.09,48.27,6.92,22.67,41.54,10498,ru,silver
53,Nautilus,4058,2.36,47.59,6.88,7.65,41.73,8919,ru,silver
54,Vayne,3974,2.17,52.26,6.73,3.89,175.93,12854,ru,silver
55,Sylas,3943,2.07,48.34,6.68,4.25,138.32,11479,ru,silver
56,Milio,3933,3.84,53.37,6.66,2.31,31.45,8349,ru,silver
57,Yorick,3866,1.88,54.09,6.55,9.94,205.51,13127,ru,silver
58,Pantheon,3858,2.15,49.77,6.54,2.73,112.42,11622,ru,silver
59,Irelia,3854,1.74,49.84,6.53,7.17,216.11,13567,ru,silver
60,Dr. Mundo,3802,2.17,54.47,6.44,4.25,177.56,11928,ru,silver
61,Nasus,3698,2.07,50.62,6.27,7.47,183.04,12393,ru,silver
62,Senna,3556,2.76,47.89,6.03,1.2,56.32,10225,ru,silver
63,Aatrox,3536,1.97,50.08,5.99,8.75,168.53,11813,ru,silver
64,Vex,3487,2.51,51.53,5.91,8.75,170.74,12070,ru,silver
65,Cho'Gath,3484,2.09,51.52,5.9,1.57,166.7,12043,ru,silver
66,Twitch,3464,2.37,48.73,5.87,4.95,163.7,13250,ru,silver
67,Karma,3246,2.68,49.11,5.5,1.21,58.3,9399,ru,silver
68,Varus,3227,2.27,47.54,5.47,1.19,180.11,12668,ru,silver
69,Xerath,3223,2.94,50.76,5.46,4.28,118.27,11364,ru,silver
70,Tristana,3170,2.27,48.96,5.37,3.32,180.06,13420,ru,silver
71,Shen,3153,2.92,51.16,5.34,0.91,123.17,10417,ru,silver
72,Aphelios,3093,1.97,48.27,5.24,2.3,185.02,12723,ru,silver
73,Jax,3014,1.77,48.08,5.11,3.66,174.26,12487,ru,silver
74,Vel'Koz,3005,2.38,50.58,5.09,1.45,96.3,10940,ru,silver
75,Aurora,2948,2.47,49.8,5,6.26,166.29,11606,ru,silver
76,Galio,2936,2.76,53.3,4.97,2.56,142.4,10889,ru,silver
77,Jayce,2893,1.98,46.11,4.9,0.82,186.49,12618,ru,silver
78,Blitzcrank,2830,2.39,49.65,4.8,11.75,32.41,8647,ru,silver
79,Maokai,2788,2.45,52.33,4.72,0.81,100.25,10062,ru,silver
80,Fizz,2760,2.43,50.98,4.68,11.36,160.5,13000,ru,silver
81,Xayah,2754,2.34,49.02,4.67,0.94,198.06,12899,ru,silver
82,Poppy,2745,2.23,50.78,4.65,1.27,108.53,10761,ru,silver
83,Ornn,2740,2.41,50.55,4.64,1.04,165.15,11230,ru,silver
84,Kayle,2732,1.97,48.13,4.63,1.48,210.35,12859,ru,silver
85,Trundle,2659,1.77,52.39,4.51,1.72,186.31,12861,ru,silver
86,Illaoi,2630,1.58,52.28,4.46,16.33,185.46,12227,ru,silver
87,Lillia,2601,2.52,49.21,4.41,4.04,179.16,12289,ru,silver
88,Urgot,2580,2.07,52.29,4.37,1.7,188.78,13023,ru,silver
89,Lee Sin,2570,2.37,46.15,4.35,1.61,158.01,12085,ru,silver
90,Syndra,2511,2.37,48.79,4.25,2.26,179.72,12531,ru,silver
91,Sion,2503,1.76,50.54,4.24,0.77,187.28,12721,ru,silver
92,Wukong,2488,2.61,53.3,4.22,1.1,170.29,12358,ru,silver
93,Lucian,2452,2.33,47.92,4.16,0.9,187.5,12819,ru,silver
