Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"35,102",2.32:1,51.04%,27.36%,29.15%,201.95,"12,877"
2,Jhin,"29,253",2.96:1,50.42%,22.8%,7.85%,192,"12,888"
3,Lux,"27,254",2.65:1,51.1%,21.25%,22.57%,95.85,"10,312"
4,Jinx,"24,466",2.41:1,50.21%,19.07%,4.5%,200.86,"12,373"
5,Ashe,"23,218",2.44:1,49.65%,18.1%,8.17%,179.86,"11,687"
6,Yone,"20,850",1.76:1,48.4%,16.25%,15.13%,203.08,"12,060"
7,Sylas,"18,506",2.12:1,48.09%,14.43%,17.48%,148.06,"11,129"
8,Ahri,"18,448",2.68:1,51.31%,14.38%,8.73%,187.01,"11,639"
9,Warwick,"18,176",2.26:1,52.23%,14.17%,24.01%,168.07,"12,257"
10,Yasuo,"18,152",1.69:1,48.72%,14.15%,23.28%,205.66,"12,242"
11,Ezreal,"17,635",2.59:1,48.01%,13.75%,3.7%,190.99,"12,145"
12,Viktor,"17,513",2.26:1,49.91%,13.65%,17.2%,197.08,"12,058"
13,Viego,"17,288",2.38:1,49.97%,13.48%,9.44%,179.71,"12,378"
14,Thresh,"16,628",2.69:1,50.31%,12.96%,7.5%,34.03,"8,374"
15,Miss Fortune,"16,536",2.59:1,51.66%,12.89%,3.26%,186.81,"12,782"
16,Kayn,"15,563",2.28:1,51.02%,12.13%,7.88%,184.57,"12,421"
17,Kai'Sa,"15,180",2.46:1,47.82%,11.83%,2.38%,205.27,"12,850"
18,Swain,"14,353",2.51:1,51.93%,11.19%,10.99%,108.76,"10,448"
19,Tahm Kench,"14,084",2.55:1,51.87%,10.98%,13.73%,91.54,"10,083"
20,Mordekaiser,"13,934",2.02:1,52.54%,10.86%,16.61%,178.69,"12,002"
21,Smolder,"13,544",2.24:1,47.59%,10.56%,6.7%,212.92,"12,387"
22,Galio,"13,334",2.78:1,51.86%,10.39%,8.72%,157.02,"10,685"
23,Aatrox,"12,419",1.97:1,50.16%,9.68%,15.77%,180.55,"11,579"
24,Akali,"12,312",2.38:1,49.89%,9.6%,10.87%,169.98,"11,867"
25,Nocturne,"12,290",2.66:1,51.81%,9.58%,19.16%,185.76,"12,346"
26,Volibear,"12,249",2.02:1,50.87%,9.55%,4.99%,179.36,"11,779"
27,Lee Sin,"12,184",2.6:1,48.75%,9.5%,5.89%,163.98,"11,964"
28,Teemo,"12,006",2.03:1,51.67%,9.36%,17.5%,167.47,"11,864"
29,Morgana,"11,904",2.64:1,51.07%,9.28%,25.31%,58.49,"9,504"
30,Malphite,"11,876",2.53:1,50.82%,9.26%,6.38%,156.59,"11,098"
31,Darius,"11,846",1.84:1,48.79%,9.23%,18.59%,188.19,"12,140"
32,Zed,"11,620",2.41:1,50.23%,9.06%,27.66%,186.96,"12,707"
33,Master Yi,"11,575",2.04:1,49.8%,9.02%,18.57%,181.44,"12,637"
34,Graves,"11,250",2.42:1,50.37%,8.77%,9.81%,206.71,"13,449"
35,Vayne,"11,160",2.21:1,50.57%,8.7%,5.39%,182.72,"12,385"
36,Ekko,"10,925",2.46:1,50.54%,8.52%,1.59%,178.9,"12,461"
37,Garen,"10,801",2.07:1,50.75%,8.42%,4.38%,208.21,"12,848"
