Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,7168,2.33,50.96,29.85,30.56,197.67,12977,sg,bronze
2,Lux,6068,2.71,51.91,25.27,30.59,93.28,10465,sg,bronze
3,Jhin,6019,2.98,50.69,25.06,10.22,185.51,12919,sg,bronze
4,Jinx,4643,2.45,49.45,19.33,5.02,196.16,12516,sg,bronze
5,Yone,4583,1.82,49.57,19.08,15.53,201.92,12328,sg,bronze
6,Ashe,4162,2.45,49.93,17.33,8.07,171.7,11675,sg,bronze
7,Miss Fortune,4100,2.69,53.1,17.07,4.96,189.92,13117,sg,bronze
8,Warwick,3869,2.31,52.36,16.11,25.44,168.25,12489,sg,bronze
9,Yasuo,3699,1.69,48.82,15.4,25.43,201.13,12331,sg,bronze
10,Kayn,3457,2.31,51.37,14.39,9.15,184.4,12630,sg,bronze
11,Ahri,3271,2.64,50.69,13.62,7.93,181.98,11749,sg,bronze
12,Viego,3181,2.28,49.07,13.25,8.71,176.77,12306,sg,bronze
13,Mordekaiser,3064,2.11,54.73,12.76,19.98,176.42,12267,sg,bronze
14,Viktor,2966,2.28,50.84,12.35,12.28,187.13,12009,sg,bronze
15,Sylas,2932,2.12,48.57,12.21,16.87,143,11281,sg,bronze
16,Teemo,2888,2.09,52.94,12.03,23.16,164.7,12054,sg,bronze
17,Ezreal,2846,2.57,47.79,11.85,2.93,181.55,12060,sg,bronze
18,Swain,2757,2.5,51.43,11.48,11.7,98.92,10388,sg,bronze
19,Tahm Kench,2728,2.54,51.58,11.36,15.05,86.6,10175,sg,bronze
20,Akali,2666,2.37,48.42,11.1,12.52,164.56,11960,sg,bronze
21,Thresh,2600,2.63,49.35,10.83,6.34,36.34,8656,sg,bronze
22,Kai'Sa,2569,2.4,48.03,10.7,2.25,200.16,12978,sg,bronze
23,Volibear,2565,2.09,51.77,10.68,5.05,176.01,11911,sg,bronze
24,Garen,2490,2.11,51.53,10.37,5.3,204.76,12977,sg,bronze
25,Malphite,2476,2.55,51.98,10.31,5.34,141.2,11045,sg,bronze
26,Nocturne,2476,2.66,52.22,10.31,18.86,186.55,12547,sg,bronze
27,Vayne,2454,2.27,50.12,10.22,6.59,179.7,12481,sg,bronze
28,Morgana,2450,2.8,52.24,10.2,26.93,59.31,9709,sg,bronze
29,Galio,2361,2.75,50.7,9.83,8.13,151.27,10807,sg,bronze
30,Smolder,2359,2.36,48.88,9.82,5.48,208.35,12587,sg,bronze
31,Darius,2299,1.8,47.46,9.57,18.61,182.08,12077,sg,bronze
32,Veigar,2240,2.58,52.99,9.33,5.84,176.5,12436,sg,bronze
33,Master Yi,2185,2.02,50.25,9.1,23.15,182.22,12811,sg,bronze
34,Malzahar,2154,2.42,54.5,8.97,13.64,219.75,12961,sg,bronze
35,Zed,2152,2.37,49.44,8.96,29.93,180.53,12670,sg,bronze
36,Aatrox,2108,1.98,48.24,8.78,13.79,174.24,11720,sg,bronze
37,Sett,2044,1.84,52.05,8.51,2.31,176.31,12328,sg,bronze
38,Pantheon,2035,2.1,47.91,8.47,3.64,104.4,11188,sg,bronze
39,Dr. Mundo,1987,2.18,54.15,8.27,9.01,187.14,11862,sg,bronze
40,Brand,1950,2.04,50.51,8.12,10.68,88.39,10518,sg,bronze
41,Nautilus,1931,2.36,48.58,8.04,10.2,41.69,8817,sg,bronze
42,Pyke,1891,2.03,48.12,7.87,21.37,37.95,10055,sg,bronze
43,Lee Sin,1867,2.46,47.83,7.77,4.95,158.21,11937,sg,bronze
44,Ekko,1864,2.35,49.03,7.76,1.51,174.14,12526,sg,bronze
