Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Nidalee,29,3.24,31.03,60.29,12.07,188.41,12695,sg,challenger
2,Ezreal,18,2.25,38.89,48.65,7.39,217.89,12643,sg,challenger
3,Viego,17,3.77,58.82,45.82,7.28,195.88,12400,sg,challenger
4,Lee Sin,16,2.68,31.25,50.16,9.12,168.56,10542,sg,challenger
5,Yone,14,2.25,64.29,35,13.33,225.5,13268,sg,challenger
6,Draven,14,3.19,64.29,35.62,13.48,238.36,15169,sg,challenger
7,Graves,14,3.81,71.43,34.57,16.88,233.36,14546,sg,challenger
8,Jhin,13,3.79,69.23,51.18,4.05,227.46,14455,sg,challenger
9,Caitlyn,12,2.84,91.67,28.17,19.85,266.75,15881,sg,challenger
10,LeBlanc,11,3.37,36.36,29.73,20.39,187.82,12130,sg,challenger
11,Galio,11,4,63.64,24.89,18.5,210.91,12701,sg,challenger
12,Elise,10,3.95,50,23.64,28.15,155.3,12635,sg,challenger
13,Ekko,9,3.29,22.22,59.6,1.38,195.67,11643,sg,challenger
14,Sylas,9,2.87,66.67,22.84,23.53,208.67,13028,sg,challenger
15,Aurora,8,3.52,37.5,22.86,11.53,212.38,12041,sg,challenger
16,Fiora,8,2.46,50,34.33,12.21,247.25,14505,sg,challenger
17,Jayce,8,2.37,62.5,39.6,6.25,199.63,10601,sg,challenger
18,Hwei,7,3.18,57.14,19.18,11.23,196.14,11177,sg,challenger
19,Viktor,7,1.92,71.43,32.41,37.07,196.71,11486,sg,challenger
20,Ahri,6,5.73,33.33,25.97,4.82,179.67,11416,sg,challenger
21,Riven,6,1.49,33.33,27.91,3.74,167.83,11975,sg,challenger
22,Aatrox,6,2.18,50,16.39,15.34,178,11253,sg,challenger
23,Corki,6,2.71,50,17.34,22.87,191.5,10670,sg,challenger
24,Ashe,6,3.07,66.67,32.09,5.03,206.83,11462,sg,challenger
25,Zed,6,3.42,66.67,30.77,8.15,190.83,11714,sg,challenger
26,Gwen,6,2.95,66.67,15.19,21.77,207.5,12047,sg,challenger
27,Renekton,6,2.87,66.67,22.56,12.55,218.67,12728,sg,challenger
28,Vladimir,5,2.68,40,14.66,19.06,182,9688,sg,challenger
29,Seraphine,5,4,60,26.46,3.7,68.2,7463,sg,challenger
30,Ryze,5,2.38,60,68.49,0,247.4,12570,sg,challenger
31,Yasuo,5,1.69,60,11.68,53.5,288,15055,sg,challenger
32,Sejuani,5,3.5,80,54.95,3.85,230,13424,sg,challenger
33,Wukong,5,3.29,80,26.04,9.2,205,12718,sg,challenger
34,Syndra,4,2.21,0,19.7,7.88,182.75,10275,sg,challenger
35,Talon,4,1.55,25,21.74,4.35,236.75,14826,sg,challenger
36,Akali,4,3,50,12.46,11.01,217.75,13246,sg,challenger
37,Irelia,4,1.63,75,41.24,2.06,227.25,13100,sg,challenger
38,Yuumi,4,6.46,75,9.32,31.6,17.75,8045,sg,challenger
39,Lulu,4,2.96,75,13.61,8.97,26.75,8337,sg,challenger
40,Qiyana,3,4.33,33.33,35.29,3.61,234.67,15091,sg,challenger
41,Gragas,3,2.4,33.33,11.72,10.55,167.33,10060,sg,challenger
42,K'Sante,3,2.89,33.33,9.93,12.58,234,11859,sg,challenger
43,Camille,3,4.36,66.67,36.14,3.75,202,13147,sg,challenger
44,Skarner,3,4,66.67,10.71,14.7,162.33,10827,sg,challenger
45,Vex,3,2.25,66.67,15.31,5.61,169.67,10311,sg,challenger
46,Taliyah,3,3.12,66.67,49.18,1.64,247.33,12966,sg,challenger
47,Varus,3,5.38,100,29.7,4.95,244.33,15962,sg,challenger
48,Malzahar,2,1.44,0,57.14,0,215,10292,sg,challenger
49,Rakan,2,2.71,0,29.85,5.97,22.5,7722,sg,challenger
50,Diana,2,1.07,0,32.79,5,186.5,11010,sg,challenger
51,Lucian,2,2.33,0,11.11,8.52,196.5,12068,sg,challenger
52,Kindred,2,1.06,0,7.84,8.63,155.5,10456,sg,challenger
53,Karthus,2,1.41,0,11.11,7.82,169,10859,sg,challenger
54,Tryndamere,2,1.25,0,13.33,3.33,191.5,9315,sg,challenger
55,Karma,2,4.88,50,25.32,3.8,32,8188,sg,challenger
56,Rumble,2,2.67,50,57.14,0,185.5,11395,sg,challenger
57,Fizz,2,2.5,50,14.81,5.93,219,12976,sg,challenger
58,Zeri,2,4,50,58.82,0,294.5,14682,sg,challenger
59,Jarvan IV,2,9.25,50,10.47,9.42,221.5,13288,sg,challenger
60,Twitch,2,3.36,50,19.8,5,253.5,17464,sg,challenger
61,Olaf,2,3.25,50,19.61,6.86,228.5,13452,sg,challenger
62,Lillia,2,2.67,50,6.94,8.45,205,13521,sg,challenger
63,Kha'Zix,2,1.7,50,6.1,12.5,150.5,9094,sg,challenger
64,Zyra,2,3.91,100,54.05,0,51,10117,sg,challenger
65,Brand,2,16.5,100,76.92,0,227.5,13256,sg,challenger
66,Kayn,2,3.89,100,11.63,11.05,273.5,15376,sg,challenger
67,Gnar,2,4.88,100,40.82,2.13,200.5,13335,sg,challenger
68,Jinx,2,9.67,100,17.54,8.04,227.5,11681,sg,challenger
69,Xin Zhao,2,4.8,100,13.51,12.77,212,11934,sg,challenger
70,Alistar,1,0.33,0,23.81,4.76,17,3411,sg,challenger
71,Soraka,1,1.78,0,18.87,3.92,36,8214,sg,challenger
72,Sivir,1,3,0,20.83,2.08,245,12647,sg,challenger
73,Zoe,1,0.75,0,14.29,7.46,143,9780,sg,challenger
74,Kog'Maw,1,1.83,0,11.76,3.53,288,13645,sg,challenger
