Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,823,2.35,51.15,23.66,19.64,211.72,12565,sg,diamond
2,Ahri,723,2.83,51.73,20.78,6.43,196.79,11479,sg,diamond
3,Jhin,656,2.87,47.87,18.86,1.2,202.11,12490,sg,diamond
4,Jinx,656,2.31,49.85,18.86,2.88,218.01,12278,sg,diamond
5,Ashe,629,2.44,48.33,18.08,7.07,197.1,11671,sg,diamond
6,Lee Sin,584,2.81,48.12,16.79,9.01,164.5,11728,sg,diamond
7,Lux,559,2.61,51.34,16.07,4.23,122.38,10268,sg,diamond
8,Sylas,553,2.3,51.36,15.89,28,164.28,10903,sg,diamond
9,Ezreal,542,2.56,47.05,15.58,6.53,201.31,11734,sg,diamond
10,Thresh,539,2.85,50.28,15.49,9.67,29.35,7953,sg,diamond
11,Aatrox,518,2.02,50.19,14.89,16.01,187.69,11168,sg,diamond
12,Kai'Sa,500,2.42,44.8,14.37,1.33,207.76,12288,sg,diamond
13,Viktor,493,2.22,48.28,14.26,27.31,208.85,11798,sg,diamond
14,Ekko,483,2.67,50.1,13.88,3.14,195.02,12414,sg,diamond
15,Viego,479,2.65,51.15,13.77,7.13,184.68,12371,sg,diamond
16,Lulu,465,3.35,50.97,13.37,12.39,27.03,7634,sg,diamond
17,Jarvan IV,460,3.22,51.74,13.22,3.02,162.35,11119,sg,diamond
18,Yone,455,1.66,47.47,13.08,11.29,211.87,11459,sg,diamond
19,Graves,429,2.58,48.95,12.33,24.42,210.29,13290,sg,diamond
20,Yasuo,406,1.83,52.46,11.67,27.13,212.67,11834,sg,diamond
21,Lucian,386,2.54,50.78,11.09,2.83,210.67,12403,sg,diamond
22,Corki,379,2.57,50.92,10.89,11.65,206.91,12019,sg,diamond
23,Hwei,376,2.72,48.67,10.81,9.85,190.44,11472,sg,diamond
24,Gwen,360,2.26,55.56,10.35,20.18,215.7,12728,sg,diamond
25,Kha'Zix,358,2.89,52.23,10.29,12.84,187.34,12345,sg,diamond
26,Tahm Kench,350,2.63,48,10.13,7.92,102.26,10033,sg,diamond
27,Nami,345,3.16,47.83,9.98,0.58,23.94,7541,sg,diamond
28,Galio,330,2.77,47.58,9.49,14.3,168.88,10483,sg,diamond
29,Smolder,326,2.2,46.32,9.37,4.44,223.48,12248,sg,diamond
30,Akali,326,2.58,51.53,9.37,9.2,177.4,11378,sg,diamond
31,Renekton,322,1.7,47.83,9.26,5.64,203.54,11666,sg,diamond
32,Nidalee,317,2.95,50.47,9.11,9.65,182.19,11609,sg,diamond
33,Camille,305,1.94,52.13,8.83,1.1,172.67,11065,sg,diamond
34,Yuumi,299,5.12,51.84,8.59,17.54,15.53,7817,sg,diamond
35,Swain,288,2.61,53.13,8.28,6.96,125.56,10452,sg,diamond
36,Gragas,287,2.45,49.48,8.25,6,180.49,10820,sg,diamond
37,Senna,276,2.85,49.64,7.99,1.89,36.2,9484,sg,diamond
38,K'Sante,273,2.23,47.25,7.85,7.35,187.42,10853,sg,diamond
39,Pyke,272,2.27,55.51,7.82,32.28,35.71,9294,sg,diamond
40,Tryndamere,271,2.02,52.03,7.79,3.56,241.87,13340,sg,diamond
41,Warwick,268,2.2,45.9,7.7,16.47,174.19,11555,sg,diamond
42,Maokai,268,2.38,50.37,7.7,1.56,118.63,9343,sg,diamond
43,Ambessa,262,1.95,52.67,7.53,57.23,189.88,11404,sg,diamond
44,Sivir,262,2.95,58.78,7.53,1.22,240.81,12809,sg,diamond
45,Vladimir,260,2.53,53.85,7.47,8.89,205.7,11975,sg,diamond
46,Xayah,258,2.34,50.39,7.42,1.38,217.52,12217,sg,diamond
47,Nautilus,256,2.25,47.27,7.36,16.24,33.53,7775,sg,diamond
48,Vel'Koz,253,2.67,54.15,7.27,3.85,98.04,10017,sg,diamond
49,Varus,248,2.14,39.52,7.13,0.76,199.29,11876,sg,diamond
50,Jayce,246,1.7,46.75,7.07,1.23,204.31,11745,sg,diamond
51,Kayn,245,2.5,51.43,7.04,3.78,191.08,12049,sg,diamond
52,Karma,243,2.53,48.15,6.98,2.13,37.7,8206,sg,diamond
53,Irelia,241,1.42,51.45,6.93,5.63,237,13234,sg,diamond
54,Rakan,241,3.34,53.11,6.98,0.54,28.69,7617,sg,diamond
55,Syndra,238,2.38,47.48,6.89,2.52,203.56,11823,sg,diamond
56,Wukong,237,2.54,45.57,6.81,4.16,171.92,11280,sg,diamond
57,Katarina,237,2.64,50.63,6.81,6.91,170.46,11570,sg,diamond
58,Riven,234,1.87,47.01,6.73,3.42,201.94,12048,sg,diamond
59,Seraphine,234,3.06,49.15,6.73,2.19,109.79,9263,sg,diamond
60,Sona,234,3.01,49.15,6.73,0.22,28.46,8060,sg,diamond
61,Janna,232,3.42,51.29,6.67,3.4,26.22,7687,sg,diamond
62,Mordekaiser,231,1.99,49.78,6.64,4.42,180.87,11250,sg,diamond
63,Nunu & Willump,230,2.82,53.91,6.61,4.97,152.91,10355,sg,diamond
64,Diana,229,1.98,42.79,6.58,1.5,190.35,11772,sg,diamond
65,Vi,225,2.33,49.33,6.51,1.86,171.08,11166,sg,diamond
66,Elise,224,2.66,49.55,6.44,14.83,148.15,11220,sg,diamond
67,Darius,217,1.72,43.32,6.24,19.89,195.33,11617,sg,diamond
68,Shaco,216,2.91,44.44,6.21,7.1,152.04,11934,sg,diamond
69,Garen,215,1.67,47.91,6.18,1.81,229.05,12681,sg,diamond
70,Ornn,214,2.29,44.39,6.15,0.76,182.65,10519,sg,diamond
71,Nocturne,213,2.98,48.83,6.12,8.55,190.8,11888,sg,diamond
72,Aurelion Sol,205,2.59,48.78,5.89,2.05,199.28,11895,sg,diamond
73,Aurora,198,2.51,42.93,5.69,11.57,196.6,11270,sg,diamond
74,Braum,195,2.9,51.79,5.6,3.35,25.57,7617,sg,diamond
75,Malphite,194,2.46,51.03,5.58,8.96,175.55,10317,sg,diamond
76,Xerath,192,2.81,46.35,5.56,1.96,123.41,10821,sg,diamond
77,Rengar,186,2.13,46.24,5.35,13.31,176.75,11616,sg,diamond
78,Sion,185,1.57,44.32,5.36,0.54,208.03,12458,sg,diamond
79,LeBlanc,183,2.83,54.64,5.26,19.99,169.7,11548,sg,diamond
80,Orianna,181,2.55,46.96,5.2,0.78,201.23,11439,sg,diamond
81,Bard,176,3.31,47.73,5.09,0.85,31.24,8138,sg,diamond
82,Volibear,172,1.81,50.58,4.98,2.26,196.26,11661,sg,diamond
83,Leona,168,2.35,46.43,4.83,6.65,27.38,7612,sg,diamond
84,Alistar,168,2.59,51.79,4.83,0.77,24.83,7834,sg,diamond
85,Xin Zhao,166,2.24,43.98,4.77,2.7,167.02,11120,sg,diamond
86,Jax,165,1.76,47.88,4.74,8.77,193.75,11906,sg,diamond
87,Draven,165,2.44,53.94,4.74,14.19,213.8,14240,sg,diamond
88,Shen,163,2.92,50.92,4.72,0.21,143.36,9809,sg,diamond
89,Twisted Fate,160,2.26,44.38,4.66,0.37,184.57,11770,sg,diamond
90,Hecarim,158,3.27,50,4.58,1.87,198.54,12030,sg,diamond
91,Udyr,157,2.47,52.23,4.85,2.43,190.68,11648,sg,diamond
92,Soraka,155,2.98,52.9,4.61,0.54,23.74,7392,sg,diamond
93,Poppy,148,2.31,54.05,4.25,7.66,74.68,8953,sg,diamond
94,Zed,146,2.34,52.05,4.2,11.28,190.55,12056,sg,diamond
95,Pantheon,142,2.28,49.3,4.08,1.34,131.68,11085,sg,diamond
96,Vayne,140,1.94,48.57,4.02,1.85,190.35,11778,sg,diamond
97,Rell,140,2.82,55,4.02,2.58,26.54,7942,sg,diamond
98,Miss Fortune,136,2.42,41.91,3.91,0.2,212.7,12844,sg,diamond
99,Amumu,136,2.52,48.53,3.91,2.72,168.99,11164,sg,diamond
100,Lissandra,134,2.44,49.25,3.99,2.09,192.36,10976,sg,diamond
101,Kindred,127,2.72,53.54,3.67,4.88,181.78,12337,sg,diamond
102,Sejuani,126,3.5,52.38,3.73,0.82,162.39,10790,sg,diamond
103,Aphelios,126,2.38,58.73,3.65,0.27,203.1,12480,sg,diamond
104,Gangplank,123,1.83,44.72,3.56,1.2,219.09,13432,sg,diamond
105,Talon,123,2.53,47.97,3.54,1.57,198.92,12528,sg,diamond
106,Skarner,122,3.57,53.28,3.51,9.03,150.57,10435,sg,diamond
107,Milio,121,3.5,52.89,3.63,1.11,24.07,7180,sg,diamond
108,Lillia,120,2.73,47.5,3.45,6.78,199.55,12016,sg,diamond
109,Gnar,120,1.83,51.67,3.45,0.85,189.32,11309,sg,diamond
110,Zilean,120,3.42,52.5,3.59,1.98,40.58,7659,sg,diamond
