Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,2409,2.21,50.39,22.63,26.12,213.17,12870,sg,emerald
2,Ashe,1912,2.45,49.58,17.96,10.26,194.12,11762,sg,emerald
3,Sylas,1857,2.18,48.41,17.45,22.22,152.68,11040,sg,emerald
4,Jinx,1835,2.41,49.65,17.24,4.25,213.56,12393,sg,emerald
5,Jhin,1834,2.96,49.78,17.23,2.63,204.17,12950,sg,emerald
6,Thresh,1760,2.96,53.35,16.54,8.5,29.99,8074,sg,emerald
7,Ezreal,1735,2.6,48.82,16.3,4.72,205.92,12308,sg,emerald
8,Ahri,1592,2.76,50.19,14.96,9.63,200.46,11732,sg,emerald
9,Viego,1562,2.61,50.58,14.68,11.98,184.92,12482,sg,emerald
10,Viktor,1561,2.29,50.99,14.67,26.04,209.3,12127,sg,emerald
11,Aatrox,1522,2.04,50.92,14.3,16.97,189.55,11484,sg,emerald
12,Smolder,1439,2.27,46.35,13.52,8.3,225.23,12382,sg,emerald
13,Lux,1433,2.59,49.9,13.46,8.64,108.61,10321,sg,emerald
14,Lulu,1397,3.3,48.1,13.13,10.82,27.86,7938,sg,emerald
15,Graves,1357,2.55,51.07,12.75,22.7,212.47,13472,sg,emerald
16,Yone,1331,1.7,49.29,12.51,13.67,214.79,11989,sg,emerald
17,Yasuo,1315,1.74,47.91,12.35,18.65,214.77,12118,sg,emerald
18,Lee Sin,1293,2.81,48.18,12.15,7.23,166.94,11881,sg,emerald
19,Kai'Sa,1236,2.52,49.76,11.61,2.31,213.54,12788,sg,emerald
20,Galio,1164,2.79,51.2,10.94,9.75,170.46,10657,sg,emerald
21,Tahm Kench,1124,2.57,50.71,10.56,11.95,97.93,9918,sg,emerald
22,Corki,1034,2.6,50.1,9.71,8.86,214.47,12869,sg,emerald
23,Gragas,1016,2.48,50.79,9.55,5.49,179.35,11241,sg,emerald
24,Zed,1008,2.51,50.4,9.47,20.76,195.76,12579,sg,emerald
25,Nautilus,1003,2.38,48.45,9.42,13.41,34.67,8053,sg,emerald
26,Akali,998,2.54,51.7,9.38,8.95,186.64,12002,sg,emerald
27,Warwick,997,2.42,51.25,9.37,23.93,172.99,12169,sg,emerald
28,Darius,967,1.97,52.95,9.09,20.31,201.69,12466,sg,emerald
29,Volibear,952,1.95,51.05,8.94,5.87,190.95,11832,sg,emerald
30,Kayn,942,2.31,47.98,8.85,5.44,193.37,12456,sg,emerald
31,K'Sante,940,2.14,50.64,8.83,7.47,186.66,11090,sg,emerald
32,Lucian,926,2.49,48.6,8.7,2,215.7,12855,sg,emerald
33,Swain,918,2.6,52.07,8.62,7.38,135.99,10699,sg,emerald
34,Nami,894,3.18,52.68,8.4,0.79,25.88,7979,sg,emerald
35,Nocturne,891,2.93,52.41,8.37,15.33,186.31,11931,sg,emerald
36,Pyke,884,2.17,46.49,8.31,22.29,38.18,9664,sg,emerald
37,Kha'Zix,883,2.85,51.42,8.3,9.72,191.7,12788,sg,emerald
38,Karma,880,2.62,49.32,8.27,3.69,44.8,8405,sg,emerald
39,Master Yi,872,2.24,49.77,8.19,10.49,184.92,12699,sg,emerald
40,Sivir,856,2.61,51.29,8.04,1.64,232.38,12609,sg,emerald
41,Mordekaiser,849,1.84,49.59,7.98,10.38,186.47,11589,sg,emerald
42,Senna,849,3.1,51,7.98,1.98,36.03,9408,sg,emerald
43,Wukong,847,2.82,53.13,7.96,2.48,178.68,11919,sg,emerald
44,Ambessa,845,2.07,51.01,7.94,58.49,186.76,11857,sg,emerald
45,Maokai,816,2.5,50.74,7.67,2.49,125.93,9651,sg,emerald
46,Syndra,811,2.38,51.05,7.62,4.47,209.83,12446,sg,emerald
47,Hwei,791,2.46,46.9,7.43,8.19,189.9,11562,sg,emerald
48,Vel'Koz,761,2.42,51.38,7.15,2.97,96.59,10364,sg,emerald
49,Ekko,758,2.49,48.68,7.12,2.06,189.21,12513,sg,emerald
50,Renekton,731,1.94,51.57,6.87,5.47,205.22,12146,sg,emerald
51,Gwen,731,2.03,52.26,6.87,6.99,217.28,13161,sg,emerald
52,Xerath,717,3.04,51.05,6.74,6.38,111.52,10648,sg,emerald
53,Miss Fortune,715,2.54,50.77,6.72,0.58,207.9,13043,sg,emerald
54,Pantheon,711,2.19,50.21,6.68,3.13,119.14,11006,sg,emerald
55,Xayah,704,2.51,50.57,6.61,1.17,219.68,12768,sg,emerald
56,Jarvan IV,690,3.43,52.61,6.48,1.3,166.66,11875,sg,emerald
57,Vi,688,2.51,46.37,6.46,2.33,172.19,11628,sg,emerald
58,Braum,684,3.01,54.39,6.43,3.25,27.1,7794,sg,emerald
59,Malphite,672,2.54,49.11,6.31,7.23,181.21,11254,sg,emerald
60,Diana,669,2.06,46.04,6.29,1.37,195.84,12245,sg,emerald
61,LeBlanc,655,2.72,45.5,6.15,21.52,157.58,11442,sg,emerald
62,Poppy,652,2.42,51.69,6.13,9.62,85.15,9698,sg,emerald
63,Jax,636,1.71,47.8,5.98,6.05,186.16,11750,sg,emerald
64,Blitzcrank,634,2.54,53.79,5.96,24.51,27.02,8118,sg,emerald
65,Katarina,629,2.48,50.87,5.91,5.36,181.39,12453,sg,emerald
66,Irelia,624,1.62,50.32,5.86,6.92,232.98,13191,sg,emerald
67,Seraphine,615,2.83,49.76,5.78,1.93,66.98,8825,sg,emerald
68,Jayce,605,1.79,42.81,5.68,1.79,210.34,12369,sg,emerald
69,Draven,605,1.97,51.07,5.68,10.21,199.86,13585,sg,emerald
70,Riven,603,1.99,55.22,5.67,2.55,197.83,12068,sg,emerald
71,Vladimir,599,2.48,52.75,5.63,6.3,211.4,12339,sg,emerald
72,Xin Zhao,596,2.46,50.84,5.6,0.88,171.64,11752,sg,emerald
73,Amumu,583,2.45,47.68,5.48,2.41,158.75,10914,sg,emerald
74,Elise,577,2.74,51.13,5.42,7.21,151.07,11676,sg,emerald
75,Varus,569,2.33,48.86,5.35,0.45,199.11,12246,sg,emerald
76,Zyra,565,2.37,53.27,5.31,1.66,63.14,9402,sg,emerald
77,Talon,564,2.25,46.81,5.3,1.23,201.24,12639,sg,emerald
78,Nunu & Willump,560,2.76,48.93,5.3,1.51,160.54,11135,sg,emerald
79,Bard,559,3.16,51.7,5.25,0.48,30.29,8353,sg,emerald
80,Orianna,556,2.58,49.64,5.22,0.9,206.9,11988,sg,emerald
81,Yuumi,551,5.05,49,5.18,6.16,16.63,7662,sg,emerald
82,Sion,551,1.5,50.27,5.21,1.35,203.32,12758,sg,emerald
83,Milio,549,3.79,51.73,5.16,1.48,26.17,7779,sg,emerald
84,Vayne,544,2.1,49.08,5.11,3.2,194.08,12168,sg,emerald
85,Rakan,529,2.75,46.12,4.97,0.9,30.79,7913,sg,emerald
86,Malzahar,522,2.27,53.26,4.9,3.27,222.03,12303,sg,emerald
87,Dr. Mundo,519,1.97,49.33,4.88,3,203.99,11755,sg,emerald
88,Nasus,518,1.88,48.84,4.87,5,188.11,11591,sg,emerald
89,Morgana,517,2.6,53,4.86,15.68,50.61,9041,sg,emerald
90,Aurora,499,2.47,53.31,4.69,12.57,194.37,11774,sg,emerald
91,Leona,498,2.55,46.59,4.68,3.4,30.53,8207,sg,emerald
92,Rengar,495,2.38,50.91,4.65,8.96,196.36,12583,sg,emerald
93,Lillia,484,3.25,54.55,4.55,6.12,202.38,12620,sg,emerald
94,Fiora,480,1.57,54.17,4.51,5.44,209.14,12700,sg,emerald
95,Ornn,466,2.41,51.5,4.38,0.95,181.47,10948,sg,emerald
96,Zac,450,3.21,48,4.23,0.93,153.3,10679,sg,emerald
97,Shaco,449,2.8,53.67,4.22,14.85,149.66,11565,sg,emerald
98,Veigar,443,2.36,50.34,4.16,2,198.83,12219,sg,emerald
99,Garen,440,1.93,50.45,4.13,3.05,217.05,12545,sg,emerald
100,Sett,436,1.69,45.18,4.1,0.44,191.1,12290,sg,emerald
101,Alistar,432,2.56,48.84,4.06,1.4,29.18,7864,sg,emerald
102,Gnar,428,1.72,44.86,4.02,1.65,183.31,11055,sg,emerald
103,Teemo,428,1.95,48.83,4.02,7.38,186.8,12024,sg,emerald
104,Ziggs,426,2.74,50.7,4,2.08,217.99,12665,sg,emerald
105,Azir,424,2.23,51.89,3.98,0.87,213.54,12218,sg,emerald
106,Janna,423,3.16,48.46,3.97,1.43,27.55,8093,sg,emerald
107,Samira,422,2.36,49.53,3.96,5.89,201.84,13707,sg,emerald
108,Tryndamere,418,1.8,51.44,3.93,2.38,232.88,13043,sg,emerald
109,Kindred,415,2.33,50.6,3.9,1.73,183.4,12362,sg,emerald
110,Ryze,409,2.31,51.59,3.84,0.45,221.86,12268,sg,emerald
111,Brand,404,2.09,53.47,3.8,1.88,84,9708,sg,emerald
112,Hecarim,386,2.79,48.96,3.63,2.83,205.35,12583,sg,emerald
113,Camille,385,1.89,49.09,3.62,1.87,175.56,11811,sg,emerald
114,Anivia,385,2.88,50.65,3.62,2.18,193.39,11709,sg,emerald
115,Aurelion Sol,380,2.94,51.84,3.57,2.17,207.48,12636,sg,emerald
116,Soraka,375,2.67,45.6,3.52,1.45,27.23,7661,sg,emerald
117,Skarner,374,3.22,49.47,3.51,8.13,157.33,10820,sg,emerald
118,Kassadin,368,2.52,53.8,3.46,2.54,188.68,12140,sg,emerald
119,Renata Glasc,349,2.76,50.43,3.28,0.64,30.54,8076,sg,emerald
120,Lissandra,344,2.35,48.55,3.23,1.59,190.87,11262,sg,emerald
121,Cho'Gath,325,2.1,49.85,3.05,0.31,190.58,11779,sg,emerald
122,Illaoi,324,1.38,52.16,3.04,7.39,197.4,11820,sg,emerald
123,Nidalee,320,2.8,50.31,3.01,3.46,179.65,12095,sg,emerald
124,Ivern,311,3.63,49.84,2.94,0.91,138.26,10120,sg,emerald
125,Twisted Fate,308,2.4,46.1,2.89,0.37,187.29,12392,sg,emerald
126,Sejuani,307,3.09,44.63,2.9,0.52,162.3,10757,sg,emerald
127,Karthus,302,2.53,49.67,2.86,1.87,217.23,13267,sg,emerald
128,Gangplank,299,2.06,46.15,2.81,0.96,218.71,14043,sg,emerald
129,Sona,298,2.99,46.98,2.8,0.11,35.4,8083,sg,emerald
130,Neeko,291,2.4,45.36,2.73,0.8,88.6,9664,sg,emerald
131,Aphelios,290,2.17,50.34,2.72,0.34,202.77,12312,sg,emerald
132,Rammus,290,2.79,50.34,2.72,2.86,142.31,10364,sg,emerald
133,Rell,282,2.78,48.94,2.65,2.04,27.5,8180,sg,emerald
134,Fiddlesticks,275,2.73,50.91,2.6,1.62,166.54,11353,sg,emerald
135,Fizz,275,2.35,52.36,2.58,2.23,185.53,12620,sg,emerald
136,Bel'Veth,269,2.82,51.3,2.56,1.07,184.76,12277,sg,emerald
137,Taliyah,269,2.43,52.42,2.55,1.11,193.78,12506,sg,emerald
138,Akshan,266,2.15,48.12,2.5,1.82,194.04,12671,sg,emerald
139,Tristana,249,2.34,48.19,2.34,0.23,202.83,13375,sg,emerald
140,Trundle,245,1.57,55.1,2.3,0.4,213.11,12865,sg,emerald
141,Kog'Maw,233,2.2,53.65,2.19,1.23,194.86,12392,sg,emerald
142,Vex,229,2.61,51.53,2.15,4.21,197.59,12208,sg,emerald
143,Udyr,222,2.38,50,2.09,2.38,189.47,11740,sg,emerald
144,Nilah,220,2.3,50.91,2.07,2.64,199.95,12796,sg,emerald
145,Shen,220,2.79,50.91,2.07,0.27,139.37,9852,sg,emerald
146,Kayle,219,1.95,51.6,2.07,0.55,229.32,12662,sg,emerald
147,Zilean,216,2.96,44.44,2.03,1.08,59.71,8386,sg,emerald
148,Singed,215,2.04,48.37,2.02,0.45,218.98,12017,sg,emerald
149,Twitch,215,2.42,53.95,2.02,0.9,169.2,13011,sg,emerald
150,Kled,213,2.18,44.13,2.02,0.59,192.31,12662,sg,emerald
151,Evelynn,207,2.88,53.62,1.94,2.92,165.29,11751,sg,emerald
152,Qiyana,204,2.17,52.45,1.92,1.14,187.2,12445,sg,emerald
153,Cassiopeia,191,1.98,49.74,1.79,2.03,212.14,12369,sg,emerald
154,Yorick,178,1.49,47.75,1.67,3.29,215.19,12433,sg,emerald
155,Zeri,175,2.09,41.71,1.65,0.24,230.3,12935,sg,emerald
156,Zoe,174,2.59,48.85,1.63,0.64,122.27,10602,sg,emerald
157,Briar,172,2.06,43.6,1.62,2.73,172.19,12423,sg,emerald
158,Heimerdinger,164,1.88,50,1.54,0.72,174.09,11232,sg,emerald
159,Annie,160,2.28,45.63,1.51,0.22,172.31,11307,sg,emerald
160,Taric,155,2.89,53.55,1.46,0.57,38.61,8153,sg,emerald
161,Kalista,153,2.19,50.98,1.46,0.28,196.17,12850,sg,emerald
162,Rumble,151,2.01,51.66,1.42,0.45,188.58,11536,sg,emerald
163,Naafiri,149,2.36,55.03,1.4,1.08,197.6,13203,sg,emerald
164,Urgot,149,2.14,55.7,1.41,0.29,204.92,12785,sg,emerald
165,Shyvana,140,2.72,54.29,1.32,0.45,211.29,12624,sg,emerald
166,Kennen,133,2.49,57.89,1.26,0.34,192.24,12028,sg,emerald
