Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,6130,2.32,51.16,28.71,30.49,209.87,13030,sg,gold
2,Jhin,5234,3,50.21,24.52,5.86,201.39,13122,sg,gold
3,Lux,4066,2.64,50.61,19.04,17.81,96.19,10316,sg,gold
4,Jinx,3972,2.41,50.55,18.6,3.41,209.91,12552,sg,gold
5,Ashe,3911,2.47,51.06,18.32,8.42,189.28,11950,sg,gold
6,Viktor,3378,2.22,49.64,15.82,19.56,205.96,12334,sg,gold
7,Sylas,3133,2.18,48.1,14.67,17.12,154.82,11326,sg,gold
8,Yone,3121,1.75,48.06,14.62,15.58,213.19,12302,sg,gold
9,Ezreal,3019,2.59,47.3,14.14,3.54,198.25,12311,sg,gold
10,Yasuo,2928,1.66,48.84,13.71,21.16,216.38,12539,sg,gold
11,Thresh,2887,2.67,50.19,13.52,8.43,33.94,8378,sg,gold
12,Ahri,2847,2.8,53.74,13.34,9.07,195.15,11827,sg,gold
13,Kai'Sa,2689,2.52,47.42,12.6,2.46,212.48,13083,sg,gold
14,Viego,2609,2.47,50.17,12.22,9.37,184.49,12563,sg,gold
15,Warwick,2540,2.32,53.39,11.9,22.12,172.79,12379,sg,gold
16,Kayn,2452,2.3,49.88,11.48,7.47,188.27,12507,sg,gold
17,Swain,2402,2.57,52.12,11.25,10.92,113.8,10577,sg,gold
18,Tahm Kench,2401,2.54,53.69,11.25,14.04,94.11,10113,sg,gold
19,Smolder,2365,2.19,48.25,11.08,7.87,218.29,12521,sg,gold
20,Lee Sin,2356,2.61,48.73,11.04,6.56,168.44,12091,sg,gold
21,Mordekaiser,2320,2.04,51.72,10.87,15.59,186.74,12069,sg,gold
22,Graves,2293,2.4,50.33,10.74,11.85,208.84,13562,sg,gold
23,Zed,2256,2.38,49.51,10.57,30.36,193.35,12781,sg,gold
24,Miss Fortune,2175,2.56,50.34,10.19,1.71,195.82,12904,sg,gold
25,Galio,2117,2.8,52.91,9.92,9.07,163.5,10781,sg,gold
26,Nocturne,2057,2.81,53.23,9.63,23.12,190.94,12515,sg,gold
27,Aatrox,2015,2.01,52.56,9.44,17.96,186.05,11796,sg,gold
28,Vayne,1947,2.17,52.18,9.12,4.97,189.05,12459,sg,gold
29,Malphite,1941,2.55,51.21,9.09,7.15,170.16,11268,sg,gold
30,Morgana,1878,2.6,51.33,8.8,28.11,53.77,9316,sg,gold
31,Nautilus,1877,2.41,48.69,8.79,13.1,36.14,8394,sg,gold
32,Ambessa,1851,1.99,50.19,8.67,50.29,184.81,12002,sg,gold
33,Volibear,1824,1.94,50.16,8.54,5.11,186.11,11916,sg,gold
34,Lulu,1800,3.4,49.72,8.43,7.39,31.07,8183,sg,gold
35,Darius,1777,1.87,50.08,8.32,19.48,196.91,12432,sg,gold
