Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Draven,76,2.81,63.16,31.24,15.45,205.83,13943,sg,grandmaster
2,Nidalee,62,4.54,64.52,26.13,11.6,173.82,12198,sg,grandmaster
3,Kai'Sa,50,2.86,44,23.87,1.24,227.88,13193,sg,grandmaster
4,Elise,49,3.27,65.31,20.36,24.59,106.71,10854,sg,grandmaster
5,Viktor,48,2.4,47.92,28.14,36.24,232.94,13392,sg,grandmaster
6,Corki,48,3.04,60.42,20.36,17.39,225.96,13802,sg,grandmaster
7,Ezreal,45,2.9,51.11,18.98,6.5,210.02,11979,sg,grandmaster
8,Yorick,44,1.96,56.82,19.99,9.95,231.8,13024,sg,grandmaster
9,Karthus,44,3.19,56.82,20.97,4.93,253.05,14405,sg,grandmaster
10,Karma,44,3.76,68.18,25.09,1.48,42.07,8548,sg,grandmaster
11,Yone,40,2.11,52.5,16.89,12.75,218.2,12361,sg,grandmaster
12,Skarner,40,4.57,60,18.17,11.85,166.85,11586,sg,grandmaster
13,Graves,39,2.79,53.85,16.55,18.17,210.13,12946,sg,grandmaster
14,Jinx,39,3.2,56.41,18.26,2.76,235.41,13054,sg,grandmaster
15,Jayce,38,1.7,47.37,19.2,2.63,201.79,11817,sg,grandmaster
16,Ahri,37,2.73,51.35,17.15,3.38,222.78,12784,sg,grandmaster
17,Galio,36,2.76,44.44,14.96,19.11,194.08,11110,sg,grandmaster
18,Jarvan IV,36,4.12,61.11,20.45,7.34,163.61,11269,sg,grandmaster
19,Jhin,35,2.73,48.57,17.27,0.64,202,12203,sg,grandmaster
20,Lucian,34,2.58,41.18,17.75,2.66,220.82,13004,sg,grandmaster
21,Talon,34,2.85,61.76,18.24,2.41,191.21,12584,sg,grandmaster
22,Aatrox,32,1.88,43.75,13.42,12.84,175.22,11216,sg,grandmaster
23,Lee Sin,32,3.14,56.25,13.29,7.64,188.09,12422,sg,grandmaster
24,Viego,32,3.1,59.38,14.6,6.07,197.22,12893,sg,grandmaster
25,Yasuo,31,2.12,45.16,12.88,38.26,207.9,12069,sg,grandmaster
26,Gragas,30,1.87,36.67,13.91,5.89,176.73,10320,sg,grandmaster
27,Camille,30,1.92,43.33,18.44,0.98,192.1,11917,sg,grandmaster
28,Rakan,30,4.76,56.67,24.92,0.91,23.23,8049,sg,grandmaster
29,Nami,29,3.25,37.93,23.02,0.79,25.52,7741,sg,grandmaster
30,Sylas,29,2.43,55.17,12.05,25.22,158.03,11179,sg,grandmaster
31,Katarina,29,3.05,58.62,12.89,6.68,185.34,13147,sg,grandmaster
32,Vex,28,3.67,64.29,14.41,2.11,200.5,12796,sg,grandmaster
33,Gwen,28,2.88,67.86,11.63,22.06,235.21,13480,sg,grandmaster
34,Caitlyn,27,2.26,44.44,11.22,14.96,234.44,14015,sg,grandmaster
35,Ashe,27,2.51,48.15,12.08,5.32,190.89,11158,sg,grandmaster
36,Yuumi,27,5.75,55.56,11.22,31.49,14.81,7464,sg,grandmaster
37,Nautilus,25,2.52,48,10.39,22.02,32.52,8937,sg,grandmaster
38,Lulu,24,4.04,50,10.67,8.8,25.67,7534,sg,grandmaster
39,Samira,23,3.1,47.83,11.44,6.46,212.04,13562,sg,grandmaster
40,Cho'Gath,23,2,52.17,15.42,0.67,212.83,12999,sg,grandmaster
41,Malphite,23,3.14,52.17,9.65,15.77,183.57,11600,sg,grandmaster
42,Zed,22,2.74,50,9.59,5.88,196.55,11637,sg,grandmaster
