Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5368,2.3,50.88,27.87,30.76,178.01,12199,sg,iron
2,Lux,5262,2.61,51.18,27.32,37.15,87.61,10137,sg,iron
3,Jhin,4195,2.83,49.15,21.78,14.39,170.39,12245,sg,iron
4,Yone,4066,1.72,48.35,21.11,15.24,182.48,11482,sg,iron
5,Miss Fortune,3916,2.5,51.61,20.33,7.46,167.77,12233,sg,iron
6,Warwick,3874,2.12,50.57,20.11,28.71,157.35,11920,sg,iron
7,Jinx,3660,2.32,49.59,19,7,175.04,11715,sg,iron
8,Ashe,3593,2.37,49.04,18.65,8.79,156.15,11114,sg,iron
9,Ahri,3299,2.44,49.68,17.13,10.58,166.37,11038,sg,iron
10,Viego,2905,2.08,49.98,15.08,9.51,168.26,11892,sg,iron
11,Yasuo,2895,1.69,49.02,15.03,25.6,187.24,11861,sg,iron
12,Teemo,2853,2.04,52.65,14.81,31.04,154.37,11573,sg,iron
13,Morgana,2820,2.5,49.72,14.64,25.4,63.04,9595,sg,iron
14,Sylas,2572,1.91,44.71,13.35,14.49,133.28,10558,sg,iron
15,Kayn,2570,2.02,48.13,13.34,8.85,172.24,11983,sg,iron
16,Swain,2487,2.44,52.31,12.91,14.36,87.44,10035,sg,iron
17,Mordekaiser,2435,1.94,50.35,12.64,21.78,160.48,11521,sg,iron
18,Master Yi,2394,1.87,49.46,12.43,26.23,170.18,12266,sg,iron
19,Galio,2265,2.68,51.43,11.76,6.73,136.63,10307,sg,iron
20,Ezreal,2255,2.4,45.72,11.71,3.29,162.71,11399,sg,iron
21,Akali,2204,2.29,49.41,11.44,14.8,150.49,11416,sg,iron
22,Volibear,2200,1.96,48.68,11.42,5.18,163.85,11358,sg,iron
23,Garen,2163,2.1,50.67,11.23,4.61,189.59,12401,sg,iron
24,Kai'Sa,2149,2.35,46.11,11.16,2.78,182.03,12084,sg,iron
25,Malphite,2101,2.42,49.79,10.91,4.73,135.12,10781,sg,iron
26,Seraphine,2043,2.66,48.8,10.61,4.8,57.27,9020,sg,iron
27,Tahm Kench,1985,2.43,51.28,10.31,12.91,77.93,9766,sg,iron
28,Nocturne,1981,2.3,49.07,10.28,15.32,172.15,11927,sg,iron
29,Darius,1919,1.69,46.59,9.96,15.52,167.08,11384,sg,iron
30,Viktor,1853,2.24,49.16,9.62,10.38,167.81,11274,sg,iron
31,Pantheon,1834,1.98,49.02,9.52,3.11,94.47,10574,sg,iron
32,Brand,1827,2.04,51.83,9.48,10.39,85.56,10268,sg,iron
33,Sett,1821,1.71,50.47,9.45,2.8,159.04,11523,sg,iron
34,Ekko,1817,2.25,48.93,9.43,1.72,158.35,11829,sg,iron
35,Veigar,1799,2.36,51.2,9.34,8.18,162.62,11951,sg,iron
36,Smolder,1738,2.09,46.61,9.02,4.48,184.1,11443,sg,iron
37,Dr. Mundo,1722,2.17,53.25,8.94,10.01,171.52,11362,sg,iron
38,Pyke,1692,1.92,47.22,8.78,27.04,37.35,9679,sg,iron
39,Vayne,1638,2.15,49.63,8.5,6.31,160.2,11870,sg,iron
40,Senna,1618,2.79,49.32,8.4,1.72,50.23,9628,sg,iron
41,Thresh,1576,2.4,49.18,8.18,4.34,37.81,8492,sg,iron
42,Jax,1539,1.75,47.76,7.99,3.47,159.55,11523,sg,iron
43,Diana,1530,1.95,49.54,7.94,2.09,181.14,12230,sg,iron
44,Nasus,1517,2.09,52.01,7.88,7.58,174.88,12021,sg,iron
45,Yorick,1516,1.94,52.31,7.87,15.33,198.24,12579,sg,iron
46,Aatrox,1418,1.76,45.91,7.36,12.5,157.66,10796,sg,iron
47,Leona,1377,2.25,48.22,7.15,6.19,30.91,8275,sg,iron
48,Hwei,1359,2.49,48.2,7.06,3.91,147.65,10806,sg,iron
49,Shaco,1348,2.5,48.37,7,25.51,140.09,11360,sg,iron
50,Cho'Gath,1327,2.01,48.38,6.89,3.53,148.2,11262,sg,iron
51,Nunu & Willump,1327,2.27,49.59,6.89,2.26,144.13,10833,sg,iron
52,Blitzcrank,1317,2.3,48.37,6.84,21.46,29.93,8194,sg,iron
53,Zed,1304,2.27,50.23,6.77,25.6,167.93,12390,sg,iron
54,Vi,1284,2.1,49.69,6.67,1.29,159.01,11426,sg,iron
55,Ambessa,1266,1.85,47.31,6.57,30.29,163.16,11363,sg,iron
56,Illaoi,1262,1.66,51.43,6.55,23.17,171.04,11622,sg,iron
57,Nautilus,1260,2.27,48.17,6.54,6.84,39.49,8666,sg,iron
58,Amumu,1211,2.36,52.52,6.29,4.72,154.7,11104,sg,iron
59,Varus,1208,2.26,49.17,6.27,1.3,173.47,11848,sg,iron
60,Vel'Koz,1201,2.31,51.21,6.24,3.51,73.56,10021,sg,iron
61,Neeko,1183,2.3,50.13,6.14,2.96,74.22,9843,sg,iron
62,Irelia,1171,1.68,46.54,6.08,4.82,201.42,12611,sg,iron
63,Wukong,1163,2.38,51.07,6.04,1.55,158.83,11379,sg,iron
64,Xerath,1122,2.69,46.88,5.82,4.31,103.27,10699,sg,iron
65,Briar,1121,1.99,52.99,5.82,11.24,161.54,12123,sg,iron
66,Vex,1053,2.52,48.62,5.47,6.35,162.91,11355,sg,iron
67,Lee Sin,1050,2.25,45.81,5.45,3.42,157.09,11892,sg,iron
68,Tristana,1019,2.03,42.49,5.29,1.46,160.5,11940,sg,iron
69,Xin Zhao,1017,2.22,49.66,5.28,1.09,164.96,11756,sg,iron
70,Malzahar,995,2.48,50.55,5.17,11.24,211.89,12831,sg,iron
71,Zyra,991,2.43,52.17,5.14,4.79,75.78,9802,sg,iron
72,Poppy,985,2.12,50.86,5.11,1.69,61.42,9427,sg,iron
73,Katarina,984,2.14,47.26,5.11,4.54,156.3,11874,sg,iron
74,Trundle,972,1.68,50.41,5.05,2.51,175.74,12267,sg,iron
75,Aphelios,954,2.03,49.69,4.95,2,164.25,11552,sg,iron
76,Samira,909,2.03,48.18,4.72,8.18,163.99,12123,sg,iron
77,Gwen,904,1.7,48.89,4.69,1.93,175.76,11689,sg,iron
78,Kha'Zix,889,2.37,48.14,4.62,3.14,174.55,12773,sg,iron
79,Lucian,862,2.2,44.66,4.48,0.64,176.07,11974,sg,iron
80,Graves,844,2.09,51.18,4.38,2.66,191.39,12897,sg,iron
81,Kayle,830,1.9,50.12,4.31,1.35,200.87,12326,sg,iron
82,LeBlanc,824,2.55,47.57,4.28,8.2,140.56,11022,sg,iron
83,Xayah,819,2.17,46.52,4.25,0.96,179.3,11741,sg,iron
84,Fizz,818,2.39,48.9,4.25,6.27,149.96,12361,sg,iron
85,Lillia,814,2.72,53.69,4.23,3.62,176.52,11880,sg,iron
86,Maokai,795,2.51,50.82,4.13,1.04,77.1,9277,sg,iron
87,Aurelion Sol,785,2.4,50.06,4.08,1.88,174.28,11784,sg,iron
88,K'Sante,770,1.89,45.58,4,2.39,160.7,10571,sg,iron
89,Heimerdinger,767,1.77,48.63,3.98,5.46,162.65,11564,sg,iron
90,Aurora,742,2.42,49.19,3.85,6.12,162.54,10889,sg,iron
91,Sion,727,1.68,52.82,3.77,1.82,179.8,12589,sg,iron
92,Sivir,717,2.49,48.4,3.72,0.65,204.23,12184,sg,iron
93,Rakan,700,2.51,48.71,3.63,0.58,31.61,8094,sg,iron
94,Ziggs,698,2.32,51.15,3.62,2.1,141.2,11125,sg,iron
95,Sejuani,694,2.66,49.71,3.62,0.67,156.59,10956,sg,iron
96,Nami,686,2.97,47.96,3.56,0.28,26.21,8182,sg,iron
97,Jayce,652,1.76,43.4,3.4,0.63,178.89,11806,sg,iron
98,Renekton,640,1.95,47.19,3.32,1.91,175.72,11604,sg,iron
99,Azir,624,1.69,41.67,3.24,0.88,165.58,10764,sg,iron
100,Syndra,615,2.29,44.72,3.19,1.56,171.42,11293,sg,iron
101,Talon,614,2.13,46.25,3.19,1.03,172.69,12037,sg,iron
102,Twitch,597,2.24,47.24,3.1,3.24,151.95,12090,sg,iron
103,Udyr,595,1.97,45.55,3.09,1.82,164.67,11153,sg,iron
104,Tryndamere,581,1.68,45.78,3.02,2.46,193.1,12413,sg,iron
105,Gragas,581,1.94,46.13,3.02,0.88,148.18,10384,sg,iron
106,Riven,578,1.78,44.46,3,1.07,162.54,11470,sg,iron
