Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Pyke,153,2.36,46.41,22.29,36.05,32.4,9293,sg,master
2,Corki,148,2.71,54.73,21.56,13.79,215.01,12586,sg,master
3,Aatrox,147,2.63,55.1,21.41,12.85,199.41,11618,sg,master
4,Yasuo,143,2.1,52.45,20.83,33.62,210.97,11683,sg,master
5,Kai'Sa,138,2.83,50,20.8,1.18,222.54,13112,sg,master
6,Yone,138,1.94,52.9,20.1,11.35,220.42,11776,sg,master
7,Nautilus,119,2.29,47.9,17.33,18.79,29.83,7412,sg,master
8,Lulu,115,3.2,45.22,16.93,8.58,27.73,7674,sg,master
9,Ashe,114,2.56,54.39,16.71,5.19,192.4,11452,sg,master
10,Jinx,110,2.44,46.36,16.34,3.15,225.59,12458,sg,master
11,Yuumi,110,5.19,52.73,16.02,28.14,15.56,7583,sg,master
12,Vladimir,106,2.8,49.06,16.04,13.23,204.45,11466,sg,master
13,Viego,100,2.55,52,15.17,5.81,180.38,12153,sg,master
14,Wukong,96,2.57,46.88,14.5,3.4,164.06,10832,sg,master
15,Jhin,96,2.98,47.92,14.07,1.16,200.33,12283,sg,master
16,Thresh,95,2.93,45.26,13.84,8.04,27.29,7591,sg,master
17,Jarvan IV,95,3.55,48.42,13.84,5.04,168.39,11496,sg,master
18,Rell,95,3.24,60,14.28,2.22,24.99,8175,sg,master
19,Viktor,93,2.36,52.69,17.08,36.07,211.18,11963,sg,master
20,Ahri,92,3.21,54.35,13.4,3.98,201.77,11215,sg,master
21,Akali,91,2.7,52.75,13.76,8,190.05,11851,sg,master
22,Lee Sin,91,2.98,52.75,13.26,9.67,171.15,11631,sg,master
23,Renekton,90,1.67,50,13.34,6.3,200.5,11828,sg,master
24,Vi,88,2.53,46.59,13.62,1.87,173.15,10923,sg,master
25,Sylas,88,2.19,46.59,12.82,21.94,157.85,10582,sg,master
26,Camille,83,1.87,49.4,12.88,0.95,175.53,10801,sg,master
27,Ezreal,76,2.4,46.05,11.07,6.6,203.97,11676,sg,master
28,Jayce,75,2.2,53.33,11.45,1.73,202.92,12319,sg,master
29,Ambessa,73,2.12,50.68,10.63,63.35,183.78,11636,sg,master
30,Kindred,72,2.57,54.17,11.1,7.44,178.97,11624,sg,master
31,Syndra,72,2.67,59.72,10.9,2.09,211.01,12662,sg,master
32,Caitlyn,71,2.08,50.7,10.34,16.59,205.25,12151,sg,master
33,Gwen,71,2.42,57.75,10.34,22.29,228.87,13322,sg,master
34,Lucian,70,2.99,58.57,10.96,2.82,220.69,13149,sg,master
35,Graves,69,2.01,44.93,10.05,20.57,197.96,12416,sg,master
36,Vel'Koz,68,2.26,50,10.79,3.76,72.43,9317,sg,master
37,Singed,68,2.01,50,11.35,1.64,187.65,10771,sg,master
38,Nidalee,66,3.25,48.48,9.61,12.89,188.82,12015,sg,master
39,LeBlanc,64,3.23,54.69,9.32,21.54,183.55,11681,sg,master
40,Nami,64,3.55,56.25,11.81,0.59,22.5,7387,sg,master
41,Karma,64,3.14,56.25,10.15,1.89,44.02,8274,sg,master
42,Milio,63,3.63,52.38,10.86,0.17,21.87,7250,sg,master
43,Janna,63,3.2,52.38,9.28,6.93,25.43,7688,sg,master
44,Maokai,60,2.53,46.67,9.4,1.9,143.12,9656,sg,master
45,Poppy,59,1.87,38.98,8.59,9.58,39.98,8167,sg,master
46,Kha'Zix,58,2.4,46.55,8.45,10.75,192.67,11972,sg,master
47,Hwei,57,2.53,38.6,8.3,13.01,207.6,11287,sg,master
48,Lux,56,2.43,44.64,8.89,2.68,134.95,10150,sg,master
49,Braum,56,3.33,51.79,8.54,3.74,27.59,8132,sg,master
50,Darius,56,2.34,57.14,8.16,17.44,205.32,12471,sg,master
51,Zed,54,2.45,48.15,7.92,5.67,185.41,11666,sg,master
52,Warwick,54,2.01,55.56,8.91,12.13,164.2,10789,sg,master
53,Ornn,53,2.55,43.4,10.03,1.04,182.53,10495,sg,master
54,Galio,52,3.4,65.38,7.57,16.82,184.88,11354,sg,master
55,Leona,51,2.85,52.94,7.43,8.43,26.82,7393,sg,master
56,Seraphine,48,3.21,41.67,8.08,1.68,130.1,9681,sg,master
57,Bard,47,3.32,51.06,8.65,1.33,33.51,8444,sg,master
58,Smolder,45,2.01,44.44,7.74,2,221.24,12064,sg,master
59,Riven,42,1.67,50,6.73,2.97,207.29,11485,sg,master
60,Varus,41,2.58,48.78,6.5,0.98,219.63,12508,sg,master
61,Rakan,41,3.1,51.22,7.78,0.68,27.68,7305,sg,master
62,Katarina,41,2.53,51.22,6.01,7.39,176.83,11836,sg,master
63,Xayah,40,2.38,50,8,0.98,216.47,12287,sg,master
64,Sivir,40,2.67,52.5,7.64,1.11,243.55,12902,sg,master
65,Nunu & Willump,40,3.19,60,6.71,5.99,165.03,10517,sg,master
66,Soraka,39,3.01,43.59,8.89,0.52,23.28,6951,sg,master
67,Swain,38,2.44,47.37,5.59,4.98,179.32,11439,sg,master
68,Ziggs,37,2.27,35.14,7.48,0.46,199.92,11238,sg,master
69,Zilean,37,3.54,62.16,5.72,6.17,53.51,7746,sg,master
70,Gragas,36,2.38,44.44,5.59,4.78,180.61,11133,sg,master
71,Jax,36,1.86,44.44,5.24,10.66,180.89,11058,sg,master
72,Skarner,36,3.54,50,5.24,9.76,153.44,10451,sg,master
73,Alistar,36,2.79,52.78,6.2,0.64,31.33,7773,sg,master
74,Draven,36,2.65,61.11,5.24,15.13,230.53,15061,sg,master
75,Volibear,35,2.24,40,6.09,1.44,183.74,10929,sg,master
76,Kayn,35,2.29,42.86,5.29,3.67,181.54,11794,sg,master
77,Dr. Mundo,34,2.34,55.88,6.74,3.03,222.03,12646,sg,master
78,K'Sante,33,2.6,36.36,4.99,10.84,184.76,10868,sg,master
79,Ryze,31,2.55,32.26,7.71,0.05,222.77,11727,sg,master
80,Lissandra,31,2.71,48.39,5.92,2.45,195.52,11546,sg,master
81,Tristana,31,2.11,54.84,7.53,0.02,199.42,11850,sg,master
82,Senna,30,2.27,33.33,5.26,1.63,27.37,8281,sg,master
83,Xin Zhao,28,2.05,42.86,4.69,4.51,157.5,10167,sg,master
84,Elise,28,3.7,64.29,4.08,22.94,156.32,13148,sg,master
85,Karthus,28,3.3,64.29,4.63,5.47,219.86,13713,sg,master
86,Blitzcrank,27,2.42,48.15,3.93,19.14,22.89,7119,sg,master
87,Aurora,27,3.39,59.26,3.93,8.73,189.96,11394,sg,master
88,Mordekaiser,26,1.57,26.92,4.62,1.78,186,10664,sg,master
89,Aphelios,26,2.19,42.31,7.42,0.63,220.42,13442,sg,master
90,Hecarim,26,2.82,53.85,4.55,1.82,213.46,12543,sg,master
91,Malphite,26,3.24,61.54,3.79,12.69,192.58,11294,sg,master
92,Vex,26,2.9,69.23,4.03,2.34,187.31,10845,sg,master
93,Ekko,25,2.59,48,4.48,3.54,185.36,12365,sg,master
94,Shen,23,2.24,30.43,7.81,0.03,128.3,8685,sg,master
95,Twisted Fate,23,2.21,39.13,5.7,0.35,117.48,10357,sg,master
96,Sett,23,2.34,47.83,8.22,0.64,211.61,12603,sg,master
97,Master Yi,23,2.74,56.52,3.48,7.44,186.39,12700,sg,master
98,Zac,23,3.43,65.22,6.04,1.31,161.83,10880,sg,master
99,Irelia,21,1.23,33.33,3.47,2.76,213.43,11634,sg,master
100,Gnar,21,1.69,42.86,4.81,0.64,190.81,11241,sg,master
101,Miss Fortune,21,2.23,47.62,5.92,0.39,216.38,12846,sg,master
102,Sejuani,20,3.05,20,4.7,1.67,164.4,10797,sg,master
103,Sona,20,2.38,35,5.92,0.15,23.25,6874,sg,master
104,Orianna,20,2.44,50,3.52,1.34,187.95,10130,sg,master
105,Zeri,20,2.48,60,5.12,0.28,243.65,13504,sg,master
106,Fiora,19,1.27,31.58,2.77,8.81,191.16,10617,sg,master
107,Ivern,19,7.8,47.37,3.69,3.77,136.95,10367,sg,master
108,Diana,19,2.04,47.37,3.46,1.17,190.68,11993,sg,master
109,Tryndamere,19,2,52.63,3.32,2.78,219.16,11725,sg,master
110,Kayle,19,2.27,57.89,3.59,2.21,216.84,11285,sg,master
111,Lillia,19,3.27,57.89,2.84,8.95,205.21,12741,sg,master
112,Trundle,19,1.5,63.16,4.64,0.98,207.47,13587,sg,master
113,Morgana,18,2.29,50,2.98,5,35.94,8794,sg,master
114,Akshan,17,2.06,35.29,3.5,1.28,193.88,12150,sg,master
115,Annie,17,2.55,41.18,5.48,0.23,83.06,8656,sg,master
116,Zyra,17,2.57,58.82,5.25,0.22,88.59,9070,sg,master
117,Rumble,17,2.16,58.82,4.61,0.81,189.53,10628,sg,master
118,Samira,16,3.39,50,2.42,6.97,178.44,12337,sg,master
119,Tahm Kench,16,2.55,50,2.35,4.35,60.38,7976,sg,master
120,Vayne,16,1.89,62.5,3.73,1.56,184.69,11078,sg,master
121,Amumu,15,2.39,53.33,2.73,2.53,166.4,11414,sg,master
122,Twitch,14,2.31,35.71,2.45,2.26,208.36,12649,sg,master
123,Talon,14,2.35,50,3.02,3.04,191.79,11836,sg,master
124,Garen,14,2.5,50,3.44,1.87,241.43,14079,sg,master
125,Gangplank,13,2.11,46.15,2.76,1.61,204.23,12361,sg,master
126,Udyr,12,1.6,25,2.5,2.23,162.83,9180,sg,master
127,Nocturne,12,2.46,33.33,1.84,5.92,173.75,11515,sg,master
128,Xerath,12,2.64,41.67,2.91,1.19,97.42,9301,sg,master
129,Quinn,12,1.28,58.33,6.81,4.83,177.17,10346,sg,master
130,Pantheon,12,3.98,58.33,3.31,1.91,148.5,11291,sg,master
131,Shaco,12,2.78,58.33,2,2.76,106.67,10641,sg,master
132,Azir,11,1.72,27.27,2.91,1.29,200.55,10623,sg,master
133,Rengar,11,2.17,36.36,1.6,12.29,221.18,13037,sg,master
134,Qiyana,11,3.05,45.45,3.78,0.79,200.73,14620,sg,master
135,Cassiopeia,11,3.18,45.45,3.31,0.75,219.73,12290,sg,master
136,Kled,10,2.01,30,3.73,1.19,207.3,13379,sg,master
137,Taliyah,10,2.91,60,4.54,0.77,190,11210,sg,master
138,Renata Glasc,9,1.67,11.11,3.52,0.39,26.89,6559,sg,master
139,Veigar,9,1.73,22.22,3.29,0.22,221,11922,sg,master
140,Shyvana,9,3.46,55.56,3.78,0.13,219.33,13712,sg,master
141,Nasus,8,1.65,25,1.2,7.81,190.75,11048,sg,master
142,Taric,8,2.76,37.5,3.57,1.2,25.88,6247,sg,master
143,Brand,8,2.18,75,2.61,0.52,169.38,11794,sg,master
144,Cho'Gath,8,2.73,75,2.83,0.99,198.5,11952,sg,master
145,Heimerdinger,7,2.11,42.86,2.68,0.54,94.43,9410,sg,master
146,Sion,7,1.3,42.86,3.27,0.56,174.71,11197,sg,master
147,Yorick,7,1.71,42.86,1.03,8.44,208.43,11105,sg,master
148,Teemo,7,1.24,42.86,1.32,1.8,191.86,11140,sg,master
149,Malzahar,6,1.69,16.67,2.14,1.07,163,9079,sg,master
150,Fizz,6,3.71,33.33,1.02,3.16,176.5,11731,sg,master
151,Kog'Maw,6,2.61,50,1.74,2.12,163.67,10230,sg,master
152,Kalista,6,4.04,83.33,3.02,0.15,209.83,13264,sg,master
153,Anivia,5,1.72,40,1.51,1.84,177.8,10218,sg,master
154,Kassadin,5,2.09,40,0.75,5.79,197.6,12454,sg,master
155,Fiddlesticks,4,2.5,50,1.73,1.04,219.5,13225,sg,master
156,Nilah,4,2.48,75,1.15,0.98,149.75,10817,sg,master
157,Olaf,4,3,75,1.91,1.72,230.25,14648,sg,master
158,Neeko,3,3.83,33.33,1.22,4.72,58.67,8541,sg,master
159,Naafiri,3,3.09,33.33,1.68,0.5,227.33,12293,sg,master
160,Urgot,3,2.5,33.33,3.3,0.77,55.67,8465,sg,master
161,Zoe,3,2.53,66.67,0.83,1.14,150.33,9812,sg,master
162,Kennen,2,2.21,0,0.79,1.43,256.5,16090,sg,master
163,Rek'Sai,2,3.67,50,2.91,0.58,188.5,11864,sg,master
164,Bel'Veth,2,5.4,50,0.81,1.58,145,10406,sg,master
165,Illaoi,2,1.33,50,0.6,1.63,193.5,11965,sg,master
166,Rammus,1,2.25,0,0.78,1.25,130,9054,sg,master
167,Evelynn,1,1.2,0,0.42,1.29,111,7223,sg,master
168,Aurelion Sol,1,1.2,0,0.2,2.15,136,9272,sg,master
169,Briar,0,0,0,0,1.64,NaN,NaN,sg,master
