Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,4503,2.33,50.97,27.82,28.59,215.2,13169,sg,platinum
2,Jhin,3752,3.02,50.56,23.18,3.97,203.41,13085,sg,platinum
3,Jinx,3333,2.47,51.97,20.59,4.03,211.98,12545,sg,platinum
4,Ashe,3007,2.42,48.99,18.57,7.77,192.47,11884,sg,platinum
5,Lux,2898,2.69,51.83,17.9,12.44,108.76,10497,sg,platinum
6,Sylas,2793,2.19,50.2,17.25,18.34,149.13,11212,sg,platinum
7,Viktor,2679,2.2,48.71,16.55,23.3,207.94,12190,sg,platinum
8,Ezreal,2504,2.59,47.76,15.47,4.82,203.45,12392,sg,platinum
9,Thresh,2406,2.79,50.83,14.86,10.44,32.38,8213,sg,platinum
10,Ahri,2251,2.7,49.76,13.9,8.79,199.96,11906,sg,platinum
11,Yone,2218,1.71,45.76,13.7,15.87,213.07,12078,sg,platinum
12,Smolder,2188,2.25,47.9,13.52,8.8,225.59,12694,sg,platinum
13,Kai'Sa,2025,2.5,49.83,12.51,2.38,216.73,13143,sg,platinum
14,Warwick,1973,2.29,52.31,12.19,23.75,174.64,12259,sg,platinum
15,Viego,1970,2.51,49.9,12.17,10.2,186.48,12564,sg,platinum
16,Graves,1922,2.48,49.48,11.87,17.48,209.3,13523,sg,platinum
17,Tahm Kench,1911,2.58,52.43,11.8,13.71,94.5,9977,sg,platinum
18,Yasuo,1859,1.6,46.8,11.48,20.12,215.64,12302,sg,platinum
19,Aatrox,1741,1.96,50.89,10.75,18.76,186.85,11669,sg,platinum
20,Galio,1733,2.81,50.66,10.7,10.26,169.3,10747,sg,platinum
21,Lee Sin,1728,2.62,48.96,10.67,6.75,166.64,11931,sg,platinum
22,Kayn,1677,2.35,51.7,10.36,7.19,190.04,12431,sg,platinum
23,Swain,1667,2.5,51.17,10.3,9.1,136.16,10792,sg,platinum
24,Volibear,1531,2.12,52.51,9.46,5.3,192.09,12062,sg,platinum
25,Zed,1498,2.45,50.27,9.25,26.27,194.54,12808,sg,platinum
26,Lulu,1495,3.25,47.83,9.23,9.1,29.09,8004,sg,platinum
27,Pantheon,1493,2.21,54.32,9.22,3.44,119.34,11278,sg,platinum
28,Mordekaiser,1437,2.02,53.38,8.88,12.87,186.84,12060,sg,platinum
29,Nocturne,1436,2.74,52.37,8.87,20.75,187.89,12234,sg,platinum
30,Nautilus,1432,2.42,49.58,8.85,13.27,36.87,8362,sg,platinum
31,Darius,1418,1.88,50,8.76,18.43,198.49,12311,sg,platinum
32,Hwei,1415,2.58,51.66,8.74,6.75,181.46,11729,sg,platinum
33,Master Yi,1392,2.14,50.93,8.6,13.13,185.51,12711,sg,platinum
34,Malphite,1384,2.61,50.43,8.55,7.67,178.77,11285,sg,platinum
35,Akali,1357,2.39,52.39,8.38,8.14,182.65,11966,sg,platinum
36,Xerath,1334,2.95,51.12,8.24,8.37,113.69,10887,sg,platinum
37,Gragas,1319,2.44,51.63,8.15,4.13,175.03,11308,sg,platinum
38,Senna,1309,3.04,51.87,8.09,1.67,40.53,9704,sg,platinum
39,Miss Fortune,1308,2.6,51.15,8.08,1.26,199.91,12880,sg,platinum
40,Corki,1286,2.59,51.24,7.94,5.38,214.4,13076,sg,platinum
41,Lucian,1270,2.48,49.61,7.84,1.23,210.4,12931,sg,platinum
42,Ekko,1257,2.61,52.27,7.76,1.69,186.75,12627,sg,platinum
43,Kha'Zix,1244,2.56,50.72,7.68,10.03,184.07,12726,sg,platinum
44,Ambessa,1237,1.93,49.72,7.64,55.91,184.58,11668,sg,platinum
45,Vayne,1230,2.2,49.35,7.6,4.4,194.36,12417,sg,platinum
46,Wukong,1225,2.72,51.51,7.57,1.77,180.43,12071,sg,platinum
47,Diana,1223,2.15,49.8,7.55,1.5,202.39,12769,sg,platinum
48,Karma,1216,2.64,51.07,7.51,3.13,48.47,8717,sg,platinum
49,Varus,1204,2.35,49.09,7.44,0.95,197.65,12380,sg,platinum
50,Poppy,1153,2.28,50.74,7.12,7.14,84.94,9817,sg,platinum
51,Renekton,1146,2.13,51.83,7.08,4.2,210.03,12564,sg,platinum
52,Pyke,1130,2.07,50.62,6.98,16.44,38.23,9918,sg,platinum
53,Maokai,1113,2.63,52.65,6.87,2.11,121.68,9806,sg,platinum
54,Katarina,1092,2.44,49.82,6.75,6.56,178.67,12531,sg,platinum
55,Sivir,1092,2.71,53.02,6.75,1.31,243.32,13279,sg,platinum
56,Morgana,1091,2.71,50.23,6.74,23.04,56.33,9354,sg,platinum
57,Nami,1085,3.42,52.53,6.7,0.54,25.63,8131,sg,platinum
58,Riven,1077,2.02,52.74,6.65,2.34,204.42,12537,sg,platinum
59,Irelia,1064,1.64,49.15,6.57,7.33,231.26,13307,sg,platinum
60,Vi,1063,2.49,50.14,6.57,1.81,169.01,11653,sg,platinum
61,Nasus,1029,2.01,50.44,6.36,8.7,193.57,11911,sg,platinum
62,Leona,1020,2.48,46.76,6.3,5.8,31.61,8146,sg,platinum
63,Amumu,1009,2.56,53.32,6.23,3.14,161.86,11275,sg,platinum
64,Braum,1002,3.18,53.09,6.19,2.47,28.5,8227,sg,platinum
65,Garen,987,1.95,49.34,6.1,4.2,219.26,12752,sg,platinum
66,LeBlanc,976,2.68,48.57,6.03,17.13,167.28,11698,sg,platinum
67,Dr. Mundo,972,2.03,51.23,6,5.19,200.55,11861,sg,platinum
68,Jax,968,1.7,47.83,5.98,6.58,189.01,11880,sg,platinum
69,K'Sante,948,2.18,47.89,5.86,7.48,190.39,11536,sg,platinum
70,Jayce,948,1.89,48.63,5.86,1.38,208.19,12522,sg,platinum
71,Syndra,939,2.39,49.2,5.8,4.06,208.31,12608,sg,platinum
72,Brand,939,2.13,53.14,5.8,4.52,106.03,10605,sg,platinum
73,Vel'Koz,917,2.35,53.98,5.66,2.72,74.32,10152,sg,platinum
74,Teemo,909,1.97,48.07,5.61,9.79,178.61,11696,sg,platinum
75,Malzahar,894,2.42,53.58,5.52,5.11,231.86,12845,sg,platinum
76,Jarvan IV,882,3.24,50.91,5.45,1.07,164.89,11778,sg,platinum
77,Draven,867,2.16,47.17,5.36,11.18,201.91,13965,sg,platinum
78,Blitzcrank,866,2.53,47.46,5.35,24.72,28.86,8194,sg,platinum
79,Sion,845,1.64,52.54,5.22,1.82,206.81,12698,sg,platinum
80,Xayah,823,2.52,48,5.08,0.67,221.55,12767,sg,platinum
81,Veigar,811,2.37,51.54,5.01,1.76,185.81,12148,sg,platinum
82,Sett,803,1.77,51.68,4.96,0.75,188.66,12441,sg,platinum
83,Xin Zhao,791,2.47,50.7,4.89,1.06,174.42,11774,sg,platinum
84,Lillia,784,2.89,50.13,4.84,5.19,193.41,12274,sg,platinum
85,Ornn,784,2.61,53.57,4.84,1.07,180.78,11079,sg,platinum
86,Seraphine,761,2.8,51.12,4.7,1.44,83.04,9467,sg,platinum
87,Cho'Gath,751,2.25,51.8,4.64,1.19,183.28,11788,sg,platinum
88,Rakan,745,2.95,50.07,4.6,0.51,30.47,7928,sg,platinum
89,Soraka,744,3.11,52.96,4.6,1.37,26.75,7835,sg,platinum
90,Nunu & Willump,739,2.51,47.36,4.56,1.55,162.8,11363,sg,platinum
91,Elise,725,2.67,48.41,4.48,3.02,157.1,12033,sg,platinum
92,Vladimir,706,2.42,49.43,4.36,4.33,209.61,12319,sg,platinum
93,Ziggs,670,2.41,52.39,4.14,1.69,201.22,12407,sg,platinum
94,Orianna,665,2.61,48.87,4.11,1.2,198.38,11642,sg,platinum
95,Camille,649,1.94,48.84,4.01,1.54,176.85,11927,sg,platinum
96,Gwen,649,1.68,51.16,4.01,3.84,206.21,12706,sg,platinum
97,Alistar,646,2.63,46.75,3.99,1.52,33.21,8254,sg,platinum
98,Shen,640,2.8,48.28,3.95,0.5,132.32,10021,sg,platinum
99,Aurora,624,2.46,52.24,3.85,14.61,195.31,11830,sg,platinum
100,Shaco,620,2.64,49.84,3.83,18.54,148.42,11636,sg,platinum
101,Samira,596,2.25,47.65,3.68,6.81,197.02,13467,sg,platinum
102,Ryze,595,2.36,49.24,3.68,0.45,229.33,12871,sg,platinum
103,Milio,595,3.91,50.25,3.68,1.04,27.87,7756,sg,platinum
104,Yorick,589,1.73,51.1,3.64,4.68,218.17,12727,sg,platinum
105,Sejuani,581,3.06,48.54,3.59,0.56,166.78,11107,sg,platinum
106,Zac,577,3.23,48.01,3.56,1.36,158.03,10978,sg,platinum
107,Hecarim,571,2.74,49.74,3.53,2.08,204.31,12572,sg,platinum
108,Janna,559,3.18,50.81,3.45,0.66,28.05,8059,sg,platinum
