Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,7117,2.34,50.77,27.39,29.07,205.33,13071,sg,silver
2,Jhin,6114,3.03,52.5,23.53,8.06,194.78,13122,sg,silver
3,Lux,5278,2.69,51.59,20.31,23.33,98.13,10394,sg,silver
4,Jinx,5009,2.44,50.67,19.28,3.68,204.49,12566,sg,silver
5,Ashe,4618,2.5,49.22,17.77,7.16,182.75,11832,sg,silver
6,Yone,3876,1.81,48.53,14.92,14.99,208.67,12348,sg,silver
7,Yasuo,3835,1.69,49.13,14.76,24.26,208.74,12381,sg,silver
8,Viktor,3811,2.29,49.93,14.67,16.23,197.08,12183,sg,silver
9,Sylas,3669,2.13,47.56,14.12,16.58,150.44,11284,sg,silver
10,Warwick,3641,2.3,53.58,14.01,22.67,172.52,12462,sg,silver
11,Ezreal,3622,2.71,49.25,13.94,3.23,193.79,12441,sg,silver
12,Viego,3515,2.46,50.3,13.53,9.15,182.65,12604,sg,silver
13,Ahri,3478,2.75,51.9,13.39,7.91,188.92,11831,sg,silver
14,Miss Fortune,3446,2.7,52.84,13.26,2.68,191.72,13001,sg,silver
15,Thresh,3407,2.68,49.1,13.11,7.54,35.23,8479,sg,silver
16,Kayn,3377,2.42,54.04,13,8.45,187.21,12581,sg,silver
17,Swain,3102,2.53,52.32,11.94,11.32,109.26,10558,sg,silver
18,Kai'Sa,3063,2.46,47.99,11.79,2.37,208.32,13030,sg,silver
19,Tahm Kench,3013,2.6,51.94,11.6,14.95,98.09,10360,sg,silver
20,Mordekaiser,2840,2.08,53.59,10.93,17.61,186.29,12423,sg,silver
21,Teemo,2761,2.02,51.76,10.63,17.94,170.83,12036,sg,silver
22,Galio,2743,2.85,53.04,10.56,7.97,158.97,10859,sg,silver
23,Smolder,2675,2.25,47.29,10.3,6.89,214.85,12603,sg,silver
24,Nocturne,2668,2.74,52.66,10.27,21.66,191.08,12626,sg,silver
25,Vayne,2658,2.28,51.39,10.23,6.04,187.59,12673,sg,silver
26,Malphite,2621,2.57,50.93,10.09,6.17,160.25,11270,sg,silver
27,Zed,2600,2.46,50.85,10.01,31.53,190.73,13033,sg,silver
28,Volibear,2499,2.05,51.02,9.62,4.68,180.4,11847,sg,silver
29,Darius,2438,1.9,48.85,9.38,19.29,194,12501,sg,silver
30,Akali,2389,2.4,49.85,9.19,10.4,173.15,12055,sg,silver
31,Lee Sin,2363,2.64,50.74,9.09,6.31,164.24,12063,sg,silver
32,Ekko,2268,2.53,52.34,8.73,1.29,184.13,12795,sg,silver
33,Malzahar,2258,2.45,53.72,8.69,11.71,228.48,13059,sg,silver
34,Aatrox,2251,1.99,50.78,8.66,16.01,182.86,11846,sg,silver
35,Morgana,2251,2.69,51.8,8.66,30.05,61.49,9617,sg,silver
36,Garen,2200,2.21,52.55,8.47,4.69,213.56,13157,sg,silver
37,Dr. Mundo,2186,2.23,53.25,8.41,8.33,197.29,11988,sg,silver
38,Master Yi,2181,2.1,50.76,8.39,19.36,187.75,12873,sg,silver
