Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"1,424,362",2.18:1,50.52%,28.75%,32.24%,199.49,"12,792"
2,Lux,"1,074,282",2.58:1,51.41%,21.68%,20.05%,95.81,"10,378"
3,Jhin,"1,054,391",2.79:1,50.89%,21.28%,9.15%,190.83,"12,943"
4,Jinx,"1,034,311",2.32:1,50.56%,20.88%,5.04%,199.73,"12,434"
5,Ashe,"864,606",2.34:1,49.65%,17.45%,12.59%,179.24,"11,677"
6,Ezreal,"753,242",2.51:1,48.29%,15.2%,4.74%,189.42,"12,092"
7,Warwick,"735,483",2.29:1,53.78%,14.85%,25.31%,168.1,"12,349"
8,Miss Fortune,"729,144",2.5:1,51.73%,14.72%,3.8%,188.41,"12,863"
9,Yone,"718,517",1.69:1,48.64%,14.5%,13.92%,203.73,"12,083"
10,Yasuo,"712,506",1.63:1,49.07%,14.38%,21.37%,206.57,"12,354"
11,Viktor,"679,587",2.17:1,51.06%,13.72%,17.8%,193.06,"12,007"
12,Lee Sin,"669,816",2.63:1,48.66%,13.52%,10.7%,160.77,"11,786"
13,Sylas,"640,862",2.09:1,49.02%,12.94%,13.61%,145.01,"11,015"
14,Viego,"617,464",2.46:1,50.59%,12.46%,7.88%,179.18,"12,352"
15,Tahm Kench,"603,745",2.54:1,52.35%,12.19%,15.83%,92.89,"10,186"
16,Teemo,"577,323",1.94:1,51.62%,11.65%,22.58%,175.05,"11,989"
17,Swain,"566,222",2.36:1,50.74%,11.43%,10.88%,113.87,"10,481"
18,Kai'Sa,"558,561",2.4:1,48.41%,11.27%,2.24%,203.72,"12,901"
19,Ahri,"539,028",2.55:1,50.81%,10.88%,5.96%,184.7,"11,615"
20,Thresh,"529,107",2.65:1,49.53%,10.68%,4.06%,34.86,"8,411"
21,Graves,"518,457",2.4:1,50.02%,10.47%,11.02%,201.83,"13,281"
22,Kayn,"517,866",2.31:1,51.31%,10.45%,6.52%,183.57,"12,513"
23,Mordekaiser,"498,122",1.99:1,52.96%,10.05%,17.23%,179.49,"12,066"
24,Akali,"487,306",2.33:1,49.98%,9.84%,12.14%,169.22,"11,804"
25,Morgana,"481,090",2.67:1,51.76%,9.71%,28.11%,65,"9,689"
26,Nocturne,"471,577",2.71:1,52.9%,9.52%,16.7%,186.26,"12,449"
27,Smolder,"465,190",2.16:1,47.84%,9.39%,4.51%,211.84,"12,443"
28,Ekko,"456,665",2.45:1,50.24%,9.22%,1.62%,177.08,"12,503"
29,Diana,"454,712",2.12:1,50.99%,9.18%,3.41%,194.6,"12,866"
30,Volibear,"454,417",2:1,51.58%,9.17%,6.12%,177.19,"11,795"
31,Darius,"448,700",1.82:1,49.48%,9.06%,18.78%,188.31,"12,260"
32,Veigar,"434,924",2.33:1,52.27%,8.78%,4.21%,184.82,"12,512"
