Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"25,489",2.47:1,50.85%,31.18%,33.3%,201.81,"12,881"
2,Jhin,"19,138",3.18:1,50.56%,23.41%,9.99%,193.3,"13,012"
3,Lux,"18,473",2.79:1,51.69%,22.6%,27.38%,94.97,"10,377"
4,Jinx,"16,040",2.58:1,50.18%,19.62%,3.98%,202.09,"12,501"
5,Viktor,"13,999",2.46:1,51.2%,17.12%,20.13%,191.71,"12,100"
6,Ashe,"12,929",2.62:1,50.29%,15.82%,7.58%,182.81,"11,822"
7,Yone,"12,857",1.84:1,48.74%,15.73%,13.91%,201.84,"12,126"
8,Viego,"12,823",2.39:1,51.4%,15.69%,11.05%,176.87,"12,461"
9,Pantheon,"12,379",2.12:1,49.5%,15.14%,15.06%,119.07,"11,285"
10,Sett,"12,243",1.75:1,50.58%,14.98%,4.61%,179.3,"12,181"
11,Warwick,"12,015",2.28:1,53.46%,14.7%,18.24%,166.53,"12,389"
12,Yasuo,"11,247",1.74:1,48.8%,13.76%,20.99%,202.62,"12,258"
13,Sylas,"11,096",2.17:1,48.37%,13.57%,20.1%,149.1,"11,192"
14,Ezreal,"10,632",2.78:1,48.23%,13.01%,3.09%,191.27,"12,177"
15,Ahri,"10,254",2.88:1,52.74%,12.54%,9.94%,184.58,"11,748"
16,Garen,"9,750",2.17:1,50.78%,11.93%,11.37%,204.45,"12,982"
17,Swain,"9,577",2.52:1,51.38%,11.72%,13.45%,104.86,"10,445"
18,Smolder,"9,461",2.51:1,47.81%,11.57%,7.38%,211.67,"12,457"
19,Lee Sin,"9,222",2.59:1,48.6%,11.28%,14.42%,163.43,"12,069"
20,Kai'Sa,"9,000",2.58:1,48.29%,11.01%,1.77%,206.69,"12,924"
21,Kayn,"8,820",2.29:1,50.22%,10.79%,5.21%,179.17,"12,341"
22,Mordekaiser,"8,811",2.09:1,53.19%,10.78%,18.27%,175.78,"12,101"
23,Miss Fortune,"8,793",2.74:1,51.19%,10.76%,1.42%,188.85,"12,889"
24,Ekko,"8,565",2.47:1,48.18%,10.48%,1.65%,173.69,"12,487"
25,Tahm Kench,"8,460",2.55:1,52.8%,10.35%,14.73%,88.2,"10,111"
26,Darius,"8,454",1.91:1,49.54%,10.34%,19.61%,186.67,"12,261"
27,Morgana,"8,270",2.8:1,52.52%,10.12%,35.44%,54.96,"9,471"
28,Graves,"7,702",2.49:1,51.22%,9.42%,10.36%,204.69,"13,553"
29,Aatrox,"7,665",1.96:1,49.2%,9.38%,17.75%,178.98,"11,617"
30,Thresh,"7,625",2.57:1,49.4%,9.33%,4.04%,35.8,"8,472"
31,Malphite,"7,541",2.57:1,50.43%,9.22%,8.26%,159.31,"11,313"
32,Akali,"7,290",2.43:1,49.36%,8.92%,8.53%,162.32,"11,802"
33,Ambessa,"7,183",2.06:1,49.32%,8.79%,46.86%,177.42,"11,833"
34,Pyke,"7,079",2.06:1,47.92%,8.66%,21.52%,40.87,"9,954"
35,Seraphine,"7,051",2.96:1,49.64%,8.63%,3.83%,58.58,"9,179"
36,Lulu,"7,050",3.35:1,49.94%,8.62%,6.91%,30.5,"8,123"
37,Nocturne,"6,904",2.73:1,54.48%,8.45%,25.01%,184.46,"12,525"
38,Vi,"6,742",2.4:1,49.75%,8.25%,3%,169.75,"11,964"
39,Master Yi,"6,516",2.02:1,49.19%,7.97%,12.2%,181.91,"12,779"
40,Leona,"6,275",2.49:1,50.04%,7.68%,9.67%,33.64,"8,430"
41,Zed,"6,184",2.37:1,48.54%,7.56%,22.57%,181.73,"12,628"
42,Hwei,"6,160",2.56:1,48.26%,7.54%,5.1%,165.1,"11,335"
43,Veigar,"6,154",2.67:1,51.88%,7.53%,6.56%,187.08,"12,568"
44,Galio,"6,067",2.8:1,50.55%,7.42%,7.78%,159.7,"10,834"
45,Vayne,"6,013",2.29:1,50.17%,7.36%,4.53%,182.98,"12,449"
46,Teemo,"6,011",2.05:1,50.66%,7.35%,11.86%,160.77,"11,716"
