Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,4952,2.51,50.89,32.22,33.12,195.18,12881,th,bronze
2,Jhin,3817,3.25,51.98,24.84,12.9,184.22,12949,th,bronze
3,Lux,3625,2.9,53.6,23.59,34.79,93,10625,th,bronze
4,Jinx,3054,2.56,49.28,19.87,4.47,194.33,12512,th,bronze
5,Sett,2746,1.81,50.44,17.87,6.27,177.76,12364,th,bronze
6,Pantheon,2723,2.15,49.1,17.72,17.28,117.02,11397,th,bronze
7,Viktor,2645,2.5,51.19,17.21,19.41,181.36,11997,th,bronze
8,Warwick,2515,2.31,55.51,16.36,19.38,166.65,12588,th,bronze
9,Yone,2468,1.95,50.08,16.06,14.57,197.3,12280,th,bronze
10,Viego,2331,2.31,51.82,15.17,10.35,175.57,12441,th,bronze
11,Yasuo,2285,1.8,49.93,14.87,21.14,198.35,12353,th,bronze
12,Ashe,2191,2.65,49.7,14.26,6.45,174.87,11857,th,bronze
13,Garen,2066,2.28,51.06,13.44,13.08,200.24,13119,th,bronze
14,Sylas,2029,2.12,45.98,13.2,18.95,142.69,11064,th,bronze
15,Miss Fortune,2028,2.78,51.68,13.2,2.16,186.27,12920,th,bronze
16,Swain,1992,2.57,51.91,12.96,15.86,89.81,10347,th,bronze
17,Ahri,1943,2.88,52.75,12.64,9.89,178.59,11753,th,bronze
18,Ezreal,1914,2.77,47.7,12.45,3.09,179.84,11963,th,bronze
19,Ekko,1893,2.49,48.65,12.32,2.16,170.69,12527,th,bronze
20,Mordekaiser,1872,2.11,53.53,12.18,21.86,172.56,12164,th,bronze
21,Kayn,1856,2.26,50.32,12.08,5.29,176.09,12361,th,bronze
22,Kai'Sa,1737,2.61,48.36,11.3,1.61,203.17,13113,th,bronze
23,Darius,1717,1.93,48.69,11.17,24.25,182.97,12304,th,bronze
24,Morgana,1696,2.88,54.25,11.04,35.01,56.29,9668,th,bronze
25,Smolder,1691,2.6,48.61,11,6.95,204.88,12502,th,bronze
26,Malphite,1636,2.5,50.37,10.64,6.44,147.18,11293,th,bronze
27,Tahm Kench,1635,2.53,52.97,10.64,14.67,84.14,10127,th,bronze
28,Akali,1521,2.48,49.18,9.9,11.07,154.61,11726,th,bronze
29,Teemo,1489,2.18,52.79,9.69,15.63,162.93,11913,th,bronze
30,Master Yi,1434,2,48.47,9.33,13.54,184.64,13077,th,bronze
31,Seraphine,1404,2.96,51.21,9.14,4.76,56.69,9218,th,bronze
32,Veigar,1399,2.7,52.04,9.1,8.49,179.9,12609,th,bronze
33,Nocturne,1313,2.7,53.47,8.54,24.67,181.94,12570,th,bronze
34,Lee Sin,1307,2.46,47.67,8.5,12.5,162.1,12065,th,bronze
35,Pyke,1305,2,46.51,8.49,25.34,40.76,10153,th,bronze
36,Vi,1280,2.42,51.09,8.33,2.3,170.76,12139,th,bronze
37,Senna,1259,2.8,48.85,8.19,1.5,50.46,10031,th,bronze
38,Thresh,1235,2.52,49.64,8.04,3.63,38.01,8685,th,bronze
39,Aatrox,1233,1.95,50.69,8.02,17.29,173.07,11695,th,bronze
40,Ambessa,1213,2.08,49.71,7.89,43.65,171.58,11775,th,bronze
41,Vayne,1178,2.32,51.36,7.66,5.09,175.4,12474,th,bronze
42,Zed,1149,2.38,47.69,7.48,23.68,175.42,12541,th,bronze
43,Leona,1147,2.48,49.43,7.46,10.32,34.15,8557,th,bronze
44,Galio,1123,2.83,52.72,7.31,7.54,151.26,10844,th,bronze
45,Volibear,1121,2.12,46.57,7.29,3.7,169.29,11689,th,bronze
46,Jayce,1074,2.11,43.95,6.99,2.63,185.23,12345,th,bronze
47,Cho'Gath,1072,2.29,51.59,6.98,3.17,164.46,11713,th,bronze
