Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ezreal,18,2.72,55.56,89.55,4.17,219.89,12828,th,challenger
2,Zoe,17,2.69,41.18,64.89,6.15,169.94,10910,th,challenger
3,Hwei,16,4.24,62.5,63.49,18.78,198.75,11176,th,challenger
4,Xerath,12,5.58,50,80,0.87,182.75,12023,th,challenger
5,Sylas,9,3.22,33.33,31.36,28.05,164.56,11547,th,challenger
6,Jhin,8,1.94,37.5,54.05,4.92,204.13,11340,th,challenger
7,Ahri,8,3.76,37.5,54.42,6.98,224.13,13101,th,challenger
8,Jax,8,2.91,62.5,36.04,20.53,211.88,13324,th,challenger
9,Leona,8,4.67,87.5,44.44,10.69,26.88,7945,th,challenger
10,Lee Sin,8,4.72,87.5,32.39,25,182.75,12804,th,challenger
11,Yone,7,1.79,42.86,25.74,28.35,207.29,11712,th,challenger
12,K'Sante,6,1.59,0,24,23.21,149.5,8545,th,challenger
13,Lux,6,1.32,33.33,29.13,20.31,153.5,9234,th,challenger
14,Kog'Maw,6,1.81,33.33,66.67,0,189.83,10441,th,challenger
15,Corki,6,1.9,33.33,23.9,38.27,206.17,11277,th,challenger
16,Ashe,5,3.46,60,28.25,18.02,202.6,12193,th,challenger
17,Fiora,5,1.8,80,29.76,9.62,246.4,14559,th,challenger
18,Varus,4,1.23,0,48.78,3.75,165.25,8392,th,challenger
19,Jayce,4,1.66,25,100,3.57,186,11288,th,challenger
20,Ziggs,4,2.43,25,59.7,3.33,194.75,11116,th,challenger
21,Ryze,4,2.09,25,34.78,4.63,179,9986,th,challenger
22,Seraphine,4,2.88,25,25.32,11.92,67.25,7189,th,challenger
23,Viktor,4,3.75,50,22.86,30.81,161,9726,th,challenger
24,Kai'Sa,4,3.53,50,43.01,2.2,222.5,14145,th,challenger
25,Tristana,3,1.33,0,65.22,0,169.67,9698,th,challenger
26,Xin Zhao,3,1.56,0,37.5,2.7,165,10211,th,challenger
27,Renata Glasc,3,4.53,33.33,73.17,2.7,26,8357,th,challenger
28,Caitlyn,3,1.47,33.33,12.4,24.79,176,9731,th,challenger
29,Pantheon,3,2.89,33.33,49.18,7.41,28.67,9250,th,challenger
30,Volibear,3,7.43,66.67,100,0,171,11747,th,challenger
31,Jinx,3,5.22,66.67,30.93,6.38,276,14097,th,challenger
32,Ambessa,3,4,66.67,10.68,50.55,175,11589,th,challenger
33,Lucian,3,2.86,66.67,31.58,6.32,188.33,11028,th,challenger
34,Yasuo,3,2,66.67,12.99,19.55,200.67,12495,th,challenger
35,Nidalee,3,3.77,66.67,30.3,16.85,188.33,12536,th,challenger
36,Swain,3,4.93,66.67,16.22,9.25,172,13447,th,challenger
37,Vel'Koz,3,3.64,100,75,0,136,11329,th,challenger
38,Syndra,2,2.14,0,28.17,5.63,197,9536,th,challenger
39,Aphelios,2,2.55,50,52.63,11.43,225.5,14070,th,challenger
40,Vayne,2,3.1,50,38.46,3.85,200,12611,th,challenger
41,Lulu,2,6.33,50,14.18,10.77,24,7066,th,challenger
42,Vi,2,2.19,50,18.02,12.84,141,12505,th,challenger
43,Alistar,2,10,50,20.62,7.45,26.5,7913,th,challenger
44,Karma,2,3.18,50,26.32,10.81,112,9318,th,challenger
45,Graves,2,2.7,50,8.06,23.79,217,14493,th,challenger
46,Viego,2,2.42,50,10.05,11.86,186,12098,th,challenger
47,Wukong,2,4.4,100,15.15,13.64,167.5,12382,th,challenger
48,Maokai,2,21.5,100,51.28,9.09,223,12692,th,challenger
49,Darius,2,5,100,25.32,12.33,211,12559,th,challenger
50,Twisted Fate,1,1.43,0,62.5,0,249,14955,th,challenger
51,Cassiopeia,1,0.29,0,100,0,112,5668,th,challenger
52,Amumu,1,1.5,0,100,0,36,6245,th,challenger
53,Sona,1,2.57,0,50,0,22,8427,th,challenger
54,Senna,1,2.2,0,19.61,11.11,26,8022,th,challenger
55,Aatrox,1,0.8,0,5.21,15.63,208,10732,th,challenger
56,Kayn,1,1.83,0,4.5,26.13,231,12330,th,challenger
57,Vladimir,1,3.25,0,17.86,8,178,11509,th,challenger
58,Nunu & Willump,1,0.6,0,13.89,13.89,32,6157,th,challenger
59,Smolder,1,2.6,0,10.53,11.83,267,13869,th,challenger
60,Rakan,1,2.67,0,52.63,10.53,25,7130,th,challenger
61,Olaf,1,1.5,0,100,0,264,14077,th,challenger
62,Xayah,1,1.2,0,100,0,236,11816,th,challenger
63,Nautilus,1,6,0,7.63,12.98,37,7386,th,challenger
64,Ivern,1,1.22,0,13.16,7.89,87,6970,th,challenger
65,Warwick,1,8,0,8.26,21.85,140,14347,th,challenger
66,Zeri,1,6.25,100,35.71,0,278,17690,th,challenger
67,Shaco,1,10,100,100,0,214,14896,th,challenger
68,Ornn,1,5.5,100,90.91,9.09,142,11440,th,challenger
69,Vex,1,1.57,100,43.48,4.35,185,10021,th,challenger
70,Miss Fortune,1,5.6,100,40,8,326,19041,th,challenger
71,Soraka,1,1.25,100,15.87,9.52,12,4232,th,challenger
72,Lissandra,1,3,100,8.85,8.11,142,10222,th,challenger
73,Veigar,1,1.67,100,25.64,2.56,127,7014,th,challenger
74,Lillia,1,2.5,100,55.56,16.67,195,10560,th,challenger
75,Gwen,1,0.67,100,5.95,9.52,175,9654,th,challenger
76,Braum,1,31,100,10.99,9.89,24,9175,th,challenger
77,Poppy,1,9,100,4.81,17.31,26,8731,th,challenger
78,Samira,1,1.88,100,100,0,174,11612,th,challenger
79,Kindred,1,3.17,100,7.14,14.29,191,13880,th,challenger
80,Camille,1,1.6,100,14.93,9.38,217,14337,th,challenger
81,Jarvan IV,1,11,100,37.04,12.5,178,11522,th,challenger
82,Renekton,1,3.8,100,6.85,10.96,251,16070,th,challenger
83,LeBlanc,1,7.5,100,3.69,32.33,169,10801,th,challenger
84,Dr. Mundo,0,0,0,0,10.71,NaN,NaN,th,challenger
85,Yorick,0,0,0,0,6.25,NaN,NaN,th,challenger
86,Akshan,0,0,0,0,10.53,NaN,NaN,th,challenger
87,Talon,0,0,0,0,20,NaN,NaN,th,challenger
88,Tryndamere,0,0,0,0,5.26,NaN,NaN,th,challenger
89,Shyvana,0,0,0,0,12.5,NaN,NaN,th,challenger
90,Shen,0,0,0,0,12.5,NaN,NaN,th,challenger
91,Trundle,0,0,0,0,12.5,NaN,NaN,th,challenger
92,Akali,0,0,0,0,13.04,NaN,NaN,th,challenger
93,Zilean,0,0,0,0,9.09,NaN,NaN,th,challenger
94,Bard,0,0,0,0,14.93,NaN,NaN,th,challenger
95,Heimerdinger,0,0,0,0,4.76,NaN,NaN,th,challenger
96,Kayle,0,0,0,0,4.76,NaN,NaN,th,challenger
97,Illaoi,0,0,0,0,15.66,NaN,NaN,th,challenger
98,Nami,0,0,0,0,7.5,NaN,NaN,th,challenger
99,Sett,0,0,0,0,11.43,NaN,NaN,th,challenger
100,Katarina,0,0,0,0,50,NaN,NaN,th,challenger
101,Milio,0,0,0,0,7.69,NaN,NaN,th,challenger
102,Rek'Sai,0,0,0,0,11.54,NaN,NaN,th,challenger
103,Bel'Veth,0,0,0,0,20,NaN,NaN,th,challenger
104,Karthus,0,0,0,0,20,NaN,NaN,th,challenger
105,Twitch,0,0,0,0,20,NaN,NaN,th,challenger
106,Tahm Kench,0,0,0,0,17.65,NaN,NaN,th,challenger
107,Sejuani,0,0,0,0,11.54,NaN,NaN,th,challenger
108,Annie,0,0,0,0,11.76,NaN,NaN,th,challenger
109,Rell,0,0,0,0,13.89,NaN,NaN,th,challenger
110,Zac,0,0,0,0,10,NaN,NaN,th,challenger
111,Aurelion Sol,0,0,0,0,7.41,NaN,NaN,th,challenger
112,Rammus,0,0,0,0,15.69,NaN,NaN,th,challenger
113,Sion,0,0,0,0,10.31,NaN,NaN,th,challenger
114,Kalista,0,0,0,0,5.66,NaN,NaN,th,challenger
115,Gnar,0,0,0,0,8.57,NaN,NaN,th,challenger
116,Rengar,0,0,0,0,7.32,NaN,NaN,th,challenger
117,Malzahar,0,0,0,0,11.86,NaN,NaN,th,challenger
118,Gragas,0,0,0,0,12.7,NaN,NaN,th,challenger
119,Thresh,0,0,0,0,9.88,NaN,NaN,th,challenger
120,Hecarim,0,0,0,0,5.56,NaN,NaN,th,challenger
121,Rumble,0,0,0,0,5.56,NaN,NaN,th,challenger
122,Brand,0,0,0,0,7.69,NaN,NaN,th,challenger
123,Irelia,0,0,0,0,9.47,NaN,NaN,th,challenger
124,Evelynn,0,0,0,0,19.23,NaN,NaN,th,challenger
125,Morgana,0,0,0,0,16.18,NaN,NaN,th,challenger
126,Galio,0,0,0,0,16.25,NaN,NaN,th,challenger
127,Neeko,0,0,0,0,10.94,NaN,NaN,th,challenger
128,Riven,0,0,0,0,10.23,NaN,NaN,th,challenger
129,Orianna,0,0,0,0,14.29,NaN,NaN,th,challenger
130,Malphite,0,0,0,0,21.32,NaN,NaN,th,challenger
131,Janna,0,0,0,0,13.56,NaN,NaN,th,challenger
132,Sivir,0,0,0,0,20.78,NaN,NaN,th,challenger
133,Nasus,0,0,0,0,23.33,NaN,NaN,th,challenger
134,Skarner,0,0,0,0,15.15,NaN,NaN,th,challenger
135,Nilah,0,0,0,0,16.67,NaN,NaN,th,challenger
136,Yuumi,0,0,0,0,23.39,NaN,NaN,th,challenger
137,Kha'Zix,0,0,0,0,15.63,NaN,NaN,th,challenger
138,Draven,0,0,0,0,16.22,NaN,NaN,th,challenger
139,Garen,0,0,0,0,11.76,NaN,NaN,th,challenger
140,Mordekaiser,0,0,0,0,11.54,NaN,NaN,th,challenger
141,Elise,0,0,0,0,13.92,NaN,NaN,th,challenger
142,Blitzcrank,0,0,0,0,27.91,NaN,NaN,th,challenger
143,Teemo,0,0,0,0,16,NaN,NaN,th,challenger
144,Master Yi,0,0,0,0,27.05,NaN,NaN,th,challenger
145,Aurora,0,0,0,0,24.12,NaN,NaN,th,challenger
146,Pyke,0,0,0,0,19.1,NaN,NaN,th,challenger
147,Zed,0,0,0,0,15,NaN,NaN,th,challenger
148,Diana,0,0,0,0,16.76,NaN,NaN,th,challenger
149,Fizz,0,0,0,0,6.98,NaN,NaN,th,challenger
150,Kennen,0,0,0,0,15.15,NaN,NaN,th,challenger
151,Udyr,0,0,0,0,23.53,NaN,NaN,th,challenger
152,Nocturne,0,0,0,0,18.75,NaN,NaN,th,challenger
153,Kassadin,0,0,0,0,11.49,NaN,NaN,th,challenger
