Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,560,2.41,49.64,27.36,24.57,212.84,12625,th,diamond
2,Lee Sin,439,3.03,52.39,21.44,17.01,160.76,11717,th,diamond
3,Lux,423,2.83,49.88,20.75,13.28,113.23,9926,th,diamond
4,Viktor,405,2.5,56.3,19.78,22.77,207.08,12030,th,diamond
5,Graves,404,2.59,51.24,19.74,27.89,203.03,13171,th,diamond
6,Viego,390,2.56,46.92,19.05,10.86,177.88,11949,th,diamond
7,Jhin,385,3,45.97,18.91,3.89,201.55,12261,th,diamond
8,Ashe,374,2.62,48.13,18.27,12.4,197.35,11459,th,diamond
9,Jinx,370,2.44,48.92,18.15,1.93,210.11,11957,th,diamond
10,Ezreal,347,2.85,50.72,17.11,2.74,207.03,12055,th,diamond
11,Sylas,328,2.24,53.66,16.02,22.57,159.78,11053,th,diamond
12,Thresh,320,2.73,50.63,15.69,3.75,32.51,8047,th,diamond
13,Seraphine,312,2.88,44.23,15.24,4.26,82.97,8954,th,diamond
14,Corki,308,2.71,52.27,15.05,16.26,218.33,12549,th,diamond
15,Karma,296,2.86,53.72,14.46,6.78,39.08,8121,th,diamond
16,Lulu,289,3.62,44.64,14.12,8.38,30.24,7909,th,diamond
17,Yasuo,281,1.87,49.11,13.73,20.91,206.09,11874,th,diamond
18,Yone,275,1.79,49.09,13.43,15.31,211.34,11667,th,diamond
19,Wukong,271,2.93,52.4,13.24,9.01,167.7,11550,th,diamond
20,Aatrox,270,1.85,45.93,13.19,15.04,186.63,11241,th,diamond
21,Sion,256,1.91,54.69,12.51,5.87,213.25,12737,th,diamond
22,Smolder,247,2.37,48.99,12.11,3.76,216.23,11875,th,diamond
23,Ahri,246,3,51.63,12.02,6.76,192.41,11509,th,diamond
24,Kai'Sa,228,2.58,53.51,11.18,1.33,209,12256,th,diamond
25,Ambessa,226,1.99,48.67,11.04,53.55,185.65,11550,th,diamond
26,Aurora,217,2.78,46.54,10.6,23.31,194.23,11501,th,diamond
27,Nami,217,3.63,54.84,10.66,0.94,26.97,8017,th,diamond
28,K'Sante,208,2.29,46.15,10.16,23.61,191.43,11015,th,diamond
29,Hwei,206,2.4,45.15,10.1,7.31,185.21,11142,th,diamond
30,Camille,194,1.85,51.55,9.48,2.8,158.75,11149,th,diamond
31,Renekton,192,2.3,56.25,9.47,5.06,212.03,12266,th,diamond
32,Gragas,181,2.23,45.3,8.89,3.33,176.57,11253,th,diamond
33,Tahm Kench,175,2.53,52.57,8.55,11.47,91.26,9561,th,diamond
34,Diana,173,2.41,50.29,8.45,7.05,191.27,12350,th,diamond
35,Jayce,170,1.88,49.41,8.3,1.52,208.14,12085,th,diamond
36,Galio,167,3.02,52.69,8.16,7.25,170.13,10577,th,diamond
37,Sett,165,1.47,49.7,8.36,1.57,182.91,11073,th,diamond
38,Swain,164,2.42,48.78,8.01,7.66,135.2,10072,th,diamond
39,Riven,159,1.81,51.57,7.77,4.39,192.48,11670,th,diamond
40,Maokai,159,2.56,52.83,7.77,2.12,126.64,9251,th,diamond
41,Vladimir,152,2.36,50.66,7.43,2.36,204.94,11548,th,diamond
42,Soraka,149,2.78,50.34,7.28,2.35,24.25,7395,th,diamond
43,Zed,142,2.45,47.89,6.94,8.57,197.35,12649,th,diamond
44,LeBlanc,140,2.89,50,6.84,27.14,152.33,10835,th,diamond
45,Vi,139,2.7,52.52,6.83,6.39,159.76,11083,th,diamond
46,Kayn,138,2.56,50.72,6.78,14.07,187.49,12609,th,diamond
47,Janna,137,3.27,46.72,6.73,1.97,26.97,7830,th,diamond
48,Katarina,137,2.12,53.28,6.72,3.18,167.63,11706,th,diamond
49,Jarvan IV,135,3.61,53.33,6.59,2.02,156.91,11562,th,diamond
50,Syndra,134,2.78,44.78,6.58,2.23,201.51,11914,th,diamond
51,Kindred,132,2.21,49.24,6.45,5.73,170.95,11785,th,diamond
52,Skarner,129,3.1,44.19,6.33,13.45,149.13,10389,th,diamond
53,Elise,129,2.94,58.14,6.34,5,154.28,12054,th,diamond
54,Milio,127,3.91,45.67,6.26,3.21,26.31,7369,th,diamond
55,Pantheon,127,2.08,58.27,6.26,6.77,103.72,10272,th,diamond
56,Morgana,126,2.75,54.76,6.16,16.63,43.71,8570,th,diamond
57,Poppy,125,2.3,49.6,6.11,8.17,55.79,8875,th,diamond
58,Nidalee,122,3.08,47.54,5.99,6.49,162.23,11747,th,diamond
59,Fiora,120,1.45,43.33,5.89,5.24,200.98,11743,th,diamond
60,Leona,120,2.53,60,5.89,5.65,30.2,8100,th,diamond
61,Bard,119,3.17,44.54,5.84,2.71,30.39,7972,th,diamond
62,Ryze,116,2.85,58.62,5.82,3.06,230.25,12976,th,diamond
63,Pyke,114,1.92,48.25,5.57,16.66,33.01,8892,th,diamond
64,Vayne,114,2.22,50.88,5.57,1.44,193.61,11765,th,diamond
65,Talon,113,2.41,45.13,5.55,1.49,192.64,12516,th,diamond
66,Xin Zhao,113,2.43,53.1,5.7,0.71,158.38,11289,th,diamond
67,Kha'Zix,111,2.32,48.65,5.42,4.92,179.63,12533,th,diamond
68,Irelia,111,1.47,50.45,5.45,6.54,225.27,12540,th,diamond
69,Varus,111,2.42,54.05,5.61,1.45,200.17,12148,th,diamond
70,Warwick,110,2.11,48.18,5.4,11.51,170.26,11971,th,diamond
71,Rell,110,2.75,50.91,5.39,3.45,27.25,8015,th,diamond
72,Senna,110,2.98,52.73,5.72,1.53,40.46,9407,th,diamond
73,Nautilus,109,2.28,44.04,5.32,13.78,29.11,7915,th,diamond
74,Darius,109,2.05,47.71,5.32,8.25,205.83,12432,th,diamond
75,Zoe,108,2.51,56.48,5.33,3.6,121.19,10122,th,diamond
76,Volibear,107,2.14,45.79,5.23,2,180.24,11494,th,diamond
77,Ziggs,104,2.86,49.04,5.22,1.78,218.84,12474,th,diamond
78,Sivir,104,2.6,55.77,5.08,1.94,228.1,12324,th,diamond
79,Akali,103,2.36,47.57,5.05,2.82,185.64,11336,th,diamond
80,Jax,101,1.5,31.68,4.93,11.7,181.04,10990,th,diamond
81,Braum,100,2.88,49,4.88,2.79,27.38,7512,th,diamond
82,Nocturne,98,2.67,47.96,4.79,9.25,179.07,11574,th,diamond
83,Lucian,98,2.35,48.98,4.98,2.03,216.34,12520,th,diamond
84,Zyra,97,2.48,47.42,4.92,0.92,89.65,9652,th,diamond
85,Alistar,97,2.54,49.48,4.91,2.36,29.53,7725,th,diamond
86,Miss Fortune,95,2.95,53.68,4.81,0.42,204.13,12999,th,diamond
87,Master Yi,94,2.75,57.45,4.59,19.33,191.62,13115,th,diamond
88,Ekko,93,2.66,40.86,4.59,0.85,176.53,12471,th,diamond
89,Orianna,93,2.43,47.31,4.59,1.12,201.14,11476,th,diamond
90,Aphelios,92,2.21,52.17,4.8,0.87,206.65,12074,th,diamond
91,Xerath,90,3.06,48.89,4.41,2.67,118.33,10544,th,diamond
92,Malphite,86,2.64,50,4.2,11.66,184.55,11020,th,diamond
93,Blitzcrank,86,2.71,56.98,4.2,21.82,25.84,7647,th,diamond
94,Mordekaiser,84,1.59,42.86,4.1,4.66,178.42,10856,th,diamond
95,Gnar,84,1.82,48.81,4.13,1.79,198.79,11563,th,diamond
96,Draven,81,2.09,51.85,3.96,13.05,196,13218,th,diamond
