Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,1494,2.33,47.19,25.57,33.35,213,12805,th,emerald
2,Jinx,1301,2.5,49.5,22.3,3.23,213.66,12312,th,emerald
3,Jhin,1108,3.12,51.35,18.96,4.72,205.66,12995,th,emerald
4,Viktor,1074,2.34,50,18.38,23.27,204.72,12056,th,emerald
5,Lux,1046,2.82,50.76,17.9,14.49,115.74,10456,th,emerald
6,Ashe,959,2.58,48.8,16.41,8.66,195.53,11704,th,emerald
7,Viego,953,2.54,50.79,16.31,13.25,178.86,12465,th,emerald
8,Graves,940,2.61,53.19,16.09,23.31,208.4,13629,th,emerald
9,Sylas,881,2.21,52.1,15.08,20.13,163.31,11386,th,emerald
10,Lee Sin,824,2.64,48.91,14.1,18.36,163.28,11903,th,emerald
11,Aatrox,811,1.9,50.18,13.88,19.09,187.15,11519,th,emerald
12,Lulu,757,3.39,49.54,12.95,13.96,28.02,7813,th,emerald
13,Kayn,757,2.53,52.71,12.95,4.97,184.41,12609,th,emerald
14,Ezreal,729,2.83,50.62,12.47,3.57,204.73,12226,th,emerald
15,Ahri,722,2.94,52.49,12.35,10.66,200.32,12069,th,emerald
16,Yone,718,1.78,50,12.29,13.16,214.81,12197,th,emerald
17,Kai'Sa,711,2.49,49.37,12.17,1.6,210.07,12697,th,emerald
18,Nami,683,3.38,51.54,11.69,1.06,27.16,8212,th,emerald
19,Corki,652,2.72,52.91,11.16,10.58,221.82,13181,th,emerald
20,Darius,635,2.09,54.65,10.87,12.83,198.11,12346,th,emerald
21,Smolder,633,2.38,49.13,10.83,5.73,225.55,12611,th,emerald
22,Tahm Kench,627,2.54,55.98,10.73,12.5,104.62,10032,th,emerald
23,K'Sante,614,2.16,46.91,10.51,16.8,189.17,11349,th,emerald
24,Xerath,612,3.26,53.92,10.47,6.79,127.59,11036,th,emerald
25,Sett,606,1.63,50.5,10.37,2.35,189.87,12045,th,emerald
26,Hwei,570,2.52,47.37,9.75,7.08,180.16,11364,th,emerald
27,Swain,568,2.56,52.99,9.72,8.31,139.26,10904,th,emerald
28,Warwick,567,2.24,54.5,9.7,14.25,165.55,12089,th,emerald
29,Thresh,550,2.72,53.27,9.43,3.59,32.34,8222,th,emerald
30,Ambessa,539,2.08,49.17,9.22,49.28,184.09,11970,th,emerald
31,Karma,536,2.74,52.24,9.17,3.89,45.4,8756,th,emerald
32,Jayce,535,1.89,47.29,9.19,2.08,200.94,12241,th,emerald
33,Riven,526,1.97,52.09,9.02,3.52,199.66,12380,th,emerald
34,Gragas,525,2.34,51.43,8.98,5.38,178.57,11263,th,emerald
35,Pyke,518,2.06,49.61,8.86,20.92,36.85,9565,th,emerald
36,Irelia,516,1.69,52.33,8.83,9.48,241.77,13885,th,emerald
37,Wukong,506,2.79,50.99,8.66,5.34,174.51,12056,th,emerald
38,Soraka,505,3.12,52.87,8.64,2.06,27.9,7733,th,emerald
39,Yasuo,503,1.64,46.92,8.61,19.45,217.1,12362,th,emerald
40,Garen,500,2.06,52,8.56,6.97,216.06,12870,th,emerald
41,Vi,495,2.57,50.71,8.47,4.21,172.93,11883,th,emerald
42,Pantheon,494,2.14,51.42,8.45,13.2,134.3,11355,th,emerald
43,Milio,481,3.71,51.56,8.28,5.63,27.97,7741,th,emerald
44,Nocturne,470,3.03,58.72,8.04,23.77,192.19,12427,th,emerald
45,Zed,465,2.49,51.18,7.96,22.42,196.27,12930,th,emerald
46,Lucian,461,2.52,51.41,7.9,1.66,220.82,13261,th,emerald
47,Galio,455,2.72,46.37,7.79,8.05,168.93,10819,th,emerald
48,Ekko,443,2.4,47.63,7.62,0.82,181.18,12416,th,emerald
49,Seraphine,421,2.91,49.17,7.22,3.44,59.3,8923,th,emerald
50,Vayne,410,2.19,52.68,7.02,2.8,198.4,12776,th,emerald
51,Mordekaiser,400,1.93,51.5,6.84,9.77,187.06,11865,th,emerald
52,Akali,399,2.38,46.87,6.84,5.15,182.44,12215,th,emerald
53,Syndra,395,2.4,48.35,6.76,4.29,201.96,12301,th,emerald
54,LeBlanc,395,2.77,51.14,6.76,21.58,158.43,11696,th,emerald
55,Malphite,395,2.57,51.65,6.76,10.84,179.9,11166,th,emerald
56,Senna,387,2.98,47.03,6.62,2.01,37.52,9456,th,emerald
57,Aphelios,386,2.11,48.7,6.62,1.59,210.67,12631,th,emerald
58,Miss Fortune,384,2.76,52.08,6.57,0.36,199.92,12568,th,emerald
59,Talon,373,2.62,52.82,6.38,2.54,201.53,12885,th,emerald
60,Diana,363,2.09,53.17,6.21,2.42,202.07,12936,th,emerald
61,Master Yi,360,2.37,55.56,6.16,11.91,187.35,13128,th,emerald
62,Morgana,355,2.55,47.32,6.07,30.22,58.52,9148,th,emerald
63,Kha'Zix,355,2.52,49.01,6.07,7.77,186.54,13041,th,emerald
64,Nautilus,348,2.34,47.7,5.95,14.78,32.58,8182,th,emerald
65,Sivir,346,2.86,53.47,5.92,2.52,239.77,12949,th,emerald
66,Renekton,341,2,51.32,5.84,2.28,211.5,12651,th,emerald
67,Katarina,333,2.43,50.15,5.7,4.69,169.14,12127,th,emerald
68,Varus,327,2.39,48.01,5.61,0.74,209.22,12763,th,emerald
69,Dr. Mundo,327,2.13,56.27,5.6,4.11,197.38,11747,th,emerald
70,Aurora,324,2.58,47.84,5.54,17.14,193.46,11785,th,emerald
71,Jax,317,1.7,45.11,5.45,3.8,181.29,11559,th,emerald
72,Poppy,311,2.31,51.77,5.32,8.18,93.46,9906,th,emerald
73,Maokai,307,2.52,47.88,5.26,2.06,123.2,9580,th,emerald
74,Leona,303,2.45,50.17,5.18,6.82,32.11,8100,th,emerald
75,Volibear,296,1.93,47.64,5.07,2.17,185.66,11615,th,emerald
76,Camille,294,1.98,52.04,5.04,2.8,172.27,11951,th,emerald
77,Skarner,293,3.45,52.9,5.01,13.3,159.22,11227,th,emerald
78,Vel'Koz,291,2.51,52.92,5,1.3,93.43,10376,th,emerald
79,Zyra,289,2.45,53.63,4.96,3.1,70.43,9306,th,emerald
80,Jarvan IV,286,3.24,51.4,4.9,2.32,155.52,11511,th,emerald
81,Nidalee,282,2.9,53.9,4.83,2.81,165.96,11959,th,emerald
82,Elise,276,2.81,55.07,4.73,3.19,159.21,12379,th,emerald
83,Yuumi,272,4.84,47.06,4.66,4.33,16.43,7996,th,emerald
84,Malzahar,265,2.39,50.57,4.54,4.92,204.41,11933,th,emerald
85,Tristana,261,2.46,50.57,4.47,0.58,206.27,13800,th,emerald
86,Sion,261,1.62,50.57,4.47,3.55,214.2,13398,th,emerald
87,Veigar,258,2.48,46.51,4.41,1.66,203.63,12664,th,emerald
88,Xin Zhao,253,2.27,47.43,4.33,0.65,166.36,11508,th,emerald
89,Janna,251,3.29,51,4.32,0.6,28.57,7896,th,emerald
90,Draven,247,2.14,48.58,4.23,6.65,203.72,13919,th,emerald
91,Zac,244,3.13,49.18,4.18,1.69,149.62,10762,th,emerald
92,Orianna,238,2.71,48.32,4.09,1.1,204.13,12129,th,emerald
93,Xayah,237,2.62,51.9,4.19,0.24,220.99,12651,th,emerald
94,Vladimir,231,2.28,47.62,3.95,1.54,200.32,11665,th,emerald
95,Gangplank,228,2.58,53.07,3.92,1.34,219.48,14888,th,emerald
96,Gnar,227,2.07,52.86,3.89,1.4,194.96,12021,th,emerald
97,Braum,225,2.94,45.33,3.85,3.36,28.31,8016,th,emerald
98,Blitzcrank,225,2.46,49.33,3.85,17.94,30,8137,th,emerald
99,Lissandra,225,2.65,57.78,3.85,4.21,186.14,11666,th,emerald
100,Zoe,219,2.58,53.88,3.76,1.92,126.39,10880,th,emerald
101,Teemo,218,1.95,51.38,3.74,5.19,157.23,11363,th,emerald
102,Twisted Fate,216,2.59,52.31,3.78,0.45,191.63,12809,th,emerald
103,Renata Glasc,213,3.2,51.64,3.65,0.93,33.98,8426,th,emerald
104,Fiora,213,1.5,51.64,3.64,3.76,204.44,12338,th,emerald
105,Udyr,213,2.59,55.4,3.65,1.12,181.3,11699,th,emerald
106,Fizz,212,2.24,53.77,3.63,3.34,179.86,12510,th,emerald
107,Vex,210,2.85,50.95,3.61,4.24,192.45,12599,th,emerald
108,Kindred,208,2.53,57.21,3.56,1.94,186.71,12637,th,emerald
109,Rengar,206,2.01,39.32,3.54,2.21,182.28,12405,th,emerald
110,Rakan,206,2.74,49.51,3.54,0.66,33.95,8015,th,emerald
111,Nasus,204,1.85,44.12,3.49,5.39,194.66,11953,th,emerald
112,Ornn,196,2.49,51.02,3.35,0.62,175.61,10573,th,emerald
113,Sejuani,192,3.42,47.92,3.4,0.76,161.07,11032,th,emerald
114,Samira,189,2.34,50.79,3.25,3.26,198.14,13768,th,emerald
115,Azir,189,2.23,53.44,3.24,0.42,210.11,12267,th,emerald
116,Alistar,188,2.66,53.19,3.22,1.92,31.79,8115,th,emerald
117,Trundle,187,1.51,50.27,3.21,1.65,191.95,12509,th,emerald
118,Twitch,185,2.32,40,3.17,1.94,194.09,13457,th,emerald
119,Cho'Gath,185,2.03,47.57,3.17,0.59,180.98,11531,th,emerald
120,Yorick,178,1.67,49.44,3.05,3.51,227.21,12963,th,emerald
121,Kog'Maw,178,2.41,50.56,3.05,2.5,201.76,12753,th,emerald
122,Ryze,177,2.66,54.8,3.03,0.44,224.08,12633,th,emerald
123,Zilean,174,3.54,53.45,2.98,1.27,47.92,8528,th,emerald
