Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5051,2.47,52.07,32.28,35.05,208.67,13073,th,gold
2,Jhin,3851,3.19,50.69,24.61,8.33,200.62,13258,th,gold
3,Lux,3360,2.77,50.63,21.48,22.13,95.92,10348,th,gold
4,Jinx,2940,2.62,50.54,18.79,3.34,208.77,12696,th,gold
5,Viktor,2866,2.53,53.52,18.35,20.7,200.19,12384,th,gold
6,Ashe,2665,2.65,52.27,17.03,7.93,187.27,11930,th,gold
7,Viego,2407,2.51,53.76,15.38,10.66,178.74,12535,th,gold
8,Yone,2338,1.84,50.47,14.94,13.22,209.8,12248,th,gold
9,Warwick,2302,2.35,55.04,14.71,18.89,171.44,12569,th,gold
10,Pantheon,2185,2.18,51.03,13.97,14.38,124.75,11403,th,gold
11,Sett,2162,1.69,48.7,13.82,3.38,185.61,12312,th,gold
12,Ahri,2139,2.97,54,13.67,10.02,191.73,12010,th,gold
13,Sylas,2135,2.24,49.32,13.65,20.12,153.04,11360,th,gold
14,Ezreal,1957,2.82,48.8,12.51,3.21,200,12477,th,gold
15,Yasuo,1951,1.7,48.8,12.47,20.34,211.01,12397,th,gold
16,Lee Sin,1938,2.57,47.16,12.39,16.35,164.53,12115,th,gold
17,Smolder,1868,2.52,48.23,11.94,8.16,221.98,12834,th,gold
18,Tahm Kench,1785,2.65,54.01,11.41,16.47,86.12,10088,th,gold
19,Swain,1772,2.46,50.73,11.33,12.88,115.68,10528,th,gold
20,Garen,1753,2.14,49.12,11.2,11.82,211.13,13086,th,gold
21,Kai'Sa,1735,2.6,50.37,11.09,2.16,213.25,13141,th,gold
22,Mordekaiser,1716,2.15,54.84,10.97,17.34,186.7,12437,th,gold
23,Aatrox,1604,2,50.12,10.25,17.85,182.57,11787,th,gold
24,Ambessa,1602,2.12,49,10.24,49.47,182.48,12061,th,gold
25,Graves,1572,2.5,52.29,10.05,11.2,204.84,13449,th,gold
26,Morgana,1563,2.81,52.34,9.99,39.99,53.47,9351,th,gold
27,Lulu,1530,3.37,51.7,9.78,8.24,30.41,8092,th,gold
28,Malphite,1525,2.7,52,9.75,9.55,169.11,11460,th,gold
29,Darius,1506,1.92,51.39,9.63,18.32,193.17,12510,th,gold
30,Ekko,1485,2.42,48.62,9.49,1.36,176.76,12544,th,gold
