Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Kayn,84,2.49,46.43,50.57,25.1,187.77,12800,th,grandmaster
2,Viego,47,2.45,46.81,29.3,10.27,197.81,13265,th,grandmaster
3,Viktor,45,2.58,48.89,37.75,27.7,198.8,10879,th,grandmaster
4,Nidalee,39,3.45,56.41,28.36,6.21,179.08,11690,th,grandmaster
5,Lee Sin,36,3.44,58.33,23.45,17.59,159.11,11906,th,grandmaster
6,Caitlyn,35,2.82,54.29,22.89,18.64,219.6,13477,th,grandmaster
7,Yone,35,2.21,65.71,22.85,19.13,251.06,13724,th,grandmaster
8,K'Sante,32,3.14,37.5,20.51,23.78,204.56,11544,th,grandmaster
9,Graves,32,2.61,43.75,20.15,21.79,214.41,14021,th,grandmaster
10,Sylas,32,3.1,56.25,20.63,22.57,167.94,11552,th,grandmaster
11,Diana,31,2.76,54.84,21.51,14.64,205.42,12598,th,grandmaster
12,Corki,29,2.72,62.07,18.59,21.86,215.21,12868,th,grandmaster
13,Udyr,28,2.32,46.43,21.98,6.36,201.61,11394,th,grandmaster
14,Seraphine,28,4.05,57.14,20.88,4.05,60.11,9131,th,grandmaster
15,Jhin,27,3.8,48.15,24.59,3.28,202.26,12487,th,grandmaster
16,Swain,27,4.42,55.56,18.33,8.58,213.3,12609,th,grandmaster
17,Ezreal,26,3.15,50,23.13,2.14,211.73,12052,th,grandmaster
18,Rell,26,2.98,53.85,19.32,4.55,27.92,7048,th,grandmaster
19,Zoe,24,3.98,75,19.46,8.63,174.88,11303,th,grandmaster
20,Jinx,23,2.79,43.48,23.47,2.96,206.26,11708,th,grandmaster
21,Lux,23,3.55,69.57,15.28,15.55,112.78,9788,th,grandmaster
22,Ahri,22,2.97,40.91,16.28,3.48,213.27,12146,th,grandmaster
23,Gnar,22,2.31,45.45,17.93,1.63,208.86,11630,th,grandmaster
24,Nautilus,20,2.49,60,13.92,7.59,30.6,7834,th,grandmaster
25,Rengar,19,2.62,31.58,19.04,2.81,208.79,13015,th,grandmaster
26,Ambessa,19,2.19,36.84,12.18,48.97,192.68,11573,th,grandmaster
27,Ashe,19,2.98,42.11,12.73,15.62,203.95,11847,th,grandmaster
28,Varus,19,2.98,47.37,19.29,2.54,205.68,11765,th,grandmaster
29,Gragas,19,3.18,52.63,15.66,2.56,188.84,11789,th,grandmaster
30,Fiora,19,2.44,68.42,14.83,7.49,245.42,14164,th,grandmaster
31,Zeri,18,3.36,55.56,22.96,0.38,209.61,12146,th,grandmaster
32,Kai'Sa,18,2.95,61.11,24.79,2.11,203.5,11689,th,grandmaster
33,Vladimir,18,3.21,61.11,26.01,6.21,211.28,12569,th,grandmaster
34,Lucian,18,3.04,61.11,19.48,2.93,210.78,12892,th,grandmaster
35,Akali,17,3.04,64.71,16.43,1.84,182.06,11131,th,grandmaster
36,Irelia,16,1.14,37.5,13.79,6.98,188.69,10153,th,grandmaster
37,Maokai,16,4.24,68.75,12.62,4.02,167.94,12077,th,grandmaster
38,Tahm Kench,15,2.49,33.33,11.18,7.97,49.87,7914,th,grandmaster
39,Volibear,15,1.96,40,14.58,2.62,180.13,11239,th,grandmaster
40,Smolder,15,2.84,53.33,11.37,3.64,223.53,11549,th,grandmaster
41,Veigar,15,3.55,60,24.55,0.33,197.6,11419,th,grandmaster
42,Renekton,14,2.16,28.57,11.49,8.95,220.07,12073,th,grandmaster
43,Hwei,14,2.33,57.14,9.05,18.23,194.57,10396,th,grandmaster
44,Wukong,13,2.35,30.77,8.51,8.19,173.23,11121,th,grandmaster
45,Syndra,13,2.71,46.15,10.85,2.42,195.92,12676,th,grandmaster
46,Kindred,13,3.61,69.23,10.16,8.68,195.08,13376,th,grandmaster
47,Riven,12,2.01,25,12.15,8.43,229.33,13924,th,grandmaster
48,Jayce,12,1.86,33.33,13.92,0.93,215.33,12532,th,grandmaster
49,Kalista,11,3.44,27.27,13.03,2.84,224.36,13814,th,grandmaster
50,Leona,11,2.12,45.45,9.21,8.95,32.55,7442,th,grandmaster
51,Aurora,11,3.57,54.55,7.05,25.13,182.73,11151,th,grandmaster
52,Draven,11,2.52,54.55,7.21,15.21,202.55,14728,th,grandmaster
53,Ryze,10,2.22,50,10.79,5.93,245.1,12893,th,grandmaster
54,Vi,10,2.51,50,7.51,7.14,142.8,10264,th,grandmaster
55,LeBlanc,10,2.78,50,6.41,32.5,165.9,10750,th,grandmaster
56,Akshan,9,2.61,44.44,17.75,1.78,218.11,14070,th,grandmaster
57,Rakan,9,3.56,44.44,15.54,0.69,28.22,7611,th,grandmaster
58,Renata Glasc,9,3.93,66.67,14.66,0.81,29.78,8000,th,grandmaster
59,Ziggs,9,2.56,66.67,15,2,200.56,10719,th,grandmaster
60,Lulu,9,2.78,66.67,7.39,6.19,28.89,8800,th,grandmaster
61,Gwen,8,1.73,25,5.81,8.13,203.38,12064,th,grandmaster
62,Bard,8,4.03,50,7.35,3.95,23.63,8199,th,grandmaster
63,Yasuo,8,2.02,50,5.13,15.06,192.5,10332,th,grandmaster
64,Singed,8,3.68,62.5,26.67,0,199,12554,th,grandmaster
65,Blitzcrank,8,3.6,62.5,5.13,21.41,36.88,6611,th,grandmaster
66,Camille,8,2.35,75,9.5,4.16,193.5,12054,th,grandmaster
67,Bel'Veth,7,2,14.29,16.02,1.14,127.57,8154,th,grandmaster
68,Nami,7,2.86,28.57,12.52,1.79,20.71,6817,th,grandmaster
69,Orianna,7,2.58,57.14,12.26,1.23,193.43,11909,th,grandmaster
70,Braum,7,3.2,57.14,7.38,5.94,27.57,7925,th,grandmaster
71,Katarina,7,3.26,57.14,9.54,4.77,205.14,13477,th,grandmaster
72,Aatrox,7,2.35,57.14,4.48,11.83,189,10946,th,grandmaster
73,Kha'Zix,7,3.12,71.43,7.87,2.47,166.71,12524,th,grandmaster
74,Jarvan IV,7,10.33,85.71,9.2,1.05,149.14,10807,th,grandmaster
75,Pyke,6,2.02,16.67,3.96,14.19,36.33,9381,th,grandmaster
76,Milio,6,4.11,50,14.05,0.94,23.67,7540,th,grandmaster
77,Kassadin,6,2.95,50,4.98,4.57,206.5,14456,th,grandmaster
78,Poppy,6,3.23,66.67,4.55,9.86,32.17,8779,th,grandmaster
79,Galio,5,2.09,0,4.15,7.48,190.6,11172,th,grandmaster
80,Teemo,5,1.81,20,4.04,9.22,130.8,8507,th,grandmaster
81,Lillia,5,4.5,40,7.18,2.01,204.4,13341,th,grandmaster
82,Vel'Koz,5,3.18,40,16.72,0,71.2,9628,th,grandmaster
83,Alistar,5,2.04,40,4.68,4.8,31,8347,th,grandmaster
84,Jax,5,1.69,40,3.28,14.94,138.4,9126,th,grandmaster
85,Rumble,5,2.03,60,11.31,1.13,188,10537,th,grandmaster
86,Taliyah,5,3.28,60,12.44,0.75,200.6,12171,th,grandmaster
87,Zed,5,2.2,60,3.73,5.07,204,11785,th,grandmaster
88,Karma,5,4.23,60,4.35,5.3,35.6,9562,th,grandmaster
89,Sett,4,1.27,25,8.08,4.65,148,8602,th,grandmaster
90,Annie,4,3.56,50,18.6,1.4,160.75,9892,th,grandmaster
91,Pantheon,4,1.77,50,4.74,2.61,117.75,9159,th,grandmaster
92,Nocturne,4,2.22,50,5.93,6.67,198.75,12033,th,grandmaster
93,Skarner,4,2.95,75,3.05,10.31,142.75,10080,th,grandmaster
94,Soraka,4,4.53,75,9.05,3.85,52,7928,th,grandmaster
95,Cassiopeia,3,1.73,0,17.24,2.87,221.67,12761,th,grandmaster
96,Senna,3,3.35,0,5.22,4.17,39.67,10314,th,grandmaster
97,Tristana,3,2.63,33.33,25,0,287.33,16238,th,grandmaster
98,Zilean,3,2.27,33.33,5.52,7.18,92.33,8532,th,grandmaster
