Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,2870,2.44,49.51,29.4,31.71,176.92,12228,th,iron
2,Lux,2567,2.79,53.1,26.3,41.83,86.74,10231,th,iron
3,Yone,2211,1.75,46.68,22.65,14.5,181.58,11535,th,iron
4,Jhin,2057,3.05,47.89,21.07,17.21,169.1,12393,th,iron
5,Yasuo,2046,1.68,47.75,20.96,23.83,185.45,11819,th,iron
6,Pantheon,2020,1.97,46.34,20.7,15.96,97.92,10686,th,iron
7,Sett,1994,1.72,50.1,20.43,8.31,164.94,11718,th,iron
8,Warwick,1935,2.14,50.39,19.82,19.3,158.33,12127,th,iron
9,Jinx,1779,2.55,49.52,18.23,5.62,179.82,11895,th,iron
10,Viego,1568,2.12,48.41,16.06,12.11,167.7,12127,th,iron
11,Garen,1455,2.18,49.76,14.91,12.32,186.54,12394,th,iron
12,Miss Fortune,1440,2.72,50.9,14.75,3.08,169.72,12485,th,iron
13,Sylas,1416,1.94,43.79,14.51,22.08,132.48,10687,th,iron
14,Ashe,1399,2.63,49.89,14.33,6.76,161.79,11481,th,iron
15,Mordekaiser,1385,2.06,51.7,14.19,23.23,158.11,11725,th,iron
16,Viktor,1277,2.28,47.22,13.11,16.46,167.74,11571,th,iron
17,Morgana,1251,2.67,50.76,12.82,30.36,56.41,9587,th,iron
18,Ezreal,1241,2.51,43.43,12.71,3.11,157.5,11210,th,iron
19,Kayn,1221,2.09,50.04,12.51,5.59,172.56,11984,th,iron
20,Ahri,1202,2.54,50.25,12.31,9.24,160.95,10910,th,iron
21,Smolder,1197,2.39,45.95,12.26,5.88,182.45,11517,th,iron
22,Darius,1175,1.78,44.94,12.04,23.37,164.77,11483,th,iron
23,Akali,1157,2.17,46.76,11.85,14.19,144.65,11185,th,iron
24,Teemo,1155,2.04,49.52,11.83,21.96,153.6,11536,th,iron
25,Kai'Sa,1119,2.5,45.49,11.46,1.59,184.89,12363,th,iron
26,Master Yi,1103,1.91,49.41,11.3,14.47,175.05,12572,th,iron
