Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Diana,94,2.99,63.83,24.45,14.67,195.54,12682,th,master
2,Viego,85,3.21,62.35,22.32,10.84,189.13,12796,th,master
3,Camille,84,2.07,51.19,28.07,3.34,173.46,12048,th,master
4,Yone,80,1.74,50,20.82,18.14,230.25,12803,th,master
5,Corki,80,2.92,58.75,20.8,22.25,225.01,13499,th,master
6,Sylas,79,2.35,45.57,20.54,24.85,166.75,11521,th,master
7,Jhin,74,3.36,47.3,20.54,2.22,203.11,12477,th,master
8,Lulu,73,3.69,50.68,19.57,5.45,30.45,7760,th,master
9,Graves,72,2.67,54.17,18.72,25.11,210.13,13604,th,master
10,Rell,70,3.21,55.71,18.91,4.19,28.03,7985,th,master
11,Riven,69,1.97,55.07,19.12,5.74,206.61,12624,th,master
12,Ambessa,65,2.18,55.38,16.9,54.3,194.22,11674,th,master
13,Karma,64,3.06,45.31,17.28,5,33.23,8088,th,master
14,Bard,64,2.77,54.69,20.37,3.6,33.67,8270,th,master
15,Kayn,64,2.66,56.25,16.73,24,189.63,12657,th,master
16,Maokai,63,2.57,46.03,18.7,3.44,157.41,9976,th,master
17,Ashe,61,2.45,49.18,15.95,11.63,197.18,11234,th,master
18,Viktor,60,2.58,55,24.14,32.11,216.87,12258,th,master
19,Seraphine,60,4.04,56.67,18.02,4.19,145.9,10240,th,master
20,Smolder,57,3.17,47.37,15.64,4.17,221.11,11814,th,master
21,Lee Sin,57,3.79,68.42,14.9,18.33,165.23,11712,th,master
22,Kai'Sa,56,2.44,46.43,16.89,1.21,208.61,12152,th,master
23,Lux,55,3.33,58.18,14.44,12.34,109.49,9876,th,master
24,Caitlyn,54,2.74,53.7,14.04,20.2,212.5,12996,th,master
25,Leona,54,2.97,70.37,14.56,5.07,29.04,7644,th,master
26,Swain,52,3.17,53.85,13.97,8.68,186.33,11711,th,master
27,Aatrox,50,2.25,56,13.07,10.93,195.74,11363,th,master
28,Ezreal,48,3.26,47.92,14.26,2.44,211.04,12371,th,master
29,Ahri,47,3.08,57.45,12.68,3.99,192.47,11259,th,master
30,K'Sante,47,2.5,61.7,12.22,23.16,197.09,11153,th,master
31,Wukong,46,2.96,47.83,11.96,8.16,180.02,12176,th,master
32,Jinx,39,2.74,48.72,11.62,1.7,246.97,13639,th,master
33,Zed,39,2.76,53.85,10.52,5.53,197.69,12699,th,master
34,Kindred,39,3,61.54,10.31,5.76,192.18,13181,th,master
35,Gragas,37,2.64,43.24,11.21,2.88,160.68,11107,th,master
36,Zilean,37,3.31,48.65,20.65,3.96,70.65,8566,th,master
37,Irelia,36,2,61.11,9.91,5.59,241.11,12891,th,master
38,Nautilus,35,2.55,57.14,9.19,7.14,30.23,7586,th,master
39,Gwen,35,2.26,60,9.55,8.24,215.54,12221,th,master
40,Nunu & Willump,34,3.19,52.94,15.49,4.97,131.18,10636,th,master
41,Hwei,33,3.06,45.45,8.92,16.2,204.91,11543,th,master
42,Aurora,33,3.86,66.67,8.58,25.24,189.03,11398,th,master
43,Renekton,32,1.96,50,9.18,7.31,212.09,12175,th,master
44,Gnar,32,2.23,56.25,12.71,1.28,214.63,12075,th,master
45,Braum,30,3.3,50,8.36,3.29,25.43,7627,th,master
46,Yasuo,29,1.75,48.28,7.77,16.81,207.79,11271,th,master
47,Janna,29,3.3,48.28,9.81,3.76,27.62,7818,th,master
48,Nami,27,3.41,40.74,10.36,1.27,29.56,8029,th,master
49,Ryze,27,2.41,59.26,9.1,5.19,239.89,12710,th,master
50,Sett,24,1.74,33.33,10.73,1.56,184.75,11195,th,master
51,Sejuani,24,3.66,50,10.68,0.49,167.46,10899,th,master
52,Senna,24,4.03,54.17,10.43,1.69,33.04,9002,th,master
53,Lucian,23,2.58,56.52,8.8,2.83,224.65,12514,th,master
54,Alistar,23,2.62,56.52,6.4,2.28,21.96,7330,th,master
55,Vladimir,23,2.51,65.22,9.35,2.89,207.65,11843,th,master
56,Varus,22,2.38,36.36,7.98,1.6,225.64,12552,th,master
57,Galio,22,2.53,45.45,5.85,7.53,171.09,9816,th,master
58,Xin Zhao,22,2.3,50,9.46,0.56,163.64,10995,th,master
59,Poppy,22,2.06,50,6.23,13.12,45.77,8054,th,master
60,Warwick,22,2.1,50,7.64,9.24,180.55,12353,th,master
61,Taliyah,22,2.76,54.55,11.04,0.55,168.73,11034,th,master
62,Jayce,22,1.66,54.55,10.27,0.56,205.18,11261,th,master
63,Master Yi,22,2.12,54.55,5.72,23.68,188.68,12594,th,master
64,Syndra,22,2.95,59.09,7.7,2.62,199.41,12937,th,master
65,Trundle,21,1.23,57.14,12.19,2.15,208.19,12443,th,master
66,Blitzcrank,21,2.89,61.9,5.46,24.51,20.62,7735,th,master
67,Pantheon,20,2.36,35,7.65,2.83,115.1,9791,th,master
68,Rek'Sai,20,2.95,40,11.58,0.75,177.5,13297,th,master
69,Volibear,20,2.36,60,8.22,2.38,166.25,10002,th,master
70,Thresh,19,2.11,36.84,5.34,3.23,27.26,7771,th,master
71,Kled,19,1.89,52.63,11.82,0.62,185.68,11791,th,master
72,Zac,19,3.68,57.89,6.85,1.77,165.68,11729,th,master
73,Tahm Kench,19,3.12,63.16,5.16,6.77,55.68,8491,th,master
74,Jarvan IV,18,2.75,44.44,7.98,1.42,165.61,11140,th,master
75,Elise,18,2.26,44.44,5.06,6.12,142.72,10689,th,master
76,Jax,18,1.91,44.44,4.7,16.73,221.22,12304,th,master
77,Milio,18,3.6,55.56,6,1.57,26.22,7681,th,master
78,Soraka,18,3.79,55.56,6.44,2.15,27.78,6838,th,master
79,Draven,18,2.13,61.11,4.68,12.35,212.06,14391,th,master
80,Kha'Zix,16,2.18,37.5,5.43,1.97,207.31,14550,th,master
81,Renata Glasc,16,3.17,50,7.24,0.68,27.56,7028,th,master
82,Xayah,16,2.84,56.25,9.82,0,237.69,13721,th,master
83,Karthus,16,2.63,56.25,6.79,0.93,231.94,13345,th,master
84,Malphite,15,2.26,46.67,3.9,10.71,170,11086,th,master
85,Fiora,15,1.57,53.33,4.32,7.55,234,14227,th,master
86,Rakan,15,3.55,60,7.41,0.54,24.73,7045,th,master
87,Singed,15,2.38,60,10.79,0.72,175.2,10253,th,master
88,Nocturne,15,3.24,60,4.71,3.39,183.8,11802,th,master
89,Katarina,14,3.26,28.57,5.67,2.88,163.43,12789,th,master
90,Akali,14,3.58,35.71,5.97,2.34,196.07,12226,th,master
91,Vi,14,1.75,35.71,4.23,7.22,153.71,10369,th,master
92,Nidalee,14,3.14,42.86,3.96,9.14,152.29,10424,th,master
93,Aurelion Sol,14,3.25,50,13.21,1.32,187.43,11253,th,master
94,Zeri,14,3.23,50,8.37,0.3,233.79,12983,th,master
95,Pyke,13,2.12,30.77,3.4,14.35,36.08,9033,th,master
96,Ornn,12,2.98,41.67,6.26,0.94,185.08,11048,th,master
97,LeBlanc,12,3.75,50,3.12,29.66,145.75,11071,th,master
98,Nasus,11,1.59,27.27,3.83,4.35,150.27,9517,th,master
99,Orianna,11,2.71,45.45,5.89,1.34,182.73,10538,th,master
100,Tryndamere,11,1.46,54.55,7.34,1.6,209.82,11753,th,master
101,Morgana,11,4.37,63.64,2.98,7.42,36.91,8808,th,master
102,Vayne,11,2.63,72.73,4.56,1.83,171.73,10780,th,master
103,Ekko,10,1.61,30,6.82,0.95,169.6,10539,th,master
104,Kog'Maw,10,1.69,40,6.01,1.44,185.2,11015,th,master
105,Xerath,10,2.61,50,5.49,0.99,125.5,9879,th,master
106,Skarner,10,3.4,60,2.71,11.72,151.3,10946,th,master
107,Neeko,10,3,70,4.19,3.56,134.1,9901,th,master
108,Shaco,9,2.56,33.33,6.77,1.5,174.11,11520,th,master
109,Fizz,9,2.6,44.44,5.05,0.95,187.11,11547,th,master
110,Rengar,9,2.82,55.56,3.37,2.32,191.44,11839,th,master
111,Teemo,9,2.21,55.56,2.59,8.88,181.89,11429,th,master
112,Sona,9,2.77,66.67,7.05,0.24,26.22,6980,th,master
113,Twisted Fate,8,2.51,12.5,6.57,0.16,169.5,11076,th,master
114,Darius,8,1.8,25,2.45,6.09,183.75,10737,th,master
115,Hecarim,8,2.7,37.5,5.73,0.43,192.63,11602,th,master
116,Vex,8,3.36,50,3.5,1.44,182.63,10244,th,master
117,Twitch,8,3.09,50,6.23,1.17,216.63,13559,th,master
118,Aphelios,8,2.72,50,5.52,1.38,194,11386,th,master
119,Kalista,8,3.18,62.5,3.65,2.87,174.5,10877,th,master
120,Rumble,7,2.38,42.86,4.53,0.91,178.57,10153,th,master
121,Lissandra,7,3.28,42.86,2.31,4.15,171.71,9517,th,master
122,Miss Fortune,7,3.29,57.14,6.17,0.71,231.14,13399,th,master
