Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,3353,2.42,50.79,31.27,33.67,215.22,13213,th,platinum
2,Jhin,2376,3.14,50.38,22.16,6.29,206.19,13157,th,platinum
3,Jinx,2283,2.55,50.46,21.29,3.75,213.02,12795,th,platinum
4,Lux,2154,2.79,50.51,20.09,18.33,103.41,10453,th,platinum
5,Viktor,1917,2.45,52.27,17.88,21.66,203.38,12236,th,platinum
6,Ashe,1672,2.59,49.82,15.59,8.94,192.7,11961,th,platinum
7,Viego,1586,2.48,49.75,14.79,12.33,180.01,12484,th,platinum
8,Ezreal,1581,2.86,51.55,14.75,2.82,205.34,12565,th,platinum
9,Sylas,1532,2.22,50.26,14.29,20.93,156.73,11384,th,platinum
10,Pantheon,1436,2.2,51.25,13.39,13.5,133.37,11558,th,platinum
11,Ahri,1384,2.95,54.99,12.91,9.33,195.97,11975,th,platinum
12,Lee Sin,1343,2.62,50.71,12.53,15.18,166.78,12159,th,platinum
13,Yone,1338,1.77,47.83,12.48,11.77,213.91,12243,th,platinum
14,Warwick,1323,2.35,54.2,12.34,17.38,169.37,12274,th,platinum
15,Swain,1320,2.64,53.79,12.31,12.45,120.03,10597,th,platinum
16,Lulu,1319,3.48,53.07,12.3,11.81,29.48,8126,th,platinum
17,Graves,1298,2.59,52.62,12.11,17,209.05,13785,th,platinum
18,Kai'Sa,1278,2.6,48.2,11.92,1.84,215.22,12886,th,platinum
19,Smolder,1232,2.42,46.92,11.49,9.62,221.42,12564,th,platinum
20,Ekko,1214,2.55,46.79,11.32,0.79,185.35,12795,th,platinum
21,Garen,1162,2.05,51.12,10.84,10.25,215.75,13060,th,platinum
22,Sett,1141,1.71,50.92,10.64,2.84,188.24,12297,th,platinum
23,Mordekaiser,1070,2.01,52.52,9.98,13.37,185.06,12097,th,platinum
24,Aatrox,1060,2.01,50,9.89,17.15,187.17,11776,th,platinum
25,Nami,1047,3.53,52.24,9.78,0.66,27.07,8133,th,platinum
26,Ambessa,1036,2.08,50.39,9.66,50.68,185.44,12020,th,platinum
27,Thresh,1029,2.69,49.85,9.6,4.18,33.98,8458,th,platinum
28,Hwei,1012,2.65,51.88,9.44,7.61,175.49,11697,th,platinum
29,Corki,976,2.61,49.28,9.1,6.08,219.38,13012,th,platinum
30,Kayn,976,2.38,50.1,9.1,4.79,185.38,12466,th,platinum
31,Tahm Kench,971,2.56,53.66,9.06,12.21,97.68,10170,th,platinum
32,Darius,944,1.89,52.12,8.8,13.33,195.06,12319,th,platinum
33,Miss Fortune,943,2.57,49.1,8.8,0.55,197.11,12885,th,platinum
34,K'Sante,932,2.11,47.96,8.69,14.89,184.23,11348,th,platinum
35,Yasuo,927,1.76,49.41,8.65,21.42,217.09,12534,th,platinum
36,Malphite,916,2.63,48.03,8.54,9.49,176.12,11540,th,platinum
37,Nocturne,875,2.84,55.09,8.16,26.69,188.63,12528,th,platinum
38,Pyke,868,2.13,49.54,8.1,18.49,41.18,9834,th,platinum
39,Karma,856,2.84,51.05,7.98,2.27,44.09,8743,th,platinum
40,Morgana,847,2.85,51.59,7.9,37.78,52.99,9254,th,platinum
41,Xerath,839,2.99,48.99,7.83,6.81,109.79,10922,th,platinum
42,Vi,837,2.47,49.1,7.81,3.5,171.77,11907,th,platinum
43,Akali,825,2.59,51.52,7.69,5.5,177.59,12037,th,platinum
44,Seraphine,824,3.03,51.82,7.69,2.4,53.03,9050,th,platinum
45,Galio,817,2.87,52.88,7.62,7.82,172.5,11077,th,platinum
