Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5943,2.54,51.91,33.42,34.07,203.8,12976,th,silver
2,Jhin,4554,3.23,50.99,25.61,9.78,195.99,13223,th,silver
3,Lux,4146,2.74,51.88,23.31,29.19,92.86,10413,th,silver
4,Jinx,3481,2.64,51.05,19.57,3.94,204.89,12686,th,silver
5,Viktor,3249,2.51,50.45,18.27,20.55,189.36,12158,th,silver
6,Ashe,2997,2.57,49.45,16.85,6.92,183.5,11889,th,silver
7,Sett,2917,1.81,52.93,16.4,4.47,181.79,12372,th,silver
8,Yone,2787,1.86,48.04,15.67,14.74,205.32,12312,th,silver
9,Viego,2770,2.41,52.31,15.58,9.96,178.67,12650,th,silver
10,Pantheon,2677,2.17,50.73,15.05,16.09,126.85,11583,th,silver
11,Yasuo,2623,1.76,49.18,14.75,20.31,207.12,12461,th,silver
12,Warwick,2590,2.32,52.82,14.56,19.3,167.49,12415,th,silver
13,Garen,2285,2.21,52.52,12.85,12.52,207.81,13267,th,silver
14,Sylas,2229,2.25,48.95,12.53,18.98,149.91,11332,th,silver
15,Smolder,2186,2.6,48.76,12.29,7.48,215.34,12684,th,silver
16,Swain,2161,2.52,50.62,12.15,14.2,100.07,10363,th,silver
17,Ezreal,2124,2.82,47.5,11.94,3.09,197.16,12476,th,silver
18,Miss Fortune,2085,2.78,52.18,11.72,1.44,194.25,13082,th,silver
19,Ahri,2082,2.92,52.45,11.71,10.91,183.91,11824,th,silver
20,Lee Sin,1996,2.67,49.95,11.22,15.16,165.46,12232,th,silver
21,Morgana,1929,2.85,53.81,10.85,38.11,56.52,9569,th,silver
22,Tahm Kench,1925,2.58,52.52,10.82,17.43,91.43,10338,th,silver
23,Darius,1915,1.95,49.97,10.77,22.18,190.22,12520,th,silver
24,Ekko,1903,2.5,49.76,10.7,1.75,173.62,12581,th,silver
25,Mordekaiser,1848,2.16,54.87,10.39,21.09,176.98,12252,th,silver
26,Malphite,1752,2.63,51.43,9.85,8.51,158.59,11363,th,silver
27,Kai'Sa,1738,2.57,47.01,9.77,1.69,210.6,13133,th,silver
28,Kayn,1729,2.3,50.55,9.72,4.23,180.98,12472,th,silver
29,Thresh,1614,2.64,51.12,9.08,4.04,36.73,8527,th,silver
30,Akali,1588,2.52,50.25,8.93,8.2,164.85,12042,th,silver
31,Veigar,1550,2.79,54.52,8.72,7.2,188.52,12635,th,silver
32,Aatrox,1532,2.03,46.93,8.61,17.44,178.48,11706,th,silver
33,Zed,1532,2.34,49.61,8.61,22.8,179.85,12676,th,silver
34,Vi,1512,2.41,49.4,8.5,3.05,173.08,12206,th,silver
35,Graves,1497,2.41,50.17,8.42,7.39,206.15,13768,th,silver
36,Nocturne,1490,2.82,55.5,8.38,26.46,186.94,12720,th,silver
37,Lulu,1467,3.42,50.03,8.25,6.13,30.57,8233,th,silver
38,Jayce,1453,2.07,45.84,8.17,1.93,193.8,12443,th,silver
39,Pyke,1437,2.08,47.95,8.08,20.65,41.6,10003,th,silver
40,Ambessa,1437,2.1,50.59,8.08,45.19,176.08,11899,th,silver
41,Master Yi,1413,2.02,49.82,7.94,12.24,186.11,12932,th,silver
42,Seraphine,1409,2.99,51.95,7.92,3.89,55.8,9203,th,silver
43,Leona,1394,2.64,52.22,7.84,11.29,33.92,8582,th,silver
44,Galio,1390,2.8,50.36,7.82,8.21,158.49,10775,th,silver
45,Xerath,1390,3.08,53.67,7.82,6.05,99.05,10842,th,silver
46,Katarina,1368,2.41,48.9,7.69,6.37,167.42,12512,th,silver
47,Teemo,1336,2.04,51.27,7.51,11.6,160.8,11800,th,silver
48,Vayne,1332,2.34,50.53,7.49,5.28,186.33,12614,th,silver
49,Volibear,1321,2.11,52.46,7.43,3.51,174.38,11894,th,silver
50,Nautilus,1287,2.39,49.42,7.24,14.44,36.91,8489,th,silver
51,Karma,1184,2.63,50.59,6.66,2.45,51.1,8978,th,silver
52,Senna,1172,2.89,48.63,6.59,1.41,43.98,9664,th,silver
53,Shaco,1120,2.6,45.8,6.3,21.67,150.11,11949,th,silver
54,Hwei,1117,2.62,47.9,6.28,4.29,166.59,11648,th,silver
55,Varus,1106,2.44,45.93,6.23,1.13,189.44,12379,th,silver
56,Brand,1084,2.18,54.15,6.1,4.12,99.14,10830,th,silver
57,Nami,1082,3.44,53.6,6.08,0.76,27.88,8317,th,silver
58,Cho'Gath,1074,2.28,49.07,6.05,2.31,168.16,11808,th,silver
59,Dr. Mundo,1072,2.16,52.52,6.03,4.99,190.19,11909,th,silver
60,K'Sante,1061,2.03,46.75,5.97,12.15,177.9,11308,th,silver
61,Milio,1025,3.79,51.41,5.78,1.89,31.14,8064,th,silver
62,Malzahar,1019,2.51,53.78,5.73,9.26,215.19,12836,th,silver
63,Diana,1005,2.08,48.66,5.65,1.21,196.85,12860,th,silver
64,Irelia,993,1.81,51.56,5.58,6.5,227.7,13773,th,silver
65,LeBlanc,987,2.92,47.21,5.55,15.83,159.44,11930,th,silver
66,Zyra,985,2.42,52.89,5.54,3.52,66.41,9693,th,silver
67,Samira,968,2.23,45.14,5.44,10.65,188.46,13134,th,silver
68,Lucian,965,2.48,47.77,5.43,0.9,202.74,12820,th,silver
69,Kha'Zix,951,2.34,48.05,5.35,5.11,183.31,12976,th,silver
70,Yorick,951,1.83,52.37,5.35,6.25,213.16,13063,th,silver
71,Poppy,949,2.31,48.05,5.34,2.71,88.16,9927,th,silver
72,Wukong,940,2.87,53.51,5.29,1.4,174.94,12402,th,silver
73,Gragas,921,2.49,49.84,5.18,2.24,168.04,11468,th,silver
74,Briar,916,2.14,52.29,5.15,4.43,170.59,12674,th,silver
75,Maokai,904,2.61,51.66,5.08,1.31,95.51,9756,th,silver
76,Corki,901,2.56,47.95,5.07,2.43,203.24,12674,th,silver
77,Jax,897,1.89,48.27,5.04,2.43,180.51,12351,th,silver
78,Amumu,884,2.72,52.26,4.97,2.68,158.54,11218,th,silver
79,Nasus,878,2.16,53.76,4.94,6.65,188.15,12375,th,silver
80,Sivir,877,2.93,52.57,4.94,0.85,235.86,13250,th,silver
81,Vel'Koz,875,2.43,52.8,4.92,1.64,74.69,10194,th,silver
82,Aphelios,860,2.06,46.05,4.84,1.46,190.49,12425,th,silver
83,Aurora,845,2.71,48.99,4.75,9.91,179.18,11788,th,silver
84,Riven,842,1.92,47.62,4.73,1.16,183.87,12026,th,silver
85,Blitzcrank,830,2.41,50.36,4.67,15.3,31.31,8430,th,silver
86,Vex,816,2.84,52.08,4.59,5.16,181.45,12150,th,silver
87,Tristana,811,2.49,46.98,4.56,1.04,184.02,13120,th,silver
88,Soraka,799,3.26,54.82,4.49,1.3,27.11,7954,th,silver
89,Sejuani,767,3.14,47.98,4.32,1.07,160.8,11257,th,silver
90,Braum,745,2.81,47.65,4.19,1.83,29.91,8272,th,silver
91,Sion,744,1.62,51.75,4.18,1.47,195.68,12876,th,silver
92,Lillia,722,2.99,53.05,4.06,2.67,187.34,12665,th,silver
93,Jarvan IV,710,3.11,52.82,3.99,0.87,161.05,11821,th,silver
94,Xayah,697,2.62,50.5,3.92,0.46,209.28,12746,th,silver
95,Renekton,678,2.08,51.77,3.81,1.64,196.57,12322,th,silver
96,Xin Zhao,665,2.37,50.08,3.74,0.55,172.25,12086,th,silver
97,Twitch,659,2.49,47.95,3.71,1.84,174.39,12995,th,silver
98,Syndra,656,2.52,52.13,3.69,2.47,185.92,12374,th,silver
99,Skarner,643,2.96,47.28,3.62,6.16,143.99,10848,th,silver
100,Trundle,641,1.67,53.82,3.6,3.19,204.62,13301,th,silver
101,Shen,640,3.01,51.56,3.6,0.79,130.49,10347,th,silver
102,Nunu & Willump,639,2.6,45.7,3.59,0.68,152.1,11416,th,silver
103,Vladimir,639,2.33,51.02,3.59,2.11,186.8,11799,th,silver
104,Ornn,633,2.48,50.87,3.56,0.97,166.32,11129,th,silver
105,Fizz,606,2.38,45.54,3.41,3.22,161.39,12416,th,silver
106,Draven,596,2.29,50.5,3.35,4.17,194.24,14095,th,silver
107,Twisted Fate,595,2.18,45.55,3.35,0.52,177.72,12358,th,silver
108,Aurelion Sol,588,2.86,52.72,3.31,2.5,196.51,13002,th,silver
109,Talon,575,2.22,47.3,3.24,0.84,189.03,12787,th,silver
110,Kog'Maw,570,2.49,53.33,3.21,1.17,184.39,12556,th,silver
111,Illaoi,567,1.63,51.85,3.19,7.84,188.85,12046,th,silver
112,Alistar,558,2.53,49.64,3.14,1,30.81,8212,th,silver
113,Ziggs,557,2.69,52.24,3.13,1.25,187.26,12450,th,silver
114,Zoe,545,2.59,45.5,3.06,1.8,133.72,10869,th,silver
115,Rammus,536,2.94,51.68,3.01,6.96,150.99,11046,th,silver
116,Neeko,533,2.29,48.59,3,0.99,70.88,9806,th,silver
117,Fiddlesticks,524,2.59,54.96,2.95,1.16,157.06,12055,th,silver
118,Lissandra,523,2.45,49.52,2.94,2.47,177.16,11498,th,silver
119,Rell,519,2.75,49.71,2.92,1.24,34.88,8639,th,silver
120,Gwen,508,1.86,50.79,2.86,1.29,195.2,12391,th,silver
121,Sona,507,3.03,52.07,2.86,0.16,30.48,8554,th,silver
122,Ryze,505,2.52,50.89,2.84,0.38,203.73,12429,th,silver
123,Zac,499,3.24,47.7,2.81,1.06,154.36,11314,th,silver
124,Orianna,497,2.9,46.48,2.79,0.98,180.86,11673,th,silver
125,Naafiri,495,2.37,52.32,2.78,1.5,174.36,12676,th,silver
126,Azir,492,2.13,43.5,2.77,0.59,200.27,12176,th,silver
127,Kayle,489,2.19,50.72,2.75,0.62,220.26,12885,th,silver
128,Rakan,474,2.85,48.95,2.67,0.32,33.41,8140,th,silver
129,Kindred,467,2.2,47.32,2.63,1.2,182.29,12678,th,silver
130,Yuumi,454,4.33,42.51,2.55,1.99,16.67,7844,th,silver
131,Renata Glasc,452,2.86,50.66,2.54,0.97,35.53,8487,th,silver
132,Udyr,442,2.17,48.87,2.49,1.08,175.75,11863,th,silver
133,Fiora,431,1.56,45.94,2.42,1.93,192.76,12243,th,silver
134,Gnar,429,2.02,46.62,2.42,1.08,183.56,12074,th,silver
135,Gangplank,421,2.19,48.69,2.37,1.59,203.87,14044,th,silver
136,Nilah,419,2.53,55.13,2.36,3.23,193.89,13204,th,silver
137,Janna,407,3.14,49.14,2.29,0.4,32.56,8333,th,silver
138,Rengar,397,1.93,42.07,2.24,1.02,177.56,12296,th,silver
139,Zilean,393,3.22,49.36,2.21,0.67,69.45,9236,th,silver
140,Heimerdinger,382,2.03,53.4,2.15,1.55,178.89,11919,th,silver
141,Camille,379,1.8,44.85,2.13,1.95,161.51,11596,th,silver
142,Hecarim,364,2.43,45.88,2.05,0.36,183.56,12146,th,silver
143,Kassadin,340,2.7,50.59,1.91,1.42,180.73,12429,th,silver
144,Nidalee,340,2.91,52.94,1.92,0.33,167.15,12078,th,silver
145,Zeri,339,2.48,45.72,1.91,0.26,219.65,13244,th,silver
146,Karthus,331,2.41,51.96,1.86,0.85,203.87,13527,th,silver
147,Elise,328,2.54,53.35,1.84,0.92,161.2,12464,th,silver
148,Singed,325,2.11,56,1.83,0.49,199.24,12212,th,silver
149,Bel'Veth,323,2.16,44.58,1.82,0.9,183.51,12223,th,silver
150,Tryndamere,317,1.82,48.58,1.79,0.88,221.72,13496,th,silver
151,Annie,316,2.79,54.11,1.78,0.54,143.02,11264,th,silver
152,Urgot,307,2.05,51.47,1.73,0.46,182.52,12478,th,silver
153,Shyvana,304,2.41,48.36,1.71,0.4,204.95,12980,th,silver
154,Evelynn,295,2.36,43.39,1.66,1.53,152.6,11759,th,silver
155,Akshan,290,2.44,47.93,1.63,0.66,180.53,13240,th,silver
156,Kalista,287,2.25,43.21,1.62,0.58,187.53,12853,th,silver
157,Anivia,279,2.99,49.82,1.57,0.62,153.22,11149,th,silver
158,Kennen,271,2.18,52.4,1.52,1.93,169.53,11280,th,silver
159,Taric,255,2.8,51.37,1.44,0.36,48.1,8604,th,silver
160,Rumble,238,2.1,44.54,1.34,0.32,176.01,11705,th,silver
161,Taliyah,231,2.33,48.92,1.3,0.17,183.1,12128,th,silver
162,Qiyana,229,2.27,49.34,1.29,0.52,177.57,12474,th,silver
