Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"239,561",2.07:1,50.79%,30.52%,33.2%,185.21,"12,843"
2,Yasuo,"207,053",1.61:1,48.33%,26.38%,35.85%,190.51,"12,153"
3,Jinx,"200,489",2.16:1,51.13%,25.54%,5.41%,187.02,"12,494"
4,Lux,"165,779",2.45:1,50.95%,21.12%,13.76%,89.62,"10,629"
5,Zed,"145,777",2.19:1,47.45%,18.57%,44.21%,171.55,"12,548"
6,Warwick,"140,205",2.28:1,54.28%,17.86%,26.76%,156.61,"12,446"
7,Jhin,"139,753",2.53:1,50.2%,17.81%,4.15%,178.37,"12,973"
8,Katarina,"119,830",2.15:1,48.76%,15.27%,18.59%,157.84,"12,574"
9,Tahm Kench,"112,545",2.53:1,52.82%,14.34%,24.88%,91.13,"10,420"
10,Miss Fortune,"109,854",2.31:1,51.45%,14%,2.91%,170.02,"12,851"
11,Viego,"105,692",2.38:1,50.37%,13.47%,8.59%,172.91,"12,547"
12,Kayn,"104,679",2.29:1,51.71%,13.34%,8.47%,172.98,"12,615"
13,Swain,"103,195",2.27:1,49.81%,13.15%,14.33%,92.53,"10,475"
14,Yone,"98,695",1.63:1,47.64%,12.57%,9.12%,183.3,"11,861"
15,Thresh,"98,089",2.63:1,49.28%,12.5%,3.71%,34.21,"8,696"
16,Ezreal,"97,157",2.38:1,48.32%,12.38%,3.73%,175.61,"12,176"
17,Diana,"97,000",2.11:1,51.68%,12.36%,6.73%,187.11,"13,021"
18,Teemo,"95,014",1.94:1,52.51%,12.11%,27.58%,167.66,"12,143"
19,Volibear,"91,720",1.84:1,50.85%,11.69%,8.18%,169.01,"11,763"
20,Shaco,"90,853",2.48:1,46.93%,11.58%,44.03%,148.8,"12,386"
21,Malphite,"89,918",2.4:1,50.81%,11.46%,7.58%,140.43,"11,041"
22,Kai'Sa,"89,343",2.25:1,48.7%,11.38%,2.01%,191.82,"12,988"
23,Vayne,"87,418",1.95:1,50.26%,11.14%,7.35%,169.85,"12,359"
24,Garen,"87,267",2.05:1,50.15%,11.12%,7.06%,185.15,"12,514"
25,Lee Sin,"86,586",2.54:1,47.66%,11.03%,6.35%,157.37,"12,156"
26,Viktor,"85,661",2.11:1,51.87%,10.91%,9.7%,183.33,"11,998"
27,Darius,"85,423",1.74:1,47.86%,10.88%,23.3%,173.59,"11,980"
28,Master Yi,"84,651",1.89:1,48.54%,10.79%,10.88%,168.84,"12,654"
29,Morgana,"84,007",2.56:1,51.12%,10.7%,40.61%,58.12,"9,909"
30,Lulu,"83,921",3.28:1,52.94%,10.69%,14.82%,28.19,"8,431"
31,Vladimir,"80,944",2.11:1,51.03%,10.31%,17.59%,183.38,"11,888"
32,Ashe,"80,757",2.12:1,48.51%,10.29%,2.1%,166.07,"11,714"
33,Mordekaiser,"80,351",1.89:1,52.09%,10.24%,16.33%,164.74,"11,859"
