Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Yasuo,44021,1.66,49.26,33.8,37.32,185.11,12286,tr,bronze
2,Caitlyn,39843,2.06,50.75,30.59,29.45,173.23,12771,tr,bronze
3,Lux,35556,2.45,51.1,27.3,23.43,83.52,10696,tr,bronze
4,Jinx,30116,2.15,50.56,23.12,5.6,174.11,12452,tr,bronze
5,Warwick,29035,2.31,54.49,22.29,37.93,155.56,12675,tr,bronze
6,Miss Fortune,27511,2.36,52.31,21.12,5.23,166.1,12966,tr,bronze
7,Zed,26916,2.17,47.01,20.66,41.88,162.76,12560,tr,bronze
8,Katarina,23520,2.11,48.32,18.06,17.02,150.72,12586,tr,bronze
9,Kayn,22787,2.29,51.68,17.49,11.41,171.22,12772,tr,bronze
10,Jhin,21626,2.44,49.74,16.6,5.6,164.8,12870,tr,bronze
11,Teemo,21192,1.98,53.59,16.27,41.16,161.77,12224,tr,bronze
12,Master Yi,20637,1.9,48.69,15.84,15.39,168.22,12811,tr,bronze
13,Tahm Kench,20418,2.49,51.58,15.68,24.94,85.54,10542,tr,bronze
14,Yone,19940,1.66,48.06,15.31,9.1,176.58,11976,tr,bronze
15,Shaco,19165,2.48,46.92,14.71,54.32,150.77,12590,tr,bronze
16,Swain,19059,2.3,50.79,14.63,19.16,83.82,10527,tr,bronze
17,Garen,18767,2.14,51.77,14.41,8.74,180.11,12625,tr,bronze
18,Morgana,18751,2.6,51.94,14.4,40.09,60.12,10128,tr,bronze
19,Volibear,17727,1.89,51.29,13.61,8.73,164.39,11895,tr,bronze
20,Darius,16795,1.74,46.92,12.89,22.39,163.87,11884,tr,bronze
21,Malphite,16530,2.34,50.11,12.69,5.76,123.9,11076,tr,bronze
22,Mordekaiser,16393,1.96,52.4,12.59,18.98,160.14,12065,tr,bronze
23,Viego,15347,2.25,50.26,11.78,4.64,167.98,12608,tr,bronze
24,Vayne,15344,1.92,49.64,11.78,8.7,157.09,12233,tr,bronze
25,Diana,14349,2.09,51.13,11.02,5.1,178.9,13138,tr,bronze
26,Ezreal,13538,2.33,47.88,10.39,3.15,159.62,12013,tr,bronze
27,Nasus,13521,2,52.04,10.38,8.93,174.8,12171,tr,bronze
28,Vladimir,13503,2.02,50.89,10.37,19.72,171.04,11770,tr,bronze
29,Veigar,13290,2.14,52.54,10.2,3.56,162.64,12493,tr,bronze
30,Ashe,13197,2.06,48.15,10.13,2.08,156.14,11725,tr,bronze
