Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,298,2.55,53.69,30.73,4.4,191.33,11556,tr,challenger
2,Corki,270,2.74,51.11,27.93,8.1,208.41,12612,tr,challenger
3,Ezreal,242,2.84,54.55,25.02,4.34,187.84,11149,tr,challenger
4,Dr. Mundo,192,2.34,56.25,21.43,4.47,204.01,11729,tr,challenger
5,Sylas,176,2.3,56.25,18.15,17.69,132.7,10320,tr,challenger
6,Nami,166,3.81,54.82,17.16,0.68,24.36,7755,tr,challenger
7,Viego,161,3.04,45.34,16.6,16.03,168.47,11571,tr,challenger
8,Caitlyn,161,2.28,45.96,16.6,41.99,193.34,11542,tr,challenger
9,Camille,156,2.16,60.9,16.09,9.89,167.4,11715,tr,challenger
10,Hwei,152,3.03,58.55,15.67,10.71,206.72,11755,tr,challenger
11,Jhin,149,3.28,56.38,15.45,0.95,188.24,12093,tr,challenger
12,Ashe,147,2.43,43.54,15.16,4.19,180.25,10780,tr,challenger
13,Akali,147,2.51,44.9,15.16,14.74,170.58,10981,tr,challenger
14,Ahri,147,3.37,52.38,15.16,5.52,189.5,11041,tr,challenger
15,Fiora,145,1.51,48.97,14.95,7.8,202.76,12244,tr,challenger
16,Jax,143,2.75,60.14,14.78,21.82,186.55,11443,tr,challenger
17,Kai'Sa,140,2.56,47.86,14.44,1.69,198.31,12172,tr,challenger
18,Viktor,139,2.17,53.24,17.08,20.85,194.76,10984,tr,challenger
19,Lux,138,3.37,47.83,14.28,0.82,151.11,10488,tr,challenger
20,Syndra,138,2.76,48.55,14.23,4.19,201.55,11734,tr,challenger
21,Aphelios,136,2.04,50,14.06,2.86,194.1,11717,tr,challenger
22,Rammus,127,3.3,44.88,13.57,5.3,150.63,10499,tr,challenger
23,Rakan,121,3.27,53.72,14.04,0.92,29.01,7436,tr,challenger
24,Graves,120,2.95,57.5,12.37,24.34,202.11,13369,tr,challenger
25,Vladimir,117,2.51,49.57,12.07,20.37,204.78,11677,tr,challenger
26,K'Sante,113,2.51,52.21,11.65,15.83,183.9,11091,tr,challenger
27,Lulu,112,3.75,50.89,11.55,20.73,23.68,7306,tr,challenger
28,Irelia,109,1.67,51.38,11.24,15.41,213.47,12036,tr,challenger
29,Yasuo,108,1.87,56.48,11.14,21.19,190.89,10893,tr,challenger
30,Talon,102,2.85,46.08,10.52,18.07,194.5,11668,tr,challenger
31,Karma,99,2.8,52.53,10.27,7.17,39.47,8386,tr,challenger
32,Yone,98,1.82,52.04,10.14,3.33,205.66,11598,tr,challenger
33,Qiyana,95,2.89,62.11,9.83,5.34,177.71,11970,tr,challenger
34,Ekko,91,3.11,57.14,9.41,6.3,182.3,12761,tr,challenger
35,Lee Sin,90,3.15,50,9.31,6.5,158,11358,tr,challenger
36,Anivia,90,3.01,50,9.31,4.06,193.63,10565,tr,challenger
37,Fiddlesticks,88,2.43,55.68,9.62,6.47,69.01,9213,tr,challenger
38,Draven,88,2.57,63.64,9.07,39.5,203.32,14226,tr,challenger
39,Janna,83,3.26,46.99,8.59,3.87,26.71,7391,tr,challenger
40,Vel'Koz,82,3.12,48.78,9.87,2.95,173.99,11055,tr,challenger
41,Seraphine,80,3.75,50,9.54,0.3,115.36,9262,tr,challenger
42,Nautilus,76,2.29,50,7.84,17.73,24.16,7460,tr,challenger
43,Thresh,75,2.98,50.67,7.75,3.48,25.61,7572,tr,challenger
44,Vayne,74,2.12,50,7.68,2.34,170.12,10786,tr,challenger
45,Briar,74,2.15,56.76,7.66,4.92,149.5,10900,tr,challenger
46,Rengar,72,3.04,45.83,7.42,28.47,184.29,11829,tr,challenger
47,Kha'Zix,72,2.89,55.56,7.44,13.05,165.79,11576,tr,challenger
48,Xerath,70,3.24,48.57,7.45,1.57,154.43,10768,tr,challenger
49,Pantheon,70,2.02,52.86,8.11,1.56,82.87,10399,tr,challenger
50,Kennen,70,1.95,54.29,7.26,2.51,174.87,10472,tr,challenger
51,Zilean,70,4.04,54.29,8.65,0.88,50.79,7943,tr,challenger
52,Hecarim,68,3.17,47.06,7.01,10.7,201.57,11733,tr,challenger
53,Bard,68,4.95,63.24,7.21,5.49,26.78,8154,tr,challenger
54,Poppy,67,2.39,49.25,6.95,3.26,31.82,8903,tr,challenger
55,Zed,65,2.58,44.62,6.7,18.42,175.08,11541,tr,challenger
56,Ryze,65,2.2,47.69,7.87,0.56,196.29,11009,tr,challenger
57,Samira,65,2.95,66.15,6.7,20.79,193.25,12848,tr,challenger
58,Taliyah,62,3.11,59.68,6.82,3.1,203.19,12595,tr,challenger
59,Wukong,62,2.88,66.13,6.66,2.89,179.66,11994,tr,challenger
60,Milio,61,3.32,39.34,6.29,7.59,24.52,6932,tr,challenger
61,Malphite,61,2.37,47.54,6.29,13.33,158.89,9490,tr,challenger
62,Soraka,60,2.9,55,6.46,1.33,32.97,7207,tr,challenger
63,Lucian,59,2.63,59.32,6.73,0.36,190.76,11543,tr,challenger
64,Warwick,58,1.71,44.83,6,7.14,187.24,12016,tr,challenger
65,Leona,57,2.22,42.11,5.91,4.89,22.37,6905,tr,challenger
66,Ambessa,56,1.99,46.43,5.77,34.12,176.55,11168,tr,challenger
67,LeBlanc,55,3.05,40,5.67,30.32,173.31,11120,tr,challenger
68,Gragas,53,2.93,54.72,5.47,10.81,159.32,10626,tr,challenger
69,Twitch,52,2.47,44.23,6.42,0.95,160.92,11709,tr,challenger
70,Blitzcrank,52,2.65,50,5.36,7.24,21.83,7129,tr,challenger
71,Varus,50,2.06,38,5.78,0.42,178.78,11158,tr,challenger
72,Jarvan IV,50,3.87,50,5.17,4.38,153.7,10247,tr,challenger
73,Nidalee,50,3.47,56,5.36,2.08,168.06,11638,tr,challenger
74,Pyke,49,1.98,46.94,5.05,23.38,28.27,8681,tr,challenger
75,Shen,49,2.99,51.02,6.78,0.5,124.82,8673,tr,challenger
76,Kassadin,48,2.36,31.25,5.11,4.79,205.33,11466,tr,challenger
77,Jayce,48,2.04,45.83,5.11,1.8,195.98,11957,tr,challenger
78,Diana,48,3.03,58.33,4.95,4.01,195.15,12649,tr,challenger
79,Smolder,47,2.14,36.17,6.15,0.42,198.19,10962,tr,challenger
80,Galio,47,2.79,46.81,4.86,3.26,130.32,9073,tr,challenger
81,Zoe,46,2.63,47.83,5.28,1.24,135.57,9883,tr,challenger
82,Bel'Veth,46,3.27,50,4.74,10.16,190.93,12012,tr,challenger
83,Tahm Kench,46,3.18,60.87,4.93,3.22,78.11,9124,tr,challenger
84,Renekton,43,1.89,34.88,4.74,2.77,187.3,10957,tr,challenger
85,Kalista,43,2.08,39.53,5.32,1.13,186.74,11654,tr,challenger
86,Orianna,43,3.33,48.84,5.65,1.37,196.14,10727,tr,challenger
87,Xayah,43,2.51,51.16,5.76,0.4,210.88,12206,tr,challenger
88,Aurora,42,2.63,52.38,4.35,9.28,177.88,10885,tr,challenger
89,Nunu & Willump,40,2.6,37.5,4.81,2.65,138.6,9922,tr,challenger
90,Yuumi,40,4.4,47.5,4.26,3.63,12.88,7206,tr,challenger
91,Aatrox,40,2.06,50,4.12,9.77,169.35,10927,tr,challenger
92,Kog'Maw,40,2.41,57.5,4.81,1.27,186.68,11302,tr,challenger
93,Sion,39,1.62,43.59,5.94,0.35,191.77,11061,tr,challenger
94,Zac,39,3,56.41,4.85,1.63,142.95,10110,tr,challenger
95,Rell,38,2.97,52.63,4.17,3.13,24.95,7355,tr,challenger
96,Lissandra,38,3.08,52.63,3.93,2.43,186.26,10620,tr,challenger
97,Akshan,38,2.85,55.26,4.06,4.4,188.45,12490,tr,challenger
98,Karthus,37,2.57,51.35,3.83,5.84,224.59,13451,tr,challenger
99,Volibear,34,1.8,52.94,3.52,1.91,175.94,10797,tr,challenger
100,Master Yi,34,2.99,58.82,3.51,15.06,178.09,12309,tr,challenger
101,Gwen,32,1.15,34.38,3.32,6.25,197.84,11624,tr,challenger
102,Gangplank,30,2.14,43.33,5.61,0.8,211.97,14034,tr,challenger
103,Gnar,30,1.97,46.67,4.01,1.18,180.13,10832,tr,challenger
104,Swain,30,2.34,56.67,3.1,1.6,123.03,9611,tr,challenger
105,Lillia,29,3.7,58.62,3.08,3.39,197.69,11860,tr,challenger
106,Katarina,28,2.39,53.57,2.89,10.64,178.07,12262,tr,challenger
107,Skarner,27,2.6,44.44,2.78,11.05,146.37,9498,tr,challenger
108,Morgana,27,2.72,44.44,2.78,5.62,105.04,8939,tr,challenger
109,Braum,27,3.2,48.15,2.78,8.05,23.78,7162,tr,challenger
110,Fizz,27,2.44,51.85,3.3,1.35,176.11,12301,tr,challenger
111,Elise,26,2.91,50,2.78,2.47,119.85,9606,tr,challenger
112,Aurelion Sol,24,3.21,45.83,4.03,0.47,181.92,12170,tr,challenger
113,Cho'Gath,24,2.34,50,4.13,0.38,159.92,9748,tr,challenger
114,Alistar,23,2.01,52.17,2.53,3.62,25.13,7343,tr,challenger
115,Zeri,22,2.77,45.45,2.37,2.78,197.05,11070,tr,challenger
116,Quinn,22,2.41,59.09,6.54,1.46,169.23,11324,tr,challenger
117,Tristana,20,2.55,30,3.6,0.22,189.05,12186,tr,challenger
118,Vi,20,2.34,45,2.76,1.25,139.2,9527,tr,challenger
119,Trundle,20,2,50,2.89,0.72,196.15,11603,tr,challenger
