Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,8476,2.15,51.3,28.5,5.79,195.13,11985,tr,diamond
2,Caitlyn,7772,2.08,50.59,26.14,39.41,195.87,12377,tr,diamond
3,Viego,5578,2.6,51.04,18.76,17.55,173.5,12110,tr,diamond
4,Lulu,5549,3.4,53.34,18.66,31,26.26,7974,tr,diamond
5,Jhin,5197,2.67,50.14,17.48,1.31,188.16,12487,tr,diamond
6,Yasuo,4875,1.61,48.45,16.39,26.8,199.77,11667,tr,diamond
7,Graves,4750,2.49,50.46,15.97,17.95,197.01,13062,tr,diamond
8,Ezreal,4555,2.42,49.68,15.32,5.53,186.44,11837,tr,diamond
9,Zed,4531,2.25,48.31,15.24,36.02,185.37,12314,tr,diamond
10,Thresh,4285,2.75,52,14.41,5.02,29.72,8135,tr,diamond
11,Viktor,4217,2.12,51.74,14.18,18.03,193.17,11623,tr,diamond
12,Sylas,4127,2.1,50.23,13.88,11.71,132.87,10764,tr,diamond
13,Kai'Sa,4047,2.32,48.83,13.61,1.79,196.34,12426,tr,diamond
14,Lee Sin,4029,2.8,49.86,13.55,8.97,159.12,11745,tr,diamond
15,Karma,3893,2.6,49.94,13.09,7.15,52.6,8708,tr,diamond
16,Diana,3629,2.16,51.09,12.2,7.39,190.33,12414,tr,diamond
17,Gragas,3607,2.38,50.18,12.13,7.96,167.18,11087,tr,diamond
18,Lux,3259,2.61,50.75,10.96,1.1,114.62,10376,tr,diamond
19,Vladimir,3181,2.33,50.86,10.7,17.82,194.92,11595,tr,diamond
20,Ashe,3136,2.23,49.87,10.55,2.84,178.18,11376,tr,diamond
21,Aatrox,3133,1.89,50.78,10.54,14.99,172.6,11136,tr,diamond
22,Nami,3099,3.27,49.6,10.42,0.63,24.07,8066,tr,diamond
23,Ahri,3075,2.57,52.42,10.34,4.24,183.19,11339,tr,diamond
24,Tahm Kench,3023,2.43,52.1,10.17,13.74,97.52,9734,tr,diamond
25,Irelia,3022,1.56,49.93,10.16,14.94,219.54,12727,tr,diamond
