Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,23833,2.09,51.52,29.58,37.35,197.69,12845,tr,emerald
2,Jinx,23396,2.19,52.38,29.04,6.28,198.83,12517,tr,emerald
3,Jhin,15186,2.65,51.39,18.85,2.57,191.07,13004,tr,emerald
4,Yasuo,14863,1.58,49.09,18.45,33.02,202.72,12050,tr,emerald
5,Lulu,13400,3.43,54.66,16.63,29.31,27.75,8313,tr,emerald
6,Zed,13196,2.27,48.48,16.38,43.87,185.88,12631,tr,emerald
7,Viego,12912,2.57,51.73,16.03,14.48,177.18,12446,tr,emerald
8,Thresh,12834,2.75,51.56,15.93,6.14,31.38,8426,tr,emerald
9,Graves,12331,2.48,51.19,15.3,10.5,202.03,13560,tr,emerald
10,Viktor,11857,2.14,52.79,14.72,16.42,194.76,11976,tr,emerald
11,Ezreal,11232,2.41,48.86,13.94,5.01,188.14,12213,tr,emerald
12,Lux,11087,2.54,50.75,13.76,3.24,107.61,10616,tr,emerald
13,Kai'Sa,10584,2.31,49.66,13.14,2.07,200.54,12953,tr,emerald
14,Tahm Kench,10539,2.54,54.27,13.08,22.88,97.43,10160,tr,emerald
15,Lee Sin,10537,2.75,50.7,13.08,8.71,160.43,12034,tr,emerald
16,Katarina,10047,2.27,50.35,12.47,20.43,169.11,12517,tr,emerald
17,Diana,9762,2.17,52.79,12.12,8.55,195.44,12904,tr,emerald
18,Karma,9752,2.63,51.12,12.1,6.99,53.23,9136,tr,emerald
19,Warwick,9302,2.29,54.69,11.54,12.54,163.38,12245,tr,emerald
20,Sylas,8679,2.08,50.02,10.77,6.65,140.35,11124,tr,emerald
21,Ashe,8481,2.24,49.64,10.53,2.3,180.35,11784,tr,emerald
22,Vladimir,8417,2.24,53.04,10.45,16.68,197.28,12014,tr,emerald
23,Lucian,8194,2.29,50.52,10.17,0.86,198.34,12821,tr,emerald
24,Gragas,8171,2.43,52.05,10.14,5.83,168.84,11460,tr,emerald
25,Vayne,7984,2,52.33,9.91,5.64,183.44,12402,tr,emerald
26,Yone,7919,1.63,47.96,9.83,9.4,200.84,11932,tr,emerald
27,Swain,7908,2.21,48.74,9.81,7.63,110.22,10349,tr,emerald
28,Kha'Zix,7839,2.62,53.44,9.73,8.6,177.03,12857,tr,emerald
29,Volibear,7713,1.82,51.48,9.57,7.07,180.88,11805,tr,emerald
30,Irelia,7656,1.61,50.29,9.5,13.76,221.64,13149,tr,emerald
31,Ahri,7488,2.58,52.19,9.29,3.84,184.69,11609,tr,emerald
32,Malphite,7469,2.54,51.76,9.27,10.94,164.94,10982,tr,emerald
33,Ekko,7464,2.52,51.39,9.26,1.04,178.31,12628,tr,emerald
34,Darius,6991,1.77,49.21,8.68,22.3,188.35,12074,tr,emerald
35,Nami,6847,3.39,52.96,8.5,0.68,24.87,8318,tr,emerald
36,Aatrox,6823,1.91,51.84,8.47,14,175.27,11418,tr,emerald
37,Nautilus,6754,2.37,48.62,8.38,20.49,31.98,8385,tr,emerald
38,Vi,6364,2.46,50.8,7.9,1.51,168.37,11798,tr,emerald
39,Draven,6335,1.89,48.89,7.86,17.23,190.76,13881,tr,emerald
40,Milio,6324,3.68,53.19,7.85,3.85,26.46,7979,tr,emerald
41,Akali,6248,2.21,49.79,7.75,6.96,167.85,11777,tr,emerald
42,Kayn,6094,2.39,51.97,7.56,4.29,182.29,12545,tr,emerald
43,Pyke,5966,2.14,49.87,7.4,8.04,36.29,10169,tr,emerald
