Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,48956,2.08,51.16,32.26,33.99,192.48,13095,tr,gold
2,Jinx,40335,2.18,51.67,26.58,4.53,194.03,12741,tr,gold
3,Yasuo,36448,1.59,48.74,24.01,36.89,199.06,12315,tr,gold
4,Jhin,28764,2.57,50.9,18.95,3.32,185.36,13249,tr,gold
5,Lux,28660,2.49,51.67,18.88,9.6,94.86,10800,tr,gold
6,Zed,28530,2.2,47.74,18.8,48.05,177.94,12744,tr,gold
7,Warwick,24768,2.33,54.89,16.32,23.57,162.56,12598,tr,gold
8,Katarina,23121,2.18,48.94,15.23,19.46,163.48,12760,tr,gold
9,Tahm Kench,22888,2.59,53.57,15.08,27.75,95.17,10546,tr,gold
10,Diana,21434,2.11,52.03,14.12,7.91,191.86,13155,tr,gold
11,Swain,20961,2.25,49.84,13.81,13.92,94.99,10551,tr,gold
12,Viego,20696,2.4,49.84,13.64,8.99,176.73,12749,tr,gold
13,Thresh,20597,2.68,49.61,13.57,3.8,34.43,8771,tr,gold
14,Ezreal,19964,2.42,49.12,13.15,3.71,181.87,12390,tr,gold
15,Viktor,18832,2.12,52.43,12.41,10.62,187.26,12172,tr,gold
16,Kayn,18774,2.38,53.04,12.37,8.12,180,12828,tr,gold
17,Kai'Sa,18206,2.25,48.67,12,1.9,197.27,13197,tr,gold
18,Teemo,18183,1.9,52.52,11.98,24.98,174.7,12237,tr,gold
19,Lulu,18182,3.3,53.57,11.98,16.99,28.74,8540,tr,gold
20,Vayne,17689,1.97,50.44,11.65,6.94,177.29,12561,tr,gold
21,Lee Sin,17668,2.58,48.85,11.64,6.94,161.44,12330,tr,gold
22,Graves,17407,2.36,49.98,11.47,4.02,202.06,13849,tr,gold
23,Malphite,17340,2.47,51.66,11.43,7.54,151.48,11261,tr,gold
24,Volibear,17060,1.88,51.73,11.24,8.64,176.78,12013,tr,gold
25,Miss Fortune,16747,2.33,51.63,11.03,1.3,185.87,13249,tr,gold
26,Vladimir,16604,2.14,51.26,10.94,16.05,190.11,12127,tr,gold
27,Yone,16417,1.63,47.71,10.82,9.24,194.78,12186,tr,gold
28,Darius,16094,1.74,48.66,10.6,24.7,181.69,12265,tr,gold
29,Shaco,16057,2.56,47.46,10.58,45.61,155.1,12656,tr,gold
30,Ashe,15108,2.15,48.58,9.95,1.69,173.14,11919,tr,gold
31,Ekko,15108,2.41,51.01,9.95,1.23,172.72,12778,tr,gold
32,Garen,14666,2.06,50.59,9.66,6.93,196.23,12818,tr,gold
33,Morgana,14501,2.61,52.58,9.55,46.7,59.01,9956,tr,gold
34,Mordekaiser,14205,1.9,53.12,9.36,17.59,172.78,12020,tr,gold
35,Nautilus,14201,2.43,48.51,9.36,17.14,35.58,8788,tr,gold
36,Kha'Zix,14141,2.45,50.45,9.32,5.62,175.39,13095,tr,gold
37,Lucian,13647,2.23,48.22,8.99,1.08,193.77,13020,tr,gold
38,Karma,13043,2.56,51.16,8.59,4.29,57.98,9493,tr,gold
39,Sylas,13013,2.01,47.61,8.57,5.12,136.77,11273,tr,gold
40,Irelia,12951,1.68,50.97,8.53,10.24,219.26,13495,tr,gold
41,Samira,12408,2.14,50.44,8.18,37.7,183.12,13706,tr,gold
42,Leona,12313,2.48,49.36,8.11,12.51,31.94,8643,tr,gold
43,Master Yi,12227,1.94,48.95,8.06,8.96,178.54,12949,tr,gold
44,Malzahar,12182,2.14,53.09,8.03,13.17,215.08,12795,tr,gold
45,Nasus,11719,1.97,52.06,7.72,8.87,183.39,12148,tr,gold
46,Akali,11671,2.18,48.8,7.69,6.93,160.54,11975,tr,gold
47,Ahri,11086,2.45,51.79,7.3,2.72,176.68,11756,tr,gold
48,Draven,10809,1.9,48.89,7.12,12.75,185.76,14024,tr,gold
49,Veigar,10593,2.12,51.59,6.98,1.35,180.37,12554,tr,gold
50,Pantheon,10332,2.06,49.95,6.81,2.02,100.37,11442,tr,gold
51,Vi,10326,2.38,50.45,6.8,1.01,168.38,12136,tr,gold
52,Nocturne,10259,2.7,54.22,6.76,5.5,185.61,12920,tr,gold
53,Pyke,10177,2.05,47,6.71,4.82,38.54,10411,tr,gold
54,Brand,10003,1.94,51.25,6.59,8.83,81.17,10659,tr,gold
55,Xerath,9862,2.76,53.04,6.5,3.87,106.42,11244,tr,gold
56,Gragas,9442,2.35,49.18,6.22,1.82,162.63,11607,tr,gold
57,Aatrox,9391,1.82,49.75,6.19,8.5,170.41,11639,tr,gold
58,Blitzcrank,9367,2.44,49.08,6.17,8.88,30.6,8617,tr,gold
59,Yuumi,9351,4.42,47.95,6.16,4.59,13.86,8198,tr,gold
60,Fizz,9272,2.22,50.95,6.11,9.12,163.57,12871,tr,gold
61,Tristana,9183,2.14,48.21,6.05,0.93,179.91,13377,tr,gold
62,Sett,9135,1.68,51.23,6.02,2.35,171.36,12167,tr,gold
63,LeBlanc,9086,2.63,49.25,5.99,9.99,149.22,11877,tr,gold
64,Trundle,9056,1.53,52.72,5.97,3.09,191.39,12751,tr,gold
65,Amumu,8893,2.59,52.48,5.86,3.08,161.43,11596,tr,gold
66,Ambessa,8762,1.94,49.18,5.77,29.6,171.7,11905,tr,gold
67,Smolder,8649,1.99,47.79,5.7,1.67,206.32,12598,tr,gold
68,Cho'Gath,8526,2.09,52.72,5.62,1.22,167.66,11854,tr,gold
69,Senna,8033,2.6,48.79,5.29,0.84,49.74,10267,tr,gold
70,Jax,7749,1.68,48.21,5.11,2.58,175.42,12153,tr,gold
71,Zyra,7559,2.21,51.67,4.98,3.24,76.25,10261,tr,gold
72,Syndra,7532,2.31,51.09,4.96,2.3,186.59,12450,tr,gold
73,Soraka,7503,2.85,52.82,4.94,1.6,27.74,8083,tr,gold
74,Varus,7424,2.08,47.59,4.89,0.46,181.3,12781,tr,gold
75,Dr. Mundo,7294,2.01,52.08,4.81,3.6,178.89,11713,tr,gold
76,Braum,7225,2.94,50.98,4.76,1.56,28.29,8621,tr,gold
77,Twitch,7093,2.23,47.15,4.67,1.22,153.08,13028,tr,gold
78,Shen,7043,2.85,50.33,4.64,0.53,123.75,10213,tr,gold
79,Riven,7003,1.89,48.64,4.61,0.88,175.71,11954,tr,gold
80,Lissandra,6944,2.28,51.94,4.58,3.59,181.44,11830,tr,gold
81,Nami,6850,3.24,51.8,4.51,0.45,25.77,8569,tr,gold
82,Jarvan IV,6823,3.24,51.84,4.5,0.77,162.82,12268,tr,gold
83,Vel'Koz,6821,2.36,53.1,4.49,0.81,95.01,10988,tr,gold
84,Galio,6414,2.68,52.63,4.23,1.34,144.03,10839,tr,gold
85,Hwei,6320,2.34,50.54,4.16,3.14,159.39,11527,tr,gold
86,Talon,6166,2.25,50.26,4.06,0.55,188.82,13108,tr,gold
87,Rengar,6155,1.94,43.62,4.06,1.52,179.6,12518,tr,gold
88,Gnar,6008,1.9,49.68,3.96,1.11,175.32,11839,tr,gold
89,Yorick,5974,1.68,53.8,3.94,3.13,205.93,12812,tr,gold
90,Wukong,5860,2.6,52.94,3.86,0.71,173.62,12541,tr,gold
91,Sejuani,5835,3.02,49.43,3.84,0.83,161.34,11338,tr,gold
92,Vex,5800,2.42,53.9,3.82,4.51,173.26,12191,tr,gold
93,Sion,5785,1.73,50.96,3.81,0.44,190.43,12656,tr,gold
94,Jayce,5700,1.81,45.44,3.76,0.39,185.74,12254,tr,gold
95,Kayle,5625,1.84,53,3.71,0.81,212.18,12734,tr,gold
96,Corki,5544,2.29,49.39,3.65,0.92,200.13,13077,tr,gold
97,Xayah,5524,2.27,51.23,3.64,0.52,199.45,12992,tr,gold
98,Seraphine,5313,2.64,50.52,3.5,0.56,57.03,9611,tr,gold
99,Aphelios,5282,1.81,47.65,3.48,0.69,182.89,12483,tr,gold
100,Milio,5273,3.61,52.44,3.47,1.18,28.09,8223,tr,gold
101,Neeko,5223,2.2,48.82,3.44,0.89,85.61,10504,tr,gold
102,Nunu & Willump,5191,2.49,49.16,3.42,0.44,150.39,11498,tr,gold
103,Rammus,5104,2.9,52.31,3.36,10.23,144.24,10932,tr,gold
104,Lillia,5036,2.58,49.07,3.32,3.43,186.63,12588,tr,gold
105,Renekton,5036,1.89,49.64,3.32,1.16,190.26,12304,tr,gold
106,Briar,4788,2.16,52.63,3.15,4.28,168.52,13029,tr,gold
107,Zac,4728,3.09,48.27,3.12,1,145.58,11179,tr,gold
108,Ryze,4727,2.15,51.32,3.11,0.34,207.35,12496,tr,gold
109,Heimerdinger,4683,1.68,52.49,3.09,2.71,180.53,12075,tr,gold
110,Poppy,4629,2.33,50.21,3.05,0.56,83.57,10400,tr,gold
111,Orianna,4497,2.58,49.23,2.96,0.53,181.96,11810,tr,gold
112,Fiora,4464,1.57,49.46,2.94,2.37,182.24,12080,tr,gold
113,Illaoi,4420,1.48,50.52,2.91,7.91,187.56,12019,tr,gold
114,Ornn,4418,2.28,52.11,2.91,0.71,165.37,11147,tr,gold
115,Evelynn,4328,2.59,47.74,2.85,2.03,156.2,12408,tr,gold
116,Alistar,4281,2.46,48.17,2.82,0.97,31.45,8503,tr,gold
117,Sivir,4196,2.36,52.12,2.76,0.39,225.1,13219,tr,gold
118,Rell,4146,2.81,50.94,2.73,1.25,29.77,8769,tr,gold
119,Janna,4079,3.27,54.96,2.69,0.14,28.53,8575,tr,gold
120,Urgot,4059,1.93,50.58,2.67,0.72,184.09,12458,tr,gold
121,Kog'Maw,3996,2.17,52.78,2.63,1.2,184.02,13003,tr,gold
122,Maokai,3995,2.46,52.54,2.63,0.25,101.5,9999,tr,gold
123,Kalista,3862,2.05,48.32,2.54,0.55,185.48,13274,tr,gold
124,Aurora,3852,2.23,50.13,2.54,5.32,176.44,11732,tr,gold
125,K'Sante,3842,1.9,47.08,2.53,1.94,170.63,11227,tr,gold
126,Rakan,3839,2.75,49.39,2.53,0.24,30.96,8375,tr,gold
127,Elise,3823,2.36,48.76,2.52,0.45,153.52,12184,tr,gold
128,Gangplank,3727,1.99,48.56,2.46,0.73,202.77,14065,tr,gold
129,Xin Zhao,3711,2.3,51.77,2.45,0.39,171.06,12248,tr,gold
130,Gwen,3631,1.71,49.88,2.39,1.29,189.84,12430,tr,gold
131,Camille,3594,1.76,46.41,2.37,0.67,155.77,11588,tr,gold
132,Hecarim,3536,2.44,46.69,2.33,0.58,183.04,12221,tr,gold
133,Aurelion Sol,3488,2.48,51.66,2.3,0.84,186.79,12596,tr,gold
134,Fiddlesticks,3478,2.46,50.66,2.29,0.37,155.75,12049,tr,gold
135,Kassadin,3237,2.2,48.13,2.13,0.88,173.2,12094,tr,gold
136,Ziggs,3175,2.29,49.83,2.09,0.32,172.82,12244,tr,gold
137,Nilah,3134,2.24,56.51,2.06,3.64,189.07,13817,tr,gold
138,Kindred,3131,2.04,47.33,2.06,0.28,176.68,12844,tr,gold
139,Zoe,3119,2.18,46.78,2.06,0.36,121.93,10946,tr,gold
140,Cassiopeia,3110,2.02,51.35,2.05,0.99,186.71,12143,tr,gold
141,Tryndamere,3068,1.58,46.45,2.02,0.65,208.81,12934,tr,gold
142,Karthus,2964,2.33,49.33,1.95,0.45,213.96,13950,tr,gold
143,Zilean,2906,3.1,52.13,1.91,0.36,64.83,9436,tr,gold
144,Kennen,2771,2.09,51.1,1.83,0.77,170.9,11835,tr,gold
145,Anivia,2706,2.67,50.89,1.78,0.69,166.28,11682,tr,gold
146,Taric,2627,2.74,54.17,1.73,0.32,44.87,8740,tr,gold
147,Annie,2601,2.18,50.29,1.71,0.33,144.09,11341,tr,gold
148,Twisted Fate,2512,2.04,48.89,1.66,0.08,174.08,12673,tr,gold
149,Udyr,2486,2.14,46.54,1.64,0.56,175.49,12042,tr,gold
150,Rumble,2269,1.94,48.13,1.5,0.31,175.02,11761,tr,gold
151,Bard,2226,2.85,48.65,1.47,0.29,34.16,9058,tr,gold
152,Shyvana,2174,2.29,52.3,1.43,0.39,204.89,12947,tr,gold
153,Singed,2093,1.78,50.69,1.38,0.15,184.4,11756,tr,gold
154,Skarner,2092,2.8,44.69,1.38,1.96,147.41,10867,tr,gold
155,Azir,2072,1.88,47.83,1.37,0.36,195.29,12216,tr,gold
156,Quinn,2049,1.87,48.76,1.35,0.61,168.75,12563,tr,gold
157,Naafiri,2047,2.21,50.9,1.35,0.89,173.75,12939,tr,gold
158,Sona,2039,2.82,53.02,1.34,0.05,32.46,8854,tr,gold
159,Nidalee,2038,2.24,40.28,1.34,0.13,144.79,11617,tr,gold
160,Qiyana,2030,2.18,48.47,1.34,0.21,169.67,12603,tr,gold
161,Zeri,1785,2.18,48.12,1.18,0.23,212.15,13251,tr,gold
162,Olaf,1724,1.7,49.65,1.14,0.35,179.82,12272,tr,gold
163,Kled,1709,2.09,49.74,1.13,0.5,159.92,12250,tr,gold
164,Renata Glasc,1694,2.59,51.06,1.12,0.24,34.72,8704,tr,gold
165,Bel'Veth,1685,2.07,48.72,1.11,0.94,179.5,12440,tr,gold
166,Akshan,1457,2.07,48.52,0.96,0.43,169.42,13089,tr,gold
167,Taliyah,1451,2.17,47.9,0.96,0.16,176.16,12336,tr,gold
168,Ivern,831,3.17,47.65,0.55,0.18,129.44,10368,tr,gold
169,Rek'Sai,781,2.7,50.19,0.51,0.1,152.93,12014,tr,gold
