Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,675,2.24,49.33,23.8,4.5,192.59,11660,tr,grandmaster
2,Lulu,656,3.53,55.64,23.13,22.68,24.8,7794,tr,grandmaster
3,Viego,544,2.78,50.74,19.18,18.06,169.69,11602,tr,grandmaster
4,Caitlyn,518,2.04,48.26,18.27,41.26,191.32,11662,tr,grandmaster
5,Ezreal,513,2.49,50.88,18.15,4.9,188.19,11575,tr,grandmaster
6,Ekko,509,2.88,56.19,17.95,6.08,184.67,12124,tr,grandmaster
7,Sylas,474,2.19,54.22,16.71,20.07,132.39,10510,tr,grandmaster
8,Graves,452,2.77,51.11,15.94,25.24,200.05,12786,tr,grandmaster
9,Jhin,408,2.95,50.98,14.39,0.87,189.47,12155,tr,grandmaster
10,Ahri,407,3.05,54.3,14.35,5.25,180.24,10928,tr,grandmaster
11,Karma,405,2.55,42.72,14.28,6.28,45.04,8209,tr,grandmaster
12,Kai'Sa,391,2.39,47.31,13.83,2.09,190.31,11778,tr,grandmaster
13,Viktor,387,2.23,51.42,13.69,18.26,190.48,11049,tr,grandmaster
14,Kha'Zix,383,2.67,48.04,13.51,13.71,167.38,11799,tr,grandmaster
15,Pyke,370,2.68,51.62,13.05,23.33,34.39,9256,tr,grandmaster
16,Ashe,369,2.39,52.57,13.01,3.95,182.89,11207,tr,grandmaster
17,Zed,368,2.29,50,12.98,23.88,182.67,11858,tr,grandmaster
18,Aphelios,363,2.11,53.72,12.84,2.91,182.65,11768,tr,grandmaster
19,Nami,360,3.55,49.72,12.74,0.8,23.38,7793,tr,grandmaster
20,Wukong,339,2.63,52.8,11.95,2.59,167.49,11357,tr,grandmaster
21,Gragas,335,2.3,50.15,11.85,9.2,165.4,10512,tr,grandmaster
22,Lee Sin,333,3.31,58.86,11.74,7.33,158.21,11418,tr,grandmaster
23,Yone,330,1.74,51.82,11.64,4.24,204.97,11633,tr,grandmaster
24,Akali,315,2.34,48.89,11.11,13.52,168.17,11068,tr,grandmaster
25,Vladimir,306,2.45,53.92,10.79,19.19,196.93,11464,tr,grandmaster
26,Janna,306,3.4,56.86,10.82,2.78,23.96,7760,tr,grandmaster
27,Irelia,302,1.49,50,10.65,17.3,209.95,11962,tr,grandmaster
28,Malphite,290,2.42,48.97,10.23,12.16,163.89,10134,tr,grandmaster
29,Gwen,286,1.66,50.7,10.12,5.24,206.44,12615,tr,grandmaster
30,Syndra,283,2.33,53.71,9.98,4.19,188.01,11003,tr,grandmaster
31,Thresh,281,2.95,50.89,9.91,3.85,27.29,7845,tr,grandmaster
32,Talon,277,2.67,50.18,9.77,15.79,195.25,12180,tr,grandmaster
33,Camille,276,1.9,57.25,9.73,6.27,163.93,11327,tr,grandmaster
34,Draven,270,1.91,55.93,9.52,38.67,185.57,12743,tr,grandmaster
35,Yasuo,266,1.68,50.38,9.38,20.13,200.29,11806,tr,grandmaster
36,Milio,264,3.74,48.48,9.31,8.17,24.11,7492,tr,grandmaster
37,Hwei,263,2.26,48.29,9.27,10.01,174.42,10775,tr,grandmaster
38,Diana,258,2.31,53.1,9.1,4.65,192.33,12141,tr,grandmaster
39,Katarina,249,2.55,48.59,8.78,13.69,164.63,11633,tr,grandmaster
40,Swain,243,2.57,51.85,8.57,2.25,125.19,9923,tr,grandmaster
41,Aatrox,241,1.87,48.13,8.5,10.72,167.27,10475,tr,grandmaster
42,Jarvan IV,240,3.55,52.92,8.46,4.05,145.95,10657,tr,grandmaster
43,Hecarim,235,2.75,54.04,8.29,9.08,211.06,12446,tr,grandmaster
44,Nautilus,232,2.33,46.55,8.18,21.95,27.6,7799,tr,grandmaster
45,Rakan,222,3.32,51.35,7.86,0.62,28.25,7677,tr,grandmaster
46,Gnar,212,1.93,48.58,7.48,1.11,176.22,10850,tr,grandmaster
47,Xerath,202,3.46,55.45,7.15,2.3,137.29,10737,tr,grandmaster
48,Corki,201,2.41,49.75,7.09,5.93,199.13,11967,tr,grandmaster
49,Master Yi,199,2.39,57.29,7.02,14.46,165.9,11781,tr,grandmaster
50,Qiyana,194,2.38,57.73,6.84,4.24,179.62,12113,tr,grandmaster
51,Galio,193,2.65,51.81,6.81,4.4,151.24,10193,tr,grandmaster
52,Braum,183,2.96,47.54,6.45,6.2,23.72,7659,tr,grandmaster
53,Samira,181,2.13,52.49,6.38,20.45,184.44,12305,tr,grandmaster
54,Lissandra,177,2.2,48.02,6.24,3.22,176.05,10606,tr,grandmaster
55,Renekton,175,1.63,43.43,6.19,4.03,189.59,11008,tr,grandmaster
56,Fiora,174,1.7,62.64,6.16,9.33,187.59,11787,tr,grandmaster
57,Rengar,173,2.58,56.65,6.1,21.06,173.31,11911,tr,grandmaster
58,Lux,172,2.6,43.02,6.11,0.62,123.12,9889,tr,grandmaster
59,Karthus,172,2.47,47.09,6.07,4.98,201.78,12634,tr,grandmaster
60,Skarner,170,3.05,47.06,5.99,12.09,147.68,10150,tr,grandmaster
61,Bard,166,3.53,53.61,5.87,2.85,25.57,8169,tr,grandmaster
62,Ambessa,164,1.86,51.22,5.78,39.47,167.49,10610,tr,grandmaster
63,Vayne,163,2.28,52.15,5.77,3.91,180.37,11490,tr,grandmaster
64,Bel'Veth,162,3.29,51.85,5.71,7.64,175.85,12101,tr,grandmaster
65,Taliyah,162,2.58,56.17,5.73,2.05,190.6,12074,tr,grandmaster
66,Kennen,162,2.24,58.64,5.75,2.01,187.72,11719,tr,grandmaster
67,Darius,161,1.78,50.93,5.68,17.21,190.86,11621,tr,grandmaster
68,Yuumi,160,4.36,43.75,5.64,4.43,14.47,7265,tr,grandmaster
69,Elise,159,2.6,55.35,5.61,2.38,141.64,11384,tr,grandmaster
70,Aurora,157,2.55,53.5,5.54,11.36,174.05,10590,tr,grandmaster
71,K'Sante,155,2.1,54.19,5.47,12.96,170.01,10241,tr,grandmaster
72,Jayce,154,2.02,50,5.62,1.23,192.68,11701,tr,grandmaster
73,Nocturne,153,2.5,49.02,5.41,2.44,173.77,11410,tr,grandmaster
74,Volibear,152,1.5,51.32,5.38,3.02,173.24,10421,tr,grandmaster
75,Ornn,150,2.58,46.67,5.32,0.26,164.43,10045,tr,grandmaster
76,Tahm Kench,149,2.47,52.35,5.25,5.1,81.03,8736,tr,grandmaster
77,Lucian,147,2.34,53.74,5.18,0.4,197.97,12079,tr,grandmaster
78,Shen,147,3.25,55.1,5.53,0.45,135.62,9424,tr,grandmaster
79,Zoe,146,2.77,50,5.18,1.17,122.48,10042,tr,grandmaster
80,Senna,146,2.99,59.59,5.15,1.08,38.64,9119,tr,grandmaster
81,Vi,143,2.3,44.06,5.08,0.89,157.41,10423,tr,grandmaster
82,Blitzcrank,143,2.71,55.94,5.04,7.97,23.9,7838,tr,grandmaster
83,Twitch,142,2.43,52.11,5.58,1.01,170.49,12178,tr,grandmaster
84,Orianna,141,2.72,58.87,4.97,1.15,188.66,11213,tr,grandmaster
85,Leona,138,2.28,45.65,4.87,5.35,26.12,7543,tr,grandmaster
86,Warwick,138,2.08,55.8,4.88,6.99,169.79,12121,tr,grandmaster
87,Xayah,134,2.5,52.99,4.76,0.45,202.5,11886,tr,grandmaster
88,Rell,133,3.39,56.39,4.69,2.49,23.27,7629,tr,grandmaster
89,Soraka,130,2.84,43.08,4.6,1.73,26.07,7137,tr,grandmaster
90,LeBlanc,128,2.99,51.56,4.51,25.51,166.23,11514,tr,grandmaster
91,Aurelion Sol,125,2.38,52,4.53,0.56,166.38,10809,tr,grandmaster
92,Smolder,125,2.19,55.2,4.42,0.52,208.65,12042,tr,grandmaster
93,Ryze,124,2.38,56.45,4.55,0.57,213.43,12444,tr,grandmaster
94,Jax,123,1.68,44.72,4.34,12.75,162.99,10456,tr,grandmaster
