Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Yasuo,28726,1.59,46.79,37.25,36.03,163.15,11442,tr,iron
2,Lux,25574,2.32,49.29,33.17,32.13,74.81,10211,tr,iron
3,Miss Fortune,22334,2.2,50.02,28.96,10.15,141.52,11976,tr,iron
4,Warwick,22081,2.12,52.23,28.64,46.97,140.36,11959,tr,iron
5,Caitlyn,20261,1.94,47.94,26.28,29.1,150.72,11823,tr,iron
6,Kayn,16785,2.04,48.66,21.77,11.9,153.68,11966,tr,iron
7,Master Yi,16636,1.73,46.64,21.57,16.7,149.18,11885,tr,iron
8,Yone,15881,1.57,46,20.6,9.06,153.55,11032,tr,iron
9,Shaco,15720,2.21,44.35,20.39,54.25,134.59,11667,tr,iron
10,Jinx,15688,1.94,46.79,20.34,7.3,147.41,11380,tr,iron
11,Zed,15123,2,44.59,19.61,35.85,143.47,11694,tr,iron
12,Garen,14187,1.95,47.56,18.4,8.33,159.61,11764,tr,iron
13,Morgana,12915,2.44,48.83,16.75,34.08,56.85,9773,tr,iron
14,Teemo,12852,1.96,51.68,16.67,44.97,147.71,11727,tr,iron
15,Volibear,12653,1.73,48.11,16.41,9.1,145.9,11018,tr,iron
16,Katarina,12257,1.93,45.15,15.9,15.76,134.7,11787,tr,iron
17,Mordekaiser,11770,1.8,49.59,15.26,18.97,140.63,11234,tr,iron
18,Jhin,10875,2.23,46.33,14.1,8.11,141.46,11877,tr,iron
19,Malphite,10854,2.17,47.76,14.08,4.63,101.56,10341,tr,iron
20,Tahm Kench,10526,2.32,50.1,13.65,21.27,76.17,10109,tr,iron
21,Swain,10365,2.26,49.55,13.44,20.27,75.89,10192,tr,iron
22,Sett,9939,1.58,48.78,12.89,6.36,140.68,11202,tr,iron
23,Nasus,9781,1.83,49.36,12.68,9.39,155.27,11356,tr,iron
24,Darius,9626,1.66,45.19,12.48,19.47,145.34,11132,tr,iron
25,Akali,9190,2.01,45.81,11.92,11.05,124.89,10969,tr,iron
26,Veigar,8851,2.03,49.98,11.48,5.81,139.72,11508,tr,iron
27,Ashe,8604,1.92,46.18,11.16,3.36,133.11,10862,tr,iron
28,Pyke,8497,1.88,43.74,11.02,13.12,35.69,9934,tr,iron
29,Pantheon,8482,1.92,46.09,11,2.56,76.04,10582,tr,iron
30,Sylas,8166,1.79,45.16,10.59,7.16,108.01,10444,tr,iron
31,Tristana,8137,1.95,46.01,10.55,3.54,139.07,12162,tr,iron
