Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,1682,2.15,51.37,24.3,40.5,194.43,12006,tr,master
2,Jinx,1646,2.24,51.88,23.78,4.21,194.17,11723,tr,master
3,Lulu,1528,3.48,52.95,22.07,27.09,26.62,7781,tr,master
4,Viego,1333,2.67,53.04,19.26,18.14,169.92,11721,tr,master
5,Ezreal,1282,2.55,52.26,18.52,5.98,185.59,11645,tr,master
6,Karma,1092,2.79,53.39,15.77,5.45,46.78,8326,tr,master
7,Jhin,1048,2.88,50.86,15.14,1.03,189.13,12292,tr,master
8,Graves,1048,2.65,52.39,15.14,23.64,199.61,13166,tr,master
9,Viktor,1015,2.27,52.41,14.66,17.8,194.5,11473,tr,master
10,Kai'Sa,985,2.5,52.59,14.23,1.78,200.04,12362,tr,master
11,Sylas,979,2.15,53.52,14.14,17.88,132.8,10504,tr,master
12,Janna,958,3.42,51.77,13.84,2.67,24.9,7753,tr,master
13,Nami,956,3.54,54.81,13.81,0.95,23.67,7994,tr,master
14,Gragas,945,2.56,55.13,13.65,8.76,165.12,10857,tr,master
15,Ahri,870,2.75,52.76,12.57,4.8,181.75,11027,tr,master
16,Lee Sin,793,3.04,54.35,11.46,7.85,160.65,11715,tr,master
17,Diana,785,2.31,54.9,11.34,5.66,192.18,12395,tr,master
18,Ashe,768,2.38,54.82,11.09,3.51,179.22,11180,tr,master
19,Talon,765,2.66,55.29,11.05,12.59,194.68,12532,tr,master
20,Milio,754,3.84,53.18,10.89,9.24,24,7488,tr,master
21,Kha'Zix,737,2.68,52.1,10.65,13.32,176.41,12193,tr,master
22,Irelia,728,1.67,56.59,10.52,17.38,216.94,12606,tr,master
23,Zed,727,2.34,51.44,10.5,29.81,185.86,11978,tr,master
24,Malphite,714,2.58,53.08,10.31,13.06,165.56,10283,tr,master
25,Pyke,698,2.71,54.3,10.08,20.95,33.44,9636,tr,master
26,Syndra,694,2.34,52.16,10.03,4.68,194.19,11681,tr,master
27,Yasuo,672,1.67,51.64,9.71,22.01,200.84,11678,tr,master
28,Thresh,669,2.7,52.32,9.66,5.08,26.93,7839,tr,master
29,Aatrox,667,1.99,55.17,9.64,13.23,171.54,10913,tr,master
30,Lucian,657,2.38,52.97,9.49,0.51,194.17,12088,tr,master
31,Akali,642,2.27,51.71,9.27,10.95,168.57,11338,tr,master
32,Hwei,636,2.61,51.42,9.19,10.29,179.35,11229,tr,master
33,Aphelios,635,1.99,48.66,9.17,2.98,188.46,11811,tr,master
34,Corki,632,2.5,53.32,9.13,5.17,199.59,12115,tr,master
35,Nautilus,622,2.28,49.04,8.99,25.19,27.87,7817,tr,master
36,Swain,598,2.65,52.68,8.64,3.25,136.92,10227,tr,master
37,Katarina,594,2.49,53.03,8.58,16.51,165.4,11615,tr,master
38,Vladimir,590,2.48,52.71,8.52,19.1,189.9,11061,tr,master
39,K'Sante,583,2.15,51.8,8.42,11.59,174.06,10514,tr,master
40,Yuumi,579,4.86,50.78,8.36,4.98,13.84,7458,tr,master
41,Yone,575,1.66,51.83,8.31,5.77,194.56,11158,tr,master
42,Tahm Kench,566,2.68,55.12,8.18,7.04,89.62,9488,tr,master
43,Soraka,561,3.01,51.69,8.1,1.88,24.92,7486,tr,master
44,Wukong,551,2.63,51.18,7.96,2.31,166.51,11259,tr,master
45,Lux,550,2.59,52.36,7.95,0.49,137.1,10365,tr,master
46,Draven,548,2.06,53.1,7.92,36.93,189.78,13111,tr,master
47,Gnar,540,1.92,54.63,7.8,1.55,177.56,11000,tr,master
48,Ambessa,521,1.86,51.06,7.53,44.1,176.53,11188,tr,master
49,Varus,518,2.22,53.09,7.48,0.62,183.58,11658,tr,master
50,Ekko,513,2.73,53.61,7.41,3.24,178.96,12171,tr,master
51,Galio,495,2.84,51.72,7.15,3.64,155.7,9978,tr,master
52,Camille,495,2,55.76,7.18,3.76,157.67,11188,tr,master
53,Jarvan IV,479,3.39,51.77,6.92,2.95,157.48,11284,tr,master
54,Hecarim,476,2.88,52.73,6.88,7.03,198.86,12295,tr,master
55,Xerath,460,3.09,54.57,6.65,2.6,140.8,10639,tr,master
56,Lissandra,458,2.43,55.46,6.62,3.69,180.84,11029,tr,master
57,Qiyana,453,2.27,50.11,6.54,3.27,166.35,11685,tr,master
58,Warwick,445,2.12,51.91,6.45,7.02,153.09,11187,tr,master
59,Volibear,440,1.67,49.32,6.36,3.26,181.08,11245,tr,master
60,Braum,440,2.78,51.14,6.36,5.16,23.38,7671,tr,master
61,Darius,436,2.02,55.28,6.3,20.55,192.42,11757,tr,master
62,Karthus,434,2.49,54.84,6.27,4.38,204.76,12925,tr,master
63,Master Yi,425,2.32,51.29,6.14,9.46,171.14,12339,tr,master
64,Vi,418,2.42,50.72,6.04,0.9,158.7,10655,tr,master
65,Senna,412,3.1,51.94,5.95,1.31,37.85,9194,tr,master
