Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,39044,2.09,51.3,31.22,35.87,196.02,12989,tr,platinum
2,Jinx,34907,2.2,52.17,27.91,5.26,198.32,12704,tr,platinum
3,Yasuo,25846,1.58,48.46,20.66,35.11,203.47,12309,tr,platinum
4,Jhin,24243,2.6,51.13,19.38,3.19,189.72,13173,tr,platinum
5,Zed,21548,2.24,48.67,17.23,47.35,182.23,12685,tr,platinum
6,Lux,19982,2.51,51.63,15.98,5.65,100.42,10700,tr,platinum
7,Thresh,19469,2.73,50.64,15.57,4.94,32.96,8628,tr,platinum
8,Viego,19229,2.48,51.24,15.37,11.43,177.84,12635,tr,platinum
9,Tahm Kench,18154,2.55,53.92,14.51,27.18,95.32,10325,tr,platinum
10,Warwick,18049,2.34,55.5,14.43,18.03,162.35,12381,tr,platinum
11,Viktor,17762,2.11,51.99,14.2,13.93,191.38,12118,tr,platinum
12,Lulu,17435,3.35,53.89,13.94,22.97,28.23,8449,tr,platinum
13,Katarina,17275,2.23,50.3,13.81,19.89,167.53,12723,tr,platinum
14,Graves,17190,2.39,50,13.74,6.28,201.86,13676,tr,platinum
15,Ezreal,16896,2.43,48.41,13.51,4.41,186.12,12386,tr,platinum
16,Diana,16755,2.14,52.13,13.4,8.28,194.8,13062,tr,platinum
17,Kai'Sa,16652,2.31,49.74,13.31,1.92,199.81,13117,tr,platinum
18,Lee Sin,15912,2.65,49.03,12.72,8.53,161.93,12221,tr,platinum
19,Swain,15909,2.28,50.68,12.72,11,101.34,10485,tr,platinum
20,Vayne,13754,1.99,51.65,11,6.44,181.91,12500,tr,platinum
21,Vladimir,13439,2.18,51.7,10.74,16.26,193.55,12062,tr,platinum
22,Karma,13338,2.57,50.52,10.66,5.43,55.27,9257,tr,platinum
23,Malphite,13275,2.53,53.16,10.61,8.85,159.41,11184,tr,platinum
24,Ashe,12913,2.18,49.19,10.32,1.85,176.96,11870,tr,platinum
25,Volibear,12385,1.85,51.24,9.9,8,177.48,11802,tr,platinum
26,Ekko,12293,2.46,50.6,9.83,1.05,176.18,12736,tr,platinum
27,Yone,12146,1.64,48.05,9.71,9.41,197.97,12053,tr,platinum
28,Kayn,12137,2.4,53.23,9.7,6.12,180.52,12618,tr,platinum
29,Lucian,11974,2.27,49.89,9.57,0.97,196.26,12956,tr,platinum
30,Kha'Zix,11886,2.53,52.35,9.5,6.49,176.07,13011,tr,platinum
31,Sylas,11789,2.08,49.22,9.43,5.53,140.96,11257,tr,platinum
32,Teemo,11609,1.92,52.35,9.28,16.79,178.02,12156,tr,platinum
33,Darius,11532,1.77,49.09,9.22,24.19,184.9,12129,tr,platinum
34,Nautilus,11306,2.4,49.22,9.04,18.5,34.61,8634,tr,platinum
35,Shaco,11085,2.6,47.97,8.86,37.72,149.94,12341,tr,platinum
36,Irelia,10966,1.65,50.57,8.77,12.11,221.74,13373,tr,platinum
37,Miss Fortune,10459,2.36,52.29,8.36,0.74,188.99,13149,tr,platinum
38,Mordekaiser,10365,1.86,51.91,8.29,14.7,175.65,11860,tr,platinum
39,Garen,10334,2,49.54,8.26,6.03,199.36,12697,tr,platinum
40,Gragas,9956,2.37,50.11,7.96,3.36,165.27,11533,tr,platinum
41,Ahri,9776,2.52,52.17,7.82,3.24,180.65,11657,tr,platinum
42,Morgana,9478,2.59,51.01,7.58,43.92,55.95,9693,tr,platinum
43,Samira,9440,2.15,50.15,7.55,34.54,185.21,13554,tr,platinum
44,Draven,9023,1.87,48.66,7.21,13.62,190.44,13995,tr,platinum
45,Malzahar,8949,2.14,52.56,7.15,11.32,216.45,12607,tr,platinum
46,Aatrox,8820,1.88,50.96,7.05,10.79,174.75,11650,tr,platinum
47,Vi,8798,2.45,50.65,7.03,1.25,168.04,11926,tr,platinum
48,Akali,8765,2.21,49.5,7.01,6.65,164.99,11914,tr,platinum
49,Leona,8660,2.45,49.61,6.92,10.55,31.41,8541,tr,platinum
50,Xerath,8503,2.82,53,6.8,3.74,104.7,11052,tr,platinum
51,Nasus,8306,1.95,51.54,6.64,8.38,183.34,11936,tr,platinum
52,Ambessa,8221,1.95,49.23,6.57,37.84,173.24,11815,tr,platinum
53,Pyke,8070,2.09,47.06,6.45,5.45,36.99,10217,tr,platinum
54,Master Yi,7982,1.97,50.21,6.38,6.63,178.19,12795,tr,platinum
55,Yuumi,7865,4.54,48.94,6.29,5.28,14.09,8133,tr,platinum
56,Nocturne,7831,2.75,52.61,6.26,6,183.64,12668,tr,platinum
57,Nami,7622,3.31,53.92,6.09,0.55,25.22,8461,tr,platinum
58,Pantheon,7540,2.06,50.36,6.03,1.8,101.63,11187,tr,platinum
59,Smolder,7532,1.98,47.12,6.02,1.86,208.51,12488,tr,platinum
60,Syndra,7530,2.32,50.89,6.02,3.04,193.2,12518,tr,platinum
61,Veigar,7412,2.15,50.76,5.93,0.86,184.03,12484,tr,platinum
62,LeBlanc,7404,2.61,48.47,5.92,11.26,152.1,11694,tr,platinum
63,Blitzcrank,7025,2.46,47.72,5.62,7.65,29.73,8500,tr,platinum
64,Riven,6993,1.9,50.48,5.59,1.32,180.89,12008,tr,platinum
65,Milio,6788,3.68,52.95,5.43,2.19,27.26,8102,tr,platinum
66,Hwei,6765,2.32,49.8,5.41,5.31,166.64,11513,tr,platinum
67,Jarvan IV,6763,3.25,51.81,5.41,1.06,159.78,11957,tr,platinum
68,Brand,6663,1.94,50.58,5.33,5.9,84.44,10498,tr,platinum
69,Cho'Gath,6609,2.12,53.05,5.28,1.1,173.52,11883,tr,platinum
70,Senna,6597,2.63,49.81,5.27,0.98,45.99,10067,tr,platinum
71,Lissandra,6497,2.32,52.04,5.19,4.58,185.97,11751,tr,platinum
72,Amumu,6434,2.51,52.61,5.14,3.62,161.17,11432,tr,platinum
73,Soraka,6395,2.86,52.82,5.11,1.68,28.09,8004,tr,platinum
74,Wukong,6375,2.66,53.27,5.1,0.94,175.05,12426,tr,platinum
75,Braum,6280,2.93,51.43,5.02,2.07,27.52,8476,tr,platinum
76,Sett,6265,1.67,51.68,5.01,1.8,174.49,12051,tr,platinum
77,Vel'Koz,6250,2.3,52.5,5,0.9,94.22,10757,tr,platinum
78,Trundle,6217,1.46,51.15,4.97,2.23,195.42,12669,tr,platinum
79,Varus,6215,2.06,48.22,4.97,0.46,184.65,12671,tr,platinum
80,Jax,6173,1.65,47.56,4.94,2.92,177.67,12018,tr,platinum
81,Fizz,6163,2.17,50.35,4.93,7.19,167.3,12714,tr,platinum
82,Talon,6143,2.37,52.01,4.91,0.75,194.12,13165,tr,platinum
83,Shen,6108,2.86,51.41,4.88,0.67,129.32,10145,tr,platinum
84,Galio,6091,2.68,52.55,4.87,1.53,151.08,10798,tr,platinum
85,Gnar,6037,1.87,50.36,4.83,1.4,178.73,11762,tr,platinum
86,Dr. Mundo,6031,1.99,53.71,4.82,3.03,184.04,11667,tr,platinum
87,Corki,5772,2.34,50.17,4.61,1.46,203.07,13047,tr,platinum
88,Tristana,5713,2.25,50.03,4.57,0.55,184.19,13434,tr,platinum
89,Aphelios,5603,1.82,47.83,4.48,0.97,186.81,12438,tr,platinum
90,Zyra,5578,2.23,53.14,4.46,2.46,77,10132,tr,platinum
91,Sion,5517,1.65,51.55,4.41,0.49,192.54,12448,tr,platinum
92,Sejuani,5449,3.08,50.21,4.36,0.91,162.18,11279,tr,platinum
93,Twitch,5308,2.26,48.66,4.24,1.14,157.34,12939,tr,platinum
94,Rengar,5250,2,45.6,4.2,2.02,182.99,12564,tr,platinum
95,Jayce,5111,1.84,46.16,4.09,0.45,190.18,12150,tr,platinum
96,Janna,4948,3.23,53.5,3.96,0.26,27.97,8395,tr,platinum
97,Renekton,4926,1.88,49.61,3.94,1.56,192.52,12133,tr,platinum
98,Xayah,4878,2.27,50.31,3.9,0.48,203.1,12848,tr,platinum
99,Vex,4723,2.46,53.8,3.78,5.1,178.17,12128,tr,platinum
100,Ornn,4629,2.4,52.41,3.7,0.66,169.04,11107,tr,platinum
101,Orianna,4616,2.56,50.37,3.69,0.58,183.22,11709,tr,platinum
102,Yorick,4486,1.65,52.81,3.59,2.68,205.68,12704,tr,platinum
103,Zac,4457,3.08,48.55,3.56,1.77,146.56,11064,tr,platinum
104,Neeko,4257,2.25,50.95,3.4,0.79,86.88,10371,tr,platinum
105,Lillia,4237,2.67,49.92,3.39,4.06,188.01,12465,tr,platinum
106,Poppy,4211,2.33,49.85,3.37,0.92,85.23,10189,tr,platinum
107,Nunu & Willump,4192,2.48,48.16,3.35,0.45,151.03,11235,tr,platinum
108,Seraphine,4177,2.71,51.71,3.34,0.5,56,9423,tr,platinum
109,Kayle,4163,1.82,52.77,3.33,0.82,214.09,12670,tr,platinum
110,Ryze,4094,2.11,50.85,3.27,0.34,209.74,12323,tr,platinum
111,K'Sante,4057,1.93,45.72,3.24,3.15,173.26,11089,tr,platinum
112,Aurora,3980,2.26,49.97,3.18,7.62,179.61,11653,tr,platinum
113,Gangplank,3899,1.97,49.68,3.12,0.91,201.73,13862,tr,platinum
114,Maokai,3831,2.42,51.16,3.06,0.23,110.17,9923,tr,platinum
115,Sivir,3791,2.32,50.91,3.03,0.4,227.48,13111,tr,platinum
116,Briar,3779,2.2,53.16,3.02,4.34,167.57,12930,tr,platinum
117,Camille,3730,1.84,49.84,2.98,0.84,161.7,11707,tr,platinum
118,Rell,3686,2.79,47.75,2.95,1.75,28.54,8605,tr,platinum
119,Elise,3672,2.46,49.51,2.94,0.63,153,12084,tr,platinum
120,Alistar,3631,2.45,49.82,2.9,1.27,30.14,8368,tr,platinum
121,Hecarim,3621,2.62,48.47,2.9,0.84,190.84,12519,tr,platinum
122,Fiora,3561,1.5,49.71,2.85,2.85,186.65,12093,tr,platinum
123,Fiddlesticks,3550,2.52,51.69,2.84,0.58,151.91,11814,tr,platinum
124,Kog'Maw,3538,2.22,53.87,2.83,1.43,189.63,12991,tr,platinum
125,Evelynn,3530,2.66,47.31,2.82,3.54,156.29,12186,tr,platinum
126,Rakan,3516,2.94,50.97,2.81,0.24,30.74,8346,tr,platinum
127,Kalista,3334,2.09,49.73,2.67,0.53,185.47,13079,tr,platinum
128,Gwen,3235,1.77,52.02,2.59,1.63,192.13,12429,tr,platinum
129,Rammus,3222,2.91,52.08,2.58,8.9,147.38,10981,tr,platinum
130,Zilean,3144,3.1,50.95,2.51,0.63,61.04,9124,tr,platinum
131,Xin Zhao,3087,2.41,52.54,2.47,0.4,170.38,12056,tr,platinum
132,Zoe,3054,2.28,46.79,2.44,0.32,126.91,10974,tr,platinum
133,Urgot,3007,1.97,50.58,2.4,0.52,189.14,12509,tr,platinum
134,Illaoi,2912,1.43,50.86,2.33,6.32,190.4,11897,tr,platinum
135,Aurelion Sol,2861,2.56,51.63,2.29,0.83,190.6,12511,tr,platinum
136,Cassiopeia,2815,2.07,53.82,2.25,1.03,192.25,12096,tr,platinum
137,Kindred,2808,2.06,48.08,2.25,0.37,178.08,12830,tr,platinum
138,Kassadin,2799,2.27,48.37,2.24,1.05,179.02,12017,tr,platinum
139,Heimerdinger,2711,1.65,51.6,2.17,1.88,183.57,11896,tr,platinum
140,Karthus,2631,2.34,49.9,2.1,0.62,214.89,13839,tr,platinum
141,Ziggs,2626,2.36,50.46,2.1,0.33,189.75,12505,tr,platinum
142,Anivia,2612,2.65,52.6,2.09,0.99,168.38,11589,tr,platinum
