Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,51901,2.09,51.16,32.5,31.94,186.58,13130,tr,silver
2,Yasuo,44787,1.61,48.22,28.05,38.22,195.65,12448,tr,silver
3,Jinx,40221,2.18,51.07,25.19,4.82,188.09,12753,tr,silver
4,Lux,35655,2.48,51.86,22.33,15.62,89.66,10839,tr,silver
5,Zed,30653,2.22,47.82,19.2,46.82,172.64,12781,tr,silver
6,Warwick,30298,2.35,55.18,18.97,29.39,160.17,12719,tr,silver
7,Jhin,29116,2.53,50.2,18.23,4.09,178.36,13215,tr,silver
8,Katarina,26489,2.16,48.97,16.59,18.78,159.36,12822,tr,silver
9,Tahm Kench,24793,2.58,53.1,15.53,26.71,92.18,10657,tr,silver
10,Miss Fortune,24146,2.39,52.24,15.12,2.66,179.84,13276,tr,silver
11,Teemo,23158,1.95,52.51,14.5,33.5,171.67,12359,tr,silver
12,Kayn,22933,2.36,52.5,14.36,10.22,178,12918,tr,silver
13,Swain,22854,2.25,49.39,14.31,16.43,89.35,10605,tr,silver
14,Vayne,20297,1.98,50.89,12.71,7.67,171.6,12647,tr,silver
15,Diana,20277,2.14,52.25,12.7,6.34,189.09,13316,tr,silver
16,Viego,19999,2.36,50.57,12.52,6.35,174.89,12801,tr,silver
17,Shaco,19748,2.53,47.3,12.37,51.57,154.6,12733,tr,silver
18,Yone,19686,1.67,48.57,12.33,9.2,188.3,12197,tr,silver
19,Ezreal,19483,2.39,48.03,12.2,3.13,175.85,12437,tr,silver
20,Volibear,19454,1.89,51.78,12.18,8.57,172.48,12054,tr,silver
21,Morgana,18833,2.6,51.65,11.79,44.69,60.81,10136,tr,silver
22,Malphite,18798,2.43,50.55,11.77,6.81,141.52,11323,tr,silver
23,Garen,18718,2.12,51.16,11.72,8.31,189.88,12851,tr,silver
24,Darius,18585,1.76,48.18,11.64,24.98,176.16,12245,tr,silver
25,Thresh,18543,2.63,48.64,11.61,2.93,36.1,8921,tr,silver
26,Master Yi,18099,1.95,49.12,11.33,12.31,176.85,13078,tr,silver
27,Mordekaiser,17562,1.97,53.53,11,18.57,169.64,12230,tr,silver
28,Kai'Sa,17557,2.27,49.22,11,1.91,192.85,13290,tr,silver
29,Lee Sin,17334,2.48,45.92,10.86,5.64,158.73,12387,tr,silver
30,Vladimir,16353,2.09,51.14,10.24,16.86,183.22,12077,tr,silver
