Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"92,880",2.22:1,49.65%,24.74%,12.9%,196.46,"12,235"
2,Ashe,"85,150",2.42:1,49.77%,22.69%,11.78%,177.64,"11,306"
3,Jinx,"70,751",2.42:1,50.17%,18.85%,2.89%,197.41,"11,915"
4,Jhin,"68,366",2.95:1,50.31%,18.21%,3.59%,188.57,"12,439"
5,Lux,"66,924",2.66:1,51.06%,17.83%,11.98%,90.08,"9,873"
6,Graves,"64,610",2.48:1,50.72%,17.21%,24.45%,199.2,"12,978"
7,Ezreal,"63,630",2.6:1,48.7%,16.95%,4.07%,186.2,"11,671"
8,Sylas,"56,882",2.14:1,49.08%,15.15%,20.53%,147.13,"10,767"
9,Viktor,"54,348",2.25:1,50.35%,14.48%,26.64%,193.23,"11,557"
10,Lee Sin,"50,657",2.66:1,48.48%,13.5%,9.52%,154.65,"11,419"
11,Thresh,"49,605",2.7:1,49.87%,13.22%,11.17%,33.73,"8,074"
12,Warwick,"49,146",2.24:1,52.72%,13.09%,25.43%,161.4,"11,788"
13,Lulu,"48,634",3.42:1,50.58%,12.96%,12.26%,29.65,"7,799"
14,Yone,"48,334",1.73:1,47.44%,12.88%,10.97%,199.49,"11,603"
15,Ahri,"47,122",2.7:1,51.1%,12.55%,8.63%,184.67,"11,281"
16,Smolder,"46,010",2.15:1,46.71%,12.26%,10.97%,208.42,"11,968"
17,Aatrox,"44,612",1.96:1,50.49%,11.89%,15.58%,175.22,"11,115"
18,Miss Fortune,"44,474",2.55:1,51.65%,11.85%,1.65%,178.59,"12,171"
19,Yasuo,"43,400",1.63:1,47.68%,11.56%,17.28%,200.74,"11,750"
20,Kai'Sa,"42,554",2.49:1,49.17%,11.34%,2.5%,200.73,"12,409"
21,Galio,"42,175",2.77:1,50.79%,11.24%,13.02%,156.92,"10,313"
22,Tahm Kench,"41,006",2.61:1,52.53%,10.92%,8.48%,84.74,"9,518"
23,Viego,"39,129",2.56:1,50.14%,10.42%,4.86%,169.66,"11,877"
24,Mordekaiser,"38,439",1.98:1,52.12%,10.24%,18.46%,173.54,"11,469"
25,Nocturne,"38,235",2.7:1,52.09%,10.19%,18.49%,178.45,"11,923"
26,Maokai,"37,693",2.6:1,51.44%,10.04%,3.41%,115.45,"9,384"
27,Malphite,"37,086",2.49:1,49.57%,9.88%,7.65%,144.49,"10,504"
28,Swain,"36,810",2.51:1,50.86%,9.81%,11.37%,106.23,"10,018"
29,Teemo,"36,078",1.96:1,50.43%,9.61%,17.94%,156.34,"11,178"
30,Corki,"34,804",2.47:1,49.41%,9.27%,11.52%,201.1,"12,192"
31,Master Yi,"34,587",2.06:1,49.3%,9.21%,15.43%,173.39,"12,245"
32,Garen,"33,464",1.9:1,49.48%,8.92%,4.34%,205.73,"12,430"
33,Darius,"32,155",1.87:1,49.69%,8.57%,16.26%,183.59,"11,722"
34,Nautilus,"29,957",2.48:1,49.2%,7.98%,12.7%,38.18,"8,132"
35,Diana,"29,752",2.16:1,50.27%,7.93%,2.26%,188.61,"12,269"
36,Ekko,"28,981",2.6:1,50.73%,7.72%,2%,174.06,"12,030"
37,Gragas,"28,639",2.48:1,48.93%,7.63%,1.98%,157.76,"10,512"
