Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,21438,2.21,50.34,29.28,15.88,193.81,12392,tw,bronze
2,Ashe,16236,2.38,49.35,22.17,8.62,169.55,11363,tw,bronze
3,Lux,15360,2.71,52.15,20.98,18.36,93.91,10143,tw,bronze
4,Jinx,12929,2.42,50.61,17.66,2.79,192.88,12058,tw,bronze
5,Jhin,12725,2.91,50.68,17.38,4.57,184.48,12533,tw,bronze
6,Warwick,11992,2.28,54.27,16.38,24.21,163.79,12125,tw,bronze
7,Ezreal,11500,2.56,48.36,15.71,4.34,180.63,11739,tw,bronze
8,Miss Fortune,11478,2.54,51.57,15.68,2.53,175.8,12318,tw,bronze
9,Graves,10634,2.38,50.68,14.52,15.07,200.3,13179,tw,bronze
10,Teemo,10629,1.99,51.63,14.52,27.67,157.99,11390,tw,bronze
11,Viktor,10551,2.29,50.97,14.41,23.03,189.23,11700,tw,bronze
12,Yasuo,10361,1.63,47.77,14.15,22.81,201.17,12021,tw,bronze
13,Smolder,9957,2.17,47.14,13.6,12.33,206.7,12138,tw,bronze
14,Malphite,9594,2.47,49.11,13.1,9.26,133.27,10578,tw,bronze
15,Sylas,9584,2.11,49.04,13.09,19.99,143.6,10906,tw,bronze
16,Yone,9304,1.79,48.3,12.71,12.04,198.77,11914,tw,bronze
17,Ahri,8957,2.72,51.5,12.23,9.92,182.43,11487,tw,bronze
18,Nocturne,8921,2.71,53.56,12.18,23.34,180.21,12248,tw,bronze
19,Garen,8632,1.92,49.71,11.79,5.91,204.12,12552,tw,bronze
20,Lee Sin,8583,2.51,47.9,11.72,10.16,154.51,11611,tw,bronze
21,Tahm Kench,8426,2.63,52.53,11.51,9.22,89.9,9852,tw,bronze
22,Mordekaiser,8331,2.05,52.89,11.38,21.57,171.86,11739,tw,bronze
23,Swain,8329,2.52,51.81,11.38,12.99,99.15,10152,tw,bronze
24,Galio,8081,2.76,50.7,11.04,10.73,150.21,10322,tw,bronze
25,Master Yi,7982,2.01,49.91,10.9,20.26,174.58,12434,tw,bronze
26,Thresh,7905,2.66,50.25,10.8,9.54,36.62,8356,tw,bronze
27,Morgana,7663,2.79,52.75,10.47,24.7,70.87,9617,tw,bronze
28,Nasus,7170,2.04,51.67,9.79,14.25,183.63,11774,tw,bronze
29,Malzahar,7076,2.37,51.54,9.66,6.64,210.09,12259,tw,bronze
30,Darius,7002,1.92,50.17,9.56,18.54,179.33,11867,tw,bronze
31,Kai'Sa,6905,2.44,49.57,9.43,2.49,196.3,12507,tw,bronze
32,Maokai,6774,2.64,51.99,9.25,2.42,108.32,9615,tw,bronze
33,Shaco,6243,2.64,48.85,8.53,37.63,136.57,11510,tw,bronze
34,Aatrox,6232,1.97,49.66,8.51,14.17,172.38,11318,tw,bronze
35,Diana,6182,2.13,51.39,8.44,2.69,191.05,12552,tw,bronze
36,Lulu,6137,3.35,51.15,8.38,5.94,33.99,8159,tw,bronze
37,Viego,5927,2.39,49.84,8.09,3.87,169.11,12031,tw,bronze
38,Vayne,5894,2.09,49.83,8.05,4.32,174.9,11981,tw,bronze
39,Zyra,5865,2.46,52.92,8.01,5.19,82.32,9870,tw,bronze
40,Corki,5664,2.32,47.25,7.74,5.57,195.31,12281,tw,bronze
41,Cho'Gath,5586,2.25,51.65,7.63,1.2,164.83,11586,tw,bronze
42,Amumu,5471,2.47,52.04,7.47,3.28,149.05,10939,tw,bronze
43,Brand,5467,2.12,52.68,7.47,5.73,102.41,10477,tw,bronze
44,Jarvan IV,5448,3.02,50.44,7.44,1.63,150.53,11526,tw,bronze
45,Varus,5437,2.28,48.76,7.43,1.44,179.09,11945,tw,bronze
46,Vi,5351,2.34,48.57,7.31,2.25,161.42,11428,tw,bronze
47,Veigar,5327,2.49,52.47,7.28,2.83,168.28,11950,tw,bronze
48,Zed,5286,2.32,48.52,7.22,22.51,177.88,12300,tw,bronze
49,Kha'Zix,5256,2.36,49.6,7.18,4.5,170.97,12332,tw,bronze
50,Xin Zhao,5189,2.17,49.89,7.09,1.69,161.44,11589,tw,bronze
51,Nautilus,5173,2.45,46.59,7.07,9.82,43.29,8477,tw,bronze
52,Xerath,5153,2.87,50.59,7.04,9.53,93.83,10406,tw,bronze
53,Leona,5151,2.54,50.81,7.04,8.02,35.89,8338,tw,bronze
54,Kayn,5069,2.26,51.43,6.92,3.56,175.41,12186,tw,bronze
55,Sion,5020,1,49.78,6.86,20.23,197.83,12668,tw,bronze
56,Jax,4888,1.8,49.57,6.68,3.45,174.31,11798,tw,bronze
57,Pantheon,4846,2.1,49.59,6.62,2.46,95.79,10839,tw,bronze
58,Ekko,4755,2.5,50.37,6.49,1.89,171.42,12135,tw,bronze
59,Ambessa,4638,1.96,49.01,6.33,42.32,169.82,11361,tw,bronze
60,Gangplank,4598,2.18,48.89,6.28,4.17,207.09,13906,tw,bronze
61,Wukong,4570,2.48,51.75,6.24,1.23,162.64,11756,tw,bronze
62,Akali,4544,2.36,48.59,6.21,6.67,161.87,11574,tw,bronze
63,Tryndamere,4413,1.7,48.29,6.03,3.05,208.04,12592,tw,bronze
64,Blitzcrank,4325,2.51,49.23,5.91,28.28,33.94,8263,tw,bronze
65,Volibear,4324,2.01,51.13,5.91,2.71,169.43,11534,tw,bronze
66,Pyke,4253,2.16,48.37,5.81,10.71,40.16,9989,tw,bronze
67,Karma,4232,2.68,50.38,5.78,2.02,60.52,9009,tw,bronze
68,LeBlanc,4187,2.83,49.34,5.72,16.21,142.09,11212,tw,bronze
69,Jayce,4166,1.9,46.93,5.69,1.24,189.7,11942,tw,bronze
70,Gragas,4114,2.39,48.27,5.62,1.47,155.72,10777,tw,bronze
71,Dr. Mundo,4113,2.14,52.1,5.62,2.72,178.01,11448,tw,bronze
72,Trundle,4094,1.78,51.12,5.59,1.73,182.87,12253,tw,bronze
73,Tristana,4075,2.29,47.48,5.57,1.22,177.6,12466,tw,bronze
74,Irelia,3939,1.71,51.18,5.38,5.54,218.29,13185,tw,bronze
75,Lucian,3904,2.28,48.92,5.33,1.44,192.26,12306,tw,bronze
76,Yorick,3837,1.98,53.06,5.24,5.1,206.65,12569,tw,bronze
77,Senna,3761,2.91,50.12,5.14,1.33,54.76,9862,tw,bronze
78,Hwei,3745,2.58,51.67,5.11,3.06,168.81,11355,tw,bronze
79,Fizz,3516,2.51,51.25,4.8,5.95,165.1,12356,tw,bronze
80,Seraphine,3443,2.88,51.52,4.7,1.15,59.11,9154,tw,bronze
81,Sivir,3388,2.49,50.89,4.63,1.2,217.7,12387,tw,bronze
82,Renekton,3383,2.05,51.29,4.62,2.28,188.38,11936,tw,bronze
83,Sett,3356,1.74,50.92,4.58,1.27,168.75,11835,tw,bronze
84,Katarina,3351,2.27,47.72,4.58,2.5,166.34,12242,tw,bronze
85,Yuumi,3301,4.57,43.9,4.51,5.53,15.71,7598,tw,bronze
86,Shen,3248,2.89,49.78,4.44,0.62,125.26,10032,tw,bronze
87,Xayah,3207,2.46,49.55,4.38,1.2,200.98,12235,tw,bronze
88,Vex,3164,2.57,52.53,4.32,4.93,177,11630,tw,bronze
89,Talon,3095,2.28,50.02,4.23,1.8,190.1,12686,tw,bronze
90,Alistar,3084,2.55,47.6,4.21,1.64,44.75,8342,tw,bronze
91,Nami,3079,3.28,51.28,4.21,0.34,27.44,8099,tw,bronze
92,Poppy,3034,2.34,49.01,4.14,2.19,84.74,9708,tw,bronze
93,Ziggs,2982,2.5,51.04,4.07,1.49,181.65,11883,tw,bronze
94,K'Sante,2925,1.96,46.97,3.99,3.87,170.45,10748,tw,bronze
95,Draven,2871,2.08,48.76,3.92,10.28,182.74,13402,tw,bronze
96,Illaoi,2807,1.55,51.91,3.83,8.79,191.23,11941,tw,bronze
97,Fiddlesticks,2751,2.44,50.31,3.76,1.06,140.99,11125,tw,bronze
98,Orianna,2731,2.77,48.77,3.73,1.02,180.78,11401,tw,bronze
99,Aurelion Sol,2729,2.71,51.52,3.73,2.98,188.95,12395,tw,bronze
100,Riven,2726,1.82,45.23,3.72,0.95,177.79,11687,tw,bronze
101,Samira,2713,2.23,50.72,3.71,9.55,182.55,13023,tw,bronze
102,Heimerdinger,2702,1.88,50.78,3.69,2.66,178.02,11762,tw,bronze
103,Syndra,2647,2.43,48.89,3.62,1.79,182.27,11968,tw,bronze
104,Briar,2646,2.15,53.21,3.61,3.32,162.59,12421,tw,bronze
105,Vel'Koz,2601,2.43,51.21,3.55,0.86,90.23,10245,tw,bronze
106,Sejuani,2553,2.92,49.82,3.49,0.6,152.35,10728,tw,bronze
107,Soraka,2551,2.99,48.84,3.48,1.02,31.38,7740,tw,bronze
108,Aurora,2504,2.51,49.92,3.42,6.34,176,11265,tw,bronze
109,Vladimir,2420,2.29,51.2,3.31,1.05,187.94,11598,tw,bronze
110,Shyvana,2404,2.29,50.42,3.28,0.82,202.27,12455,tw,bronze
111,Twitch,2399,2.24,45.06,3.28,1.9,148.33,12070,tw,bronze
112,Kog'Maw,2368,2.2,51.73,3.23,3.73,178.13,11960,tw,bronze
113,Ryze,2323,2.39,53.29,3.17,0.45,207.95,12190,tw,bronze
114,Zac,2302,2.91,47.31,3.14,0.89,139.15,10611,tw,bronze
115,Gnar,2281,1.96,48.58,3.12,0.77,176.73,11578,tw,bronze
116,Kindred,2262,2.01,45.49,3.09,1.14,172.39,12329,tw,bronze
117,Camille,2200,1.95,48.32,3,0.66,127.01,10916,tw,bronze
118,Lissandra,2195,2.5,50.66,3,1.62,178.45,11396,tw,bronze
119,Braum,2191,2.99,51.12,2.99,1.23,29.46,8138,tw,bronze
120,Rumble,2187,2.05,45.95,2.99,0.87,173.34,11391,tw,bronze
121,Twisted Fate,2140,2.2,47.52,2.92,0.4,175.05,12261,tw,bronze
122,Neeko,2124,2.38,48.12,2.9,0.75,94.06,10014,tw,bronze
123,Gwen,2071,1.91,51.81,2.83,0.97,196.17,12128,tw,bronze
124,Karthus,2038,2.28,47.11,2.78,1.2,206.23,13045,tw,bronze
125,Elise,1974,2.41,49.34,2.7,2.76,148.98,11688,tw,bronze
126,Singed,1962,1.89,49.8,2.68,0.8,188.36,11429,tw,bronze
127,Nunu & Willump,1939,2.5,50.54,2.65,0.33,144.42,10758,tw,bronze
128,Milio,1927,3.56,50.7,2.63,0.51,38,8018,tw,bronze
129,Ornn,1917,2.49,52.01,2.62,1.25,162.5,10666,tw,bronze
130,Fiora,1879,1.57,50.29,2.57,1.77,184.8,11830,tw,bronze
131,Lillia,1763,2.81,51.79,2.41,1.73,180,11916,tw,bronze
132,Anivia,1751,2.83,50.14,2.39,2.53,162.41,10999,tw,bronze
133,Rammus,1740,2.78,50.52,2.38,3.21,137.18,10494,tw,bronze
134,Kayle,1736,1.92,51.67,2.37,0.46,210.86,12380,tw,bronze
135,Azir,1723,1.98,46.6,2.35,0.42,200.48,11852,tw,bronze
136,Zilean,1723,2.98,50.49,2.35,0.47,74.03,9025,tw,bronze
137,Urgot,1708,2.04,51.29,2.33,0.58,192.46,12579,tw,bronze
138,Nidalee,1672,2.43,45.33,2.28,1.02,153.8,11268,tw,bronze
139,Aphelios,1618,1.96,47.96,2.21,0.49,183.89,11976,tw,bronze
140,Quinn,1592,2.07,48.99,2.17,0.71,170.21,12188,tw,bronze
141,Rakan,1591,2.82,49.21,2.17,0.31,32.01,7923,tw,bronze
142,Naafiri,1483,2.35,54.42,2.03,1.96,178.69,12553,tw,bronze
143,Skarner,1477,2.82,48.88,2.02,2.97,139.94,10244,tw,bronze
144,Rell,1462,2.75,48.02,2,0.99,31.78,8348,tw,bronze
145,Sona,1437,2.94,50.73,1.96,0.11,31.42,8363,tw,bronze
146,Hecarim,1375,2.49,47.93,1.88,0.38,179.57,11921,tw,bronze
147,Renata Glasc,1292,2.7,48.68,1.76,1.31,35.51,8232,tw,bronze
148,Annie,1264,2.37,49.45,1.73,0.33,133.55,10703,tw,bronze
149,Kennen,1261,2.1,48.45,1.72,0.62,168.17,11159,tw,bronze
150,Udyr,1255,2.05,48.53,1.71,0.57,170.34,11341,tw,bronze
151,Janna,1241,3.31,49.96,1.69,0.19,31.15,7980,tw,bronze
152,Zoe,1210,2.44,51.49,1.65,0.79,132.94,10781,tw,bronze
153,Kalista,1169,2.07,46.88,1.6,0.89,180.79,12502,tw,bronze
154,Taric,1044,2.78,53.35,1.43,0.32,44.05,8260,tw,bronze
155,Cassiopeia,1040,2,48.17,1.42,0.59,180.52,11461,tw,bronze
156,Rengar,1013,1.79,38.8,1.38,0.44,166.9,11763,tw,bronze
157,Zeri,1006,2.22,47.32,1.37,0.38,212.57,12585,tw,bronze
158,Kassadin,994,2.71,47.18,1.36,0.56,172.26,11647,tw,bronze
159,Akshan,978,2.26,47.96,1.34,0.66,174.61,12776,tw,bronze
160,Nilah,964,2.34,52.49,1.32,2.36,181.07,12607,tw,bronze
161,Evelynn,949,2.55,47.73,1.3,0.81,148.23,11581,tw,bronze
162,Bard,922,2.95,49.67,1.26,0.72,37.69,8622,tw,bronze
163,Bel'Veth,847,2.14,44.98,1.16,0.87,174.2,11760,tw,bronze
164,Kled,820,2.32,50,1.12,0.41,163.64,11962,tw,bronze
165,Olaf,816,1.86,48.65,1.11,0.65,183.04,12372,tw,bronze
166,Taliyah,731,2.21,48.02,1,0.42,180.02,11877,tw,bronze
167,Ivern,720,3.5,50.69,0.98,0.6,129.94,10104,tw,bronze
168,Rek'Sai,700,2.54,50,0.96,0.34,149.99,11252,tw,bronze
169,Qiyana,655,2.14,47.33,0.89,0.27,165,11790,tw,bronze
