Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,126,3.25,58.73,40.75,40.17,189.38,11950,tw,challenger
2,K'Sante,118,2.21,55.08,37.21,13.91,180.81,10574,tw,challenger
3,Viego,100,2.83,44,32.34,11.71,151.23,9975,tw,challenger
4,Corki,87,2.56,47.13,28.08,29.2,204.54,11324,tw,challenger
5,Ashe,85,3.12,49.41,27.45,26.84,179.87,10388,tw,challenger
6,Vex,66,2.3,46.97,22.21,5.72,154.73,9690,tw,challenger
7,Orianna,60,2.89,60,21.97,2.48,182.83,10406,tw,challenger
8,Ezreal,59,2.38,42.37,19.08,5.6,170.59,9608,tw,challenger
9,Fiora,59,1.9,66.1,19.09,7.36,205.42,12233,tw,challenger
10,Sion,58,2.53,60.34,23.57,0.69,182,10397,tw,challenger
11,Lee Sin,56,3.09,42.86,18.11,8.25,138.16,9775,tw,challenger
12,Ekko,56,2.84,51.79,22.18,1.07,169.18,10817,tw,challenger
13,Draven,55,2.23,38.18,17.79,30.5,182.93,11600,tw,challenger
14,Jinx,55,3.18,50.91,19.02,3.84,196.31,11041,tw,challenger
15,Pantheon,55,3.04,67.27,18.42,4.05,136.2,9689,tw,challenger
16,Nidalee,54,4.09,57.41,17.46,21.38,172.87,11308,tw,challenger
17,Aurora,53,2.71,58.49,17.14,16.49,165.04,9372,tw,challenger
18,Jhin,52,2.91,42.31,18.44,0.6,183.33,10643,tw,challenger
19,Zac,50,2.76,48,16.17,6.57,123.78,8707,tw,challenger
20,Ambessa,49,1.91,46.94,15.85,51.71,172.39,9945,tw,challenger
21,Gwen,45,1.66,44.44,14.55,6.76,184.18,10483,tw,challenger
22,Varus,44,2.92,52.27,15.97,6.28,178.41,10547,tw,challenger
23,Viktor,42,2.27,42.86,21.22,36.38,182.02,10347,tw,challenger
24,Elise,42,3.01,52.38,13.58,39,97.21,9639,tw,challenger
25,Caitlyn,37,2.21,32.43,12.41,6.47,195.54,10667,tw,challenger
26,Kindred,37,2.78,59.46,12.07,9.33,169.08,11592,tw,challenger
27,Sylas,36,2.33,55.56,11.64,13.87,127.5,9641,tw,challenger
28,Olaf,36,1.91,58.33,13,10.87,178.75,10552,tw,challenger
29,Zyra,36,2.82,61.11,14.62,4.92,211.17,12344,tw,challenger
30,Irelia,35,1.36,37.14,11.32,10.16,186.91,10423,tw,challenger
31,Gragas,34,2.95,61.76,14.43,1.23,154.85,8791,tw,challenger
32,Smolder,32,1.56,25,11.27,4.3,206.25,10482,tw,challenger
33,Karthus,31,3.29,61.29,10.03,27.1,198.77,11951,tw,challenger
34,Kai'Sa,29,2.61,37.93,17.97,0.93,190.34,10513,tw,challenger
35,Shen,28,4.46,75,17.76,0.32,128.5,8369,tw,challenger
36,Talon,27,2.3,40.74,8.73,15.04,179.93,10424,tw,challenger
37,Katarina,27,2.29,40.74,8.93,9.76,140.11,9038,tw,challenger
38,Yone,26,1.53,42.31,8.54,3.71,186.81,9770,tw,challenger
39,Kayn,26,2.65,65.38,9.85,3.3,142.65,8942,tw,challenger
40,Hwei,25,3.99,44,9.12,2.66,187.16,10551,tw,challenger
41,Hecarim,25,2.87,60,8.09,12.45,174.28,9577,tw,challenger
42,Seraphine,24,3.46,37.5,11.16,0.7,39.04,8071,tw,challenger
43,Illaoi,24,1.77,50,12.67,2.53,176.46,9225,tw,challenger
