Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lulu,3393,3.51,49.66,24.25,18.57,26.95,7244,tw,diamond
2,Graves,3240,2.7,49.63,23.16,41.31,192.38,12337,tw,diamond
3,Ashe,3238,2.56,50.34,23.14,21.82,186.34,10782,tw,diamond
4,Viego,2753,2.83,50.74,19.67,9.3,164.94,11321,tw,diamond
5,Jinx,2673,2.5,48.71,19.1,2.75,201.18,11344,tw,diamond
6,Ezreal,2651,2.63,49.94,18.95,5.35,192.91,11084,tw,diamond
7,Jhin,2571,3.02,47.88,18.37,1.98,192.65,11798,tw,diamond
8,Sylas,2226,2.2,49.1,15.91,16.52,152.39,10218,tw,diamond
9,Lee Sin,2210,2.89,48.24,15.79,8.08,149.94,10750,tw,diamond
10,Caitlyn,2196,2.26,48.59,15.69,6.72,201.19,11686,tw,diamond
11,Corki,2179,2.68,51.17,15.57,26.77,204.83,11730,tw,diamond
12,Kai'Sa,2067,2.62,49.3,14.77,1.11,203.16,11831,tw,diamond
13,Viktor,2038,2.16,48.43,14.57,30.17,194.45,10822,tw,diamond
14,Thresh,1980,2.76,50.35,14.15,8.41,29.03,7445,tw,diamond
15,Maokai,1979,2.57,51.54,14.14,3.81,125.77,8739,tw,diamond
16,Aatrox,1944,1.89,48.82,13.89,10.35,171.58,10256,tw,diamond
17,Nami,1915,3.43,50.55,13.69,0.5,24.67,7242,tw,diamond
18,Yone,1812,1.7,46.85,12.95,6.17,195.62,10809,tw,diamond
19,Galio,1708,2.82,51.81,12.21,18.9,159.01,9736,tw,diamond
20,Varus,1616,2.4,50.43,11.55,2.06,190.18,11383,tw,diamond
21,K'Sante,1574,2.19,46.38,11.25,11.32,174.78,10064,tw,diamond
22,Gragas,1568,2.54,49.55,11.21,2.55,156.28,9940,tw,diamond
23,Yuumi,1542,4.9,49.87,11.02,42.26,15.78,7027,tw,diamond
24,Ahri,1527,2.63,48,10.91,3.34,185.9,10724,tw,diamond
25,Nautilus,1495,2.52,50.03,10.68,17.09,30.55,7449,tw,diamond
26,Katarina,1444,2.77,51.52,10.32,14.17,171.7,11516,tw,diamond
27,Karma,1440,2.58,50.14,10.29,3.02,37.81,7809,tw,diamond
28,Ekko,1390,2.6,48.06,9.93,1.48,175.49,11509,tw,diamond
29,Lux,1263,2.63,49.33,9.03,1.21,95.43,9266,tw,diamond
30,Jayce,1244,1.86,49.36,8.89,1.96,191.62,11211,tw,diamond
31,Aurora,1237,2.7,51.25,8.84,16.37,178.31,10613,tw,diamond
32,Nidalee,1226,3.38,51.96,8.76,14.32,168.05,11355,tw,diamond
33,Smolder,1206,2.15,47.1,8.62,3.71,206.42,11150,tw,diamond
34,Elise,1194,2.77,52.85,8.53,30.32,131.48,10756,tw,diamond
35,Akali,1180,2.27,47.29,8.43,7.91,172.52,10803,tw,diamond
36,Braum,1136,3.01,52.2,8.12,6.41,25.53,7222,tw,diamond
37,Talon,1116,2.54,53.67,7.98,8.98,191.76,11934,tw,diamond
38,Pyke,1095,2.23,50.78,7.83,26.04,34.37,8606,tw,diamond
39,Tahm Kench,1078,2.38,52.04,7.7,3.06,70.26,8478,tw,diamond
40,Irelia,1072,1.54,52.33,7.66,8.15,213.18,12043,tw,diamond
41,Yasuo,1058,1.65,48.49,7.56,11.29,198.23,11090,tw,diamond
42,Pantheon,1054,2.34,50.76,7.53,2.2,133.83,10629,tw,diamond
43,Aphelios,1038,2.21,49.81,7.42,0.39,198.25,11514,tw,diamond
44,Hwei,1034,2.64,52.03,7.39,4.52,186.23,10830,tw,diamond
45,Ambessa,1009,1.96,47.67,7.21,50.25,173.74,10631,tw,diamond
46,Swain,1008,2.6,48.61,7.2,5.49,145.3,10080,tw,diamond
47,Lucian,978,2.49,50.51,6.99,2.54,199.12,11486,tw,diamond
48,Leona,961,2.48,48.8,6.87,7.26,29.87,7336,tw,diamond
49,Vladimir,954,2.74,52.52,6.82,5.43,196.78,11059,tw,diamond
50,Syndra,881,2.38,49.26,6.3,2.79,193.16,11220,tw,diamond
51,Jax,881,1.78,49.38,6.3,7.48,178.06,10685,tw,diamond
52,Mordekaiser,876,1.66,45.43,6.26,6.6,172.2,10263,tw,diamond
53,Sivir,867,2.69,47.87,6.2,1.79,222.27,11623,tw,diamond
54,Xayah,859,2.41,52.27,6.14,0.68,204.69,11422,tw,diamond
55,Xin Zhao,855,2.57,51.58,6.11,1.46,152.62,10566,tw,diamond
56,Diana,848,2.13,49.29,6.06,0.81,183.78,11481,tw,diamond
57,Draven,846,2.33,50.83,6.05,23.53,194.33,12941,tw,diamond
58,Blitzcrank,836,2.48,50,5.97,32.35,25.85,7326,tw,diamond
59,Zac,833,3.05,46.7,5.95,3.29,147.45,10107,tw,diamond
60,Kha'Zix,832,2.82,49.76,5.95,2.34,172.92,11817,tw,diamond
61,Darius,829,1.8,47.77,5.92,12.61,179.82,10721,tw,diamond
62,Karthus,824,2.61,52.31,5.89,18.82,197.98,12231,tw,diamond
63,Poppy,818,2.32,50.12,5.85,10.69,81.17,8704,tw,diamond
64,Milio,816,3.67,49.26,5.83,0.84,26.76,7072,tw,diamond
65,Renekton,811,1.88,48.95,5.8,3.62,186.56,10793,tw,diamond
66,Seraphine,805,3.1,49.57,5.75,0.35,41.68,7775,tw,diamond
67,Taliyah,766,2.9,54.31,5.47,2.75,182.6,11298,tw,diamond
68,Warwick,760,1.93,49.34,5.43,18.23,158.9,10595,tw,diamond
69,Rell,759,2.92,51.25,5.42,3.97,26.63,7397,tw,diamond
70,Zed,754,2.32,47.35,5.39,11.58,184.32,11390,tw,diamond
71,Rakan,747,2.96,53.01,5.34,0.84,28.27,7197,tw,diamond
72,LeBlanc,741,2.75,47.77,5.3,24.36,149.33,10379,tw,diamond
73,Xerath,740,2.93,51.22,5.29,3.69,109.02,9586,tw,diamond
74,Volibear,735,1.97,49.8,5.25,4.04,168.35,10321,tw,diamond
75,Kindred,735,2.72,55.65,5.25,4.06,165.14,11461,tw,diamond
76,Skarner,732,3.36,48.36,5.23,5.3,142.11,9960,tw,diamond
77,Ornn,725,2.58,49.93,5.18,0.59,162.04,9597,tw,diamond
78,Fiora,723,1.56,49.65,5.17,5.8,197.15,11472,tw,diamond
79,Shaco,720,2.77,48.47,5.15,10.3,149.01,11335,tw,diamond
80,Malphite,718,2.45,47.77,5.13,4.82,160.43,9351,tw,diamond
81,Camille,712,1.79,47.33,5.09,2.25,119.82,9795,tw,diamond
