Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ashe,7420,2.47,49.33,21.61,17.16,190.56,11331,tw,emerald
2,Graves,7250,2.54,50.26,21.11,38.05,199.08,12860,tw,emerald
3,Lulu,7005,3.54,50.69,20.4,22.67,27.63,7604,tw,emerald
4,Jinx,6982,2.43,49.43,20.33,2.56,204.89,11858,tw,emerald
5,Ezreal,6399,2.65,49.38,18.63,4.17,194.49,11651,tw,emerald
6,Sylas,6137,2.2,50.82,17.87,20.98,152.14,10779,tw,emerald
7,Jhin,6076,3,49.74,17.69,2.11,194.85,12322,tw,emerald
8,Caitlyn,5876,2.18,47.58,17.11,8.22,203.76,12102,tw,emerald
9,Lee Sin,5391,2.74,47.47,15.7,8.36,155.51,11240,tw,emerald
10,Aatrox,5358,1.93,49.66,15.6,15.13,178.18,10912,tw,emerald
11,Viktor,5192,2.17,49.38,15.12,31.87,198.54,11404,tw,emerald
12,Kai'Sa,4989,2.58,50.45,14.53,2.42,206.75,12357,tw,emerald
13,Ahri,4812,2.76,51.43,14.01,6.32,189.51,11163,tw,emerald
14,Thresh,4799,2.78,50.78,13.97,11.77,30.34,7807,tw,emerald
15,Viego,4640,2.63,48.88,13.51,6.29,170.17,11808,tw,emerald
16,Yone,4611,1.7,48.15,13.43,9.69,204.59,11512,tw,emerald
17,Yuumi,4180,5.11,52.01,12.17,37.84,15.44,7391,tw,emerald
18,Corki,4122,2.56,50.46,12,22.66,207.56,12215,tw,emerald
19,Nami,4098,3.4,51.24,11.93,0.8,25.24,7605,tw,emerald
20,Lux,3994,2.55,49.02,11.63,2.72,85.27,9482,tw,emerald
21,Maokai,3881,2.54,51.97,11.3,5.07,122.06,9084,tw,emerald
22,Gragas,3718,2.56,50.11,10.83,2.8,163.14,10374,tw,emerald
23,Ekko,3693,2.71,51.04,10.75,2.93,176.51,11900,tw,emerald
24,Galio,3650,2.72,49.97,10.63,14.45,164.67,10211,tw,emerald
25,K'Sante,3562,2.25,49.24,10.37,8.94,176.95,10518,tw,emerald
26,Smolder,3455,2.14,46.14,10.06,7.67,212.19,11825,tw,emerald
27,Karma,3364,2.64,49.79,9.8,3.15,45.85,8399,tw,emerald
28,Yasuo,3195,1.67,47.64,9.3,11.21,204.03,11513,tw,emerald
29,Irelia,3132,1.54,50.61,9.12,8.85,220.15,12549,tw,emerald
30,Tahm Kench,3025,2.46,51.21,8.81,5.42,77.83,8949,tw,emerald
31,Varus,2901,2.36,49.74,8.45,1.46,194.22,11881,tw,emerald
32,Lucian,2846,2.54,51.72,8.29,1.85,204.13,12107,tw,emerald
33,Mordekaiser,2836,1.86,49.22,8.26,12.04,177.97,11105,tw,emerald
34,Elise,2836,2.67,51.16,8.26,24,138.34,11229,tw,emerald
35,Nautilus,2823,2.49,50.23,8.22,18.53,30.78,7744,tw,emerald
36,Ambessa,2813,2,51.01,8.19,50.82,172.49,10801,tw,emerald
37,Swain,2811,2.55,50.94,8.19,8.29,130.73,10101,tw,emerald
38,Akali,2701,2.44,50.35,7.86,6.66,175.75,11416,tw,emerald
39,Warwick,2696,2.17,51.11,7.85,24.85,160.51,11299,tw,emerald
40,Talon,2679,2.53,51.33,7.8,4.52,196.26,12418,tw,emerald
41,Pyke,2674,2.25,50.41,7.79,17.84,35.79,9270,tw,emerald
42,LeBlanc,2645,2.75,48.02,7.7,22.29,160.05,11024,tw,emerald
43,Jayce,2618,1.87,49.47,7.62,1.69,195.8,11653,tw,emerald
44,Hwei,2571,2.52,52.08,7.49,6.24,184.04,11095,tw,emerald
45,Darius,2446,1.83,49.14,7.12,13.16,187.96,11434,tw,emerald
46,Xerath,2442,2.93,48.48,7.11,5.55,118.83,10206,tw,emerald
47,Master Yi,2380,2.33,51.76,6.93,8.55,173.3,12199,tw,emerald
48,Shaco,2362,2.75,51.1,6.88,19.79,140.74,11528,tw,emerald
49,Sivir,2353,2.63,51.13,6.85,2.15,226.58,12283,tw,emerald
50,Nidalee,2351,2.97,50.62,6.85,6.98,165.55,11468,tw,emerald
51,Diana,2329,2.25,48.95,6.78,1.33,187.09,11915,tw,emerald
52,Kha'Zix,2309,2.67,49.85,6.72,3.12,174.45,11982,tw,emerald
53,Gangplank,2301,2.05,48.94,6.7,3.96,211.08,13508,tw,emerald
54,Renekton,2293,1.91,49.5,6.68,3.52,194.46,11403,tw,emerald
55,Pantheon,2287,2.25,49.89,6.66,1.61,125.17,10570,tw,emerald
56,Aurora,2264,2.62,50.18,6.59,12.9,183.9,11174,tw,emerald
57,Camille,2212,1.94,49.14,6.44,1.83,131.61,10588,tw,emerald
58,Zed,2210,2.36,48.42,6.44,13.98,186.87,11985,tw,emerald
59,Nocturne,2163,2.66,49.33,6.3,7.73,175.89,11342,tw,emerald
60,Xayah,2111,2.54,51.21,6.15,1.22,214.07,12149,tw,emerald
61,Katarina,2050,2.49,50.78,5.97,7.72,174.49,12058,tw,emerald
62,Kayn,2011,2.32,49.48,5.86,3.13,174.14,11640,tw,emerald
63,Jarvan IV,2009,3.16,49.78,5.85,0.78,153.16,10962,tw,emerald
64,Blitzcrank,1992,2.57,49.1,5.8,33.53,28.02,7758,tw,emerald
65,Vladimir,1990,2.35,49.45,5.79,1.97,196.82,11379,tw,emerald
66,Syndra,1893,2.31,49.23,5.51,1.89,193.5,11512,tw,emerald
67,Malphite,1892,2.61,50.05,5.51,6.11,168.1,10339,tw,emerald
68,Miss Fortune,1874,2.65,52.45,5.46,0.36,192.73,12199,tw,emerald
69,Poppy,1839,2.37,50.3,5.35,8.39,89.76,9309,tw,emerald
70,Wukong,1818,2.64,50.77,5.29,0.63,163.02,11245,tw,emerald
71,Zac,1808,3.14,50.33,5.26,3.1,144.41,10412,tw,emerald
72,Braum,1801,3.04,51.92,5.24,3.21,26.8,7685,tw,emerald
73,Aurelion Sol,1790,2.84,50.95,5.21,1.5,188.89,11478,tw,emerald
74,Karthus,1765,2.41,49.07,5.14,9.47,205.05,12859,tw,emerald
75,Vi,1751,2.4,49,5.1,2.4,158.63,10875,tw,emerald
76,Riven,1742,1.99,49.25,5.07,0.91,187.61,11498,tw,emerald
77,Milio,1739,3.65,51.01,5.06,0.84,27.98,7391,tw,emerald
78,Jax,1732,1.72,47.58,5.04,5.54,177.27,11130,tw,emerald
79,Zyra,1689,2.41,50.92,4.92,2.32,83.9,9354,tw,emerald
80,Draven,1673,2.21,50.87,4.87,15.16,197.43,13662,tw,emerald
81,Seraphine,1666,2.98,48.8,4.85,0.61,43.12,8330,tw,emerald
82,Xin Zhao,1652,2.4,49.46,4.81,1.05,160.96,11119,tw,emerald
83,Volibear,1627,1.91,50.71,4.74,3.71,175.7,11030,tw,emerald
84,Leona,1601,2.49,51.03,4.66,6.37,29.27,7686,tw,emerald
85,Aphelios,1583,2.06,48.89,4.61,0.53,200.55,12071,tw,emerald
86,Vayne,1562,2.1,51.28,4.55,1.46,184.3,11615,tw,emerald
87,Garen,1546,1.71,48.71,4.5,1.49,212.27,12106,tw,emerald
88,Soraka,1543,3.03,50.81,4.49,0.84,26.18,7400,tw,emerald
89,Orianna,1505,2.67,51.76,4.38,0.96,193.8,11146,tw,emerald
90,Fiddlesticks,1490,2.59,49.6,4.34,1.74,154.64,10918,tw,emerald
91,Senna,1456,2.98,49.73,4.24,1.55,37.13,8863,tw,emerald
92,Zeri,1448,2.65,53.25,4.22,1.05,229.36,12889,tw,emerald
93,Fiora,1426,1.63,52.17,4.15,4.01,197.25,11874,tw,emerald
94,Sett,1411,1.72,49.61,4.11,0.86,174.63,11355,tw,emerald
95,Vex,1365,2.59,54.87,3.97,7.72,183.16,11319,tw,emerald
96,Hecarim,1362,2.85,52.2,3.97,1.28,194.7,12064,tw,emerald
97,Ornn,1342,2.5,49.33,3.91,0.88,168.57,10157,tw,emerald
98,Lissandra,1336,2.52,53.14,3.89,1.7,183.84,11029,tw,emerald
99,Skarner,1319,3.42,51.93,3.84,6.78,144.81,10344,tw,emerald
100,Cho'Gath,1312,2.21,54.95,3.82,0.25,180.03,11146,tw,emerald
101,Janna,1292,3.12,51.55,3.76,0.43,28.3,7810,tw,emerald
102,Vel'Koz,1282,2.42,51.48,3.73,0.43,86.8,9600,tw,emerald
103,Nasus,1274,1.87,50,3.71,7.33,173.77,10625,tw,emerald
104,Gnar,1257,1.99,49.01,3.66,1.21,184.41,11076,tw,emerald
105,Taliyah,1204,2.63,52.08,3.51,1.51,182.37,11741,tw,emerald
106,Amumu,1195,2.44,50.71,3.48,1.01,130.82,10106,tw,emerald
107,Ryze,1185,2.25,49.79,3.45,0.27,211.99,11660,tw,emerald
108,Tryndamere,1161,1.63,50.47,3.38,2.1,216.01,12316,tw,emerald
109,Alistar,1142,2.57,50.61,3.33,0.98,32.18,7622,tw,emerald
110,Sion,1136,1.55,48.77,3.31,1.86,182.72,11317,tw,emerald
111,Dr. Mundo,1134,1.93,48.59,3.3,0.81,186.37,10811,tw,emerald
112,Zoe,1128,2.75,53.19,3.28,1.64,147.5,10720,tw,emerald
113,Anivia,1121,2.88,50.13,3.26,3.65,187.25,11034,tw,emerald
114,Tristana,1113,2.48,49.96,3.24,0.61,193.97,12605,tw,emerald
115,Kindred,1086,2.44,50.18,3.16,2.32,167.68,11748,tw,emerald
116,Fizz,1076,2.44,47.49,3.13,2.13,180.5,12191,tw,emerald
117,Malzahar,1061,2.23,48.35,3.09,1.16,205.33,11318,tw,emerald
118,Teemo,1049,1.91,48.33,3.05,4.31,161.44,10791,tw,emerald
119,Kayle,1039,1.76,51.11,3.03,0.41,211.76,11747,tw,emerald
120,Gwen,1035,1.89,51.69,3.01,2.45,196.28,11853,tw,emerald
