Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,16209,2.23,49.44,24.45,12.37,200.9,12316,tw,gold
2,Ashe,14933,2.45,50.48,22.52,11.26,183.7,11401,tw,gold
3,Jinx,13354,2.45,51.1,20.14,2.87,202.67,12064,tw,gold
4,Jhin,12768,2.96,50.53,19.26,2.97,191.98,12570,tw,gold
5,Graves,12425,2.5,50.87,18.74,28.21,201.04,13088,tw,gold
6,Lux,11853,2.66,50.7,17.88,9.21,88.42,9802,tw,gold
7,Ezreal,11295,2.66,49.69,17.04,3.55,190.82,11830,tw,gold
8,Sylas,10708,2.17,49.08,16.15,22.42,150.11,10828,tw,gold
9,Viktor,10246,2.24,50.24,15.45,29.91,197.37,11639,tw,gold
10,Thresh,9494,2.72,49.92,14.32,13.15,32.71,8041,tw,gold
11,Lulu,9449,3.45,50.64,14.25,14.6,29.42,7841,tw,gold
12,Lee Sin,9408,2.68,48.35,14.19,9.21,156.4,11480,tw,gold
13,Aatrox,9302,1.99,51.08,14.03,17.49,177.59,11201,tw,gold
14,Warwick,8680,2.25,52.91,13.09,29.09,162.03,11759,tw,gold
15,Ahri,8513,2.79,51.94,12.84,8.81,189.53,11409,tw,gold
16,Yone,8414,1.72,47.11,12.69,10.84,204.92,11675,tw,gold
17,Smolder,8263,2.17,46.58,12.46,11.55,211.75,11999,tw,gold
18,Tahm Kench,7880,2.61,52.86,11.89,9.77,83.37,9435,tw,gold
19,Galio,7689,2.83,50.5,11.6,14.35,163.12,10385,tw,gold
20,Kai'Sa,7584,2.52,49.3,11.44,2.74,203.89,12497,tw,gold
21,Viego,7219,2.63,50.99,10.89,5.17,172.3,12039,tw,gold
22,Nocturne,6909,2.77,51.64,10.42,19.88,180.78,11889,tw,gold
23,Mordekaiser,6869,1.98,51.84,10.36,19.32,177.35,11511,tw,gold
24,Maokai,6804,2.58,51.32,10.26,3.84,120.8,9479,tw,gold
25,Miss Fortune,6721,2.64,52.42,10.14,0.96,188.68,12476,tw,gold
26,Yasuo,6712,1.65,48.02,10.12,14.36,205.87,11785,tw,gold
27,Corki,6571,2.53,49.98,9.91,12.21,204.53,12350,tw,gold
28,Swain,6278,2.52,50.62,9.47,11.7,108.38,9977,tw,gold
29,Xerath,5834,3.06,53.05,8.8,10.19,104.79,10422,tw,gold
30,Gangplank,5801,2.15,51.13,8.75,6.57,208.03,13710,tw,gold
31,Master Yi,5696,2.07,47.72,8.59,14.42,174.85,12205,tw,gold
32,Malphite,5567,2.53,50.62,8.4,6.92,157.65,10554,tw,gold
33,Darius,5516,1.88,49.98,8.32,15.33,188.87,11802,tw,gold
34,Diana,5496,2.17,49.67,8.29,2.33,191.23,12347,tw,gold
35,Gragas,5493,2.49,49.03,8.29,2.24,158.64,10578,tw,gold
36,Nautilus,5305,2.51,50.37,8,13.47,37.82,8093,tw,gold
37,Garen,5213,1.84,49.88,7.86,3.85,212.14,12519,tw,gold
38,Karma,5147,2.65,50.61,7.76,2.72,49.26,8584,tw,gold
39,Kha'Zix,5112,2.47,50.12,7.71,4.28,173.68,12184,tw,gold
40,Ekko,5015,2.62,50.09,7.56,1.99,178,12130,tw,gold
41,Teemo,4894,1.93,49.92,7.38,12.7,155.84,11114,tw,gold
42,Shaco,4856,2.75,49.75,7.32,28.83,135.68,11390,tw,gold
43,Varus,4842,2.28,49.36,7.3,1.37,189.73,11904,tw,gold
44,Irelia,4831,1.68,51.67,7.29,7.34,222.86,12917,tw,gold
45,Vi,4821,2.4,50.38,7.27,3.1,161.46,11166,tw,gold
46,Zed,4807,2.33,47.62,7.25,17.05,184.27,12148,tw,gold
47,Ambessa,4806,2.02,49.54,7.25,52.1,175.3,11292,tw,gold
48,Akali,4766,2.47,50.67,7.19,6.58,173.63,11628,tw,gold
49,Wukong,4764,2.61,50.86,7.19,1.35,165.17,11578,tw,gold
50,Jarvan IV,4745,3.14,52.01,7.16,1.16,154.94,11419,tw,gold
51,Kayn,4651,2.35,51.71,7.02,2.99,177.72,12013,tw,gold
52,Zyra,4619,2.38,51.31,6.97,4.62,74.83,9368,tw,gold
53,Nami,4528,3.42,52.85,6.83,0.62,26.5,7912,tw,gold
54,Malzahar,4499,2.32,51.12,6.79,3.88,213.61,12053,tw,gold
55,LeBlanc,4479,2.76,49.68,6.76,18.98,153,11211,tw,gold
56,Lucian,4424,2.4,48.87,6.67,1.44,201.14,12311,tw,gold
57,Yuumi,4402,4.92,49.59,6.64,13.26,16.15,7599,tw,gold
58,Xin Zhao,4367,2.32,50.24,6.59,1.58,164.73,11427,tw,gold
59,K'Sante,4358,2.21,49.22,6.57,6.36,176.42,10806,tw,gold
60,Nasus,4307,1.88,50.73,6.5,11.1,181.45,11322,tw,gold
61,Vayne,4300,2.14,49.65,6.49,2.56,182.03,11855,tw,gold
62,Hwei,4284,2.63,50.44,6.46,5.49,175.06,11232,tw,gold
63,Pyke,4222,2.14,49.05,6.37,11.66,38.01,9650,tw,gold
64,Pantheon,4186,2.16,49.88,6.31,2.31,104.87,10724,tw,gold
65,Morgana,4133,2.71,51.32,6.23,18.34,61.52,9224,tw,gold
66,Jayce,3935,1.8,45.77,5.94,1.15,196.15,11809,tw,gold
67,Sivir,3877,2.59,50.61,5.85,1.39,225.53,12397,tw,gold
