Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ashe,382,2.67,47.38,31.47,27.87,185.95,10505,tw,grandmaster
2,Graves,355,2.99,53.8,29.2,42.58,184.5,11751,tw,grandmaster
3,Jhin,331,3.3,49.55,27.21,1.01,181.5,11070,tw,grandmaster
4,Viego,323,3.17,51.39,26.61,10.95,170.08,11414,tw,grandmaster
5,Ezreal,216,2.8,54.63,17.8,5.06,181.86,10561,tw,grandmaster
6,Jinx,210,2.71,47.14,17.39,3.93,194.65,10946,tw,grandmaster
7,Camille,207,1.98,51.69,17.06,3.81,85.04,9487,tw,grandmaster
8,Smolder,194,2.41,49.48,16.06,3.82,202.89,11414,tw,grandmaster
9,Corki,194,2.74,50.52,15.98,29.35,201.18,11276,tw,grandmaster
10,Lulu,188,3.51,51.06,15.49,16.41,26.19,7039,tw,grandmaster
11,Galio,185,3.55,62.7,15.24,19.43,147.3,9394,tw,grandmaster
12,Nautilus,168,2.31,52.38,13.84,11.36,29.23,6840,tw,grandmaster
13,Cho'Gath,167,2.13,50.3,13.83,0.6,187.28,10491,tw,grandmaster
14,Pantheon,164,2.75,55.49,13.58,3.03,142.89,10510,tw,grandmaster
15,Aatrox,158,1.78,49.37,13.02,4.76,171.88,9782,tw,grandmaster
16,Maokai,154,2.55,45.45,12.76,2.59,96.93,8066,tw,grandmaster
17,Lee Sin,154,3.02,46.1,12.68,8.96,140.22,9855,tw,grandmaster
18,Braum,153,3.01,50.33,12.61,11.97,25.83,6828,tw,grandmaster
19,Elise,153,2.91,51.63,12.61,40.67,123.19,10331,tw,grandmaster
20,Warwick,153,2.1,56.86,13.65,11.08,156.99,10061,tw,grandmaster
21,Viktor,152,2.53,52.63,18.32,33.1,201.1,10955,tw,grandmaster
22,Yasuo,149,1.88,48.32,12.28,9.61,196.58,10920,tw,grandmaster
23,Nidalee,146,3.92,56.85,12.03,20.41,163.85,10976,tw,grandmaster
24,Sylas,144,2.08,39.58,11.86,13.03,134.44,9327,tw,grandmaster
25,K'Sante,142,2.48,50.7,11.7,15.13,171.61,9739,tw,grandmaster
26,Karma,138,2.9,48.55,11.43,1.33,35.37,7700,tw,grandmaster
27,Ambessa,136,2.32,58.09,11.21,52.53,174.86,10578,tw,grandmaster
28,Lissandra,130,2.43,45.38,10.77,3.19,184.28,9944,tw,grandmaster
29,Akali,128,2.16,44.53,10.55,7.66,169.61,10212,tw,grandmaster
30,Caitlyn,126,2.42,49.21,10.38,6.62,195.11,11010,tw,grandmaster
31,Gragas,123,2.83,54.47,10.19,1.18,150.07,9392,tw,grandmaster
32,Kindred,121,3.14,61.98,10.02,9.59,166.61,11501,tw,grandmaster
33,Yone,118,1.82,42.37,9.72,4,200.41,10677,tw,grandmaster
34,Xin Zhao,118,2.62,51.69,9.77,1.49,142.38,9727,tw,grandmaster
35,Thresh,116,2.89,47.41,9.56,5.64,26.97,6800,tw,grandmaster
36,Aurora,114,2.81,56.14,9.39,17.94,176.93,10134,tw,grandmaster
37,Zac,112,2.55,45.54,9.23,5.62,140.22,9274,tw,grandmaster
38,Kai'Sa,112,2.38,49.11,9.23,0.79,190.41,10885,tw,grandmaster
39,Rell,111,3.02,49.55,9.14,5.45,27.3,7132,tw,grandmaster
40,Pyke,109,2.06,42.2,8.98,29.7,36.5,8356,tw,grandmaster
41,Blitzcrank,106,2.58,46.23,8.73,21.75,25.41,6904,tw,grandmaster
42,Vladimir,106,2.59,53.77,8.73,12.99,179.62,10049,tw,grandmaster
43,Poppy,102,2.74,53.92,8.4,12.66,100.17,9080,tw,grandmaster
44,Hwei,101,2.47,54.46,8.32,2.88,187.55,10605,tw,grandmaster
45,Kha'Zix,100,3.24,53,8.8,1.16,178.63,11563,tw,grandmaster
46,Olaf,99,2.1,51.52,8.2,9.58,181.79,10802,tw,grandmaster
47,Neeko,96,2.82,50,8.57,0.8,115.63,9016,tw,grandmaster
48,Talon,95,2.44,40,7.83,16.65,177.92,11214,tw,grandmaster
49,Swain,93,3.08,52.69,7.66,2.86,150.94,9522,tw,grandmaster
50,Jayce,92,2.06,52.17,7.62,0.5,191.2,11423,tw,grandmaster
51,Varus,91,2.43,46.15,7.54,5.22,184.46,10613,tw,grandmaster
52,Karthus,91,2.69,54.95,7.5,28.42,200.82,12310,tw,grandmaster
53,Ekko,90,3.39,56.67,7.76,1.16,175.94,11606,tw,grandmaster
54,Leona,86,2.42,47.67,7.09,7.31,28.06,6678,tw,grandmaster
55,Ahri,84,2.87,47.62,7.14,1.24,171.21,9565,tw,grandmaster
56,Fiora,84,1.64,51.19,6.92,6.59,180.68,10337,tw,grandmaster
57,Nami,84,3.81,53.57,8.35,0.54,26.46,7463,tw,grandmaster
58,LeBlanc,80,2.77,47.5,6.59,28.1,160.56,10215,tw,grandmaster
59,Kayn,80,2.69,51.25,7.17,1.99,158.11,10621,tw,grandmaster
60,Fiddlesticks,80,2.83,57.5,7.7,1.35,127.51,9526,tw,grandmaster
61,Draven,78,2.45,61.54,6.43,31.01,186.04,12343,tw,grandmaster
62,Cassiopeia,77,2.6,54.55,6.78,2.46,190.1,10826,tw,grandmaster
63,Bel'Veth,77,3.55,58.44,6.34,4.74,165.53,10790,tw,grandmaster
64,Orianna,76,2.6,52.63,6.64,1.84,191.07,10675,tw,grandmaster
65,Hecarim,74,3.09,50,6.1,11.66,197.49,11659,tw,grandmaster
66,Sivir,73,2.46,49.32,6.42,1.14,211.59,11118,tw,grandmaster
67,Irelia,72,1.73,59.72,5.93,8.77,197.35,11331,tw,grandmaster
68,Miss Fortune,71,3.58,50.7,8.72,0.17,208.85,12033,tw,grandmaster
69,Riven,69,1.73,40.58,6.56,1.11,184.12,10846,tw,grandmaster
70,Ryze,69,2.04,47.83,6.66,0.54,187.2,9877,tw,grandmaster
71,Vex,69,2.67,52.17,5.74,5.51,168.9,10770,tw,grandmaster
72,Senna,68,3.53,51.47,7.05,0.26,32.81,8403,tw,grandmaster
73,Illaoi,67,1.94,46.27,5.69,1.44,196.49,11032,tw,grandmaster
74,Jax,67,1.97,52.24,5.52,8.52,168.88,10326,tw,grandmaster
75,Alistar,67,2.91,55.22,5.96,0.77,23.76,6930,tw,grandmaster
76,Tahm Kench,67,2.8,58.21,7.03,2.24,53.28,7811,tw,grandmaster
77,Syndra,66,2.39,46.97,5.64,1.81,180.23,10291,tw,grandmaster
78,Mordekaiser,62,1.66,48.39,5.11,3.84,159.42,9323,tw,grandmaster
79,Taliyah,60,2.73,53.33,5,2.66,197.15,11837,tw,grandmaster
80,Katarina,59,2.69,45.76,4.86,12.33,146.95,10035,tw,grandmaster
81,Samira,58,2.36,46.55,4.8,1.46,192.76,12113,tw,grandmaster
82,Xayah,58,2.39,48.28,5.65,0.62,201.6,10956,tw,grandmaster
83,Volibear,57,1.88,47.37,4.72,2.85,167.63,9928,tw,grandmaster
84,Renekton,57,1.92,56.14,4.72,3.98,182.18,10361,tw,grandmaster
85,Xerath,56,3.23,46.43,4.61,2.02,82.79,8359,tw,grandmaster
86,Aphelios,56,2.29,51.79,6.35,0.45,188.25,11031,tw,grandmaster
87,Zyra,56,2.79,51.79,4.64,3.64,145.96,9788,tw,grandmaster
88,Wukong,56,2.71,55.36,6.41,2.53,183.5,11737,tw,grandmaster
89,Gwen,54,1.97,48.15,4.45,6.14,196.33,11737,tw,grandmaster
90,Diana,53,2.52,50.94,4.88,0.81,188.55,12293,tw,grandmaster
91,Skarner,51,3.53,50.98,4.25,2.96,144.08,9915,tw,grandmaster
92,Lux,51,2.94,58.82,5,0.56,63.12,8572,tw,grandmaster
93,Sion,50,2.14,50,4.85,0.58,187.16,10831,tw,grandmaster
94,Qiyana,49,2.37,44.9,4.52,1.17,169.71,11446,tw,grandmaster
95,Rakan,46,3.33,47.83,4.16,0.55,28.91,6640,tw,grandmaster
96,Seraphine,46,3.56,58.7,4.87,0.65,41.96,7672,tw,grandmaster
97,Yuumi,43,3.57,32.56,3.54,32.63,16.91,6391,tw,grandmaster
98,Gnar,43,2.31,44.19,3.7,1.94,190.21,11105,tw,grandmaster
99,Kled,42,3.06,59.52,3.77,1.33,173.86,10939,tw,grandmaster
100,Lucian,41,2.19,43.9,3.5,0.83,174.59,9804,tw,grandmaster
101,Zed,41,2.21,46.34,3.38,11.93,183.15,10723,tw,grandmaster
102,Master Yi,41,2.56,58.54,4.79,2.76,173.85,11964,tw,grandmaster
103,Tristana,39,3.35,46.15,4.48,0.89,204.97,12356,tw,grandmaster
104,Twitch,38,2.62,50,3.27,1.33,176.68,10712,tw,grandmaster
105,Vel'Koz,35,2.88,62.86,4.23,0.31,100.09,9111,tw,grandmaster
106,Renata Glasc,34,2.45,38.24,3.46,0.43,31.53,6772,tw,grandmaster
107,Ornn,34,3.28,47.06,3.65,0.19,167.85,8820,tw,grandmaster
108,Nunu & Willump,33,3.52,51.52,3.79,0.9,160.45,10424,tw,grandmaster
109,Zeri,31,2.34,41.94,3.03,1.04,194.52,10605,tw,grandmaster
110,Udyr,29,1.95,41.38,5.93,0.16,162.97,9265,tw,grandmaster
111,Malphite,29,2.46,48.28,2.54,2.85,152.03,9060,tw,grandmaster
112,Aurelion Sol,28,2.93,39.29,3.49,1.68,185.25,11261,tw,grandmaster
113,Darius,28,2.11,42.86,2.31,10.83,172.93,10570,tw,grandmaster
114,Rengar,27,2.95,51.85,2.22,4.34,188.22,12102,tw,grandmaster
115,Vi,26,1.98,34.62,2.55,0.66,134.77,8897,tw,grandmaster
116,Rumble,26,2.88,53.85,2.67,0.64,183.46,10569,tw,grandmaster
117,Shaco,25,4.18,52,2.06,5.36,109.28,9723,tw,grandmaster
118,Garen,24,2.99,54.17,2.58,0.26,183.96,10956,tw,grandmaster
119,Soraka,24,3.86,62.5,2.92,0.34,29.54,7816,tw,grandmaster
120,Akshan,23,2.61,56.52,1.91,6.14,188,12169,tw,grandmaster
121,Annie,22,2.33,31.82,2.9,0.59,165.27,9976,tw,grandmaster
122,Kalista,21,1.98,42.86,2.07,1.07,179.71,10302,tw,grandmaster
123,Anivia,21,3.56,52.38,2,0.97,171.71,9948,tw,grandmaster
124,Teemo,20,1.24,25,1.76,1.49,138.45,8870,tw,grandmaster
125,Lillia,20,2.78,35,1.84,1.02,180.05,10928,tw,grandmaster
126,Milio,20,4.17,45,1.78,0.95,28.05,6968,tw,grandmaster
127,Sejuani,19,2.47,26.32,2.93,0.28,155.89,9287,tw,grandmaster
128,Nocturne,19,2.94,68.42,1.58,1.12,165.47,9906,tw,grandmaster
129,Malzahar,18,1.6,22.22,2.81,0.33,186.94,9734,tw,grandmaster
130,Janna,18,3.16,44.44,2.2,0.72,29.72,6976,tw,grandmaster
131,Bard,18,2.99,50,1.95,0.83,28.89,7379,tw,grandmaster
132,Kog'Maw,18,3.47,61.11,1.53,3.66,201.67,10825,tw,grandmaster
133,Brand,17,2.72,35.29,2.41,0.52,127.35,9085,tw,grandmaster
134,Urgot,16,2.72,31.25,4.03,0.08,222.06,13777,tw,grandmaster
135,Jarvan IV,16,2.98,37.5,2.91,0.2,131.5,9817,tw,grandmaster
136,Shen,16,3.1,56.25,2.6,0.39,142.88,9118,tw,grandmaster
137,Ziggs,15,2.33,46.67,2.44,0.5,207.27,11766,tw,grandmaster
138,Dr. Mundo,14,1.5,35.71,2.24,0.14,189.14,10279,tw,grandmaster
139,Tryndamere,14,1.53,35.71,1.47,1.39,175.5,9733,tw,grandmaster
140,Sett,14,1.94,50,1.89,0.43,173,10231,tw,grandmaster
141,Gangplank,13,1.94,38.46,1.55,0.86,190,11693,tw,grandmaster
142,Amumu,12,1.97,33.33,2.18,0.47,115.58,8326,tw,grandmaster
143,Morgana,12,2.15,33.33,0.99,1.95,30.92,6922,tw,grandmaster
144,Ivern,10,3.47,30,1.21,1.14,77.9,5764,tw,grandmaster
145,Kennen,9,1.02,22.22,0.84,2.39,172.89,9066,tw,grandmaster
146,Rek'Sai,9,2.76,44.44,1.03,1.03,121.78,8600,tw,grandmaster
147,Nasus,9,1.46,44.44,0.75,2.57,168.89,10508,tw,grandmaster
148,Twisted Fate,9,3.97,55.56,3.03,0.1,196.33,12962,tw,grandmaster
149,Kassadin,8,3.52,50,1.31,0.53,190.13,11702,tw,grandmaster
150,Veigar,7,2.42,28.57,1.72,0.44,203.29,11284,tw,grandmaster
151,Azir,7,2.88,42.86,1.44,0.25,218.57,11458,tw,grandmaster
152,Sona,6,2.22,33.33,2.01,0.1,21.83,6498,tw,grandmaster
153,Zoe,6,2.14,33.33,0.55,1.63,106,9760,tw,grandmaster
154,Evelynn,6,3.31,50,1.02,0.55,180.5,13242,tw,grandmaster
155,Singed,6,2.52,50,0.69,3.19,166.83,9151,tw,grandmaster
156,Zilean,5,3.94,60,1.34,0.16,45.8,8116,tw,grandmaster
157,Vayne,5,2.64,100,0.8,0.37,203,12588,tw,grandmaster
158,Naafiri,4,1.22,0,0.56,0.89,125.5,7351,tw,grandmaster
159,Kayle,3,0.63,0,0.51,0.8,178.33,8285,tw,grandmaster
160,Taric,3,2.43,33.33,0.58,0.69,29.33,6584,tw,grandmaster
161,Nilah,3,2.25,33.33,0.25,3.51,214.33,12500,tw,grandmaster
162,Fizz,3,3.17,66.67,0.3,1.51,158.67,8709,tw,grandmaster
163,Heimerdinger,3,2.57,100,0.36,2.1,178.33,12216,tw,grandmaster
164,Yorick,2,0.1,0,0.41,0.57,116.5,5342,tw,grandmaster
165,Briar,1,0.8,0,0.27,0.45,84,5267,tw,grandmaster
166,Trundle,0,0,0,0,0.68,NaN,NaN,tw,grandmaster
167,Quinn,0,0,0,0,0.47,NaN,NaN,tw,grandmaster
168,Rammus,0,0,0,0,0.97,NaN,NaN,tw,grandmaster
169,Shyvana,0,0,0,0,0.93,NaN,NaN,tw,grandmaster
