Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,11094,2.16,49.73,28.58,16.58,179.91,11795,tw,iron
2,Ashe,9543,2.27,48.3,24.59,8.59,155.67,10949,tw,iron
3,Lux,8684,2.64,50.97,22.37,22.86,92.85,9918,tw,iron
4,Miss Fortune,8315,2.36,49.68,21.42,4.57,161.78,11640,tw,iron
5,Teemo,7704,1.98,50.49,19.85,38.7,149.2,11008,tw,iron
6,Jinx,6585,2.27,49.55,16.97,3.38,176.89,11519,tw,iron
7,Malphite,6486,2.41,48.3,16.71,10.81,124.07,10364,tw,iron
8,Warwick,6138,2.18,52.31,15.81,18.46,156.45,11753,tw,iron
9,Jhin,6053,2.73,49.93,15.6,6.48,170.6,11924,tw,iron
10,Yasuo,5995,1.62,47.44,15.45,26.13,187.66,11616,tw,iron
11,Ezreal,5857,2.39,46.35,15.09,4.55,164.46,11150,tw,iron
12,Garen,5570,2,48.24,14.35,7.62,189.29,11982,tw,iron
13,Yone,5411,1.68,46.57,13.94,11.51,180.86,11183,tw,iron
14,Master Yi,5374,1.89,48.05,13.85,22.62,166.07,11788,tw,iron
15,Sylas,5297,1.99,47.46,13.65,17.35,134.43,10461,tw,iron
16,Smolder,4662,2.03,45.05,12.01,10.2,189.5,11504,tw,iron
17,Morgana,4581,2.72,50.62,11.8,21.85,75.66,9560,tw,iron
18,Ahri,4544,2.44,50.07,11.71,9.64,166.91,10945,tw,iron
19,Viktor,4454,2.2,49.55,11.48,16.24,172.95,11244,tw,iron
20,Nasus,4410,1.96,50.45,11.36,15.64,170.67,11389,tw,iron
21,Galio,4404,2.59,50.43,11.35,9.35,138.93,10110,tw,iron
22,Mordekaiser,4382,1.92,52.1,11.29,20.81,159.93,11318,tw,iron
23,Nocturne,3997,2.49,51.74,10.3,22.11,172.6,11859,tw,iron
24,Swain,3880,2.44,51.19,10,12.15,93.76,9892,tw,iron
25,Tahm Kench,3862,2.54,51.5,9.95,7.99,90.94,9867,tw,iron
26,Lee Sin,3845,2.37,47.31,9.91,10.8,147.3,11250,tw,iron
27,Kai'Sa,3707,2.31,46.75,9.55,2.72,181.77,11974,tw,iron
