Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,677,2.91,52.88,23.96,44.78,189.04,12216,tw,master
2,Ashe,665,2.7,52.48,23.53,25.56,182.8,10596,tw,master
3,Viego,604,2.88,52.15,21.37,11.01,168.1,11287,tw,master
4,Jhin,582,3.26,51.89,20.59,0.99,187.36,11450,tw,master
5,Jinx,527,2.47,47.63,18.65,3.7,193.78,10997,tw,master
6,Lulu,519,3.71,55.3,18.36,16.76,26.71,7125,tw,master
7,Maokai,488,2.46,49.39,17.27,3.2,117.57,8005,tw,master
8,Corki,475,2.76,52.63,16.81,27.25,197.86,11412,tw,master
9,Lee Sin,474,2.9,45.99,16.77,7.94,147.63,10461,tw,master
10,Ezreal,464,2.68,50.22,16.42,5.52,188.22,10888,tw,master
11,Viktor,404,2.24,48.02,16.12,30.26,186.38,10154,tw,master
12,Nautilus,389,2.53,46.53,13.76,13.98,28.04,7119,tw,master
13,Elise,389,3.08,59.64,13.76,39.42,119.96,10670,tw,master
14,Caitlyn,376,2.33,48.67,13.3,6.72,200.09,11563,tw,master
15,Braum,367,3.09,50.14,12.99,10.35,24.56,6995,tw,master
16,Thresh,359,2.93,52.65,12.7,6.17,28.4,7144,tw,master
17,Sylas,357,2.32,50.98,12.63,13.28,150.86,10044,tw,master
18,Kai'Sa,353,2.68,50.71,12.49,0.64,199.64,11667,tw,master
19,Talon,352,2.66,55.68,12.46,14.21,187.25,11646,tw,master
20,Aatrox,343,2.06,51.6,12.14,6.8,171.54,10258,tw,master
21,Leona,341,2.53,47.8,12.07,7.2,27.92,7058,tw,master
22,Yone,340,1.77,46.18,12.09,3.6,193.07,10753,tw,master
23,Nidalee,340,3.38,49.41,12.03,17.57,165.99,11050,tw,master
24,K'Sante,336,2.06,43.15,11.89,14.47,174.76,9875,tw,master
25,Hecarim,331,2.96,54.38,11.71,9.96,190.66,11194,tw,master
26,Varus,320,2.53,51.25,11.32,3.32,181.86,10536,tw,master
27,Aurora,308,2.94,52.6,10.9,18.85,179.41,10459,tw,master
28,Galio,301,2.79,49.17,10.65,20.03,157.02,9502,tw,master
29,Rell,297,3.21,52.86,10.51,5.36,26.49,7340,tw,master
30,Pantheon,293,2.47,49.49,10.37,3.07,141.2,10589,tw,master
31,Gragas,291,2.68,48.45,10.3,1.42,153.16,9583,tw,master
32,Hwei,289,2.59,49.83,10.28,2.97,181.44,10676,tw,master
33,Akali,287,2.19,44.6,10.16,8.93,168.53,10501,tw,master
34,Karma,285,2.82,48.42,10.14,1.8,36.65,7569,tw,master
35,Katarina,285,2.55,49.12,10.08,14.42,164.55,11145,tw,master
36,Vladimir,282,2.98,55.67,9.98,10.66,199.29,11314,tw,master
37,Diana,275,2.75,57.09,9.73,0.68,180.9,11553,tw,master
38,Smolder,266,2.32,46.62,9.48,4.17,208.03,11544,tw,master
39,Taliyah,250,2.85,51.6,8.85,3.04,180.23,11088,tw,master
40,Lissandra,250,2.67,52,8.85,3.01,183.83,10300,tw,master
41,Zed,249,2.45,43.37,8.81,11.5,177.24,10720,tw,master
42,Irelia,247,1.73,57.89,8.74,8.16,215.63,12335,tw,master
43,Nami,244,3.31,51.64,8.63,0.18,23.97,7163,tw,master
44,Yasuo,236,1.84,43.64,8.35,9.39,189.72,10613,tw,master
45,Yuumi,235,4.52,42.55,8.32,34.05,15.61,6620,tw,master
46,Ahri,235,2.46,45.53,8.32,1.7,174.5,9869,tw,master
47,Draven,232,2.5,54.31,8.21,28.42,187.51,12738,tw,master
48,Zac,231,3.37,49.35,8.17,3.78,143.91,9504,tw,master
49,Syndra,227,2.74,51.98,8.07,2.56,201.47,11771,tw,master
50,Bel'Veth,224,2.81,54.91,7.93,5.3,169.42,11413,tw,master
51,Swain,216,2.85,53.7,7.64,3.26,156.62,10138,tw,master
52,Xin Zhao,209,2.64,50.24,7.43,1.29,149.56,10340,tw,master
53,Camille,198,1.73,47.98,7.01,2.63,112.96,9297,tw,master
54,Jax,196,2.05,48.47,6.94,8.8,173.54,10598,tw,master
55,Jayce,187,1.78,47.59,6.62,0.69,195.3,11272,tw,master
56,Rakan,186,3.38,55.38,6.62,0.55,27.47,7203,tw,master
57,Pyke,184,2.49,52.17,6.51,30.51,31.45,8261,tw,master
58,Xayah,181,2.2,45.3,6.4,0.44,207.12,11645,tw,master
59,Ekko,181,2.68,46.96,6.4,1.2,166.93,11090,tw,master
60,Volibear,179,2.01,51.96,6.33,3.41,162.37,10004,tw,master
61,Lux,177,2.77,50.85,6.26,0.5,87.62,8802,tw,master
62,Kindred,172,2.97,56.4,6.12,8.81,160.54,11297,tw,master
63,Ambessa,168,1.96,49.4,5.94,50.27,167.67,9923,tw,master
64,Aphelios,163,2.23,47.24,5.77,0.37,203.77,12087,tw,master
65,Seraphine,162,2.84,46.3,5.73,0.36,41.23,7259,tw,master
66,Sivir,162,2.54,46.91,5.73,1.38,211.26,11127,tw,master
67,Fiora,158,1.75,56.33,5.59,6.54,193.88,11201,tw,master
68,Blitzcrank,157,2.46,47.77,5.56,24.86,24.96,7032,tw,master
69,Vex,155,2.61,50.32,5.48,6.25,174.54,10139,tw,master
70,Poppy,154,2.36,51.95,5.45,11.51,72.84,8517,tw,master
71,Qiyana,153,2.67,58.17,5.44,1.06,172.8,11221,tw,master
72,Lucian,149,2.49,54.36,5.27,1.31,188.07,11149,tw,master
73,Tristana,149,3.16,61.74,5.45,0.54,189.49,11683,tw,master
74,Kayn,148,2.22,42.57,5.24,1.63,174.11,11168,tw,master
75,Alistar,144,2.48,49.31,5.16,0.81,24.8,6560,tw,master
76,Ryze,144,1.85,50,5.13,0.26,199.04,10857,tw,master
77,Renekton,142,1.96,40.14,5.02,4.38,188.67,10838,tw,master
78,Shaco,142,3.24,52.11,5.02,6.42,153.89,10918,tw,master
79,Zyra,141,2.44,50.35,5.03,2.47,109.58,8973,tw,master
80,Karthus,136,2.56,49.26,4.81,27.23,201.19,12212,tw,master
81,Riven,136,1.79,55.88,4.95,1.09,179.79,10735,tw,master
82,LeBlanc,135,3.08,46.67,4.78,26.84,157.7,10522,tw,master
83,Skarner,134,3.46,44.78,4.8,3.26,137.06,9645,tw,master
84,Bard,134,3.26,48.51,5.05,0.66,26.14,7201,tw,master
85,Zeri,134,2.65,52.24,4.78,0.76,224.99,12473,tw,master
86,Gwen,132,1.96,53.79,4.67,6.37,191.87,11271,tw,master
87,Miss Fortune,124,2.67,52.42,5.52,0.12,189.46,11187,tw,master
88,Akshan,122,2.47,50,4.32,7.05,181.99,11647,tw,master
89,Warwick,120,2.09,51.67,4.38,13.66,150.57,9573,tw,master
90,Gnar,118,1.82,48.31,4.18,2.18,179.09,10433,tw,master
91,Orianna,115,3.17,60.87,4.09,1.33,178.48,10512,tw,master
92,Senna,114,3.13,40.35,4.34,0.23,33.74,8486,tw,master
93,Mordekaiser,113,1.73,44.25,4,4.13,173.09,10100,tw,master
94,Cho'Gath,112,2.78,49.11,4.51,0.45,198.95,10960,tw,master
95,Singed,111,2.53,54.95,4.06,1.37,190.71,10366,tw,master
96,Wukong,110,2.99,47.27,4.03,0.76,151.84,10199,tw,master
