Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ashe,11625,2.44,50.16,22.78,13.89,187.27,11424,tw,platinum
2,Caitlyn,11340,2.21,49.48,22.22,10.16,203.9,12291,tw,platinum
3,Graves,10480,2.54,50.46,20.53,33.98,201.56,12989,tw,platinum
4,Jinx,10216,2.39,49.58,20.02,2.95,203.94,11898,tw,platinum
5,Jhin,10081,3.01,50.8,19.75,2.04,195.23,12615,tw,platinum
6,Lulu,9163,3.4,50.56,17.95,20.38,28.6,7714,tw,platinum
7,Ezreal,8958,2.62,47.98,17.55,3.69,193.34,11747,tw,platinum
8,Sylas,8534,2.17,49.4,16.72,22.26,151.54,10760,tw,platinum
9,Viktor,7832,2.24,49.8,15.34,31.72,200.19,11569,tw,platinum
10,Aatrox,7692,1.95,50.77,15.07,17.61,178.45,11113,tw,platinum
11,Thresh,7644,2.78,49.92,14.98,13.66,31.79,7941,tw,platinum
12,Lee Sin,7638,2.8,49.92,14.96,8.96,156.42,11417,tw,platinum
13,Lux,7578,2.59,49.79,14.85,5.24,85.05,9574,tw,platinum
14,Ahri,6651,2.72,51.04,13.03,7.76,189.55,11204,tw,platinum
15,Yone,6394,1.67,46.97,12.53,9.93,203.91,11555,tw,platinum
16,Kai'Sa,6359,2.55,50.07,12.46,2.34,205.91,12512,tw,platinum
17,Smolder,6289,2.1,46.43,12.32,10.49,213.81,11937,tw,platinum
18,Viego,6267,2.63,50.1,12.28,5.3,171.05,11883,tw,platinum
19,Warwick,5692,2.25,52.28,11.15,28.94,160.79,11523,tw,platinum
20,Galio,5546,2.82,51.17,10.87,15.07,166.19,10467,tw,platinum
21,Corki,5537,2.49,49.43,10.85,17.23,204.14,12134,tw,platinum
22,Maokai,5517,2.64,52.73,10.81,4.65,126.23,9421,tw,platinum
23,Tahm Kench,5141,2.59,52.23,10.07,7.36,81.82,9293,tw,platinum
24,Gangplank,5018,2.13,50.36,9.83,6.4,208.29,13575,tw,platinum
25,Nocturne,4893,2.78,52.28,9.59,14.6,178.78,11730,tw,platinum
26,Gragas,4822,2.51,50.31,9.45,2.79,161.61,10589,tw,platinum
27,Mordekaiser,4766,1.96,52.08,9.34,16.14,178.59,11349,tw,platinum
28,Yuumi,4726,5.07,51.25,9.26,23.78,15.91,7465,tw,platinum
29,Ekko,4707,2.69,51.39,9.22,2.46,178.58,12162,tw,platinum
30,Karma,4649,2.67,51.34,9.11,2.71,48.66,8484,tw,platinum
31,Yasuo,4628,1.6,47.8,9.07,11.27,205.92,11596,tw,platinum
32,Swain,4574,2.5,49.63,8.96,10.12,113.36,9927,tw,platinum
33,Nami,4492,3.39,51.98,8.8,0.85,26.54,7800,tw,platinum
34,K'Sante,4404,2.16,48.5,8.63,8.54,176.8,10686,tw,platinum
35,Xerath,4260,2.87,50.77,8.35,8.19,104.85,10248,tw,platinum
36,Irelia,3936,1.63,50.08,7.71,7.67,221.48,12707,tw,platinum
