Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,20244,2.24,49.99,26.49,14.07,198.81,12366,tw,silver
2,Ashe,17064,2.44,49.82,22.33,10.53,178.68,11453,tw,silver
3,Lux,14946,2.71,51.83,19.56,14.07,91.55,10041,tw,silver
4,Jhin,14407,2.97,50.52,18.86,3.85,190.17,12633,tw,silver
5,Jinx,14247,2.45,50.44,18.65,2.86,198.58,12071,tw,silver
6,Graves,12811,2.44,51.02,16.77,22.11,200.36,13106,tw,silver
7,Ezreal,12772,2.61,48.89,16.72,3.92,187.45,11843,tw,silver
8,Viktor,11522,2.29,50.95,15.08,26.54,194.87,11754,tw,silver
9,Sylas,11252,2.15,48.87,14.73,20.8,147.02,10917,tw,silver
10,Warwick,10999,2.26,52.3,14.4,27.14,162.62,11889,tw,silver
11,Smolder,10268,2.21,47.52,13.44,12.92,212.58,12207,tw,silver
12,Miss Fortune,10060,2.63,52.78,13.17,1.59,183.22,12348,tw,silver
13,Tahm Kench,9869,2.7,53.37,12.92,10.42,85.6,9651,tw,silver
14,Thresh,9844,2.7,49.58,12.88,11.74,34.62,8165,tw,silver
15,Lee Sin,9772,2.66,48.67,12.79,9.64,156.13,11552,tw,silver
16,Ahri,9730,2.73,51.66,12.73,9.59,186.77,11451,tw,silver
17,Yone,9569,1.75,47.35,12.52,12.33,202.86,11796,tw,silver
18,Nocturne,9291,2.73,52.56,12.16,22.07,179.93,12031,tw,silver
19,Galio,8711,2.79,51.26,11.4,12.5,157.72,10450,tw,silver
20,Yasuo,8605,1.62,48.11,11.26,18.22,204.11,11869,tw,silver
21,Aatrox,8489,2.04,52.41,11.11,16.98,177.34,11384,tw,silver
22,Kai'Sa,8459,2.45,48.37,11.07,2.71,202.76,12613,tw,silver
23,Mordekaiser,8449,2.03,53.73,11.06,21.07,176.46,11678,tw,silver
24,Swain,8151,2.5,51.09,10.67,12.87,100.97,10030,tw,silver
25,Lulu,8133,3.44,51.37,10.64,9.83,30.52,7995,tw,silver
26,Malphite,7758,2.52,50.28,10.15,7.54,150.08,10742,tw,silver
27,Teemo,7735,1.97,50.25,10.12,18.98,158.52,11315,tw,silver
28,Maokai,7528,2.65,52.03,9.85,3.04,111.72,9527,tw,silver
29,Garen,7476,1.92,50.4,9.78,4.74,211.89,12738,tw,silver
30,Master Yi,7380,2.12,50.75,9.66,16.95,177.35,12502,tw,silver
31,Darius,7120,1.88,49.41,9.32,16.89,188.56,12001,tw,silver
32,Viego,6828,2.5,50.29,8.94,4.35,171.58,12050,tw,silver
33,Diana,6652,2.18,50.83,8.71,2.84,189.45,12425,tw,silver
34,Corki,6445,2.46,48.97,8.43,8.29,201.29,12357,tw,silver
35,Malzahar,6424,2.41,52.77,8.41,5.43,213.08,12207,tw,silver
36,Nasus,6404,2.01,51.31,8.38,13.23,183.24,11507,tw,silver
37,Xerath,6359,2.91,52.87,8.32,10.75,95.59,10345,tw,silver
38,Vayne,6105,2.12,51.17,7.99,3.52,180.64,11987,tw,silver
39,Nautilus,6019,2.53,49.83,7.88,11.56,38.93,8258,tw,silver
40,Morgana,5997,2.75,51.74,7.85,23.23,65.25,9371,tw,silver
41,Shaco,5946,2.73,49.38,7.78,32.85,137.18,11618,tw,silver
42,Vi,5828,2.41,49.93,7.63,2.58,162.03,11294,tw,silver
43,Zed,5809,2.31,47.74,7.6,20.72,182.99,12278,tw,silver
44,Gangplank,5791,2.15,50.41,7.58,5.35,209.39,13856,tw,silver
45,Zyra,5653,2.38,51.99,7.4,5.19,76.33,9572,tw,silver
46,Wukong,5643,2.62,52.15,7.39,1.19,164.13,11656,tw,silver
47,Ekko,5607,2.62,51.24,7.34,1.82,173.42,12149,tw,silver
48,Kayn,5495,2.34,50.68,7.19,3.17,181.04,12244,tw,silver
49,Sion,5418,1.03,49.32,7.09,14.91,196.99,12290,tw,silver
50,Pantheon,5378,2.14,50.63,7.04,2.46,98.94,10748,tw,silver
51,Kha'Zix,5361,2.47,50.08,7.02,4.55,172.57,12289,tw,silver
52,Jarvan IV,5345,3.07,51,7,1.34,151.9,11363,tw,silver
53,Karma,5343,2.6,50.5,6.99,2.45,55.37,8763,tw,silver
54,Gragas,5327,2.5,48.88,6.97,1.82,157.49,10654,tw,silver
55,Varus,5288,2.33,48.68,6.92,1.24,184.7,11943,tw,silver
56,Ambessa,5257,2,49.25,6.88,48.81,173.41,11424,tw,silver
57,Brand,5130,2.08,50.96,6.71,4.42,98.65,10165,tw,silver
58,Akali,4966,2.46,50.42,6.5,6.9,170.12,11656,tw,silver
59,Xin Zhao,4952,2.3,50.71,6.48,1.56,162.12,11558,tw,silver
60,Volibear,4905,1.98,50.95,6.42,2.9,175.35,11482,tw,silver
61,Irelia,4904,1.73,52.16,6.42,6.4,222.89,13142,tw,silver
62,Veigar,4821,2.38,50.11,6.31,1.86,178.19,11960,tw,silver
63,Amumu,4768,2.45,50.69,6.24,2.97,152.61,10799,tw,silver
64,LeBlanc,4716,2.82,49.26,6.17,17.96,148.98,11216,tw,silver
65,Lucian,4523,2.38,49.33,5.92,1.34,196.32,12196,tw,silver
66,Pyke,4498,2.16,49.89,5.89,10.72,39.44,9706,tw,silver
67,Nami,4383,3.4,53.59,5.74,0.45,27.07,8005,tw,silver
68,Blitzcrank,4376,2.51,48.49,5.73,29.75,32.1,8035,tw,silver
69,Jayce,4338,1.87,45.3,5.68,1.2,193.82,11911,tw,silver
70,Cho'Gath,4320,2.27,53.08,5.65,0.83,172.59,11637,tw,silver
71,Jax,4275,1.76,48.09,5.59,3.61,177.94,11630,tw,silver
72,Leona,4240,2.54,49.65,5.55,7.51,33.62,8163,tw,silver
73,Hwei,4150,2.61,51.66,5.43,4.35,177.78,11408,tw,silver
74,Sivir,4146,2.6,50.82,5.43,1.12,223.61,12380,tw,silver
75,Katarina,4059,2.41,48.95,5.31,3.16,171.16,12235,tw,silver
76,Senna,3982,2.88,49.57,5.21,1.26,46.37,9378,tw,silver
77,Renekton,3955,1.97,50.37,5.18,2.53,192.77,11823,tw,silver
78,Dr. Mundo,3787,2.08,51.89,4.96,2.25,186.38,11483,tw,silver
79,Fizz,3756,2.5,50.05,4.92,5.09,170.55,12280,tw,silver
80,Yuumi,3740,4.88,48.69,4.89,6.83,16.11,7654,tw,silver
81,Xayah,3738,2.58,50.86,4.89,1.06,207.38,12336,tw,silver
82,K'Sante,3735,2.12,47.36,4.89,5.01,174.09,10787,tw,silver
83,Draven,3678,2.13,51.25,4.81,10.19,190.47,13716,tw,silver
84,Shen,3524,3.01,49.91,4.61,0.6,128.89,9973,tw,silver
85,Vex,3501,2.53,51.87,4.58,5.49,180.2,11569,tw,silver
86,Talon,3490,2.36,49.51,4.57,2.26,191.94,12534,tw,silver
87,Trundle,3422,1.73,52.16,4.48,1.12,194.09,12381,tw,silver
88,Tristana,3374,2.35,46.74,4.42,0.79,186.07,12743,tw,silver
89,Tryndamere,3249,1.62,49.49,4.25,2.12,214.84,12665,tw,silver
90,Yorick,3188,2.02,54.08,4.17,3.92,207.75,12430,tw,silver
91,Seraphine,3181,2.84,48.92,4.16,0.86,53.49,8925,tw,silver
92,Syndra,3170,2.42,47.79,4.15,2.01,187.41,11842,tw,silver
93,Riven,3151,1.89,49.64,4.12,0.95,183.09,11739,tw,silver
94,Poppy,3129,2.26,47.68,4.1,3.49,83.25,9557,tw,silver
95,Vel'Koz,3076,2.42,51.5,4.03,0.76,87.62,10192,tw,silver
96,Alistar,3063,2.47,48.91,4.01,1.5,42.13,8134,tw,silver
97,Sett,3032,1.75,50.36,3.97,0.89,171.8,11819,tw,silver
98,Aurora,3019,2.58,50.78,3.95,8.27,182.82,11541,tw,silver
99,Orianna,3014,2.72,48.71,3.94,0.82,190.78,11411,tw,silver
100,Samira,2869,2.26,51.66,3.75,8.22,186.85,12979,tw,silver
101,Lissandra,2845,2.58,51.21,3.72,1.62,181.74,11308,tw,silver
102,Vladimir,2842,2.26,49.23,3.72,1.14,193.22,11643,tw,silver
103,Elise,2841,2.58,50.09,3.72,5.4,147.68,11641,tw,silver
104,Illaoi,2840,1.48,50.32,3.72,7.16,194.31,11960,tw,silver
105,Camille,2839,1.96,47.55,3.72,0.99,130.11,10896,tw,silver
106,Ziggs,2819,2.5,50.23,3.69,1.49,185.03,11846,tw,silver
107,Zac,2804,3.16,49.54,3.67,1.39,143.63,10625,tw,silver
108,Aurelion Sol,2785,2.66,50.88,3.64,2.52,191.3,12057,tw,silver
109,Kog'Maw,2662,2.27,49.7,3.48,4.9,185.23,12069,tw,silver
110,Braum,2638,2.97,49.89,3.45,1.64,28.91,8044,tw,silver
111,Sejuani,2574,3.06,49.69,3.37,0.62,151.75,10658,tw,silver
112,Kindred,2566,2.22,50.94,3.36,1.43,174.48,12298,tw,silver
113,Anivia,2471,3.02,52.41,3.23,2.95,177.69,11356,tw,silver
114,Fiddlesticks,2411,2.51,50.15,3.16,1.22,140.07,11021,tw,silver
115,Soraka,2383,2.93,50.4,3.12,0.83,28.79,7686,tw,silver
116,Heimerdinger,2369,1.87,50.74,3.1,1.71,172.06,11552,tw,silver
117,Ryze,2367,2.39,52.34,3.1,0.44,213.94,12285,tw,silver
118,Briar,2322,2.2,52.8,3.04,2.97,167.92,12514,tw,silver
119,Karthus,2279,2.35,47.74,2.98,1.96,211.25,13116,tw,silver
120,Milio,2268,3.57,50.13,2.97,0.6,32.25,7777,tw,silver
121,Fiora,2251,1.53,49.76,2.95,1.99,190.22,11905,tw,silver
122,Gnar,2248,1.93,47.42,2.94,0.84,179.57,11485,tw,silver
123,Ornn,2070,2.51,51.16,2.71,1.29,169.63,10757,tw,silver
124,Twisted Fate,2065,2.25,48.14,2.7,0.33,183.3,12427,tw,silver
125,Nidalee,2033,2.65,48.3,2.66,1.77,162.7,11541,tw,silver
126,Rumble,2022,2.05,47.92,2.65,1.06,178.45,11382,tw,silver
127,Aphelios,2016,2.14,50.69,2.64,0.44,193.46,12340,tw,silver
128,Twitch,1963,2.35,47.43,2.57,1.21,158.6,12307,tw,silver
129,Gwen,1919,1.88,51.43,2.51,1.09,196.18,12265,tw,silver
130,Singed,1842,2.01,52.99,2.41,0.5,192.75,11520,tw,silver
131,Skarner,1829,2.9,50.19,2.39,3.84,141.87,10258,tw,silver
132,Lillia,1810,2.91,50.61,2.37,1.96,185.64,12035,tw,silver
133,Rakan,1798,2.84,49.94,2.35,0.28,31.56,7873,tw,silver
134,Shyvana,1791,2.47,49.47,2.34,0.64,205.53,12446,tw,silver
135,Kayle,1765,1.93,51.73,2.31,0.46,213.24,12374,tw,silver
136,Neeko,1752,2.38,49.77,2.29,0.65,87.11,9802,tw,silver
137,Azir,1743,2.06,47.05,2.28,0.34,198.86,11716,tw,silver
138,Nunu & Willump,1730,2.56,47.57,2.26,0.28,148.05,10735,tw,silver
139,Zilean,1714,3.3,51.17,2.24,0.61,68,8777,tw,silver
140,Janna,1708,3.32,53.86,2.24,0.25,29.18,7973,tw,silver
141,Hecarim,1695,2.54,45.13,2.22,0.48,186.97,11997,tw,silver
142,Naafiri,1608,2.33,54.42,2.1,1.78,176.17,12324,tw,silver
143,Rammus,1590,2.9,50.13,2.08,2.87,136.33,10434,tw,silver
144,Rell,1574,2.85,48.92,2.06,1.19,30.83,8191,tw,silver
145,Sona,1488,2.86,51.48,1.95,0.09,32.25,8171,tw,silver
146,Zeri,1484,2.45,49.19,1.94,0.48,220.88,12992,tw,silver
147,Kalista,1448,2.15,48.27,1.9,0.78,186.65,12564,tw,silver
148,Renata Glasc,1436,2.71,50.91,1.88,1.19,34.94,8217,tw,silver
149,Udyr,1431,2.24,48.64,1.87,0.53,177.77,11492,tw,silver
150,Urgot,1422,2.04,51.13,1.86,0.44,190.4,12357,tw,silver
151,Annie,1398,2.39,50.07,1.83,0.35,127.52,10571,tw,silver
152,Zoe,1362,2.62,51.69,1.78,0.68,136.51,10578,tw,silver
153,Nilah,1338,2.46,54.19,1.75,3.46,191.37,12937,tw,silver
154,Kennen,1263,2.03,46.95,1.65,0.56,171.97,11255,tw,silver
155,Bel'Veth,1146,2.33,47.99,1.5,0.91,177.58,12103,tw,silver
156,Kassadin,1103,2.76,49.59,1.44,0.52,185.72,11744,tw,silver
157,Rengar,1096,1.98,44.16,1.43,0.42,174.85,11887,tw,silver
158,Taric,1017,2.81,51.23,1.33,0.26,39.87,8111,tw,silver
159,Bard,1010,3.08,50.3,1.32,0.46,35.2,8353,tw,silver
160,Taliyah,1000,2.54,52.1,1.31,0.55,186.67,12077,tw,silver
161,Evelynn,997,2.76,49.85,1.3,0.83,152.57,11710,tw,silver
162,Cassiopeia,954,2.08,52.94,1.25,0.71,185.57,11490,tw,silver
163,Akshan,898,2.31,48,1.18,0.86,175.03,12751,tw,silver
164,Quinn,864,1.99,47.11,1.13,0.51,171.46,11828,tw,silver
165,Olaf,844,1.8,50.24,1.1,0.62,184.26,11929,tw,silver
166,Kled,835,2.15,51.38,1.09,0.61,163.62,11781,tw,silver
167,Rek'Sai,818,2.78,47.56,1.07,0.34,155.01,11438,tw,silver
168,Ivern,660,3.27,47.42,0.86,0.67,130.63,9827,tw,silver
169,Qiyana,634,2.26,48.58,0.83,0.28,173.14,12611,tw,silver
