Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"368,859",2.13:1,50.1%,27.8%,15.73%,196.31,"12,896"
2,Lee Sin,"361,674",2.48:1,48.64%,27.25%,16.72%,158.94,"12,150"
3,Graves,"352,063",2.42:1,51.93%,26.53%,18.51%,204.1,"13,627"
4,Ezreal,"324,344",2.43:1,49.32%,24.44%,5.95%,187.44,"12,285"
5,Lux,"284,628",2.49:1,51.72%,21.45%,21.14%,94.54,"10,518"
6,Jinx,"273,980",2.32:1,50.99%,20.65%,1.39%,199.81,"12,617"
7,Jhin,"271,419",2.78:1,50.91%,20.45%,2.08%,188.96,"12,950"
8,Sylas,"261,704",2.04:1,50.34%,19.72%,18.13%,139.47,"11,303"
9,Yone,"260,731",1.65:1,47.37%,19.65%,15.76%,198.89,"12,076"
10,Kai'Sa,"254,102",2.4:1,48.97%,19.15%,2.58%,201.97,"12,992"
11,Smolder,"251,281",2.06:1,46.9%,18.94%,19.89%,209.6,"12,421"
12,Yasuo,"245,504",1.55:1,46.66%,18.5%,37.49%,198.64,"12,140"
13,Viktor,"216,136",2.31:1,53.1%,16.29%,17.28%,192.25,"12,127"
14,Thresh,"198,139",2.54:1,49.8%,14.93%,7.03%,32.58,"8,432"
15,Ashe,"196,106",2.25:1,48.73%,14.78%,2.62%,170.54,"11,642"
16,Aatrox,"191,595",1.89:1,50.88%,14.44%,26.27%,172.53,"11,531"
17,Jayce,"161,843",1.84:1,47.85%,12.2%,4.89%,193,"12,358"
18,Xerath,"155,375",2.79:1,52.22%,11.71%,20.76%,107.62,"10,919"
19,Miss Fortune,"151,403",2.35:1,50.5%,11.41%,0.72%,177.39,"12,822"
20,Garen,"145,895",1.88:1,49.13%,10.99%,2.7%,198.68,"12,783"
21,Malphite,"144,370",2.3:1,49.13%,10.88%,10.52%,127.67,"10,880"
22,Master Yi,"143,019",1.94:1,49.36%,10.78%,12.41%,174.66,"12,701"
23,Kha'Zix,"142,428",2.46:1,50.88%,10.73%,10.09%,178.16,"12,912"
24,Mordekaiser,"141,631",1.88:1,52.05%,10.67%,18.75%,171.73,"11,979"
25,Brand,"132,716",1.99:1,52.28%,10%,12.32%,94.85,"10,489"
26,Pyke,"130,591",2.06:1,48.75%,9.84%,11.33%,37.6,"10,157"
27,Nasus,"128,292",1.87:1,51.15%,9.67%,11.76%,185.13,"12,007"
28,Teemo,"123,976",1.87:1,51.79%,9.34%,16.19%,156.73,"11,802"
29,Viego,"122,823",2.48:1,50.85%,9.26%,1.85%,173.82,"12,396"
30,Darius,"121,532",1.76:1,48.91%,9.16%,10.48%,179.54,"12,053"
31,Ahri,"121,011",2.56:1,51.84%,9.12%,5.24%,177.99,"11,611"
32,Tahm Kench,"116,310",2.53:1,54.03%,8.76%,5.88%,82.05,"10,161"
33,Nautilus,"110,631",2.33:1,48.47%,8.34%,12.18%,35.32,"8,534"
34,Jarvan IV,"110,417",2.99:1,50.87%,8.32%,1.33%,153.83,"11,932"
35,Jax,"110,349",1.69:1,48.31%,8.32%,3.01%,174.79,"11,995"
36,Lucian,"109,517",2.28:1,48.29%,8.25%,0.82%,196.4,"12,752"
37,Zed,"109,047",2.14:1,46.97%,8.22%,18.83%,173.3,"12,445"
38,Varus,"108,249",2.17:1,47.3%,8.16%,0.62%,183.68,"12,240"
39,Warwick,"104,918",2.22:1,52.73%,7.91%,2.98%,160.24,"12,403"
40,Gragas,"104,594",2.45:1,49.82%,7.88%,2.11%,158.11,"11,255"
41,Morgana,"103,028",2.57:1,51.89%,7.76%,32.92%,66.61,"9,812"
42,Nocturne,"102,836",2.62:1,52.51%,7.75%,18.52%,182.3,"12,574"
43,Diana,"100,892",2.11:1,50.61%,7.6%,2.74%,189.13,"12,876"
44,Veigar,"99,539",2.15:1,50.69%,7.5%,3.99%,170.93,"12,185"
45,Tristana,"98,765",2.17:1,47.47%,7.44%,0.77%,182.65,"13,028"
46,LeBlanc,"98,589",2.58:1,49.54%,7.43%,17.54%,136.26,"11,455"
47,Kayn,"98,149",2.23:1,50.33%,7.4%,1.78%,179.98,"12,605"
48,Galio,"97,072",2.58:1,50.51%,7.31%,3.4%,148.54,"10,614"
49,Swain,"96,062",2.35:1,50.77%,7.24%,2.73%,100.06,"10,399"
50,Renekton,"95,197",1.93:1,50.45%,7.17%,2.49%,191.82,"12,105"
51,Ambessa,"94,288",1.93:1,48.54%,7.11%,60.06%,170.25,"11,698"
52,Karma,"92,743",2.55:1,51.08%,6.99%,3.25%,51.92,"8,955"
53,Nidalee,"91,134",2.61:1,48.55%,6.87%,3.74%,154.58,"11,793"
54,Pantheon,"90,097",2.04:1,50.38%,6.79%,1.72%,93.7,"11,104"
55,Akali,"89,423",2.19:1,49.03%,6.74%,7.63%,161.74,"11,754"
56,Sett,"88,118",1.7:1,50.96%,6.64%,1.63%,167.89,"12,041"
57,Vi,"85,127",2.3:1,49.91%,6.41%,1.31%,167.12,"11,997"
58,Shaco,"83,968",2.48:1,49.23%,6.33%,31.49%,136.63,"11,973"
59,Lulu,"82,329",3.23:1,50.95%,6.2%,3.52%,29.37,"8,117"
60,Irelia,"81,289",1.63:1,50.72%,6.13%,4.67%,221.24,"13,341"
61,Blitzcrank,"80,811",2.38:1,48.86%,6.09%,23.15%,29.76,"8,386"
62,Ekko,"77,963",2.32:1,50.25%,5.87%,0.47%,169.55,"12,472"
63,Malzahar,"76,570",2.21:1,51.93%,5.77%,5.87%,208.5,"12,425"
64,Cho'Gath,"76,301",2.17:1,51.66%,5.75%,1.78%,155.12,"11,668"
65,Ziggs,"75,000",2.34:1,50.66%,5.65%,1.61%,172.98,"12,094"
66,Tryndamere,"74,934",1.64:1,49.94%,5.65%,2.87%,209.21,"13,020"
67,Corki,"73,874",2.33:1,49.32%,5.57%,1.6%,206.68,"12,849"
68,Vayne,"72,019",1.93:1,49.64%,5.43%,1.91%,177.71,"12,395"
69,K'Sante,"71,723",2.02:1,48.2%,5.4%,4.79%,173.68,"11,063"
70,Wukong,"70,102",2.48:1,51.72%,5.28%,0.78%,164.81,"12,109"
71,Volibear,"69,243",1.92:1,51.1%,5.22%,1.49%,171.39,"11,742"
72,Illaoi,"68,918",1.5:1,49.89%,5.19%,11.4%,185.12,"11,893"
73,Fizz,"68,862",2.26:1,50.5%,5.19%,5.95%,162.25,"12,686"
74,Leona,"66,143",2.34:1,49.05%,4.98%,4.46%,31.35,"8,452"
75,Maokai,"63,249",2.5:1,52.49%,4.77%,0.82%,110.07,"9,784"
76,Kindred,"58,556",2.06:1,47.95%,4.41%,2.2%,173.54,"12,545"
77,Vel'Koz,"57,690",2.26:1,52.33%,4.35%,0.81%,94.2,"10,577"
78,Syndra,"57,448",2.28:1,49.17%,4.33%,1.98%,186.52,"12,090"
79,Trundle,"55,440",1.64:1,51.83%,4.18%,0.94%,189.45,"12,724"
80,Yuumi,"55,399",4.46:1,47.96%,4.17%,8.79%,13.92,"7,907"
81,Hwei,"54,990",2.47:1,50.73%,4.14%,3.47%,152.55,"11,126"
82,Xayah,"54,234",2.33:1,49.94%,4.09%,0.56%,209.07,"12,707"
