Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,64696,2.12,49.71,30.71,16.12,190.5,12997,vn,bronze
2,Lee Sin,60612,2.34,47.25,28.78,17.04,157.05,12335,vn,bronze
3,Lux,54676,2.54,52.34,25.96,32.71,95.62,10811,vn,bronze
4,Yasuo,53642,1.56,46.96,25.47,50.34,196.03,12351,vn,bronze
5,Ezreal,48202,2.36,47.73,22.88,4.45,178.18,12302,vn,bronze
6,Yone,46289,1.68,47.14,21.98,19.1,193.68,12268,vn,bronze
7,Jinx,44557,2.3,50.57,21.15,1.51,192.11,12721,vn,bronze
8,Smolder,43354,2.08,46.72,20.58,16.97,204.68,12524,vn,bronze
9,Jhin,42426,2.73,50.47,20.14,2.8,181.63,13045,vn,bronze
10,Graves,38930,2.29,50.83,18.48,7.27,203.18,13829,vn,bronze
11,Miss Fortune,36407,2.35,50.64,17.28,1.32,174.36,12982,vn,bronze
12,Sylas,35869,2.06,49.9,17.03,16.18,137.01,11547,vn,bronze
13,Malphite,34711,2.31,48.9,16.48,13.01,113.2,10910,vn,bronze
14,Master Yi,34152,1.93,50.22,16.21,20.26,175.57,12917,vn,bronze
15,Ashe,33771,2.22,48.2,16.03,2.66,162.92,11776,vn,bronze
16,Garen,32065,1.99,49.79,15.22,3.9,193.34,12933,vn,bronze
17,Kai'Sa,30784,2.34,47.77,14.61,1.8,195.98,13155,vn,bronze
18,Teemo,30113,1.91,52.82,14.3,27.97,158.04,12041,vn,bronze
19,Viktor,28463,2.32,52.29,13.51,12.1,182.99,12262,vn,bronze
20,Mordekaiser,28384,1.93,52.23,13.48,24.46,167.89,12224,vn,bronze
21,Nasus,27382,1.91,50.77,13,12.77,185.18,12302,vn,bronze
22,Brand,25985,2.01,52.31,12.34,18.04,97.52,10817,vn,bronze
23,Darius,24394,1.72,47,11.58,12.89,172.96,12078,vn,bronze
24,Thresh,24376,2.47,48.54,11.57,4.95,35.6,8811,vn,bronze
25,Veigar,22982,2.14,50.55,10.91,7.02,165.32,12355,vn,bronze
26,Morgana,22953,2.6,52.62,10.9,33.99,71.94,10151,vn,bronze
27,Aatrox,22878,1.89,49.6,10.86,27.93,166.79,11761,vn,bronze
28,Warwick,22398,2.22,53,10.63,3.7,160.07,12655,vn,bronze
29,Tristana,21714,2.14,47.2,10.31,1.25,177.41,13082,vn,bronze
30,Zed,21209,2.1,45.62,10.07,23.81,167.04,12538,vn,bronze
31,Tahm Kench,20962,2.53,53.21,9.95,7.31,81.7,10465,vn,bronze
32,Xerath,20569,2.76,51.79,9.77,14.64,104.65,11098,vn,bronze
