Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,811,2.89,52.4,35.4,9.54,167.65,11069,vn,challenger
2,Graves,778,2.95,52.19,33.96,47.03,192.25,12243,vn,challenger
3,Kai'Sa,569,2.54,45.52,24.83,4.96,205.19,11632,vn,challenger
4,Lulu,507,3.74,52.86,22.13,12.52,26.41,7221,vn,challenger
5,Lee Sin,502,3.1,49.2,21.91,16.81,158.22,10929,vn,challenger
6,Corki,494,2.57,49.8,21.57,10.73,212.2,11785,vn,challenger
7,Ezreal,460,2.77,52.83,20.08,13.63,200.65,11248,vn,challenger
8,Ashe,448,2.63,48.21,19.56,10.06,197.02,10874,vn,challenger
9,Karma,412,3.06,49.76,17.99,9.96,33.92,7610,vn,challenger
10,Viktor,400,2.49,53.25,17.46,16.63,195.13,10927,vn,challenger
11,Akali,374,2.55,52.41,16.33,12.21,179.94,11115,vn,challenger
12,K'Sante,358,2.14,50.28,15.63,12.17,174.59,9888,vn,challenger
13,Jinx,357,2.67,54.9,15.58,1.57,213.24,11559,vn,challenger
14,Aurora,356,2.77,53.65,15.54,23.24,182.5,10540,vn,challenger
15,Sylas,347,2.22,48.13,15.15,12.56,160.32,10391,vn,challenger
16,Thresh,322,2.73,49.69,14.06,8.51,28.93,7026,vn,challenger
17,Jhin,320,3.45,48.13,13.97,0.39,198.95,11698,vn,challenger
18,Yone,312,1.8,44.87,13.62,2.58,199.84,10753,vn,challenger
19,Katarina,302,2.84,54.97,13.18,11.42,163.93,11078,vn,challenger
20,Ambessa,292,2.2,53.42,12.75,52.57,181.65,10795,vn,challenger
21,Rakan,284,3,48.24,12.43,0.28,28.64,6964,vn,challenger
22,Renekton,282,2.01,51.77,12.31,12.96,190.93,10717,vn,challenger
23,Varus,267,2.72,47.94,11.68,1.21,201.6,11391,vn,challenger
24,Irelia,258,1.78,59.3,11.29,9.44,215.28,12361,vn,challenger
25,Gragas,254,2.69,50,11.11,2.99,153.01,9931,vn,challenger
26,Rell,252,2.89,45.63,11,13.89,27.39,7418,vn,challenger
27,Pyke,243,2.17,46.91,10.61,40.96,31.29,8256,vn,challenger
28,Smolder,238,2.2,45.38,10.41,5.23,197.4,10414,vn,challenger
29,Nautilus,234,2.41,49.15,10.22,11.43,26.39,7223,vn,challenger
30,Galio,233,2.99,51.07,10.2,6.78,162.12,9355,vn,challenger
31,Nidalee,232,3.34,50.86,10.13,10.49,159.42,10598,vn,challenger
32,Camille,227,2.1,48.9,9.93,1.9,180.62,11060,vn,challenger
33,Aatrox,227,1.99,52.42,9.91,3.56,173.08,10196,vn,challenger
34,Jayce,223,1.79,39.91,9.74,4.98,203.87,11622,vn,challenger
35,Nami,220,2.87,35.91,9.63,0.64,23.92,7063,vn,challenger
36,Poppy,218,2.6,55.96,9.52,19.62,42.36,8083,vn,challenger
37,Taliyah,217,2.72,51.61,9.47,5.89,176.8,10903,vn,challenger
38,Syndra,216,2.84,53.24,9.45,2.21,198.55,11251,vn,challenger
39,Jax,215,2,53.95,9.39,13.21,177.47,11108,vn,challenger
40,Zeri,205,2.69,50.24,8.97,1.42,236.06,12564,vn,challenger
41,Ahri,202,2.87,46.04,8.84,2.07,190.35,10715,vn,challenger
42,Gwen,197,1.91,54.82,8.6,5.05,192.8,11259,vn,challenger
43,Maokai,188,2.71,56.38,8.21,3.1,116.15,8621,vn,challenger
44,Caitlyn,183,2.37,43.17,7.99,6.67,200.82,11214,vn,challenger
45,Yasuo,180,1.8,44.44,7.86,11.77,189.32,10269,vn,challenger
46,Braum,175,3.14,46.86,7.64,7.01,25.63,7082,vn,challenger
47,Elise,174,2.45,52.3,7.6,12.74,102.51,9605,vn,challenger
48,LeBlanc,171,2.95,43.86,7.46,34.63,164.57,10395,vn,challenger
49,Gnar,171,1.92,48.54,7.46,3.21,189.29,10579,vn,challenger
50,Janna,167,3.58,48.5,7.31,0.66,27.53,7401,vn,challenger
51,Neeko,166,2.42,50,7.25,2.22,45.14,7671,vn,challenger
52,Nunu & Willump,163,3.27,52.15,7.36,2.61,139.96,10204,vn,challenger
