Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,30136,2.56,51.62,34.89,40.51,197.55,13053,vn,diamond
2,Kai'Sa,24056,2.42,49.44,27.85,3.96,201.59,12354,vn,diamond
3,Lee Sin,21575,2.76,49.97,24.98,15.46,158.37,11575,vn,diamond
4,Ezreal,20158,2.52,50.37,23.33,10.3,193.54,11796,vn,diamond
5,Sylas,19757,2.02,49.75,22.87,19.58,144.12,10724,vn,diamond
6,Jinx,18390,2.34,51.27,21.29,1.44,203.63,12108,vn,diamond
7,Aatrox,17499,1.88,51.52,20.26,17.2,172.05,10827,vn,diamond
8,Caitlyn,16347,2.16,49.71,18.92,14.57,200.42,12298,vn,diamond
9,Jhin,15878,2.83,49.69,18.38,1.24,192.38,12431,vn,diamond
10,Thresh,15028,2.64,50.79,17.4,11.38,29.02,7823,vn,diamond
11,Viego,15012,2.61,50.25,17.38,4.66,171.66,11994,vn,diamond
12,Viktor,14912,2.2,51.46,17.26,17.83,192.64,11410,vn,diamond
13,Yone,14012,1.6,46.75,16.22,9.47,199.15,11370,vn,diamond
14,Lulu,13052,3.33,51.72,15.11,10.59,27.3,7724,vn,diamond
15,Jayce,12235,1.74,48.66,14.16,7.63,193.34,11730,vn,diamond
16,Ashe,12191,2.37,50.46,14.11,3.59,182.2,11231,vn,diamond
17,Gragas,11215,2.51,51.08,12.98,5.26,157.56,10809,vn,diamond
18,Karma,11201,2.67,51.45,12.97,8.97,41.82,8289,vn,diamond
19,Kha'Zix,10601,2.6,51.27,12.27,17.39,174.63,12208,vn,diamond
20,Smolder,10248,2.06,47.02,11.86,13.33,210.22,11806,vn,diamond
21,Yasuo,9529,1.67,48.5,11.03,16.66,199.15,11549,vn,diamond
22,Lux,9494,2.51,50.29,10.99,5.3,100.02,9891,vn,diamond
23,Xerath,9051,2.82,50.62,10.48,16.64,115.32,10344,vn,diamond
24,Ahri,8898,2.7,51.69,10.3,4.38,181.99,11168,vn,diamond
25,Corki,8760,2.44,50.82,10.14,4.31,205.61,12421,vn,diamond
26,Nidalee,8702,2.96,50.95,10.07,9.96,158.95,11514,vn,diamond
27,Pyke,8580,2.1,49.66,9.93,27.8,35.4,9369,vn,diamond
28,Renekton,8375,1.87,50.46,9.69,5.63,191.93,11411,vn,diamond
29,Lucian,8030,2.3,49.71,9.3,1.33,197.94,12178,vn,diamond
30,K'Sante,7679,2.16,50.14,8.89,6.86,174.66,10606,vn,diamond
31,Yuumi,7510,4.43,49.09,8.69,32.04,14.13,7597,vn,diamond
32,Diana,7485,2.17,49.86,8.66,2.95,183.81,12163,vn,diamond
33,Jax,7388,1.66,49.84,8.55,6.05,175.36,11235,vn,diamond
34,Irelia,7096,1.53,50.73,8.21,7.42,217.53,12547,vn,diamond
35,Nami,7060,3.3,50.11,8.17,0.43,24.6,7787,vn,diamond
36,Jarvan IV,7043,3.17,50.5,8.15,1.63,147.28,11085,vn,diamond
37,Nautilus,7022,2.29,49.39,8.13,18.75,30.67,7798,vn,diamond
38,Galio,7013,2.72,51.42,8.12,6.26,155.14,10029,vn,diamond
39,Akali,6803,2.18,49.26,7.88,6.48,168.99,11349,vn,diamond
40,Varus,6783,2.24,48.72,7.85,0.6,191.48,11758,vn,diamond
41,Ambessa,6363,1.89,47.96,7.37,56.31,171.27,11051,vn,diamond
42,LeBlanc,6145,2.69,50.84,7.11,23.94,144.06,11008,vn,diamond
43,Hwei,5851,2.55,51.85,6.77,6.58,165.57,10953,vn,diamond
44,Ekko,5820,2.47,50.82,6.74,0.49,173.19,11879,vn,diamond
45,Katarina,5650,2.57,52.07,6.54,8.34,162.26,12002,vn,diamond
46,Maokai,5625,2.44,52.66,6.51,1.34,117.43,9216,vn,diamond
47,Kindred,5601,2.27,50.01,6.48,8.41,169.94,12029,vn,diamond
48,Camille,5525,1.89,51.28,6.4,1.67,153.53,11108,vn,diamond
49,Xayah,5510,2.41,51.78,6.38,1.47,212.9,12384,vn,diamond
50,Darius,5403,1.83,51.56,6.25,9.09,185.97,11604,vn,diamond
51,Syndra,5193,2.27,48.2,6.01,2.57,191.77,11596,vn,diamond
52,Vi,5078,2.43,49.09,5.88,1.67,161.83,11251,vn,diamond
53,Zed,4973,2.31,49.53,5.76,8.58,180.71,12002,vn,diamond
54,Tahm Kench,4907,2.46,53.21,5.68,2.79,76.75,9205,vn,diamond
55,Aurora,4869,2.49,49.48,5.64,15.99,177.68,11121,vn,diamond
56,Swain,4761,2.45,51.54,5.51,1.66,115,9963,vn,diamond
57,Mordekaiser,4750,1.73,49.71,5.5,8.29,173.72,11031,vn,diamond
58,Milio,4718,3.61,49.05,5.46,1.98,25.61,7445,vn,diamond
59,Blitzcrank,4686,2.51,49.96,5.42,25.12,25.71,7780,vn,diamond
60,Kayn,4641,2.29,49.3,5.37,1.6,174.94,11983,vn,diamond
61,Poppy,4413,2.37,53.21,5.11,6.96,79.84,9434,vn,diamond
62,Rell,4259,2.87,51.26,4.93,5.57,26.87,7992,vn,diamond
63,Taliyah,4223,2.67,54.35,4.89,4.42,176.01,11816,vn,diamond
64,Vel'Koz,4222,2.35,52.89,4.89,0.84,89.87,9868,vn,diamond
65,Volibear,4208,1.76,51,4.87,1.85,175.86,11162,vn,diamond
66,Gnar,4182,1.79,49.76,4.84,1.4,182.44,11122,vn,diamond
67,Malphite,4176,2.37,50.96,4.83,8.9,162.8,10376,vn,diamond
68,Zoe,4170,2.7,51.65,4.83,6.9,136.44,10744,vn,diamond
69,Wukong,4133,2.55,51.61,4.78,0.75,162.62,11382,vn,diamond
70,Braum,4117,2.85,50.33,4.77,3.75,25.64,7675,vn,diamond
71,Nilah,4076,2.32,56.06,4.72,15.63,192.59,12759,vn,diamond
72,Pantheon,4071,2.03,50.45,4.71,1.37,101.34,10321,vn,diamond
73,Leona,4055,2.37,50.43,4.69,4.15,29.05,7805,vn,diamond
74,Hecarim,4038,2.78,51.63,4.67,2.92,188.13,11885,vn,diamond
75,Miss Fortune,3990,2.37,49.37,4.62,0.18,187.51,12259,vn,diamond
76,Tristana,3936,2.29,49.39,4.56,0.33,188.81,12525,vn,diamond
77,Garen,3861,1.69,47.58,4.47,0.96,202.05,11998,vn,diamond
78,Brand,3808,1.95,50.95,4.41,3.07,84.35,9546,vn,diamond
79,Shaco,3785,2.6,51.36,4.38,14.23,127.66,11285,vn,diamond
80,Twisted Fate,3753,2.31,50.63,4.34,1.48,169.98,11628,vn,diamond
81,Nocturne,3749,2.71,50.07,4.34,8.82,175.32,11684,vn,diamond
82,Nasus,3702,1.74,51.3,4.29,7.96,174.66,10881,vn,diamond
83,Soraka,3692,2.99,51.87,4.27,1.67,26.94,7437,vn,diamond
84,Riven,3639,1.84,52.79,4.21,0.59,186.52,11723,vn,diamond
85,Sett,3637,1.62,50.01,4.21,1.04,169.84,11282,vn,diamond
86,Tryndamere,3624,1.61,51.85,4.2,2.94,209.22,12280,vn,diamond
87,Lissandra,3553,2.46,52.07,4.11,3.26,178.26,10705,vn,diamond
88,Alistar,3450,2.44,50.78,3.99,3.13,26.4,7624,vn,diamond
89,Draven,3430,2.02,50.06,3.97,2.71,189.76,13306,vn,diamond
