Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,60457,2.52,52.54,33.97,31.39,204.04,13520,vn,emerald
2,Lee Sin,45224,2.65,50.01,25.41,15.73,160.54,11992,vn,emerald
3,Ezreal,44328,2.5,50.63,24.91,8.02,195.16,12252,vn,emerald
4,Caitlyn,42407,2.15,50.33,23.83,15.93,201.93,12751,vn,emerald
5,Kai'Sa,42338,2.43,49.51,23.79,3.83,205.39,12881,vn,emerald
6,Sylas,40758,2.03,50.86,22.9,20.6,141.58,11105,vn,emerald
7,Jinx,37467,2.36,51.95,21.05,1.25,207.16,12584,vn,emerald
8,Jhin,35919,2.85,51.73,20.18,1.33,195.57,12878,vn,emerald
9,Viktor,33599,2.28,52.97,18.88,20.63,197.4,11968,vn,emerald
10,Aatrox,32787,1.88,51.59,18.42,23.62,176.36,11359,vn,emerald
11,Yone,31805,1.63,47.36,17.87,12.01,205.05,11917,vn,emerald
12,Thresh,30401,2.61,50.61,17.08,9.54,30.32,8181,vn,emerald
13,Lux,28988,2.48,51.48,16.29,10.66,94.56,10151,vn,emerald
14,Smolder,28975,2.07,46.86,16.28,21.18,213.52,12248,vn,emerald
15,Jayce,26555,1.78,48.26,14.92,6.68,196.58,12160,vn,emerald
16,Kha'Zix,23713,2.58,52.1,13.32,15.09,179.44,12730,vn,emerald
17,Ashe,23415,2.3,49.53,13.16,2.57,180.31,11577,vn,emerald
18,Xerath,23414,2.78,52.12,13.16,24.88,108.54,10643,vn,emerald
19,Yasuo,21227,1.56,47.29,11.93,23.13,203.43,11895,vn,emerald
20,Viego,21138,2.58,51.43,11.88,2.39,175.02,12375,vn,emerald
21,Gragas,19373,2.55,51.45,10.89,3.86,162.47,11301,vn,emerald
22,Pyke,19222,2.1,49.6,10.8,15.32,36.04,9815,vn,emerald
23,Karma,17660,2.58,51.71,9.92,5.44,47.26,8765,vn,emerald
24,Ahri,17613,2.71,53.42,9.9,4.96,184.96,11624,vn,emerald
25,Lulu,16132,3.32,52,9.06,6.87,28.21,8060,vn,emerald
26,Lucian,16023,2.35,50.18,9,0.85,202.47,12712,vn,emerald
27,Nidalee,16002,2.79,49.63,8.99,6.21,159.88,11828,vn,emerald
28,Jarvan IV,15798,3.09,51.58,8.88,1.72,150.36,11548,vn,emerald
29,LeBlanc,15165,2.61,50.42,8.52,20.36,137.92,11295,vn,emerald
30,Renekton,15071,1.9,50.93,8.47,3.44,196.47,11959,vn,emerald
31,Diana,14812,2.14,50.53,8.32,2.99,189.97,12673,vn,emerald
32,Nautilus,14287,2.3,48.21,8.03,16.57,31.98,8189,vn,emerald
33,Varus,13835,2.2,48.31,7.77,0.6,192.15,12218,vn,emerald
34,Tahm Kench,13814,2.51,54.9,7.76,4.61,80.45,9762,vn,emerald
35,Ambessa,13786,1.94,49.33,7.75,64.07,173.32,11535,vn,emerald
36,Corki,13684,2.4,50.42,7.69,2.23,209.99,12908,vn,emerald
37,Jax,13405,1.64,49.22,7.53,3.69,179.44,11738,vn,emerald
38,Mordekaiser,13260,1.81,51.51,7.45,12.35,178.22,11620,vn,emerald
39,Irelia,13127,1.59,51.69,7.38,6.13,223.39,13130,vn,emerald
40,Garen,13104,1.73,49.35,7.36,1.68,207.76,12568,vn,emerald
41,Brand,13088,1.97,52.8,7.35,6.39,92.22,10048,vn,emerald
42,Galio,13047,2.65,50.81,7.33,4.93,155.98,10431,vn,emerald
43,Vi,12770,2.39,50.8,7.18,1.89,166.52,11767,vn,emerald
44,K'Sante,12526,2.14,49.71,7.04,5.72,179.35,11106,vn,emerald
45,Darius,12491,1.84,52.05,7.02,8.43,188.84,12032,vn,emerald
46,Akali,12312,2.23,50.36,6.92,6.92,169.51,11675,vn,emerald
47,Swain,11890,2.4,50.6,6.68,2.49,107.86,10173,vn,emerald
48,Zed,11828,2.26,49.19,6.65,13.37,181.65,12389,vn,emerald
49,Yuumi,11826,4.58,49.64,6.65,18.28,14.17,7926,vn,emerald
50,Kayn,11556,2.3,50.33,6.49,1.7,180.35,12431,vn,emerald
51,Nocturne,11550,2.74,52.74,6.49,16.48,182.15,12217,vn,emerald
52,Malphite,11338,2.39,51,6.37,8.9,158.2,10920,vn,emerald
53,Nasus,11063,1.78,50.81,6.22,10.91,183.21,11468,vn,emerald
54,Miss Fortune,10972,2.43,52.14,6.17,0.22,191.53,12815,vn,emerald
55,Pantheon,10750,2.04,51.7,6.04,2.12,96.38,10801,vn,emerald
56,Maokai,10476,2.52,54.37,5.89,1.1,117.59,9657,vn,emerald
57,Blitzcrank,10394,2.45,50.53,5.84,23.2,27.28,8121,vn,emerald
58,Ekko,10272,2.43,51.13,5.77,0.45,174.85,12365,vn,emerald
59,Master Yi,10263,1.98,49.07,5.77,5.29,172.1,12386,vn,emerald
60,Sett,10085,1.67,50.85,5.67,1.27,174.33,11875,vn,emerald
61,Camille,10025,1.91,51.26,5.63,1.43,148.32,11444,vn,emerald
62,Hwei,9919,2.53,51.28,5.57,6.1,160.35,11152,vn,emerald
63,Shaco,9912,2.56,50.4,5.57,23.87,129.12,11627,vn,emerald
64,Syndra,9806,2.29,50.17,5.51,2.43,191.21,11951,vn,emerald
65,Warwick,9451,2.19,53.07,5.31,2.47,161.06,12004,vn,emerald
66,Katarina,9425,2.37,51.06,5.3,4.89,164.62,12348,vn,emerald
67,Wukong,9413,2.56,53.18,5.29,0.77,165.56,11927,vn,emerald
68,Twisted Fate,9193,2.29,50.42,5.17,0.88,177.95,12272,vn,emerald
69,Teemo,8833,1.85,50.45,4.96,6.34,148.54,11213,vn,emerald
70,Volibear,8833,1.85,51.21,4.96,1.76,178.11,11679,vn,emerald
71,Malzahar,8821,2.24,51.69,4.96,4.49,210.68,12087,vn,emerald
72,Kindred,8810,2.13,49.13,4.95,2.9,172.93,12419,vn,emerald
73,Morgana,8726,2.57,51.9,4.9,29.21,57.89,9220,vn,emerald
74,Xayah,8643,2.38,50.95,4.86,0.95,214.24,12713,vn,emerald
75,Tristana,8532,2.25,49.27,4.79,0.4,190.5,13055,vn,emerald
76,Vel'Koz,8430,2.28,53.59,4.74,0.88,91.15,10257,vn,emerald
77,Poppy,8426,2.36,53.07,4.73,4.13,71.93,9679,vn,emerald
78,Nami,8384,3.32,51.9,4.71,0.36,25.31,8053,vn,emerald
79,Aurora,8317,2.44,51.08,4.67,14.28,179.75,11579,vn,emerald
80,Veigar,8272,2.23,52.01,4.65,1.58,181.38,11980,vn,emerald
81,Tryndamere,8236,1.57,50.58,4.63,3.05,212.85,12795,vn,emerald
82,Vayne,7624,1.94,50.92,4.28,1.56,185.74,12190,vn,emerald
83,Fizz,7516,2.27,51.01,4.22,4.75,170.33,12369,vn,emerald
84,Leona,7430,2.37,50.62,4.17,4.37,30.18,8186,vn,emerald
85,Gnar,7224,1.83,50.5,4.06,0.86,184.57,11597,vn,emerald
86,Hecarim,7151,2.67,49.06,4.02,2.08,192.5,12311,vn,emerald
87,Ziggs,6836,2.41,50.41,3.84,0.97,194.57,12221,vn,emerald
88,Lissandra,6640,2.43,51.99,3.73,2.87,183.24,11255,vn,emerald
89,Riven,6635,1.86,50.94,3.73,0.24,186.14,11992,vn,emerald
90,Zoe,6597,2.6,51.89,3.71,3.02,123.44,10848,vn,emerald
91,Ornn,6559,2.5,52.61,3.69,0.67,172.09,10854,vn,emerald
92,Sion,6516,1.48,51.67,3.66,0.91,198.09,12413,vn,emerald
93,Samira,6424,2.25,50.22,3.61,3.89,191.15,13326,vn,emerald
94,Milio,6409,3.58,51.85,3.6,1.51,26.31,7746,vn,emerald
95,Draven,6368,2.04,50.22,3.58,2.6,195.51,13878,vn,emerald
96,Alistar,6318,2.41,49.59,3.55,2.68,27.74,8004,vn,emerald
97,Aurelion Sol,6306,2.57,50.11,3.54,2.49,190.67,12115,vn,emerald
98,Cho'Gath,6265,2.16,52.35,3.52,0.71,171.29,11514,vn,emerald
99,Braum,6260,2.86,51.18,3.52,2.4,26.74,7982,vn,emerald
100,Illaoi,6069,1.41,50.24,3.41,5.82,194.62,11804,vn,emerald
101,Senna,6040,2.73,49.44,3.39,0.44,39.64,9458,vn,emerald
102,Zyra,5944,2.26,50.54,3.34,1.78,91.37,9912,vn,emerald
103,Aphelios,5790,1.92,48.31,3.25,0.53,197.03,12294,vn,emerald
104,Nilah,5558,2.35,57.2,3.12,7.06,198.93,13531,vn,emerald
105,Elise,5408,2.57,50.43,3.04,1.36,142.34,11666,vn,emerald
106,Taliyah,5408,2.51,52.83,3.04,2.06,179.81,12252,vn,emerald
107,Zac,5270,3.04,49.22,2.96,1.28,134.63,10735,vn,emerald
108,Rell,5064,2.81,50.41,2.85,2.03,27.54,8348,vn,emerald
109,Kalista,5002,2.07,47.52,2.81,0.84,194.14,12756,vn,emerald
110,Rakan,4997,2.89,52.15,2.81,0.31,29.8,7972,vn,emerald
111,Kog'Maw,4970,2.14,52.43,2.79,0.9,190.36,12393,vn,emerald
112,Orianna,4912,2.64,50.39,2.76,0.42,189.59,11463,vn,emerald
113,Soraka,4870,2.98,51.7,2.74,0.93,26.26,7672,vn,emerald
114,Ryze,4867,2.28,51.37,2.73,0.22,212.46,12160,vn,emerald
115,Vex,4853,2.54,56.34,2.73,2.45,176.11,11927,vn,emerald
